index,name,R_hex,G_hex,B_hex,R,G,B,x,y
1,绿色 001,37,FC,00,55,252,0,0.3201,0.6091
2,绿色 002,37,FB,00,55,251,0,0.3207,0.6065
3,绿色 003,37,FA,00,55,250,0,0.3193,0.6055
4,绿色 004,38,F8,00,56,248,0,0.3197,0.6002
5,绿色 005,37,F2,00,55,242,0,0.3164,0.5893
6,绿色 006,36,ED,05,54,237,5,0.3104,0.5675
7,绿色 007,35,E6,0B,53,230,11,0.3044,0.5437
8,绿色 008,32,D6,15,50,214,21,0.2926,0.5047
9,绿色 009,34,E4,2A,52,228,42,0.2756,0.4524
10,绿色 010,39,FA,41,57,250,65,0.2639,0.4137
11,青绿色 011,3A,FD,5A,58,253,90,0.2520,0.3748
12,青绿色 012,38,F9,6A,56,249,106,0.2442,0.3518
13,青色 013,37,F2,7C,55,242,124,0.2369,0.3270
14,青色 014,34,E7,8F,52,231,143,0.2295,0.3028
15,青色 015,33,E2,97,51,226,151,0.2265,0.2921
16,青色 016,31,D7,A6,49,215,166,0.2212,0.2734
17,绿色 017,2B,BE,00,43,190,0,0.3250,0.6063
18,绿色 018,3A,FC,00,58,252,0,0.3245,0.6035
19,绿色 019,3A,FB,00,58,251,0,0.3238,0.6011
20,绿色 020,39,F9,00,57,249,0,0.3221,0.5984
21,绿色 021,37,F1,01,55,241,1,0.3164,0.5849
22,绿色 022,37,E8,0B,55,232,11,0.3075,0.5438
23,绿色 023,34,DF,10,52,223,16,0.2994,0.5265
24,绿色 024,32,D4,1B,50,212,27,0.2882,0.4839
25,绿色 025,36,EA,2E,54,234,46,0.2739,0.4443
26,青绿色 026,3B,FD,4A,59,253,74,0.2608,0.3995
27,青绿色 027,3A,FA,67,58,250,103,0.2470,0.3560
28,青色 028,38,F1,7C,56,241,124,0.2381,0.3266
29,青色 029,35,E8,8D,53,232,141,0.2306,0.3044
30,青色 030,33,DA,A2,51,218,162,0.2234,0.2788
31,天蓝色 031,30,D1,AF,48,209,175,0.2179,0.2633
32,天蓝色 032,2F,CF,B2,47,207,178,0.2169,0.2597
33,绿色 033,31,BD,00,49,189,0,0.3339,0.5947
34,绿色 034,40,FC,00,64,252,0,0.3314,0.5938
35,绿色 035,3F,FA,00,63,250,0,0.3295,0.5906
36,黄绿色 036,40,F5,01,64,245,1,0.3281,0.5758
37,绿色 037,40,F1,07,64,241,7,0.3216,0.5531
38,绿色 038,3B,E7,0E,59,231,14,0.3098,0.5302
39,绿色 039,36,D6,18,54,214,24,0.2967,0.4930
40,绿色 040,38,DF,26,56,223,38,0.2844,0.4574
41,绿色 041,40,FC,45,64,252,69,0.2687,0.4061
42,青绿色 042,3E,FD,5C,62,253,92,0.2557,0.3715
43,青绿色 043,3C,F4,76,60,244,118,0.2437,0.3353
44,青色 044,38,E6,8F,56,230,143,0.2329,0.3021
45,青色 045,34,D9,A3,52,217,163,0.2247,0.2771
46,天蓝色 046,31,CB,B6,49,203,182,0.2177,0.2549
47,天蓝色 047,2F,C3,C0,47,195,192,0.2136,0.2432
48,天蓝色 048,2C,B6,C7,44,182,199,0.2102,0.2312
49,黄绿色 049,4E,FD,00,78,253,0,0.3492,0.5763
50,黄绿色 050,50,FB,00,80,251,0,0.3494,0.5667
51,黄绿色 051,4D,F9,02,77,249,2,0.3428,0.5610
52,黄绿色 052,48,F6,05,72,246,5,0.3340,0.5547
53,黄绿色 053,4A,EE,11,74,238,17,0.3250,0.5099
54,绿色 054,42,DE,18,66,222,24,0.3108,0.4880
55,绿色 055,42,E4,2A,66,228,42,0.2938,0.4450
56,绿色 056,48,FA,40,72,250,64,0.2809,0.4111
57,青绿色 057,47,FC,5E,71,252,94,0.2639,0.3673
58,青绿色 058,43,F6,70,67,246,112,0.2530,0.3422
59,青色 059,3E,E2,93,62,226,147,0.2370,0.2955
60,青色 060,39,DA,A0,57,218,160,0.2297,0.2804
61,天蓝色 061,35,C3,BC,53,195,188,0.2201,0.2465
62,天蓝色 062,30,AD,CF,48,173,207,0.2118,0.2213
63,天蓝色 063,2B,9A,E3,43,154,227,0.2045,0.1990
64,蓝色 064,29,92,EB,41,146,235,0.2012,0.1900
65,黄绿色 065,61,FD,00,97,253,0,0.3689,0.5532
66,黄绿色 066,5E,FC,02,94,252,2,0.3620,0.5477
67,黄绿色 067,61,FB,07,97,251,7,0.3585,0.5281
68,黄绿色 068,60,FA,0F,96,250,15,0.3497,0.5067
69,黄绿色 069,58,EF,18,88,239,24,0.3333,0.4826
70,绿色 070,4F,DE,23,79,222,35,0.3175,0.4517
71,绿色 071,57,F8,3C,87,248,60,0.2997,0.4131
72,绿色 072,38,A9,36,56,169,54,0.2829,0.3839
73,青绿色 073,51,F5,6D,81,245,109,0.2662,0.3436
74,青色 074,4B,E8,86,75,232,134,0.2527,0.3112
75,天蓝色 075,44,D6,A0,68,214,160,0.2389,0.2784
76,天蓝色 076,3D,BF,B6,61,191,182,0.2283,0.2487
77,天蓝色 077,35,A3,D4,53,163,212,0.2156,0.2135
78,蓝色 078,30,8F,EB,48,143,235,0.2070,0.1893
79,蓝色 079,1E,54,B6,30,84,182,0.1989,0.1652
80,蓝色 080,1B,4E,B7,27,78,183,0.1956,0.1584
81,黄绿色 081,76,FA,00,118,250,0,0.3909,0.5331
82,黄色 082,78,FA,04,120,250,4,0.3871,0.5193
83,黄绿色 083,78,FC,0B,120,252,11,0.3771,0.5024
84,黄绿色 084,78,FC,15,120,252,21,0.3655,0.4802
85,黄绿色 085,74,F7,22,116,247,34,0.3496,0.4515
86,黄绿色 086,67,EB,30,103,235,48,0.3274,0.4221
87,绿色 087,6A,FE,48,106,254,72,0.3084,0.3927
88,青绿色 088,68,F7,63,104,247,99,0.2911,0.3543
89,青色 089,5F,E9,7D,95,233,125,0.2729,0.3198
90,天蓝色 090,56,D8,96,86,216,150,0.2575,0.2881
91,天蓝色 091,4C,BD,B1,76,189,177,0.2416,0.2522
92,蓝色 092,43,A4,CD,67,164,205,0.2281,0.2194
93,蓝色 093,3A,87,EC,58,135,236,0.2154,0.1865
94,蓝色 094,23,4F,B3,35,79,179,0.2050,0.1630
95,蓝色 095,1F,42,B8,31,66,184,0.1996,0.1477
96,蓝色 096,1A,35,B8,26,53,184,0.1937,0.1334
97,黄色 097,8D,F2,00,141,242,0,0.4148,0.5141
98,黄色 098,8F,F3,05,143,243,5,0.4095,0.5016
99,黄色 099,93,F4,0B,147,244,11,0.4044,0.4849
100,黄色 100,93,F9,16,147,249,22,0.3879,0.4625
101,黄色 101,90,FD,24,144,253,36,0.3697,0.4391
102,橙色 102,69,A4,43,105,164,67,0.3312,0.3474
103,黄绿色 103,89,FD,4D,137,253,77,0.3301,0.3795
104,绿色 104,7C,EF,69,124,239,105,0.3052,0.3420
105,天蓝色 105,6F,DD,84,111,221,132,0.2837,0.3064
106,天蓝色 106,63,CA,98,99,202,152,0.2681,0.2791
107,蓝色 107,58,B0,B7,88,176,183,0.2500,0.2422
108,蓝色 108,50,96,D2,80,150,210,0.2379,0.2104
109,蓝色 109,42,76,F6,66,118,246,0.2197,0.1730
110,蓝色 110,28,40,B3,40,64,179,0.2114,0.1509
111,蓝色 111,22,32,BB,34,50,187,0.2027,0.1324
112,蓝色 112,1E,28,BA,30,40,186,0.1986,0.1216
113,琥珀色 113,A1,E7,01,161,231,1,0.4361,0.4959
114,橙色 114,AB,E2,06,171,226,6,0.4384,0.4771
115,橙色 115,AB,E4,0A,171,228,10,0.4312,0.4684
116,橙色 116,AC,E9,14,172,233,20,0.4154,0.4491
117,橙色 117,AE,EE,21,174,238,33,0.3997,0.4281
118,橙色 118,B4,F2,38,180,242,56,0.3793,0.3937
119,朱红色 119,AD,E8,52,173,232,82,0.3568,0.3588
120,红色 120,9A,D7,6D,154,215,109,0.3286,0.3231
121,紫色 121,8B,C3,88,139,195,136,0.3064,0.2893
122,蓝紫色 122,7D,AD,A3,125,173,163,0.2858,0.2562
123,蓝紫色 123,70,96,BF,112,150,191,0.2674,0.2251
124,蓝色 124,5F,7C,DF,95,124,223,0.2463,0.1913
125,蓝色 125,3A,45,AF,58,69,175,0.2317,0.1638
126,蓝色 126,32,38,B9,50,56,185,0.2207,0.1445
127,蓝色 127,2D,2E,C0,45,46,192,0.2134,0.1310
128,蓝色 128,25,22,B7,37,34,183,0.2066,0.1186
129,橙色 129,B5,D1,01,181,209,1,0.4615,0.4747
130,橙色 130,B7,D0,05,183,208,5,0.4569,0.4647
131,橙色 131,B9,D1,0A,185,209,10,0.4500,0.4544
132,橙色 132,BD,CF,11,189,207,17,0.4437,0.4373
