WL(nm),Spectrum,Spectrum(W/nm)
380,0.006,6.25E-07
380.2,0.0132,1.37E-06
380.4,0.02,2.08E-06
380.6,0.0192,2.00E-06
380.8,0.0126,1.31E-06
381,0.0056,5.77E-07
381.2,0.0006,6.39E-08
381.4,0.0035,3.61E-07
381.6,0.0087,9.03E-07
381.8,0.0055,5.71E-07
382,0.0011,1.19E-07
382.2,0.0076,7.88E-07
382.4,0.0152,1.58E-06
382.6,0.0118,1.22E-06
382.8,0.0077,7.95E-07
383,0.0111,1.16E-06
383.2,0.0126,1.31E-06
383.4,0.0048,4.99E-07
383.6,0.0008,8.59E-08
383.8,0.0079,8.25E-07
384,0.0155,1.61E-06
384.2,0.0187,1.94E-06
384.4,0.0151,1.56E-06
384.6,0.0046,4.76E-07
384.8,0.0023,2.35E-07
385,0.0101,1.05E-06
385.2,0.0114,1.18E-06
385.4,0.0055,5.70E-07
385.6,0.0066,6.80E-07
385.8,0.0131,1.35E-06
386,0.0133,1.38E-06
386.2,0.0086,8.92E-07
386.4,0.0048,5.00E-07
386.6,0.0027,2.83E-07
386.8,0.0035,3.67E-07
387,0.0053,5.48E-07
387.2,0.0051,5.24E-07
387.4,0.0037,3.84E-07
387.6,0.0013,1.32E-07
387.8,0,1.27E-09
388,0.0034,3.49E-07
388.2,0.0066,6.83E-07
388.4,0.0062,6.45E-07
388.6,0.0052,5.35E-07
388.8,0.0046,4.76E-07
389,0.0062,6.42E-07
389.2,0.0111,1.15E-06
389.4,0.0128,1.33E-06
389.6,0.0088,9.15E-07
389.8,0.005,5.19E-07
390,0.0034,3.52E-07
390.2,0.0024,2.52E-07
390.4,0.0021,2.15E-07
390.6,0.0036,3.78E-07
390.8,0.0062,6.38E-07
391,0.0056,5.86E-07
391.2,0.0028,2.87E-07
391.4,0.0006,6.48E-08
391.6,0,0.00E+00
391.8,0.0017,1.81E-07
392,0.0043,4.43E-07
392.2,0.0037,3.82E-07
392.4,0.0025,2.61E-07
392.6,0.0054,5.57E-07
392.8,0.0079,8.22E-07
393,0.0038,3.95E-07
393.2,0.0001,6.10E-09
393.4,0.0037,3.85E-07
393.6,0.0076,7.90E-07
393.8,0.0071,7.35E-07
394,0.0057,5.94E-07
394.2,0.005,5.17E-07
394.4,0.0039,4.09E-07
394.6,0.0024,2.48E-07
394.8,0.0008,8.16E-08
395,0,0.00E+00
395.2,0.0021,2.22E-07
395.4,0.0079,8.20E-07
395.6,0.0083,8.63E-07
395.8,0.0028,2.93E-07
396,0,4.04E-09
396.2,0.0008,8.42E-08
396.4,0.0012,1.22E-07
396.6,0.0011,1.19E-07
396.8,0.0025,2.60E-07
397,0.0046,4.75E-07
397.2,0.0061,6.30E-07
397.4,0.0064,6.63E-07
397.6,0.0038,3.95E-07
397.8,0.0008,8.81E-08
398,0.0014,1.48E-07
398.2,0.0032,3.37E-07
398.4,0.0039,4.10E-07
398.6,0.0049,5.04E-07
398.8,0.0074,7.65E-07
399,0.0086,8.93E-07
399.2,0.0061,6.37E-07
399.4,0.003,3.12E-07
