wavelength_nm,S_single_white_W_nm,S_RGB_target_W_nm,S_best_Ra_blend_W_nm,S_best_Rmin8_blend_W_nm
380,6.21198261048665e-07,6.53962218723955e-07,6.25490339504128e-07,6.24704004519921e-07
385,1.04361307856176e-06,4.71263336677662e-07,9.68635262374941e-07,9.8237165618016e-07
390,3.49858860622608e-07,5.07834115329362e-07,3.70553618989193e-07,3.66762212876231e-07
395,0,6.57417525395037e-07,8.61216958267498e-08,7.03436752172689e-08
400,1.48093665434002e-07,3.63153725040941e-07,1.76266533242511e-07,1.71105091811944e-07
405,2.61400228249278e-07,4.94697358281129e-07,2.91962152283451e-07,2.86363021162686e-07
410,6.30143516007766e-07,8.62933849187209e-07,6.60639049654273e-07,6.55052081657967e-07
415,1.61014589263814e-06,1.43105577460023e-06,1.58668508717517e-06,1.59098325000808e-06
420,2.58418476596245e-06,2.98722861143343e-06,2.63698350971915e-06,2.62731045742784e-06
425,4.74098512832341e-06,6.0518160038321e-06,4.91270397301505e-06,4.88124403200284e-06
430,9.22355178005058e-06,1.24945799328345e-05,9.65205646806528e-06,9.57355179239846e-06
435,1.68965927005237e-05,2.17949014516795e-05,1.75382711469251e-05,1.74207117368974e-05
440,3.2600484739834e-05,3.31099004748995e-05,3.26672182011276e-05,3.2654992223486e-05
445,6.70894121932559e-05,5.27326834446139e-05,6.52086807271838e-05,6.55532422171512e-05
450,0.00010237347342082,8.48289946599696e-05,0.000100075146703149,0.000100496214193409
455,8.27933042325661e-05,9.42001637529366e-05,8.42876028297347e-05,8.40138382012458e-05
460,5.10873449886422e-05,6.06328132189353e-05,5.23378013268106e-05,5.21087100892836e-05
465,3.98560804288824e-05,3.56674668132524e-05,3.93073720452348e-05,3.940789877201e-05
470,2.9320557921497e-05,2.46873796896028e-05,2.87136115731189e-05,2.88248078506843e-05
475,2.06734781276996e-05,1.56673399934486e-05,2.00176740321127e-05,2.01378213473347e-05
480,1.85862519705761e-05,1.11031807208636e-05,1.76059696368637e-05,1.77855633468568e-05
485,1.9083210579415e-05,1.11442130419571e-05,1.8043201902008e-05,1.8233737842907e-05
490,2.05740864059318e-05,1.4247886194895e-05,1.9745354178286e-05,1.98971829833509e-05
495,2.28600960065909e-05,2.11724006459061e-05,2.26390079143412e-05,2.26795126029976e-05
500,2.59412393813923e-05,3.42516180972804e-05,2.70298989931736e-05,2.68304499039923e-05
505,2.85254241473547e-05,5.56707347613796e-05,3.2081459837792e-05,3.14299723830554e-05
510,3.04138668609427e-05,8.27030239028698e-05,3.72637464334351e-05,3.60088066644289e-05
515,3.19047426874595e-05,0.000102759103071482,4.11866638977665e-05,3.94861592485499e-05
520,3.27992681833695e-05,0.000100349102891397,4.16482965301212e-05,4.00271004971285e-05
525,3.36937936792796e-05,7.98370526089011e-05,3.973856059906e-05,3.86311223847491e-05
530,3.42901440098863e-05,5.89801738273903e-05,3.75245379159793e-05,3.69319772003592e-05
535,3.48864943404931e-05,4.50933515296576e-05,3.62235926322736e-05,3.59786280597337e-05
540,3.54828446710998e-05,3.41373640716268e-05,3.53065867125688e-05,3.53388782469562e-05
545,3.58804115581709e-05,2.43326263751961e-05,3.43676516992012e-05,3.46447985435926e-05
550,3.62779784452421e-05,1.67404329321551e-05,3.37185599830277e-05,3.41874610753418e-05
555,3.66755453323132e-05,1.17278827117716e-05,3.34074015290223e-05,3.40061454319153e-05
560,3.6774937054081e-05,8.44704258763761e-06,3.30639828789769e-05,3.37438523461716e-05
565,3.65761536105454e-05,6.02187363777174e-06,3.25735429341121e-05,3.33068456534586e-05
570,3.65761536105454e-05,4.26644036494379e-06,3.23435811753716e-05,3.3119014293266e-05
575,3.59798032799387e-05,2.98651718659791e-06,3.16576828017111e-05,3.24495216679512e-05
580,3.56816281146353e-05,2.19152515115666e-06,3.12944246264196e-05,3.20981870975431e-05
585,3.48864943404931e-05,1.74031113271814e-06,3.05443443402745e-05,3.13398527372611e-05
590,3.41907522881185e-05,1.66376153603437e-06,2.99297164995955e-05,3.07103642776455e-05
595,3.32962267922085e-05,2.13625915313092e-06,2.92142710314893e-05,2.99621102548272e-05
600,3.25010930180662e-05,4.25388477443428e-06,2.88007087381504e-05,2.94786417359976e-05
605,3.14077840786205e-05,8.80001479273981e-06,2.84461663021702e-05,2.89887527650313e-05
610,2.99169082521037e-05,1.67315788789092e-05,2.81896301042152e-05,2.85060780091719e-05
615,2.83266407038191e-05,3.04829950795434e-05,2.8609123127039e-05,2.85573706220216e-05
620,2.67363731555346e-05,5.47658368430649e-05,3.0408232898601e-05,2.97355257701003e-05
625,2.48479304419466e-05,9.4430739704121e-05,3.39632784552915e-05,3.22932910329993e-05
630,2.29594877283587e-05,0.000147471310752459,3.92705365445159e-05,3.62822527919374e-05
635,2.10710450147707e-05,0.000187579362165944,4.28836345615744e-05,3.88874349499462e-05
640,1.9083210579415e-05,0.000117386163584033,3.196089742302e-05,2.96016265509091e-05
645,1.70953761440593e-05,4.64724845488808e-05,2.09437773450909e-05,2.02387267433752e-05
650,1.53063251522391e-05,1.89438898784352e-05,1.57828461313708e-05,1.56955445779421e-05
655,1.36166658821867e-05,8.13086024537204e-06,1.2898025343764e-05,1.30296846790476e-05
660,1.21257900556699e-05,4.00454530440262e-06,1.10619069932539e-05,1.12568168672843e-05
665,1.06349142291532e-05,2.22909513859073e-06,9.53375192828947e-06,9.73549158646297e-06
670,9.19373426352025e-06,1.30943906408036e-06,8.16089159239362e-06,8.35011467718018e-06
675,8.07060780754426e-06,7.6958754718131e-07,7.11417415343672e-06,7.28939863968543e-06
680,7.0269947289825e-06,4.93246575680633e-07,6.17107372089996e-06,6.3278836765792e-06
685,6.07283420001175e-06,3.2389756568738e-07,5.31972350091526e-06,5.45769798013904e-06
690,5.27770042586946e-06,2.56660549907083e-07,4.61994420211839e-06,4.74044915914149e-06
695,4.54220168478784e-06,1.74333341391882e-07,3.97001093180297e-06,4.07483977204447e-06
700,3.79676377152944e-06,1.52363623349772e-07,3.31934735211791e-06,3.40681295567422e-06
705,3.29980516269051e-06,1.55948740553444e-07,2.88795997139055e-06,2.96341252552184e-06
710,2.87242075908903e-06,1.08618701898293e-07,2.51036268959704e-06,2.57669393896962e-06
715,2.45497552766433e-06,5.24337101804453e-08,2.14024254957394e-06,2.19790355319355e-06
720,2.13692201800741e-06,6.26546305566521e-08,1.86519299025136e-06,1.91497540755018e-06
725,1.85862519705761e-06,1.31264027303931e-07,1.63234088381988e-06,1.67379755189396e-06
730,1.48093665434002e-06,1.10117320845106e-07,1.30135932165218e-06,1.33425898565606e-06
735,1.302031555158e-06,3.60480126797004e-08,1.13618771109335e-06,1.16657131611282e-06
740,1.07343059509209e-06,4.33860570946576e-08,9.3849476061443e-07,9.63215829526368e-07
745,9.06452502522213e-07,1.63845684755333e-08,7.89853603162098e-07,8.11215233579218e-07
750,8.47811386679219e-07,6.18143436609845e-08,7.4484577404383e-07,7.63709703076268e-07
755,7.41462244387687e-07,8.14328373332244e-08,6.54998392063552e-07,6.70839097832859e-07
760,6.82821128544693e-07,6.84632400392967e-08,6.02340245150486e-07,6.17084834474616e-07
765,5.14849118757134e-07,9.06938455624172e-09,4.48591973576817e-07,4.60730687197638e-07
770,5.09879532668745e-07,5.94359755196038e-08,4.50871426682207e-07,4.61682072053786e-07
775,3.62779784452421e-07,4.11893363149002e-08,3.20651435746405e-07,3.28369606501706e-07
780,0,5.61336584573849e-07,7.35350925791742e-08,6.00630145494018e-08
