"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0051","1.1546e-006",
"380.2","0.0045","1.0275e-006",
"380.4","0.0044","9.9723e-007",
"380.6","0.0037","8.4159e-007",
"380.8","0.0028","6.3401e-007",
"381.0","0.0026","5.8896e-007",
"381.2","0.0028","6.4491e-007",
"381.4","0.0028","6.4741e-007",
"381.6","0.0029","6.5990e-007",
"381.8","0.0037","8.4645e-007",
"382.0","0.0046","1.0377e-006",
"382.2","0.0042","9.6014e-007",
"382.4","0.0036","8.1174e-007",
"382.6","0.0036","8.1821e-007",
"382.8","0.0037","8.3834e-007",
"383.0","0.0034","7.7456e-007",
"383.2","0.0031","7.1297e-007",
"383.4","0.0031","7.0398e-007",
"383.6","0.0032","7.3706e-007",
"383.8","0.0036","8.1462e-007",
"384.0","0.0038","8.6894e-007",
"384.2","0.0038","8.6190e-007",
"384.4","0.0037","8.4209e-007",
"384.6","0.0036","8.1486e-007",
"384.8","0.0031","6.9738e-007",
"385.0","0.0022","5.0846e-007",
"385.2","0.0020","4.4820e-007",
"385.4","0.0022","5.1019e-007",
"385.6","0.0021","4.6930e-007",
"385.8","0.0015","3.4818e-007",
"386.0","0.0014","3.0917e-007",
"386.2","0.0017","3.7857e-007",
"386.4","0.0028","6.3739e-007",
"386.6","0.0039","8.9028e-007",
"386.8","0.0031","7.1048e-007",
"387.0","0.0018","4.0402e-007",
"387.2","0.0022","4.9632e-007",
"387.4","0.0029","6.5683e-007",
"387.6","0.0019","4.3541e-007",
"387.8","0.0008","1.8362e-007",
"388.0","0.0009","2.1558e-007",
"388.2","0.0015","3.4603e-007",
"388.4","0.0023","5.2637e-007",
"388.6","0.0027","6.1264e-007",
"388.8","0.0021","4.6676e-007",
"389.0","0.0015","3.4586e-007",
"389.2","0.0017","3.8135e-007",
"389.4","0.0022","4.9994e-007",
"389.6","0.0029","6.6739e-007",
"389.8","0.0031","7.0571e-007",
"390.0","0.0025","5.6161e-007",
"390.2","0.0017","3.9511e-007",
"390.4","0.0012","2.7740e-007",
"390.6","0.0013","2.8714e-007",
"390.8","0.0017","3.8793e-007",
"391.0","0.0016","3.6500e-007",
"391.2","0.0012","2.7816e-007",
"391.4","0.0019","4.2227e-007",
"391.6","0.0029","6.5776e-007",
"391.8","0.0027","6.2356e-007",
"392.0","0.0020","4.5299e-007",
"392.2","0.0018","4.0000e-007",
"392.4","0.0019","4.2104e-007",
"392.6","0.0021","4.7430e-007",
"392.8","0.0023","5.2613e-007",
"393.0","0.0023","5.2068e-007",
"393.2","0.0022","5.0958e-007",
"393.4","0.0024","5.4243e-007",
"393.6","0.0025","5.6757e-007",
"393.8","0.0024","5.5195e-007",
"394.0","0.0023","5.1297e-007",
"394.2","0.0020","4.5333e-007",
"394.4","0.0017","3.9770e-007",
"394.6","0.0016","3.6435e-007",
"394.8","0.0016","3.7474e-007",
"395.0","0.0019","4.3555e-007",
"395.2","0.0022","4.9699e-007",
"395.4","0.0023","5.2886e-007",
"395.6","0.0021","4.7397e-007",
"395.8","0.0016","3.5663e-007",
"396.0","0.0016","3.6319e-007",
"396.2","0.0021","4.7530e-007",
"396.4","0.0021","4.8013e-007",
"396.6","0.0018","4.1377e-007",
"396.8","0.0021","4.7593e-007",
"397.0","0.0026","5.9079e-007",
"397.2","0.0024","5.4304e-007",
"397.4","0.0019","4.3147e-007",
"397.6","0.0020","4.5951e-007",
"397.8","0.0023","5.2516e-007",
"398.0","0.0021","4.7161e-007",
"398.2","0.0018","4.0050e-007",
"398.4","0.0019","4.2537e-007",
"398.6","0.0021","4.6981e-007",
"398.8","0.0021","4.7711e-007",
"399.0","0.0021","4.8087e-007",
"399.2","0.0022","4.9229e-007",
"399.4","0.0023","5.3125e-007",
"399.6","0.0027","6.1728e-007",
"399.8","0.0030","6.7640e-007",
"400.0","0.0029","6.6787e-007",
"400.2","0.0027","6.0951e-007",
"400.4","0.0023","5.1652e-007",
"400.6","0.0021","4.8501e-007",
"400.8","0.0023","5.2885e-007",
"401.0","0.0022","4.9438e-007",
"401.2","0.0017","3.8975e-007",
"401.4","0.0019","4.3637e-007",
"401.6","0.0027","6.0406e-007",
"401.8","0.0029","6.4908e-007",
"402.0","0.0026","5.8569e-007",
"402.2","0.0024","5.3715e-007",
"402.4","0.0023","5.2553e-007",
"402.6","0.0026","5.8077e-007",
"402.8","0.0029","6.5990e-007",
"403.0","0.0031","6.9797e-007",
"403.2","0.0031","6.9328e-007",
"403.4","0.0027","6.1522e-007",
"403.6","0.0024","5.3806e-007",
"403.8","0.0024","5.5472e-007",
"404.0","0.0027","6.1586e-007",
"404.2","0.0031","7.1435e-007",
"404.4","0.0034","7.6701e-007",
"404.6","0.0030","6.7914e-007",
"404.8","0.0027","6.2402e-007",
"405.0","0.0031","7.1380e-007",
"405.2","0.0035","8.0157e-007",
"405.4","0.0036","8.2086e-007",
"405.6","0.0037","8.3128e-007",
"405.8","0.0037","8.4844e-007",
"406.0","0.0037","8.4507e-007",
"406.2","0.0036","8.1824e-007",
"406.4","0.0035","7.9256e-007",
"406.6","0.0034","7.8114e-007",
"406.8","0.0035","7.9956e-007",
"407.0","0.0037","8.4504e-007",
"407.2","0.0040","9.0439e-007",
"407.4","0.0042","9.5590e-007",
"407.6","0.0042","9.4463e-007",
"407.8","0.0040","9.0132e-007",
