"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0058","6.3614e-007",
"380.2","0.0042","4.6160e-007",
"380.4","0.0051","5.5237e-007",
"380.6","0.0034","3.7283e-007",
"380.8","0.0006","6.3380e-008",
"381.0","0.0011","1.2403e-007",
"381.2","0.0036","3.9062e-007",
"381.4","0.0045","4.9201e-007",
"381.6","0.0044","4.7801e-007",
"381.8","0.0040","4.4246e-007",
"382.0","0.0037","4.0003e-007",
"382.2","0.0034","3.7473e-007",
"382.4","0.0033","3.5722e-007",
"382.6","0.0031","3.3345e-007",
"382.8","0.0031","3.3395e-007",
"383.0","0.0037","4.0092e-007",
"383.2","0.0041","4.4756e-007",
"383.4","0.0037","4.0464e-007",
"383.6","0.0030","3.3098e-007",
"383.8","0.0023","2.5006e-007",
"384.0","0.0023","2.4736e-007",
"384.2","0.0033","3.6386e-007",
"384.4","0.0041","4.4360e-007",
"384.6","0.0039","4.2759e-007",
"384.8","0.0035","3.7826e-007",
"385.0","0.0030","3.2500e-007",
"385.2","0.0031","3.3380e-007",
"385.4","0.0035","3.7975e-007",
"385.6","0.0027","2.9108e-007",
"385.8","0.0010","1.0735e-007",
"386.0","0.0000","0.0000e+000",
"386.2","0.0000","1.6075e-009",
"386.4","0.0018","2.0009e-007",
"386.6","0.0039","4.2153e-007",
"386.8","0.0026","2.8404e-007",
"387.0","0.0006","6.3616e-008",
"387.2","0.0024","2.6000e-007",
"387.4","0.0046","5.0496e-007",
"387.6","0.0026","2.8412e-007",
"387.8","0.0000","0.0000e+000",
"388.0","0.0000","3.8409e-009",
"388.2","0.0010","1.1179e-007",
"388.4","0.0026","2.8888e-007",
"388.6","0.0033","3.5828e-007",
"388.8","0.0014","1.5555e-007",
"389.0","0.0004","3.9412e-008",
"389.2","0.0018","1.9364e-007",
"389.4","0.0028","3.0693e-007",
"389.6","0.0024","2.6128e-007",
"389.8","0.0017","1.8679e-007",
"390.0","0.0011","1.2102e-007",
"390.2","0.0006","6.0762e-008",
"390.4","0.0001","1.5071e-008",
"390.6","0.0000","0.0000e+000",
"390.8","0.0000","0.0000e+000",
"391.0","0.0000","0.0000e+000",
"391.2","0.0000","0.0000e+000",
"391.4","0.0008","8.3894e-008",
"391.6","0.0019","2.0651e-007",
"391.8","0.0019","2.0997e-007",
"392.0","0.0013","1.3759e-007",
"392.2","0.0005","5.0648e-008",
"392.4","0.0000","1.0786e-009",
"392.6","0.0009","9.5246e-008",
"392.8","0.0019","2.1071e-007",
"393.0","0.0017","1.8572e-007",
"393.2","0.0014","1.5400e-007",
"393.4","0.0023","2.4810e-007",
"393.6","0.0028","3.0597e-007",
"393.8","0.0019","2.0629e-007",
"394.0","0.0008","9.2618e-008",
"394.2","0.0003","3.7792e-008",
"394.4","0.0001","7.4649e-009",
"394.6","0.0000","0.0000e+000",
"394.8","0.0001","6.0277e-009",
"395.0","0.0003","2.7368e-008",
"395.2","0.0003","3.1522e-008",
"395.4","0.0001","1.1119e-008",
"395.6","0.0000","0.0000e+000",
"395.8","0.0000","0.0000e+000",
"396.0","0.0006","6.1090e-008",
"396.2","0.0016","1.7149e-007",
"396.4","0.0013","1.4265e-007",
"396.6","0.0003","2.8260e-008",
"396.8","0.0005","5.0456e-008",
"397.0","0.0013","1.4206e-007",
"397.2","0.0010","1.0472e-007",
"397.4","0.0001","1.3504e-008",
"397.6","0.0002","1.9443e-008",
"397.8","0.0006","6.2328e-008",
"398.0","0.0006","6.1167e-008",
"398.2","0.0004","4.3945e-008",
"398.4","0.0002","2.5558e-008",
"398.6","0.0002","2.2780e-008",
"398.8","0.0006","6.8988e-008",
"399.0","0.0009","1.0136e-007",
"399.2","0.0006","6.2800e-008",
"399.4","0.0007","7.2717e-008",
"399.6","0.0019","2.1008e-007",
"399.8","0.0027","2.9153e-007",
"400.0","0.0021","2.2680e-007",
"400.2","0.0012","1.2865e-007",
"400.4","0.0005","4.9300e-008",
"400.6","0.0006","6.8522e-008",
"400.8","0.0017","1.8532e-007",
"401.0","0.0017","1.8352e-007",
"401.2","0.0005","5.2302e-008",
"401.4","0.0002","1.7670e-008",
"401.6","0.0008","8.4105e-008",
"401.8","0.0010","1.1173e-007",
"402.0","0.0008","9.1394e-008",
"402.2","0.0004","4.9017e-008",
"402.4","0.0001","7.1703e-009",
"402.6","0.0000","4.8357e-009",
"402.8","0.0003","3.5293e-008",
"403.0","0.0009","1.0120e-007",
"403.2","0.0015","1.5860e-007",
"403.4","0.0012","1.3453e-007",
"403.6","0.0007","7.8041e-008",
"403.8","0.0002","2.3186e-008",
"404.0","0.0000","2.0077e-009",
"404.2","0.0008","8.4011e-008",
"404.4","0.0013","1.4182e-007",
"404.6","0.0006","6.5841e-008",
"404.8","0.0002","1.6655e-008",
"405.0","0.0009","9.3040e-008",
"405.2","0.0014","1.5254e-007",
"405.4","0.0012","1.2927e-007",
"405.6","0.0009","9.8317e-008",
"405.8","0.0008","8.5350e-008",
"406.0","0.0007","7.3502e-008",
"406.2","0.0006","6.3260e-008",
"406.4","0.0007","7.3986e-008",
"406.6","0.0009","1.0072e-007",
"406.8","0.0009","9.5848e-008",
"407.0","0.0006","6.4057e-008",
"407.2","0.0006","6.2748e-008",
"407.4","0.0007","8.1027e-008",
"407.6","0.0005","5.3559e-008",
"407.8","0.0001","1.2709e-008",
"408.0","0.0004","4.9168e-008",
"408.2","0.0011","1.2063e-007",
"408.4","0.0013","1.4550e-007",
"408.6","0.0013","1.4010e-007",
"408.8","0.0011","1.2423e-007",
"409.0","0.0009","1.0183e-007",
"409.2","0.0007","7.2298e-008",
"409.4","0.0005","5.7069e-008",
"409.6","0.0009","9.6475e-008",
"409.8","0.0011","1.2317e-007",
"410.0","0.0007","7.8053e-008",
"410.2","0.0003","3.1210e-008",
"410.4","0.0002","2.2629e-008",
"410.6","0.0003","3.0044e-008",
"410.8","0.0004","4.7786e-008",
"411.0","0.0006","6.2189e-008",
"411.2","0.0006","6.3931e-008",
"411.4","0.0005","4.9683e-008",
"411.6","0.0002","2.2787e-008",
"411.8","0.0002","2.2966e-008",
"412.0","0.0005","5.2583e-008",
"412.2","0.0005","5.3102e-008",
"412.4","0.0002","2.6468e-008",
"412.6","0.0003","3.7227e-008",
"412.8","0.0007","7.6342e-008",
"413.0","0.0007","8.0059e-008",
"413.2","0.0006","6.0689e-008",
"413.4","0.0006","7.0723e-008",
"413.6","0.0009","9.4809e-008",
"413.8","0.0008","9.0248e-008",
"414.0","0.0007","8.0377e-008",
"414.2","0.0011","1.1548e-007",
"414.4","0.0014","1.5234e-007",
"414.6","0.0011","1.2208e-007",
"414.8","0.0007","8.0120e-008",
"415.0","0.0008","8.6983e-008",
"415.2","0.0010","1.0406e-007",
"415.4","0.0010","1.0712e-007",
"415.6","0.0010","1.1032e-007",
"415.8","0.0011","1.2186e-007",
"416.0","0.0010","1.1253e-007",
"416.2","0.0006","6.1491e-008",
"416.4","0.0003","3.5221e-008",
"416.6","0.0006","6.6290e-008",
"416.8","0.0006","6.8552e-008",
"417.0","0.0002","1.8097e-008",
"417.2","0.0003","2.9868e-008",
"417.4","0.0011","1.1796e-007",
"417.6","0.0012","1.2642e-007",
"417.8","0.0004","4.0257e-008",
"418.0","0.0000","0.0000e+000",
"418.2","0.0000","0.0000e+000",
