"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0012","2.9621e-007",
"380.2","0.0004","9.0977e-008",
"380.4","0.0001","1.3899e-008",
"380.6","0.0000","0.0000e+000",
"380.8","0.0000","0.0000e+000",
"381.0","0.0005","1.1701e-007",
"381.2","0.0012","3.0631e-007",
"381.4","0.0016","3.8865e-007",
"381.6","0.0016","4.0243e-007",
"381.8","0.0017","4.2846e-007",
"382.0","0.0018","4.3030e-007",
"382.2","0.0014","3.3316e-007",
"382.4","0.0009","2.2892e-007",
"382.6","0.0009","2.1999e-007",
"382.8","0.0011","2.7629e-007",
"383.0","0.0017","4.2520e-007",
"383.2","0.0022","5.3808e-007",
"383.4","0.0020","4.9647e-007",
"383.6","0.0017","4.2323e-007",
"383.8","0.0015","3.7525e-007",
"384.0","0.0015","3.7564e-007",
"384.2","0.0018","4.4269e-007",
"384.4","0.0021","5.1952e-007",
"384.6","0.0023","5.6132e-007",
"384.8","0.0017","4.2214e-007",
"385.0","0.0005","1.2420e-007",
"385.2","0.0000","7.3018e-009",
"385.4","0.0004","8.8416e-008",
"385.6","0.0004","9.7656e-008",
"385.8","0.0001","2.4806e-008",
"386.0","0.0000","0.0000e+000",
"386.2","0.0000","0.0000e+000",
"386.4","0.0007","1.6043e-007",
"386.6","0.0015","3.5701e-007",
"386.8","0.0009","2.3159e-007",
"387.0","0.0001","2.1168e-008",
"387.2","0.0006","1.3895e-007",
"387.4","0.0013","3.1322e-007",
"387.6","0.0007","1.8280e-007",
"387.8","0.0000","0.0000e+000",
"388.0","0.0000","0.0000e+000",
"388.2","0.0000","7.8290e-009",
"388.4","0.0005","1.1844e-007",
"388.6","0.0007","1.8321e-007",
"388.8","0.0004","1.0432e-007",
"389.0","0.0001","3.2629e-008",
"389.2","0.0002","4.1743e-008",
"389.4","0.0004","9.8149e-008",
"389.6","0.0008","1.8774e-007",
"389.8","0.0009","2.1934e-007",
"390.0","0.0007","1.6318e-007",
"390.2","0.0004","8.8226e-008",
"390.4","0.0001","2.3526e-008",
"390.6","0.0000","0.0000e+000",
"390.8","0.0000","0.0000e+000",
"391.0","0.0000","0.0000e+000",
"391.2","0.0000","0.0000e+000",
"391.4","0.0004","8.8425e-008",
"391.6","0.0009","2.0934e-007",
"391.8","0.0007","1.7047e-007",
"392.0","0.0002","5.1897e-008",
"392.2","0.0000","0.0000e+000",
"392.4","0.0000","0.0000e+000",
"392.6","0.0003","7.5931e-008",
"392.8","0.0006","1.5466e-007",
"393.0","0.0005","1.2225e-007",
"393.2","0.0003","6.8386e-008",
"393.4","0.0003","6.1500e-008",
"393.6","0.0003","6.9561e-008",
"393.8","0.0004","8.7577e-008",
"394.0","0.0003","8.4868e-008",
"394.2","0.0001","3.6094e-008",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0000","0.0000e+000",
"395.0","0.0000","0.0000e+000",
"395.2","0.0000","0.0000e+000",
"395.4","0.0000","0.0000e+000",
"395.6","0.0000","0.0000e+000",
"395.8","0.0000","0.0000e+000",
"396.0","0.0000","0.0000e+000",
"396.2","0.0000","0.0000e+000",
"396.4","0.0000","4.4400e-009",
"396.6","0.0001","2.3865e-008",
"396.8","0.0004","8.7207e-008",
"397.0","0.0006","1.5047e-007",
"397.2","0.0004","1.0166e-007",
"397.4","0.0001","1.2647e-008",
"397.6","0.0001","2.7325e-008",
"397.8","0.0003","7.3645e-008",
"398.0","0.0002","4.6194e-008",
"398.2","0.0000","1.4256e-009",
"398.4","0.0000","0.0000e+000",
"398.6","0.0000","0.0000e+000",
"398.8","0.0000","0.0000e+000",
"399.0","0.0000","7.2601e-010",
"399.2","0.0001","1.2757e-008",
"399.4","0.0002","3.8249e-008",
"399.6","0.0003","8.2005e-008",
"399.8","0.0005","1.1806e-007",
"400.0","0.0005","1.3126e-007",
"400.2","0.0005","1.2140e-007",
"400.4","0.0004","9.1427e-008",
"400.6","0.0003","8.5798e-008",
"400.8","0.0004","1.0941e-007",
"401.0","0.0004","9.0362e-008",
"401.2","0.0001","2.6793e-008",
