"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0065","6.1029e-007",
"380.2","0.0069","6.4289e-007",
"380.4","0.0077","7.1570e-007",
"380.6","0.0072","6.6949e-007",
"380.8","0.0059","5.5295e-007",
"381.0","0.0057","5.3407e-007",
"381.2","0.0061","5.7191e-007",
"381.4","0.0060","5.5920e-007",
"381.6","0.0057","5.3271e-007",
"381.8","0.0062","5.7803e-007",
"382.0","0.0067","6.2350e-007",
"382.2","0.0058","5.4339e-007",
"382.4","0.0049","4.5367e-007",
"382.6","0.0054","5.0095e-007",
"382.8","0.0061","5.6752e-007",
"383.0","0.0062","5.7922e-007",
"383.2","0.0060","5.6418e-007",
"383.4","0.0056","5.2190e-007",
"383.6","0.0051","4.8111e-007",
"383.8","0.0049","4.6006e-007",
"384.0","0.0052","4.8508e-007",
"384.2","0.0060","5.6478e-007",
"384.4","0.0062","5.8243e-007",
"384.6","0.0054","5.0156e-007",
"384.8","0.0048","4.4897e-007",
"385.0","0.0049","4.5779e-007",
"385.2","0.0051","4.7714e-007",
"385.4","0.0053","4.9494e-007",
"385.6","0.0054","5.0883e-007",
"385.8","0.0055","5.1404e-007",
"386.0","0.0054","5.0370e-007",
"386.2","0.0052","4.8321e-007",
"386.4","0.0049","4.5937e-007",
"386.6","0.0048","4.4585e-007",
"386.8","0.0051","4.7891e-007",
"387.0","0.0055","5.1489e-007",
"387.2","0.0051","4.7378e-007",
"387.4","0.0045","4.1741e-007",
"387.6","0.0047","4.3467e-007",
"387.8","0.0049","4.5394e-007",
"388.0","0.0042","3.9425e-007",
"388.2","0.0038","3.5078e-007",
"388.4","0.0042","3.9694e-007",
"388.6","0.0047","4.3683e-007",
"388.8","0.0044","4.1303e-007",
"389.0","0.0042","3.9101e-007",
"389.2","0.0043","3.9886e-007",
"389.4","0.0044","4.0874e-007",
"389.6","0.0044","4.1278e-007",
"389.8","0.0046","4.2878e-007",
"390.0","0.0049","4.5603e-007",
"390.2","0.0049","4.5355e-007",
"390.4","0.0045","4.2170e-007",
"390.6","0.0045","4.1916e-007",
"390.8","0.0047","4.4286e-007",
"391.0","0.0047","4.3522e-007",
"391.2","0.0043","4.0420e-007",
"391.4","0.0043","3.9843e-007",
"391.6","0.0044","4.0893e-007",
"391.8","0.0043","4.0479e-007",
"392.0","0.0042","3.9493e-007",
"392.2","0.0043","3.9910e-007",
"392.4","0.0044","4.0950e-007",
"392.6","0.0045","4.1916e-007",
"392.8","0.0045","4.2089e-007",
"393.0","0.0043","3.9803e-007",
"393.2","0.0040","3.7787e-007",
"393.4","0.0042","3.9164e-007",
"393.6","0.0043","4.0143e-007",
"393.8","0.0041","3.7909e-007",
"394.0","0.0039","3.6008e-007",
"394.2","0.0039","3.6313e-007",
"394.4","0.0040","3.7395e-007",
"394.6","0.0041","3.8749e-007",
"394.8","0.0043","3.9978e-007",
"395.0","0.0044","4.0686e-007",
"395.2","0.0043","3.9934e-007",
"395.4","0.0040","3.7837e-007",
"395.6","0.0040","3.7368e-007",
"395.8","0.0042","3.8850e-007",
"396.0","0.0043","3.9870e-007",
"396.2","0.0043","4.0044e-007",
"396.4","0.0043","3.9862e-007",
"396.6","0.0043","3.9815e-007",
"396.8","0.0044","4.1310e-007",
"397.0","0.0046","4.3256e-007",
"397.2","0.0046","4.2998e-007",
"397.4","0.0045","4.1666e-007",
"397.6","0.0044","4.1286e-007",
"397.8","0.0045","4.1607e-007",
"398.0","0.0046","4.2588e-007",
"398.2","0.0047","4.3528e-007",
"398.4","0.0046","4.3257e-007",
"398.6","0.0046","4.3181e-007",
"398.8","0.0048","4.4929e-007",
"399.0","0.0049","4.6187e-007",
"399.2","0.0048","4.5058e-007",
"399.4","0.0048","4.4812e-007",
"399.6","0.0051","4.7510e-007",
"399.8","0.0053","4.9357e-007",
"400.0","0.0052","4.8552e-007",
"400.2","0.0050","4.7002e-007",
"400.4","0.0049","4.5591e-007",
"400.6","0.0049","4.5880e-007",
"400.8","0.0052","4.8212e-007",
"401.0","0.0054","5.0408e-007",
"401.2","0.0056","5.1867e-007",
"401.4","0.0057","5.3332e-007",
"401.6","0.0058","5.4406e-007",
"401.8","0.0057","5.3396e-007",
"402.0","0.0055","5.1397e-007",
"402.2","0.0055","5.1645e-007",
"402.4","0.0057","5.3429e-007",
"402.6","0.0058","5.4528e-007",
"402.8","0.0059","5.5432e-007",
"403.0","0.0061","5.7337e-007",
"403.2","0.0063","5.9253e-007",
"403.4","0.0064","5.9483e-007",
"403.6","0.0063","5.9252e-007",
"403.8","0.0064","5.9700e-007",
"404.0","0.0065","6.0756e-007",
"404.2","0.0067","6.3061e-007",
"404.4","0.0069","6.4857e-007",
"404.6","0.0069","6.4459e-007",
"404.8","0.0069","6.4624e-007",
"405.0","0.0072","6.7042e-007",
"405.2","0.0074","6.9481e-007",
"405.4","0.0076","7.0915e-007",
"405.6","0.0077","7.1647e-007",
"405.8","0.0077","7.1859e-007",
"406.0","0.0078","7.3284e-007",
"406.2","0.0082","7.6405e-007",
"406.4","0.0085","7.9634e-007",
"406.6","0.0088","8.2346e-007",
"406.8","0.0090","8.3685e-007",
"407.0","0.0090","8.3972e-007",
"407.2","0.0091","8.5227e-007",
"407.4","0.0093","8.7185e-007",
"407.6","0.0094","8.8032e-007",
"407.8","0.0095","8.8523e-007",
"408.0","0.0097","9.0564e-007",
"408.2","0.0100","9.3658e-007",
"408.4","0.0104","9.6824e-007",
"408.6","0.0106","9.9517e-007",
"408.8","0.0108","1.0058e-006",
"409.0","0.0108","1.0123e-006",
"409.2","0.0110","1.0292e-006",
"409.4","0.0113","1.0535e-006",
"409.6","0.0117","1.0895e-006",
"409.8","0.0120","1.1254e-006",
"410.0","0.0123","1.1501e-006",
"410.2","0.0125","1.1697e-006",
"410.4","0.0127","1.1862e-006",
"410.6","0.0129","1.2046e-006",
"410.8","0.0131","1.2279e-006",
"411.0","0.0134","1.2539e-006",
"411.2","0.0137","1.2828e-006",
"411.4","0.0140","1.3118e-006",
"411.6","0.0143","1.3402e-006",
"411.8","0.0147","1.3778e-006",
"412.0","0.0152","1.4229e-006",
"412.2","0.0155","1.4525e-006",
"412.4","0.0157","1.4692e-006",
"412.6","0.0160","1.4977e-006",
"412.8","0.0165","1.5394e-006",
"413.0","0.0170","1.5890e-006",
"413.2","0.0176","1.6412e-006",
"413.4","0.0181","1.6868e-006",
"413.6","0.0185","1.7292e-006",
"413.8","0.0190","1.7783e-006",
"414.0","0.0195","1.8266e-006",
"414.2","0.0199","1.8599e-006",
"414.4","0.0203","1.8936e-006",
"414.6","0.0209","1.9524e-006",
"414.8","0.0216","2.0184e-006",
"415.0","0.0222","2.0770e-006",
"415.2","0.0228","2.1267e-006",
"415.4","0.0230","2.1529e-006",
"415.6","0.0235","2.1944e-006",
"415.8","0.0244","2.2843e-006",
"416.0","0.0254","2.3709e-006",
"416.2","0.0259","2.4227e-006",
"416.4","0.0264","2.4670e-006",
"416.6","0.0269","2.5161e-006",
"416.8","0.0275","2.5685e-006",
"417.0","0.0281","2.6302e-006",
"417.2","0.0289","2.7019e-006",
"417.4","0.0298","2.7852e-006",
"417.6","0.0306","2.8599e-006",
"417.8","0.0313","2.9272e-006",
"418.0","0.0323","3.0150e-006",
"418.2","0.0333","3.1163e-006",
"418.4","0.0340","3.1805e-006",
"418.6","0.0345","3.2217e-006",
"418.8","0.0353","3.3033e-006",
"419.0","0.0365","3.4065e-006",
"419.2","0.0373","3.4846e-006",
"419.4","0.0379","3.5452e-006",
"419.6","0.0386","3.6103e-006",
"419.8","0.0394","3.6850e-006",
"420.0","0.0405","3.7842e-006",
"420.2","0.0416","3.8907e-006",
"420.4","0.0427","3.9858e-006",
"420.6","0.0437","4.0806e-006",
"420.8","0.0448","4.1846e-006",
"421.0","0.0460","4.2968e-006",
"421.2","0.0473","4.4215e-006",
"421.4","0.0486","4.5381e-006",
"421.6","0.0495","4.6241e-006",
"421.8","0.0506","4.7280e-006",
"422.0","0.0522","4.8745e-006",
"422.2","0.0536","5.0077e-006",
"422.4","0.0547","5.1080e-006",
"422.6","0.0561","5.2433e-006",
"422.8","0.0581","5.4304e-006",
"423.0","0.0598","5.5927e-006",
"423.2","0.0611","5.7141e-006",
"423.4","0.0627","5.8600e-006",
"423.6","0.0646","6.0360e-006",
"423.8","0.0665","6.2125e-006",
"424.0","0.0683","6.3810e-006",
"424.2","0.0699","6.5318e-006",
"424.4","0.0714","6.6765e-006",
"424.6","0.0733","6.8500e-006",
"424.8","0.0754","7.0493e-006",
"425.0","0.0777","7.2625e-006",
"425.2","0.0801","7.4826e-006",
"425.4","0.0824","7.6971e-006",
"425.6","0.0846","7.9057e-006",
"425.8","0.0870","8.1300e-006",
"426.0","0.0894","8.3559e-006",
"426.2","0.0914","8.5375e-006",
"426.4","0.0935","8.7370e-006",
"426.6","0.0963","8.9986e-006",
"426.8","0.0993","9.2754e-006",
"427.0","0.1020","9.5342e-006",
"427.2","0.1046","9.7782e-006",
"427.4","0.1070","1.0001e-005",
"427.6","0.1095","1.0236e-005",
"427.8","0.1125","1.0511e-005",
"428.0","0.1155","1.0793e-005",
"428.2","0.1186","1.1087e-005",
"428.4","0.1217","1.1372e-005",
"428.6","0.1245","1.1638e-005",
"428.8","0.1274","1.1904e-005",
"429.0","0.1302","1.2168e-005",
"429.2","0.1332","1.2445e-005",
"429.4","0.1362","1.2729e-005",
"429.6","0.1398","1.3067e-005",
"429.8","0.1437","1.3429e-005",
"430.0","0.1474","1.3772e-005",
"430.2","0.1507","1.4079e-005",
"430.4","0.1541","1.4401e-005",
"430.6","0.1577","1.4739e-005",
"430.8","0.1614","1.5081e-005",
"431.0","0.1652","1.5439e-005",
"431.2","0.1692","1.5809e-005",
"431.4","0.1732","1.6181e-005",
"431.6","0.1773","1.6569e-005",
"431.8","0.1814","1.6948e-005",
"432.0","0.1849","1.7277e-005",
"432.2","0.1883","1.7599e-005",
"432.4","0.1927","1.8006e-005",
"432.6","0.1972","1.8430e-005",
"432.8","0.2014","1.8824e-005",
"433.0","0.2060","1.9250e-005",
"433.2","0.2109","1.9708e-005",
"433.4","0.2157","2.0159e-005",
"433.6","0.2204","2.0593e-005",
"433.8","0.2253","2.1051e-005",
"434.0","0.2308","2.1563e-005",
"434.2","0.2362","2.2076e-005",
"434.4","0.2417","2.2584e-005",
"434.6","0.2473","2.3110e-005",
"434.8","0.2532","2.3660e-005",
"435.0","0.2591","2.4213e-005",
"435.2","0.2652","2.4779e-005",
"435.4","0.2714","2.5363e-005",
"435.6","0.2775","2.5936e-005",
"435.8","0.2846","2.6600e-005",
"436.0","0.2927","2.7349e-005",
"436.2","0.3008","2.8106e-005",
"436.4","0.3090","2.8875e-005",
"436.6","0.3177","2.9693e-005",
"436.8","0.3264","3.0504e-005",
"437.0","0.3353","3.1334e-005",
"437.2","0.3443","3.2173e-005",
"437.4","0.3542","3.3103e-005",
"437.6","0.3642","3.4035e-005",
"437.8","0.3741","3.4955e-005",
"438.0","0.3843","3.5916e-005",
"438.2","0.3961","3.7013e-005",
"438.4","0.4086","3.8180e-005",
"438.6","0.4206","3.9304e-005",
"438.8","0.4332","4.0485e-005",
"439.0","0.4463","4.1707e-005",
"439.2","0.4595","4.2941e-005",
"439.4","0.4732","4.4219e-005",
"439.6","0.4878","4.5586e-005",
"439.8","0.5032","4.7020e-005",
"440.0","0.5191","4.8508e-005",
"440.2","0.5348","4.9976e-005",
"440.4","0.5511","5.1501e-005",
"440.6","0.5684","5.3118e-005",
"440.8","0.5854","5.4705e-005",
"441.0","0.6028","5.6332e-005",
"441.2","0.6204","5.7973e-005",
"441.4","0.6384","5.9657e-005",
"441.6","0.6560","6.1306e-005",
"441.8","0.6741","6.2990e-005",
"442.0","0.6932","6.4779e-005",
"442.2","0.7131","6.6640e-005",
"442.4","0.7305","6.8262e-005",
"442.6","0.7458","6.9697e-005",
"442.8","0.7634","7.1342e-005",
"443.0","0.7818","7.3058e-005",
"443.2","0.8007","7.4824e-005",
"443.4","0.8188","7.6516e-005",
"443.6","0.8355","7.8075e-005",
"443.8","0.8523","7.9645e-005",
"444.0","0.8699","8.1293e-005",
"444.2","0.8869","8.2883e-005",
"444.4","0.9012","8.4218e-005",
