wavelength_nm,S_single_white_W_nm,S_RGB_target_W_nm,S_best_Ra_single_white_W_nm,S_best_Ra_RGB_point_W_nm,S_best_Ra_blend_W_nm,S_best_Rmin8_single_white_W_nm,S_best_Rmin8_RGB_point_W_nm,S_best_Rmin8_blend_W_nm
380,3.66373727932978e-07,8.366781102569e-07,3.31350816741507e-07,8.45920347453366e-08,4.15942851486843e-07,3.35040184961424e-07,7.62180627330714e-08,4.11258247694495e-07
380.2,1.3847399157599e-08,4.24429874662812e-07,1.25236791581722e-08,3.39587853568235e-08,4.64824645149957e-08,1.26631218924228e-08,2.96111527122183e-08,4.22742746046411e-08
380.4,2.30821213723314e-07,1.41942116460982e-06,2.08756228564722e-07,1.15675770334758e-07,3.2443199889948e-07,2.11080588597844e-07,1.01159443283559e-07,3.12240031881403e-07
380.6,1.46837747450086e-07,1.3094207633589e-06,1.32801027575235e-07,1.12334966644043e-07,2.45135994219278e-07,1.34279677591935e-07,9.9006222389402e-08,2.33285899981337e-07
380.8,0,4.29398299371896e-07,0,4.84807687508075e-08,4.84807687508075e-08,0,4.42395085489981e-08,4.42395085489981e-08
381,7.41193364778966e-07,5.84750337188656e-07,6.70340169226936e-07,6.9441834046558e-08,7.39782003273494e-07,6.77803955618654e-07,6.37042208617121e-08,7.41508176480366e-07
381.2,1.75303054793423e-06,1.25802956134666e-06,1.58545239340163e-06,1.29382113392153e-07,1.71483450679378e-06,1.60310533819268e-06,1.16815384066049e-07,1.71992072225873e-06
381.4,1.29621641312558e-06,8.56285725575608e-07,1.17230667598928e-06,8.42277578319687e-08,1.25653443382125e-06,1.18535952142036e-06,7.56314122483411e-08,1.26099093366871e-06
381.6,1.82134728555824e-07,9.68559048403811e-08,1.64723850163746e-07,8.84148430937885e-09,1.73565334473125e-07,1.66557939313828e-07,7.86150300378024e-09,1.74419442317609e-07
381.8,0,4.72831348291039e-07,0,5.81027677365603e-08,5.81027677365603e-08,0,5.34850442613751e-08,5.34850442613751e-08
382,0,1.07177715528466e-06,0,1.34504239847585e-07,1.34504239847585e-07,0,1.24068337073576e-07,1.24068337073576e-07
382.2,6.82144066457117e-07,8.0581243248983e-07,6.16935594239134e-07,1.06860395735446e-07,7.23795989974579e-07,6.23804756649852e-07,9.9078035465425e-08,7.22882792115277e-07
382.4,1.42254472647462e-06,3.81430505447477e-07,1.28655883604983e-06,6.13292897114682e-08,1.3478881257613e-06,1.30088380234825e-06,5.77651782235083e-08,1.35864898057176e-06
382.6,1.53871200606313e-06,9.59915973915998e-07,1.3916212901386e-06,1.14310196504317e-07,1.50593148664292e-06,1.40711605611651e-06,1.04894945585546e-07,1.51201100170205e-06
382.8,1.39885006051389e-06,1.38352779376652e-06,1.26512922382627e-06,1.53701309734022e-07,1.41883053356029e-06,1.27921558582282e-06,1.40008019972972e-07,1.41922360579579e-06
383,1.09149680527507e-06,7.51488656572495e-07,9.87156911984699e-07,1.00084099270583e-07,1.08724101125528e-06,9.98148239469457e-07,9.28311481668178e-08,1.09097938763627e-06
383.2,1.06359359767168e-06,6.59655191110717e-07,9.61921066933104e-07,9.06204746005646e-08,1.05254154153367e-06,9.72631410276486e-07,8.42846562079397e-08,1.05691606648443e-06
383.4,1.79626898946841e-06,3.01304594814427e-06,1.62455752519646e-06,3.03175530098574e-07,1.92773305529503e-06,1.64264587929749e-06,2.73002947761978e-07,1.91564882705947e-06
383.6,2.22144699788788e-06,4.6964356234092e-06,2.00909132117893e-06,4.51528889753576e-07,2.46062021093251e-06,2.03146120016146e-06,4.04264711703039e-07,2.4357259118645e-06
383.8,1.72088997306049e-06,4.01866549406342e-06,1.55638424543414e-06,3.80957930188244e-07,1.93734217562239e-06,1.57371353597144e-06,3.40454506018376e-07,1.91416804198982e-06
384,1.14210019468391e-06,2.73273511941011e-06,1.03292295122858e-06,2.6308795515437e-07,1.29601090638295e-06,1.04442385274245e-06,2.35590096987562e-07,1.28001394973002e-06
384.2,8.16212060840774e-07,1.49127277265033e-06,7.38187572890963e-07,1.62375939691659e-07,9.00563512582621e-07,7.464067944355e-07,1.47579568307154e-07,8.93986362742653e-07
384.4,5.81067002964041e-07,6.63504466633962e-07,5.25520831146758e-07,8.97622057736586e-08,6.15283036920417e-07,5.31372151727174e-07,8.33739720446536e-08,6.14746123771828e-07
384.6,4.72812358176292e-07,4.24802537541699e-07,4.27614616176441e-07,6.08933508971481e-08,4.88507967073589e-07,4.32375816981098e-07,5.68414671524651e-08,4.89217284133563e-07
384.8,9.34267419042938e-07,1.11341123549109e-06,8.44957617734774e-07,1.26769482561178e-07,9.71727100295952e-07,8.54365651831999e-07,1.15783891025598e-07,9.70149542857598e-07
385,1.80333126825233e-06,2.36121579548336e-06,1.63094469672295e-06,2.57789641579447e-07,1.88873433830239e-06,1.64910416767794e-06,2.34369407757571e-07,1.88347357543552e-06
385.2,1.60299315581061e-06,2.26188036557985e-06,1.44975758607358e-06,2.47482649842941e-07,1.69724023591652e-06,1.46589966055899e-06,2.25053687730222e-07,1.69095334828921e-06
385.4,4.40441178281033e-07,9.17492071460719e-07,3.98337907506047e-07,1.05370498481628e-07,5.03708405987675e-07,4.02773131873964e-07,9.63280716316719e-08,4.99101203505636e-07
385.6,4.27541709890002e-08,5.10682559732951e-07,3.86671543187256e-08,5.75790565521508e-08,9.62462108708764e-08,3.90976870444362e-08,5.25340541543674e-08,9.16317411988036e-08
385.8,4.31447582441923e-07,1.05222138537817e-06,3.90204040092723e-07,1.10279419243291e-07,5.00483459336013e-07,3.94548699324163e-07,9.97915297338004e-08,4.94340229057964e-07
386,7.16259196827587e-07,1.4005047578352e-06,6.47789543225253e-07,1.6274863888164e-07,8.10538182106893e-07,6.55002243581547e-07,1.4896705797539e-07,8.03969301556937e-07
386.2,8.452538807379e-07,1.46428396600166e-06,7.64453186413155e-07,1.92852712552934e-07,9.57305898966089e-07,7.72964857877564e-07,1.7869618170019e-07,9.51661039577754e-07
386.4,1.05545035784941e-06,1.43004014475685e-06,9.54556267111744e-07,1.86533911330048e-07,1.14109017844179e-06,9.65184608368414e-07,1.72688306771141e-07,1.13787291513955e-06
386.6,1.16000090947906e-06,1.22198191301863e-06,1.04911247579164e-06,1.47299041439767e-07,1.19641151723141e-06,1.06079363675984e-06,1.35333171333024e-07,1.19612680809287e-06
386.8,6.57555806038011e-07,7.71351753363993e-07,5.94697809291808e-07,7.52737840077178e-08,6.69971593299526e-07,6.01319368941583e-07,6.752342454284e-08,6.68842793484423e-07
387,6.11247435154901e-08,4.16613836982784e-07,5.52816213139548e-08,2.23079954614163e-08,7.75896167753711e-08,5.58971449418332e-08,1.79176654331324e-08,7.38148103749655e-08
387.2,1.57877962855147e-07,8.13554307742984e-07,1.42785871226848e-07,8.63023999368738e-08,2.29088271163721e-07,1.4437569575403e-07,7.82049396592155e-08,2.22580635413245e-07
387.4,5.11409873652472e-07,1.34525642115784e-06,4.62522463825291e-07,1.69356723661034e-07,6.31879187486324e-07,4.67672340007325e-07,1.56263872354923e-07,6.23936212362248e-07
387.6,6.84997803598373e-07,1.20422151836593e-06,6.19516532937592e-07,1.37799582276755e-07,7.57316115214347e-07,6.26414432362769e-07,1.25925692123952e-07,7.52340124486721e-07
387.8,6.80284813471147e-07,7.99946777583722e-07,6.15254073571956e-07,7.19426157718558e-08,6.87196689343812e-07,6.22104513382345e-07,6.3836779652395e-08,6.8594129303474e-07
388,3.29087778516667e-07,3.44528034189337e-07,2.97629158090434e-07,2.81232446098415e-08,3.25752402700275e-07,3.00943058348709e-07,2.46002903380407e-08,3.2554334868675e-07
388.2,0,0,0,0,0,0,0,0
388.4,0,0,0,0,0,0,0,0
388.6,1.48927605457571e-07,1.3473873883085e-07,1.34691108945318e-07,1.20507275318038e-08,1.46741836477122e-07,1.36190803745334e-07,1.06846791414519e-08,1.46875482886786e-07
388.8,1.28167388395625e-06,1.16756135027108e-06,1.15915431666228e-06,1.05695350841449e-07,1.26484966750373e-06,1.17206071942878e-06,9.38721879754812e-08,1.26593290740426e-06
389,2.07342739970252e-06,1.92598597729825e-06,1.8752214200013e-06,1.80191144588995e-07,2.0554125645903e-06,1.89610074777933e-06,1.60752894707396e-07,2.05685364248672e-06
389.2,1.83258928035713e-06,1.7972979080682e-06,1.65740583590411e-06,1.82797471419206e-07,1.84020330732332e-06,1.67585993382553e-06,1.64821096226921e-07,1.84068103005245e-06
389.4,1.19340981197114e-06,1.23537526206593e-06,1.07932770762511e-06,1.35221292135944e-07,1.21454899976105e-06,1.09134529485349e-06,1.22971818500749e-07,1.21431711335424e-06
389.6,4.1015985639326e-07,4.29364545564765e-07,3.70951280205736e-07,4.78635866236478e-08,4.18814866829383e-07,3.75081572920228e-07,4.3615830340363e-08,4.18697403260591e-07
389.8,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0
390.2,1.68701986052538e-07,3.69178086811255e-07,1.52575189219486e-07,3.66262525850852e-08,1.89201441804571e-07,1.54274011210601e-07,3.29235118442156e-08,1.87197523054816e-07
390.4,5.91011844516903e-07,1.16329911400733e-06,5.34515011459568e-07,1.08829681273592e-07,6.43344692733161e-07,5.40466476181281e-07,9.70888741970949e-08,6.37555350378375e-07
390.6,8.10778430021311e-07,1.51029637657067e-06,7.33273361328746e-07,1.43535843931795e-07,8.76809205260541e-07,7.41437866436662e-07,1.2831788574795e-07,8.69755752184612e-07
390.8,7.47765607892162e-07,1.30005157043266e-06,6.7628414925975e-07,1.29715450865764e-07,8.05999600125515e-07,6.83814117866585e-07,1.1668454625351e-07,8.00498664120095e-07
391,4.64885310561691e-07,8.24546104444285e-07,4.20445342014056e-07,8.77746256535731e-08,5.08219967667629e-07,4.2512671777855e-07,7.95711713632752e-08,5.04697889141825e-07
391.2,1.00575497571279e-07,2.91643162119632e-07,9.09611435635556e-08,3.75118704004432e-08,1.28473013963999e-07,9.19739346458619e-08,3.46822895936855e-08,1.26656224239547e-07
391.4,0,1.54116652029489e-07,0,2.50350763539296e-08,2.50350763539296e-08,0,2.35978399295337e-08,2.35978399295337e-08
391.6,3.30687600853432e-08,1.77352239039339e-07,2.99076047966842e-08,2.8809520499061e-08,5.87171252957453e-08,3.02406058369587e-08,2.71555973535807e-08,5.73962031905394e-08
391.8,1.8154380318819e-07,3.60698788921295e-07,1.6418941336255e-07,5.04378598317065e-08,2.14627273194256e-07,1.66017551918729e-07,4.69833133093175e-08,2.13000865228047e-07
392,3.03159126410002e-07,5.5110722438913e-07,2.74179114057469e-07,7.18883562137557e-08,3.46067470271224e-07,2.77231913866192e-07,6.65525768122817e-08,3.43784490678473e-07
392.2,1.76542556784069e-07,3.49375244437703e-07,1.59666253118282e-07,4.60747430020109e-08,2.05740996120292e-07,1.6144402933094e-07,4.26976961545461e-08,2.04141725485486e-07
392.4,1.18569895656421e-08,9.42792359654953e-08,1.0723539591217e-08,1.45899439182252e-08,2.53134835094422e-08,1.08429389835647e-08,1.37026573123308e-08,2.45455962958955e-08
392.6,1.34183296894415e-07,3.58786900910959e-07,1.21356259003282e-07,4.78984539048283e-08,1.6925471290811e-07,1.22707479228594e-07,4.44369203929957e-08,1.6714439962159e-07
392.8,3.47147034264111e-07,6.85430807167454e-07,3.1396206813674e-07,8.95919463237485e-08,4.03554014460488e-07,3.17457824350152e-07,8.29576818333026e-08,4.00415506183454e-07
393,4.57332996107054e-07,5.04951455261689e-07,4.13614978993893e-07,7.00850378856983e-08,4.83700016879591e-07,4.18220303265576e-07,6.52430931578909e-08,4.83463396423467e-07
393.2,5.22824822217497e-07,2.95274125305875e-07,4.72846218619125e-07,4.33831296326679e-08,5.16229348251793e-07,4.78111042858995e-07,4.0578493013815e-08,5.1868953587281e-07
393.4,5.8697625664038e-07,5.24999445686439e-07,5.30865199158718e-07,5.88766361699485e-08,5.89741835328666e-07,5.36776025678165e-07,5.36866725630375e-08,5.90462698241202e-07
393.6,5.33634432601043e-07,6.58103550929367e-07,4.82622501567832e-07,6.61809004894136e-08,5.48803402057246e-07,4.87996178135198e-07,5.95902403647218e-08,5.47586418499919e-07
393.8,2.37306979953441e-07,3.07520401700342e-07,2.14621998333946e-07,3.01262766181161e-08,2.44748274952062e-07,2.17011669763566e-07,2.70376798265516e-08,2.44049349590118e-07
394,0,0,0,0,0,0,0,0
394.2,0,1.18617080101594e-08,0,1.92684412626312e-09,1.92684412626312e-09,0,1.81622610683918e-09,1.81622610683918e-09
394.4,0,2.5397597857554e-08,0,4.12564634124418e-09,4.12564634124418e-09,0,3.88879748518382e-09,3.88879748518382e-09
394.6,0,0,0,0,0,0,0,0
394.8,2.74362324348236e-08,1.22897290847332e-07,2.48135096282113e-08,1.4002730767207e-08,3.88162403954184e-08,2.50897913490388e-08,1.27902631679649e-08,3.78800545170037e-08
395,1.16436799207402e-07,5.28486949943692e-07,1.05306209410292e-07,6.05512764015405e-08,1.65857485811832e-07,1.06478723141143e-07,5.53411277744473e-08,1.6181985091559e-07
395.2,1.28089559200864e-07,6.04920906344737e-07,1.15845042428998e-07,6.97850040864723e-08,1.8563004651547e-07,1.17134898968889e-07,6.38266261638111e-08,1.809615251327e-07
395.4,4.08978005657993e-08,2.39700988665992e-07,3.69882406603344e-08,2.88904469168128e-08,6.58786875771472e-08,3.7400079813003e-08,2.65432134897116e-08,6.39432933027146e-08
395.6,1.06203701377645e-08,6.47738631998037e-08,9.6051328218849e-09,1.0522020752409e-08,2.01271535742939e-08,9.71207950796713e-09,9.91796301877882e-09,1.9630042526746e-08
395.8,6.58002603267198e-08,1.54005745096601e-07,5.95101895653688e-08,2.40521062317013e-08,8.35622957970701e-08,6.01727954533e-08,2.26051599709206e-08,8.27779554242205e-08
