"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0000","0.0000e+000",
"380.2","0.0000","0.0000e+000",
"380.4","0.0000","0.0000e+000",
"380.6","0.0000","0.0000e+000",
"380.8","0.0000","0.0000e+000",
"381.0","0.0001","1.3791e-008",
"381.2","0.0007","7.5016e-008",
"381.4","0.0028","2.8328e-007",
"381.6","0.0047","4.7028e-007",
"381.8","0.0028","2.8737e-007",
"382.0","0.0002","2.1138e-008",
"382.2","0.0011","1.1282e-007",
"382.4","0.0027","2.7742e-007",
"382.6","0.0020","2.0233e-007",
"382.8","0.0008","8.2515e-008",
"383.0","0.0000","1.2957e-009",
"383.2","0.0003","2.5641e-008",
"383.4","0.0027","2.7265e-007",
"383.6","0.0037","3.7308e-007",
"383.8","0.0010","9.6372e-008",
"384.0","0.0015","1.5151e-007",
"384.2","0.0082","8.2392e-007",
"384.4","0.0110","1.1110e-006",
"384.6","0.0070","7.0744e-007",
"384.8","0.0048","4.8704e-007",
"385.0","0.0064","6.4664e-007",
"385.2","0.0078","7.8440e-007",
"385.4","0.0078","7.8403e-007",
"385.6","0.0052","5.2358e-007",
"385.8","0.0012","1.2236e-007",
"386.0","0.0000","0.0000e+000",
"386.2","0.0000","0.0000e+000",
"386.4","0.0015","1.5005e-007",
"386.6","0.0035","3.5714e-007",
"386.8","0.0030","3.0802e-007",
"387.0","0.0024","2.4670e-007",
"387.2","0.0066","6.6425e-007",
"387.4","0.0109","1.0978e-006",
"387.6","0.0091","9.1455e-007",
"387.8","0.0053","5.3207e-007",
"388.0","0.0025","2.4995e-007",
"388.2","0.0005","4.5783e-008",
"388.4","0.0000","0.0000e+000",
"388.6","0.0003","3.4644e-008",
"388.8","0.0028","2.8689e-007",
"389.0","0.0039","3.9283e-007",
"389.2","0.0016","1.6086e-007",
"389.4","0.0000","0.0000e+000",
"389.6","0.0007","6.9771e-008",
"389.8","0.0021","2.1601e-007",
"390.0","0.0036","3.6210e-007",
"390.2","0.0032","3.2298e-007",
"390.4","0.0010","1.0041e-007",
"390.6","0.0000","0.0000e+000",
"390.8","0.0000","0.0000e+000",
"391.0","0.0008","7.9185e-008",
"391.2","0.0020","2.0449e-007",
"391.4","0.0012","1.1745e-007",
"391.6","0.0000","0.0000e+000",
"391.8","0.0037","3.7880e-007",
"392.0","0.0085","8.6107e-007",
"392.2","0.0061","6.1264e-007",
"392.4","0.0010","9.7848e-008",
"392.6","0.0000","0.0000e+000",
"392.8","0.0000","0.0000e+000",
"393.0","0.0040","4.0495e-007",
"393.2","0.0070","7.1211e-007",
"393.4","0.0034","3.4389e-007",
"393.6","0.0001","1.3640e-008",
"393.8","0.0025","2.5509e-007",
"394.0","0.0043","4.3021e-007",
"394.2","0.0020","1.9715e-007",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0000","0.0000e+000",
"395.0","0.0000","0.0000e+000",
"395.2","0.0000","0.0000e+000",
"395.4","0.0000","0.0000e+000",
"395.6","0.0000","0.0000e+000",
