"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0056","6.6269e-007",
"380.2","0.0034","4.0798e-007",
"380.4","0.0059","7.0555e-007",
"380.6","0.0061","7.3102e-007",
"380.8","0.0042","4.9814e-007",
"381.0","0.0029","3.4488e-007",
"381.2","0.0025","2.9894e-007",
"381.4","0.0034","4.0969e-007",
"381.6","0.0047","5.6190e-007",
"381.8","0.0048","5.7244e-007",
"382.0","0.0041","4.8878e-007",
"382.2","0.0022","2.6788e-007",
"382.4","0.0016","1.8522e-007",
"382.6","0.0066","7.8731e-007",
"382.8","0.0100","1.1992e-006",
"383.0","0.0046","5.5332e-007",
"383.2","0.0003","3.0390e-008",
"383.4","0.0042","4.9780e-007",
"383.6","0.0077","9.1619e-007",
"383.8","0.0064","7.6488e-007",
"384.0","0.0059","7.0507e-007",
"384.2","0.0081","9.6873e-007",
"384.4","0.0086","1.0262e-006",
"384.6","0.0064","7.6687e-007",
"384.8","0.0078","9.3189e-007",
"385.0","0.0130","1.5515e-006",
"385.2","0.0138","1.6426e-006",
"385.4","0.0095","1.1342e-006",
"385.6","0.0057","6.8378e-007",
"385.8","0.0035","4.2021e-007",
"386.0","0.0020","2.4145e-007",
"386.2","0.0016","1.8584e-007",
"386.4","0.0034","4.0519e-007",
"386.6","0.0061","7.2264e-007",
"386.8","0.0065","7.7861e-007",
"387.0","0.0063","7.5553e-007",
"387.2","0.0084","1.0042e-006",
"387.4","0.0103","1.2326e-006",
"387.6","0.0085","1.0117e-006",
"387.8","0.0060","7.1077e-007",
"388.0","0.0059","7.0890e-007",
"388.2","0.0055","6.5077e-007",
"388.4","0.0021","2.5183e-007",
"388.6","0.0003","3.4030e-008",
"388.8","0.0030","3.6191e-007",
"389.0","0.0044","5.3069e-007",
"389.2","0.0016","1.9162e-007",
"389.4","0.0006","7.1192e-008",
"389.6","0.0036","4.2879e-007",
"389.8","0.0059","7.0796e-007",
"390.0","0.0060","7.1722e-007",
"390.2","0.0042","5.0170e-007",
"390.4","0.0012","1.4503e-007",
"390.6","0.0000","0.0000e+000",
"390.8","0.0000","0.0000e+000",
"391.0","0.0021","2.5089e-007",
"391.2","0.0048","5.7475e-007",
"391.4","0.0038","4.5325e-007",
"391.6","0.0014","1.6878e-007",
"391.8","0.0042","5.0031e-007",
"392.0","0.0088","1.0539e-006",
"392.2","0.0088","1.0511e-006",
"392.4","0.0064","7.6308e-007",
"392.6","0.0041","4.9137e-007",
"392.8","0.0028","3.3390e-007",
"393.0","0.0046","5.4831e-007",
"393.2","0.0063","7.5528e-007",
"393.4","0.0048","5.7088e-007",
"393.6","0.0029","3.4027e-007",
"393.8","0.0022","2.6196e-007",
"394.0","0.0024","2.8382e-007",
"394.2","0.0035","4.2158e-007",
"394.4","0.0045","5.3204e-007",
"394.6","0.0044","5.2711e-007",
"394.8","0.0034","4.0079e-007",
"395.0","0.0014","1.6145e-007",
"395.2","0.0001","1.4542e-008",
"395.4","0.0003","3.0384e-008",
"395.6","0.0009","1.0544e-007",
"395.8","0.0018","2.1275e-007",
"396.0","0.0031","3.7260e-007",
"396.2","0.0045","5.3358e-007",
"396.4","0.0043","5.0921e-007",
"396.6","0.0034","4.0637e-007",
"396.8","0.0054","6.4213e-007",
"397.0","0.0081","9.7071e-007",
