"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0055","1.3758e-006",
"380.2","0.0050","1.2431e-006",
"380.4","0.0012","2.8975e-007",
"380.6","0.0016","4.0805e-007",
"380.8","0.0051","1.2582e-006",
"381.0","0.0054","1.3474e-006",
"381.2","0.0037","9.2359e-007",
"381.4","0.0024","6.0447e-007",
"381.6","0.0019","4.8293e-007",
"381.8","0.0032","8.0555e-007",
"382.0","0.0045","1.1258e-006",
"382.2","0.0024","5.9425e-007",
"382.4","0.0004","1.0045e-007",
"382.6","0.0037","9.1145e-007",
"382.8","0.0066","1.6438e-006",
"383.0","0.0048","1.2039e-006",
"383.2","0.0022","5.5839e-007",
"383.4","0.0010","2.4234e-007",
"383.6","0.0001","3.7148e-008",
"383.8","0.0000","0.0000e+000",
"384.0","0.0008","2.0930e-007",
"384.2","0.0042","1.0416e-006",
"384.4","0.0050","1.2380e-006",
"384.6","0.0018","4.4776e-007",
"384.8","0.0001","2.0124e-008",
"385.0","0.0010","2.4592e-007",
"385.2","0.0010","2.4562e-007",
"385.4","0.0001","1.8316e-008",
"385.6","0.0015","3.6682e-007",
"385.8","0.0045","1.1058e-006",
"386.0","0.0057","1.4057e-006",
"386.2","0.0050","1.2436e-006",
"386.4","0.0029","7.1441e-007",
"386.6","0.0004","1.0750e-007",
"386.8","0.0000","0.0000e+000",
"387.0","0.0000","0.0000e+000",
"387.2","0.0000","0.0000e+000",
"387.4","0.0002","5.2428e-008",
"387.6","0.0017","4.1606e-007",
"387.8","0.0029","7.0885e-007",
"388.0","0.0019","4.6769e-007",
"388.2","0.0009","2.3325e-007",
"388.4","0.0016","3.9874e-007",
"388.6","0.0022","5.4543e-007",
"388.8","0.0018","4.4792e-007",
"389.0","0.0011","2.6259e-007",
"389.2","0.0002","4.7251e-008",
"389.4","0.0005","1.2397e-007",
"389.6","0.0024","5.9542e-007",
"389.8","0.0028","7.0197e-007",
"390.0","0.0010","2.5395e-007",
"390.2","0.0000","0.0000e+000",
"390.4","0.0000","0.0000e+000",
