"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0033","1.8812e-006",
"380.2","0.0028","1.6114e-006",
"380.4","0.0031","1.7994e-006",
"380.6","0.0050","2.9149e-006",
"380.8","0.0072","4.1460e-006",
"381.0","0.0054","3.1052e-006",
"381.2","0.0021","1.1889e-006",
"381.4","0.0032","1.8378e-006",
"381.6","0.0061","3.5510e-006",
"381.8","0.0061","3.5214e-006",
"382.0","0.0047","2.7173e-006",
"382.2","0.0041","2.3555e-006",
"382.4","0.0036","2.0757e-006",
"382.6","0.0025","1.4283e-006",
"382.8","0.0019","1.0914e-006",
"383.0","0.0033","1.8913e-006",
"383.2","0.0044","2.5486e-006",
"383.4","0.0037","2.1530e-006",
"383.6","0.0031","1.7997e-006",
"383.8","0.0035","2.0217e-006",
"384.0","0.0041","2.3723e-006",
"384.2","0.0046","2.6769e-006",
"384.4","0.0041","2.3660e-006",
"384.6","0.0023","1.3191e-006",
"384.8","0.0017","9.9364e-007",
"385.0","0.0029","1.6861e-006",
"385.2","0.0037","2.1565e-006",
"385.4","0.0037","2.1494e-006",
"385.6","0.0033","1.8799e-006",
"385.8","0.0026","1.4794e-006",
"386.0","0.0021","1.1935e-006",
"386.2","0.0018","1.0653e-006",
"386.4","0.0019","1.0688e-006",
"386.6","0.0021","1.2142e-006",
"386.8","0.0027","1.5657e-006",
"387.0","0.0034","1.9709e-006",
"387.2","0.0040","2.2851e-006",
"387.4","0.0042","2.4425e-006",
"387.6","0.0041","2.3586e-006",
"387.8","0.0034","1.9752e-006",
"388.0","0.0016","9.0834e-007",
"388.2","0.0004","2.4057e-007",
"388.4","0.0018","1.0167e-006",
"388.6","0.0031","1.8149e-006",
"388.8","0.0031","1.8162e-006",
"389.0","0.0027","1.5516e-006",
"389.2","0.0021","1.1998e-006",
"389.4","0.0020","1.1599e-006",
"389.6","0.0027","1.5733e-006",
"389.8","0.0026","1.5299e-006",
"390.0","0.0015","8.8389e-007",
"390.2","0.0016","9.1530e-007",
"390.4","0.0030","1.7259e-006",
"390.6","0.0034","1.9854e-006",
"390.8","0.0029","1.6922e-006",
"391.0","0.0034","1.9544e-006",
"391.2","0.0045","2.5844e-006",
"391.4","0.0045","2.6123e-006",
"391.6","0.0038","2.1824e-006",
"391.8","0.0030","1.7544e-006",
"392.0","0.0026","1.4840e-006",
"392.2","0.0029","1.6614e-006",
"392.4","0.0034","1.9520e-006",
"392.6","0.0032","1.8457e-006",
"392.8","0.0028","1.6361e-006",
"393.0","0.0029","1.6756e-006",
"393.2","0.0029","1.6701e-006",
"393.4","0.0022","1.2861e-006",
"393.6","0.0018","1.0345e-006",
"393.8","0.0023","1.3139e-006",
"394.0","0.0028","1.6053e-006",
"394.2","0.0028","1.6159e-006",
"394.4","0.0028","1.6266e-006",
"394.6","0.0030","1.7381e-006",
"394.8","0.0030","1.7161e-006",
"395.0","0.0026","1.5295e-006",
"395.2","0.0031","1.7738e-006",
"395.4","0.0043","2.4885e-006",
"395.6","0.0045","2.5823e-006",
"395.8","0.0034","1.9792e-006",
"396.0","0.0031","1.7802e-006",
"396.2","0.0035","2.0114e-006",
"396.4","0.0034","1.9775e-006",
"396.6","0.0029","1.6934e-006",
"396.8","0.0025","1.4197e-006",
"397.0","0.0022","1.2837e-006",
"397.2","0.0027","1.5441e-006",
"397.4","0.0034","1.9419e-006",
"397.6","0.0034","1.9811e-006",
"397.8","0.0033","1.9096e-006",
"398.0","0.0036","2.0774e-006",
"398.2","0.0040","2.3349e-006",
"398.4","0.0045","2.6194e-006",
"398.6","0.0047","2.7294e-006",
"398.8","0.0040","2.3360e-006",
"399.0","0.0034","1.9811e-006",
"399.2","0.0036","2.0820e-006",
"399.4","0.0040","2.2988e-006",
"399.6","0.0043","2.4932e-006",
"399.8","0.0043","2.4772e-006",
"400.0","0.0037","2.1306e-006",
"400.2","0.0034","1.9449e-006",
"400.4","0.0037","2.1160e-006",
"400.6","0.0042","2.4083e-006",
"400.8","0.0047","2.7004e-006",
"401.0","0.0048","2.7458e-006",
"401.2","0.0044","2.5605e-006",
"401.4","0.0045","2.5745e-006",
"401.6","0.0048","2.7701e-006",
"401.8","0.0048","2.7667e-006",
"402.0","0.0045","2.6130e-006",
"402.2","0.0045","2.5793e-006",
"402.4","0.0046","2.6308e-006",
"402.6","0.0046","2.6286e-006",
"402.8","0.0045","2.6153e-006",
"403.0","0.0046","2.6646e-006",
"403.2","0.0048","2.7724e-006",
"403.4","0.0052","3.0101e-006",
"403.6","0.0055","3.1574e-006",
"403.8","0.0049","2.8210e-006",
"404.0","0.0043","2.4977e-006",
"404.2","0.0046","2.6788e-006",
"404.4","0.0052","2.9943e-006",
"404.6","0.0057","3.2824e-006",
"404.8","0.0059","3.4185e-006",
"405.0","0.0056","3.2488e-006",
"405.2","0.0054","3.1212e-006",
"405.4","0.0056","3.2158e-006",
"405.6","0.0058","3.3591e-006",
"405.8","0.0060","3.4885e-006",
"406.0","0.0062","3.5612e-006",
"406.2","0.0062","3.5616e-006",
"406.4","0.0062","3.5759e-006",
"406.6","0.0063","3.6321e-006",
"406.8","0.0064","3.7085e-006",
"407.0","0.0066","3.8263e-006",
"407.2","0.0071","4.0752e-006",
"407.4","0.0076","4.4015e-006",
"407.6","0.0080","4.6478e-006",
"407.8","0.0083","4.7765e-006",
"408.0","0.0082","4.7198e-006",
"408.2","0.0080","4.6259e-006",
"408.4","0.0083","4.7754e-006",
"408.6","0.0087","5.0158e-006",
"408.8","0.0089","5.1309e-006",
"409.0","0.0090","5.1723e-006",
"409.2","0.0089","5.1531e-006",
"409.4","0.0089","5.1595e-006",
"409.6","0.0092","5.3280e-006",
"409.8","0.0095","5.4933e-006",
"410.0","0.0096","5.5332e-006",
"410.2","0.0096","5.5684e-006",
"410.4","0.0098","5.6574e-006",
"410.6","0.0102","5.8641e-006",
"410.8","0.0108","6.2440e-006",
"411.0","0.0112","6.4882e-006",
"411.2","0.0112","6.4680e-006",
"411.4","0.0114","6.5878e-006",
"411.6","0.0120","6.9376e-006",
"411.8","0.0122","7.0608e-006",
"412.0","0.0120","6.9275e-006",
"412.2","0.0123","7.0811e-006",
"412.4","0.0130","7.5277e-006",
"412.6","0.0135","7.7918e-006",
"412.8","0.0136","7.8598e-006",
"413.0","0.0137","7.9415e-006",
"413.2","0.0140","8.1072e-006",
"413.4","0.0147","8.4732e-006",
"413.6","0.0154","8.9121e-006",
