"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0006","1.1609e-007",
"380.2","0.0000","0.0000e+000",
"380.4","0.0000","0.0000e+000",
"380.6","0.0053","9.9926e-007",
"380.8","0.0133","2.5162e-006",
"381.0","0.0100","1.8830e-006",
"381.2","0.0016","2.9476e-007",
"381.4","0.0044","8.2665e-007",
"381.6","0.0112","2.1082e-006",
"381.8","0.0076","1.4395e-006",
"382.0","0.0006","1.2273e-007",
"382.2","0.0000","0.0000e+000",
"382.4","0.0000","0.0000e+000",
"382.6","0.0000","0.0000e+000",
"382.8","0.0000","7.3318e-009",
"383.0","0.0010","1.9182e-007",
"383.2","0.0016","2.9616e-007",
"383.4","0.0007","1.2977e-007",
"383.6","0.0000","0.0000e+000",
"383.8","0.0001","1.3437e-008",
"384.0","0.0021","3.9794e-007",
"384.2","0.0064","1.2042e-006",
"384.4","0.0076","1.4362e-006",
"384.6","0.0041","7.7238e-007",
"384.8","0.0018","3.4368e-007",
"385.0","0.0026","4.8355e-007",
"385.2","0.0044","8.3510e-007",
"385.4","0.0062","1.1661e-006",
"385.6","0.0048","9.0367e-007",
"385.8","0.0012","2.2261e-007",
"386.0","0.0000","0.0000e+000",
"386.2","0.0000","0.0000e+000",
"386.4","0.0000","0.0000e+000",
"386.6","0.0000","0.0000e+000",
"386.8","0.0013","2.3928e-007",
"387.0","0.0030","5.6194e-007",
"387.2","0.0037","6.9850e-007",
"387.4","0.0039","7.4236e-007",
"387.6","0.0044","8.2184e-007",
"387.8","0.0041","7.7865e-007",
"388.0","0.0016","3.0772e-007",
"388.2","0.0002","3.0141e-008",
"388.4","0.0029","5.4716e-007",
"388.6","0.0047","8.8358e-007",
"388.8","0.0022","4.1163e-007",
"389.0","0.0000","0.0000e+000",
"389.2","0.0000","0.0000e+000",
"389.4","0.0006","1.1698e-007",
"389.6","0.0016","2.9502e-007",
"389.8","0.0016","3.0836e-007",
"390.0","0.0006","1.0676e-007",
"390.2","0.0000","0.0000e+000",
"390.4","0.0002","3.4006e-008",
"390.6","0.0000","5.5735e-009",
"390.8","0.0000","0.0000e+000",
"391.0","0.0017","3.1709e-007",
"391.2","0.0044","8.2876e-007",
"391.4","0.0036","6.8010e-007",
"391.6","0.0007","1.3387e-007",
"391.8","0.0000","0.0000e+000",
"392.0","0.0000","0.0000e+000",
"392.2","0.0006","1.2174e-007",
"392.4","0.0013","2.4615e-007",
"392.6","0.0007","1.3203e-007",
"392.8","0.0000","3.2871e-009",
"393.0","0.0009","1.7517e-007",
"393.2","0.0018","3.3448e-007",
"393.4","0.0009","1.7367e-007",
"393.6","0.0000","0.0000e+000",
"393.8","0.0000","0.0000e+000",
"394.0","0.0002","3.8054e-008",
"394.2","0.0015","2.7572e-007",
"394.4","0.0020","3.6895e-007",
"394.6","0.0008","1.5647e-007",
"394.8","0.0000","0.0000e+000",
"395.0","0.0000","0.0000e+000",
"395.2","0.0010","1.8632e-007",
"395.4","0.0037","7.0637e-007",
"395.6","0.0047","8.8354e-007",
"395.8","0.0034","6.3331e-007",
"396.0","0.0023","4.3778e-007",
"396.2","0.0019","3.5665e-007",
