"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0012","4.3133e-007",
"380.2","0.0001","3.6021e-008",
"380.4","0.0000","0.0000e+000",
"380.6","0.0031","1.0708e-006",
"380.8","0.0079","2.7292e-006",
"381.0","0.0060","2.0652e-006",
"381.2","0.0010","3.3249e-007",
"381.4","0.0022","7.5637e-007",
"381.6","0.0058","1.9852e-006",
"381.8","0.0039","1.3594e-006",
"382.0","0.0003","1.1591e-007",
"382.2","0.0000","0.0000e+000",
"382.4","0.0000","0.0000e+000",
"382.6","0.0000","0.0000e+000",
"382.8","0.0000","0.0000e+000",
"383.0","0.0000","0.0000e+000",
"383.2","0.0000","0.0000e+000",
"383.4","0.0001","2.0380e-008",
"383.6","0.0004","1.4699e-007",
"383.8","0.0013","4.3868e-007",
"384.0","0.0022","7.4754e-007",
"384.2","0.0029","9.8849e-007",
"384.4","0.0025","8.6170e-007",
"384.6","0.0009","2.9711e-007",
"384.8","0.0000","9.9737e-010",
"385.0","0.0005","1.5770e-007",
"385.2","0.0009","3.1589e-007",
"385.4","0.0010","3.5720e-007",
"385.6","0.0007","2.5234e-007",
"385.8","0.0002","6.0844e-008",
"386.0","0.0000","0.0000e+000",
"386.2","0.0000","0.0000e+000",
"386.4","0.0000","0.0000e+000",
"386.6","0.0000","0.0000e+000",
"386.8","0.0000","0.0000e+000",
"387.0","0.0003","1.1445e-007",
"387.2","0.0021","7.3809e-007",
"387.4","0.0038","1.3102e-006",
"387.6","0.0029","9.8677e-007",
"387.8","0.0012","4.2265e-007",
"388.0","0.0003","1.1655e-007",
"388.2","0.0000","1.4127e-008",
"388.4","0.0008","2.6645e-007",
"388.6","0.0013","4.4363e-007",
"388.8","0.0007","2.3865e-007",
"389.0","0.0002","6.7106e-008",
"389.2","0.0004","1.2910e-007",
"389.4","0.0005","1.8454e-007",
"389.6","0.0004","1.5364e-007",
"389.8","0.0003","9.5612e-008",
"390.0","0.0001","2.9697e-008",
"390.2","0.0000","0.0000e+000",
"390.4","0.0000","0.0000e+000",
"390.6","0.0001","4.8422e-008",
"390.8","0.0005","1.6917e-007",
"391.0","0.0009","3.0757e-007",
"391.2","0.0012","4.1865e-007",
"391.4","0.0012","4.0736e-007",
"391.6","0.0009","3.0356e-007",
"391.8","0.0005","1.7986e-007",
"392.0","0.0002","6.9499e-008",
"392.2","0.0000","1.7010e-008",
"392.4","0.0000","6.1859e-010",
"392.6","0.0000","0.0000e+000",
"392.8","0.0000","0.0000e+000",
"393.0","0.0006","1.8989e-007",
"393.2","0.0010","3.3343e-007",
"393.4","0.0005","1.7312e-007",
"393.6","0.0000","0.0000e+000",
"393.8","0.0000","0.0000e+000",
"394.0","0.0002","5.4794e-008",
"394.2","0.0012","3.9701e-007",
"394.4","0.0015","5.3125e-007",
"394.6","0.0007","2.2530e-007",
"394.8","0.0000","0.0000e+000",
"395.0","0.0000","0.0000e+000",
"395.2","0.0005","1.7449e-007",
"395.4","0.0018","6.3329e-007",
"395.6","0.0018","6.3824e-007",
"395.8","0.0005","1.7831e-007",
"396.0","0.0003","1.1649e-007",
"396.2","0.0012","4.2564e-007",
"396.4","0.0011","3.9630e-007",
"396.6","0.0003","9.3119e-008",
"396.8","0.0000","0.0000e+000",
"397.0","0.0000","0.0000e+000",
"397.2","0.0002","8.4165e-008",
"397.4","0.0005","1.8220e-007",
"397.6","0.0004","1.2361e-007",
"397.8","0.0000","1.0934e-008",
"398.0","0.0000","0.0000e+000",
"398.2","0.0000","0.0000e+000",
"398.4","0.0006","2.0820e-007",
"398.6","0.0012","4.1005e-007",
"398.8","0.0012","4.2693e-007",
"399.0","0.0010","3.5274e-007",
"399.2","0.0006","2.0382e-007",
"399.4","0.0003","1.1622e-007",
"399.6","0.0006","1.9718e-007",
"399.8","0.0006","2.2340e-007",
"400.0","0.0003","9.0179e-008",
"400.2","0.0000","0.0000e+000",
"400.4","0.0000","0.0000e+000",
"400.6","0.0002","7.4431e-008",
"400.8","0.0008","2.7991e-007",
"401.0","0.0010","3.5654e-007",
"401.2","0.0008","2.7564e-007",
"401.4","0.0006","2.2055e-007",
"401.6","0.0006","2.0505e-007",
"401.8","0.0003","1.1586e-007",
"402.0","0.0000","1.3251e-008",
"402.2","0.0004","1.2318e-007",
"402.4","0.0009","3.0812e-007",
"402.6","0.0007","2.2790e-007",
"402.8","0.0001","3.1657e-008",
"403.0","0.0000","0.0000e+000",
"403.2","0.0001","2.0974e-008",
"403.4","0.0005","1.5535e-007",
"403.6","0.0008","2.6121e-007",
"403.8","0.0004","1.4643e-007",
"404.0","0.0000","0.0000e+000",
"404.2","0.0000","0.0000e+000",
"404.4","0.0000","9.2171e-009",
"404.6","0.0003","1.0932e-007",
"404.8","0.0005","1.6137e-007",
"405.0","0.0002","7.4377e-008",
"405.2","0.0000","0.0000e+000",
"405.4","0.0000","0.0000e+000",
"405.6","0.0000","0.0000e+000",
"405.8","0.0000","0.0000e+000",
"406.0","0.0000","0.0000e+000",
"406.2","0.0000","0.0000e+000",
"406.4","0.0000","0.0000e+000",
"406.6","0.0000","0.0000e+000",
"406.8","0.0000","4.6430e-009",
"407.0","0.0001","1.8906e-008",
"407.2","0.0001","3.2772e-008",
"407.4","0.0002","6.1503e-008",
"407.6","0.0005","1.6555e-007",
"407.8","0.0008","2.8985e-007",
"408.0","0.0009","2.9846e-007",
"408.2","0.0007","2.4350e-007",
"408.4","0.0007","2.2461e-007",
"408.6","0.0007","2.2822e-007",
"408.8","0.0007","2.5362e-007",
"409.0","0.0007","2.5405e-007",
"409.2","0.0004","1.4361e-007",
"409.4","0.0001","2.4153e-008",
"409.6","0.0000","0.0000e+000",
"409.8","0.0000","0.0000e+000",
"410.0","0.0000","0.0000e+000",
"410.2","0.0000","3.0890e-009",
"410.4","0.0001","3.4202e-008",
"410.6","0.0003","9.0089e-008",
"410.8","0.0005","1.7286e-007",
"411.0","0.0006","1.9646e-007",
"411.2","0.0004","1.2685e-007",
"411.4","0.0004","1.2219e-007",
"411.6","0.0006","2.1631e-007",
"411.8","0.0006","1.9508e-007",
"412.0","0.0001","4.9360e-008",
"412.2","0.0002","7.2872e-008",
"412.4","0.0007","2.5259e-007",
"412.6","0.0008","2.6386e-007",
"412.8","0.0003","1.1984e-007",
"413.0","0.0001","2.3127e-008",
"413.2","0.0000","1.0657e-008",
"413.4","0.0004","1.2933e-007",
"413.6","0.0008","2.8097e-007",
"413.8","0.0007","2.5808e-007",
"414.0","0.0004","1.4786e-007",
"414.2","0.0002","7.7834e-008",
"414.4","0.0002","6.2708e-008",
