"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0004","4.0790e-008",
"380.2","0.0000","2.1596e-009",
"380.4","0.0027","2.9088e-007",
"380.6","0.0139","1.4947e-006",
"380.8","0.0263","2.8380e-006",
"381.0","0.0185","2.0008e-006",
"381.2","0.0027","2.9639e-007",
"381.4","0.0099","1.0663e-006",
"381.6","0.0247","2.6655e-006",
"381.8","0.0169","1.8257e-006",
"382.0","0.0023","2.5289e-007",
"382.2","0.0028","3.0539e-007",
"382.4","0.0070","7.5243e-007",
"382.6","0.0032","3.4776e-007",
"382.8","0.0002","1.7369e-008",
"383.0","0.0053","5.6801e-007",
"383.2","0.0094","1.0154e-006",
"383.4","0.0066","7.1286e-007",
"383.6","0.0034","3.6910e-007",
"383.8","0.0029","3.1686e-007",
"384.0","0.0041","4.4418e-007",
"384.2","0.0069","7.3925e-007",
"384.4","0.0090","9.6671e-007",
"384.6","0.0095","1.0241e-006",
"384.8","0.0098","1.0563e-006",
"385.0","0.0098","1.0543e-006",
"385.2","0.0071","7.6988e-007",
"385.4","0.0026","2.7600e-007",
"385.6","0.0000","0.0000e+000",
"385.8","0.0000","0.0000e+000",
"386.0","0.0008","8.6387e-008",
"386.2","0.0020","2.1932e-007",
"386.4","0.0013","1.4472e-007",
"386.6","0.0001","1.3144e-008",
"386.8","0.0011","1.1397e-007",
"387.0","0.0037","3.9943e-007",
"387.2","0.0086","9.3277e-007",
"387.4","0.0129","1.3916e-006",
"387.6","0.0120","1.2903e-006",
"387.8","0.0085","9.1961e-007",
"388.0","0.0035","3.7479e-007",
"388.2","0.0001","7.1361e-009",
"388.4","0.0021","2.3078e-007",
"388.6","0.0042","4.5561e-007",
"388.8","0.0030","3.2754e-007",
"389.0","0.0016","1.7586e-007",
"389.2","0.0013","1.4096e-007",
"389.4","0.0026","2.8209e-007",
"389.6","0.0056","6.0290e-007",
"389.8","0.0055","5.9692e-007",
"390.0","0.0017","1.7965e-007",
"390.2","0.0011","1.1860e-007",
"390.4","0.0045","4.8705e-007",
"390.6","0.0047","5.0207e-007",
"390.8","0.0021","2.2202e-007",
"391.0","0.0049","5.2452e-007",
"391.2","0.0105","1.1367e-006",
"391.4","0.0080","8.6509e-007",
"391.6","0.0013","1.4551e-007",
"391.8","0.0024","2.6100e-007",
"392.0","0.0070","7.5724e-007",
"392.2","0.0070","7.5121e-007",
"392.4","0.0046","4.9240e-007",
"392.6","0.0023","2.4580e-007",
"392.8","0.0009","1.0157e-007",
"393.0","0.0028","2.9990e-007",
"393.2","0.0044","4.7693e-007",
"393.4","0.0022","2.3623e-007",
"393.6","0.0000","0.0000e+000",
"393.8","0.0000","0.0000e+000",
"394.0","0.0014","1.5151e-007",
"394.2","0.0049","5.3129e-007",
"394.4","0.0069","7.3998e-007",
"394.6","0.0053","5.6854e-007",
"394.8","0.0039","4.2279e-007",
"395.0","0.0044","4.7718e-007",
"395.2","0.0073","7.9184e-007",
"395.4","0.0120","1.2967e-006",
"395.6","0.0123","1.3270e-006",
"395.8","0.0078","8.4234e-007",
"396.0","0.0052","5.5644e-007",
"396.2","0.0051","5.4910e-007",
"396.4","0.0051","5.4657e-007",
"396.6","0.0049","5.2419e-007",
"396.8","0.0048","5.1454e-007",
"397.0","0.0050","5.3448e-007",
"397.2","0.0059","6.3478e-007",
"397.4","0.0070","7.5474e-007",
"397.6","0.0072","7.7713e-007",
"397.8","0.0071","7.6535e-007",
"398.0","0.0075","8.0581e-007",
"398.2","0.0081","8.6994e-007",
"398.4","0.0087","9.4310e-007",
"398.6","0.0093","1.0058e-006",
"398.8","0.0099","1.0630e-006",
"399.0","0.0093","9.9911e-007",
"399.2","0.0062","6.6601e-007",
"399.4","0.0047","5.0788e-007",
"399.6","0.0076","8.2470e-007",
"399.8","0.0090","9.7446e-007",
"400.0","0.0061","6.5530e-007",
"400.2","0.0042","4.5582e-007",
"400.4","0.0054","5.8653e-007",
"400.6","0.0076","8.2442e-007",
"400.8","0.0097","1.0511e-006",
"401.0","0.0090","9.7244e-007",
"401.2","0.0058","6.2463e-007",
"401.4","0.0051","5.4956e-007",
"401.6","0.0070","7.5420e-007",
"401.8","0.0080","8.6184e-007",
"402.0","0.0080","8.6181e-007",
"402.2","0.0083","8.9512e-007",
"402.4","0.0086","9.2639e-007",
"402.6","0.0076","8.2455e-007",
"402.8","0.0065","7.0578e-007",
"403.0","0.0072","7.7345e-007",
"403.2","0.0089","9.5744e-007",
"403.4","0.0116","1.2551e-006",
"403.6","0.0133","1.4357e-006",
"403.8","0.0100","1.0816e-006",
"404.0","0.0065","6.9819e-007",
"404.2","0.0073","7.8529e-007",
"404.4","0.0088","9.4715e-007",
"404.6","0.0089","9.6489e-007",
"404.8","0.0091","9.7737e-007",
"405.0","0.0096","1.0348e-006",
"405.2","0.0098","1.0622e-006",
"405.4","0.0095","1.0285e-006",
"405.6","0.0099","1.0674e-006",
"405.8","0.0113","1.2203e-006",
"406.0","0.0120","1.2908e-006",
"406.2","0.0113","1.2227e-006",
"406.4","0.0105","1.1373e-006",
"406.6","0.0101","1.0859e-006",
"406.8","0.0105","1.1360e-006",
"407.0","0.0117","1.2639e-006",
"407.2","0.0122","1.3149e-006",
"407.4","0.0122","1.3180e-006",
"407.6","0.0133","1.4391e-006",
"407.8","0.0150","1.6152e-006",
"408.0","0.0155","1.6735e-006",
"408.2","0.0154","1.6607e-006",
"408.4","0.0155","1.6714e-006",
"408.6","0.0156","1.6857e-006",
"408.8","0.0154","1.6614e-006",
"409.0","0.0152","1.6452e-006",
"409.2","0.0159","1.7180e-006",
"409.4","0.0166","1.7908e-006",
"409.6","0.0164","1.7645e-006",
"409.8","0.0161","1.7408e-006",
"410.0","0.0167","1.7980e-006",
"410.2","0.0170","1.8375e-006",
"410.4","0.0166","1.7944e-006",
"410.6","0.0168","1.8141e-006",
"410.8","0.0183","1.9745e-006",
"411.0","0.0190","2.0518e-006",
"411.2","0.0182","1.9654e-006",
"411.4","0.0190","2.0538e-006",
"411.6","0.0220","2.3761e-006",
"411.8","0.0224","2.4161e-006",
"412.0","0.0199","2.1447e-006",
"412.2","0.0208","2.2432e-006",
"412.4","0.0250","2.7007e-006",
"412.6","0.0263","2.8348e-006",
"412.8","0.0247","2.6621e-006",
"413.0","0.0241","2.6003e-006",
"413.2","0.0248","2.6809e-006",
"413.4","0.0266","2.8732e-006",
"413.6","0.0285","3.0726e-006",
"413.8","0.0284","3.0660e-006",
"414.0","0.0274","2.9576e-006",
"414.2","0.0267","2.8832e-006",
"414.4","0.0269","2.9017e-006",
"414.6","0.0294","3.1715e-006",
"414.8","0.0320","3.4578e-006",
"415.0","0.0321","3.4664e-006",
"415.2","0.0314","3.3888e-006",
"415.4","0.0309","3.3306e-006",
"415.6","0.0308","3.3209e-006",
"415.8","0.0317","3.4252e-006",
"416.0","0.0329","3.5464e-006",
"416.2","0.0337","3.6308e-006",
"416.4","0.0345","3.7178e-006",
"416.6","0.0354","3.8187e-006",
"416.8","0.0363","3.9138e-006",
"417.0","0.0370","3.9970e-006",
"417.2","0.0377","4.0639e-006",
"417.4","0.0381","4.1062e-006",
"417.6","0.0381","4.1134e-006",
"417.8","0.0381","4.1070e-006",
"418.0","0.0386","4.1640e-006",
"418.2","0.0399","4.3017e-006",
"418.4","0.0420","4.5368e-006",
"418.6","0.0442","4.7686e-006",
"418.8","0.0436","4.7001e-006",
"419.0","0.0420","4.5265e-006",
"419.2","0.0446","4.8120e-006",
"419.4","0.0487","5.2593e-006",
"419.6","0.0487","5.2527e-006",
"419.8","0.0470","5.0668e-006",
"420.0","0.0472","5.0912e-006",
"420.2","0.0486","5.2461e-006",
"420.4","0.0514","5.5447e-006",
"420.6","0.0537","5.7919e-006",
"420.8","0.0528","5.6923e-006",
