"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0023","8.7895e-007",
"380.2","0.0024","8.8741e-007",
"380.4","0.0023","8.7220e-007",
"380.6","0.0013","4.9878e-007",
"380.8","0.0002","5.9724e-008",
"381.0","0.0013","4.9902e-007",
"381.2","0.0034","1.2604e-006",
"381.4","0.0023","8.6262e-007",
"381.6","0.0003","9.7760e-008",
"381.8","0.0009","3.4839e-007",
"382.0","0.0026","9.6873e-007",
"382.2","0.0031","1.1542e-006",
"382.4","0.0030","1.1254e-006",
"382.6","0.0028","1.0485e-006",
"382.8","0.0022","8.3746e-007",
"383.0","0.0009","3.4528e-007",
"383.2","0.0000","4.4189e-009",
"383.4","0.0005","1.7847e-007",
"383.6","0.0011","4.2859e-007",
"383.8","0.0015","5.4949e-007",
"384.0","0.0015","5.5222e-007",
"384.2","0.0011","4.1866e-007",
"384.4","0.0013","4.8572e-007",
"384.6","0.0022","8.1673e-007",
"384.8","0.0020","7.6678e-007",
"385.0","0.0007","2.5070e-007",
"385.2","0.0000","0.0000e+000",
"385.4","0.0000","0.0000e+000",
"385.6","0.0001","5.5591e-008",
"385.8","0.0004","1.4781e-007",
"386.0","0.0003","1.2392e-007",
"386.2","0.0001","2.6265e-008",
"386.4","0.0000","0.0000e+000",
"386.6","0.0000","0.0000e+000",
"386.8","0.0019","6.9743e-007",
"387.0","0.0041","1.5191e-006",
"387.2","0.0033","1.2323e-006",
"387.4","0.0019","6.9527e-007",
"387.6","0.0029","1.0957e-006",
"387.8","0.0040","1.4994e-006",
"388.0","0.0025","9.2537e-007",
"388.2","0.0009","3.3369e-007",
"388.4","0.0010","3.5598e-007",
"388.6","0.0012","4.5364e-007",
"388.8","0.0010","3.7725e-007",
"389.0","0.0009","3.2655e-007",
"389.2","0.0010","3.6815e-007",
"389.4","0.0009","3.4689e-007",
"389.6","0.0006","2.0820e-007",
"389.8","0.0002","8.2512e-008",
"390.0","0.0001","3.4159e-008",
"390.2","0.0005","1.8912e-007",
"390.4","0.0013","4.8454e-007",
"390.6","0.0013","4.7412e-007",
"390.8","0.0005","1.7661e-007",
"391.0","0.0000","9.2910e-009",
"391.2","0.0000","0.0000e+000",
"391.4","0.0000","0.0000e+000",
"391.6","0.0000","0.0000e+000",
"391.8","0.0000","0.0000e+000",
"392.0","0.0000","0.0000e+000",
"392.2","0.0007","2.4487e-007",
"392.4","0.0013","4.9536e-007",
"392.6","0.0007","2.6710e-007",
"392.8","0.0000","6.6904e-009",
"393.0","0.0009","3.5418e-007",
"393.2","0.0018","6.8114e-007",
"393.4","0.0009","3.3985e-007",
"393.6","0.0002","6.8256e-008",
"393.8","0.0010","3.8659e-007",
"394.0","0.0017","6.2961e-007",
"394.2","0.0011","4.2988e-007",
"394.4","0.0005","1.8152e-007",
"394.6","0.0001","4.6936e-008",
"394.8","0.0000","1.3776e-008",
"395.0","0.0002","8.7380e-008",
"395.2","0.0003","1.0298e-007",
"395.4","0.0001","2.6597e-008",
"395.6","0.0001","4.7425e-008",
"395.8","0.0004","1.6526e-007",
"396.0","0.0004","1.6224e-007",
"396.2","0.0001","4.4862e-008",
"396.4","0.0000","0.0000e+000",
"396.6","0.0000","0.0000e+000",
"396.8","0.0000","0.0000e+000",
"397.0","0.0000","0.0000e+000",
"397.2","0.0000","0.0000e+000",
"397.4","0.0000","0.0000e+000",
"397.6","0.0003","1.1351e-007",
"397.8","0.0007","2.5503e-007",
"398.0","0.0007","2.6771e-007",
"398.2","0.0007","2.6130e-007",
"398.4","0.0011","4.0380e-007",
"398.6","0.0013","4.7743e-007",
"398.8","0.0006","2.1054e-007",
"399.0","0.0000","1.2733e-008",
"399.2","0.0006","2.0607e-007",
"399.4","0.0009","3.3732e-007",
"399.6","0.0004","1.4219e-007",
"399.8","0.0000","1.6732e-008",
"400.0","0.0004","1.3483e-007",
"400.2","0.0005","1.8486e-007",
"400.4","0.0002","6.7908e-008",
"400.6","0.0000","0.0000e+000",
"400.8","0.0001","2.3631e-008",
"401.0","0.0004","1.3189e-007",
"401.2","0.0008","2.8999e-007",
"401.4","0.0012","4.3416e-007",
"401.6","0.0014","5.1378e-007",
"401.8","0.0011","4.2365e-007",
"402.0","0.0006","2.2259e-007",
"402.2","0.0002","6.5952e-008",
"402.4","0.0000","0.0000e+000",
"402.6","0.0003","1.2366e-007",
"402.8","0.0008","2.8534e-007",
"403.0","0.0005","1.9486e-007",
"403.2","0.0000","1.7581e-008",
"403.4","0.0000","0.0000e+000",
"403.6","0.0000","0.0000e+000",
"403.8","0.0002","9.2831e-008",
"404.0","0.0005","2.0536e-007",
"404.2","0.0008","2.8501e-007",
"404.4","0.0009","3.5023e-007",
"404.6","0.0011","4.0765e-007",
"404.8","0.0011","4.1936e-007",
"405.0","0.0010","3.5703e-007",
"405.2","0.0006","2.4300e-007",
"405.4","0.0002","8.8811e-008",
"405.6","0.0000","0.0000e+000",
"405.8","0.0000","0.0000e+000",
"406.0","0.0000","0.0000e+000",
"406.2","0.0000","5.7236e-009",
"406.4","0.0002","9.2746e-008",
"406.6","0.0006","2.3013e-007",
"406.8","0.0005","1.9480e-007",
"407.0","0.0001","3.7710e-008",
"407.2","0.0004","1.3901e-007",
"407.4","0.0011","3.9393e-007",
"407.6","0.0008","3.0771e-007",
"407.8","0.0001","4.9873e-008",
"408.0","0.0004","1.4682e-007",
"408.2","0.0010","3.8164e-007",
