"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0215","2.4613e-006",
"380.2","0.0159","1.8114e-006",
"380.4","0.0074","8.4437e-007",
"380.6","0.0051","5.8442e-007",
"380.8","0.0086","9.8115e-007",
"381.0","0.0149","1.6988e-006",
"381.2","0.0196","2.2392e-006",
"381.4","0.0122","1.3962e-006",
"381.6","0.0022","2.5469e-007",
"381.8","0.0063","7.1770e-007",
"382.0","0.0144","1.6424e-006",
"382.2","0.0125","1.4288e-006",
"382.4","0.0080","9.1459e-007",
"382.6","0.0086","9.7731e-007",
"382.8","0.0093","1.0675e-006",
"383.0","0.0072","8.1880e-007",
"383.2","0.0041","4.6344e-007",
"383.4","0.0004","4.3726e-008",
"383.6","0.0015","1.7414e-007",
"383.8","0.0113","1.2902e-006",
"384.0","0.0184","2.1004e-006",
"384.2","0.0172","1.9654e-006",
"384.4","0.0139","1.5905e-006",
"384.6","0.0104","1.1941e-006",
"384.8","0.0062","7.0375e-007",
"385.0","0.0017","1.9873e-007",
"385.2","0.0000","0.0000e+000",
"385.4","0.0000","0.0000e+000",
"385.6","0.0031","3.5259e-007",
"385.8","0.0091","1.0449e-006",
"386.0","0.0127","1.4531e-006",
"386.2","0.0128","1.4622e-006",
"386.4","0.0069","7.8353e-007",
"386.6","0.0007","7.6020e-008",
"386.8","0.0062","7.1210e-007",
"387.0","0.0151","1.7237e-006",
"387.2","0.0126","1.4391e-006",
"387.4","0.0074","8.4896e-007",
"387.6","0.0107","1.2214e-006",
"387.8","0.0151","1.7208e-006",
"388.0","0.0144","1.6493e-006",
"388.2","0.0117","1.3339e-006",
"388.4","0.0070","8.0482e-007",
"388.6","0.0042","4.7689e-007",
"388.8","0.0061","6.9761e-007",
"389.0","0.0077","8.8159e-007",
"389.2","0.0065","7.4274e-007",
"389.4","0.0055","6.2484e-007",
"389.6","0.0058","6.5951e-007",
"389.8","0.0073","8.3040e-007",
"390.0","0.0097","1.1104e-006",
"390.2","0.0114","1.3074e-006",
"390.4","0.0118","1.3520e-006",
"390.6","0.0111","1.2722e-006",
"390.8","0.0094","1.0718e-006",
"391.0","0.0063","7.2332e-007",
"391.2","0.0029","3.2995e-007",
"391.4","0.0007","7.7580e-008",
"391.6","0.0002","2.8306e-008",
