"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0034","9.6760e-007",
"380.2","0.0039","1.0831e-006",
"380.4","0.0041","1.1375e-006",
"380.6","0.0026","7.3196e-007",
"380.8","0.0007","2.0910e-007",
"381.0","0.0024","6.6455e-007",
"381.2","0.0053","1.5005e-006",
"381.4","0.0037","1.0380e-006",
"381.6","0.0011","2.9802e-007",
"381.8","0.0045","1.2530e-006",
"382.0","0.0091","2.5403e-006",
"382.2","0.0077","2.1640e-006",
"382.4","0.0045","1.2657e-006",
"382.6","0.0036","1.0173e-006",
"382.8","0.0030","8.4098e-007",
"383.0","0.0013","3.6708e-007",
"383.2","0.0000","0.0000e+000",
"383.4","0.0000","0.0000e+000",
"383.6","0.0000","0.0000e+000",
"383.8","0.0001","1.8005e-008",
"384.0","0.0006","1.7443e-007",
"384.2","0.0019","5.1921e-007",
"384.4","0.0032","8.9249e-007",
"384.6","0.0042","1.1768e-006",
"384.8","0.0036","1.0086e-006",
"385.0","0.0014","3.9016e-007",
"385.2","0.0000","0.0000e+000",
"385.4","0.0000","0.0000e+000",
"385.6","0.0004","1.0058e-007",
"385.8","0.0014","3.7951e-007",
"386.0","0.0030","8.5149e-007",
"386.2","0.0045","1.2602e-006",
"386.4","0.0032","9.0216e-007",
"386.6","0.0011","3.1575e-007",
"386.8","0.0023","6.5544e-007",
"387.0","0.0044","1.2418e-006",
"387.2","0.0031","8.6188e-007",
"387.4","0.0012","3.2296e-007",
"387.6","0.0024","6.8702e-007",
"387.8","0.0043","1.2201e-006",
"388.0","0.0046","1.2895e-006",
"388.2","0.0044","1.2321e-006",
"388.4","0.0041","1.1635e-006",
"388.6","0.0041","1.1460e-006",
"388.8","0.0045","1.2745e-006",
"389.0","0.0042","1.1830e-006",
"389.2","0.0024","6.7201e-007",
"389.4","0.0015","4.3105e-007",
"389.6","0.0026","7.3301e-007",
"389.8","0.0031","8.7714e-007",
"390.0","0.0025","6.8872e-007",
"390.2","0.0023","6.5661e-007",
"390.4","0.0029","8.1990e-007",
"390.6","0.0027","7.5994e-007",
"390.8","0.0018","4.9324e-007",
"391.0","0.0014","3.8779e-007",
"391.2","0.0015","4.2417e-007",
"391.4","0.0013","3.6056e-007",
"391.6","0.0010","2.7416e-007",
"391.8","0.0016","4.4490e-007",
"392.0","0.0024","6.6265e-007",
"392.2","0.0018","4.9232e-007",
"392.4","0.0007","1.8677e-007",
"392.6","0.0003","7.8858e-008",
"392.8","0.0003","9.7865e-008",
"393.0","0.0008","2.2028e-007",
"393.2","0.0014","3.9945e-007",
"393.4","0.0021","6.0130e-007",
"393.6","0.0028","7.7517e-007",
"393.8","0.0032","8.8837e-007",
"394.0","0.0030","8.2825e-007",
"394.2","0.0017","4.8935e-007",
"394.4","0.0010","2.7454e-007",
"394.6","0.0014","3.9619e-007",
"394.8","0.0021","5.8745e-007",
"395.0","0.0026","7.2438e-007",
"395.2","0.0021","5.7770e-007",
"395.4","0.0006","1.5947e-007",
"395.6","0.0005","1.3581e-007",
"395.8","0.0019","5.1893e-007",
"396.0","0.0019","5.2081e-007",
"396.2","0.0005","1.4402e-007",
"396.4","0.0000","0.0000e+000",
"396.6","0.0000","0.0000e+000",
"396.8","0.0000","0.0000e+000",
"397.0","0.0000","0.0000e+000",
"397.2","0.0000","0.0000e+000",
"397.4","0.0000","0.0000e+000",
"397.6","0.0001","2.6282e-008",
"397.8","0.0004","1.0309e-007",
"398.0","0.0010","2.7923e-007",
"398.2","0.0017","4.8069e-007",
"398.4","0.0024","6.8611e-007",
"398.6","0.0026","7.3699e-007",
"398.8","0.0012","3.4084e-007",
"399.0","0.0002","5.6410e-008",
"399.2","0.0012","3.4984e-007",
"399.4","0.0019","5.4191e-007",
"399.6","0.0008","2.3222e-007",
"399.8","0.0000","1.1861e-008",
"400.0","0.0005","1.4326e-007",
"400.2","0.0008","2.2972e-007",
"400.4","0.0005","1.4627e-007",
"400.6","0.0004","1.1787e-007",
"400.8","0.0007","2.0333e-007",
"401.0","0.0012","3.3411e-007",
"401.2","0.0017","4.8638e-007",
"401.4","0.0024","6.7482e-007",
"401.6","0.0029","8.2489e-007",
"401.8","0.0025","7.0212e-007",
"402.0","0.0014","3.8841e-007",
"402.2","0.0004","1.1654e-007",
"402.4","0.0000","0.0000e+000",
"402.6","0.0010","2.8177e-007",
"402.8","0.0023","6.5545e-007",
"403.0","0.0018","5.0765e-007",
"403.2","0.0006","1.8168e-007",
"403.4","0.0005","1.4347e-007",
"403.6","0.0008","2.3290e-007",
"403.8","0.0012","3.2811e-007",
"404.0","0.0016","4.3986e-007",
"404.2","0.0020","5.7212e-007",
"404.4","0.0024","6.6101e-007",
"404.6","0.0023","6.4172e-007",
"404.8","0.0021","5.9497e-007",
"405.0","0.0020","5.6833e-007",
"405.2","0.0016","4.4053e-007",
"405.4","0.0006","1.5678e-007",
"405.6","0.0000","9.2175e-009",
"405.8","0.0004","1.1357e-007",
"406.0","0.0007","1.8374e-007",
"406.2","0.0005","1.4632e-007",
"406.4","0.0007","2.0238e-007",
"406.6","0.0012","3.4225e-007",
"406.8","0.0010","2.6670e-007",
"407.0","0.0002","4.8107e-008",
"407.2","0.0007","2.0248e-007",
"407.4","0.0021","5.7818e-007",
"407.6","0.0017","4.7984e-007",
"407.8","0.0005","1.4262e-007",
"408.0","0.0011","3.0838e-007",
"408.2","0.0023","6.5554e-007",
"408.4","0.0018","4.9647e-007",
"408.6","0.0005","1.4365e-007",
"408.8","0.0002","5.7947e-008",
"409.0","0.0003","7.5015e-008",
"409.2","0.0001","2.1656e-008",
"409.4","0.0000","1.2243e-009",
"409.6","0.0004","1.2378e-007",
"409.8","0.0009","2.5250e-007",
"410.0","0.0010","2.8909e-007",
"410.2","0.0010","2.9373e-007",
"410.4","0.0010","2.8801e-007",
"410.6","0.0009","2.4427e-007",
"410.8","0.0005","1.5322e-007",
"411.0","0.0005","1.3823e-007",
"411.2","0.0009","2.5548e-007",
"411.4","0.0014","4.0452e-007",
"411.6","0.0019","5.3145e-007",
"411.8","0.0020","5.6460e-007",
"412.0","0.0017","4.8767e-007",
"412.2","0.0013","3.6111e-007",
"412.4","0.0008","2.3674e-007",
"412.6","0.0009","2.4298e-007",
"412.8","0.0012","3.3416e-007",
"413.0","0.0010","2.8833e-007",
"413.2","0.0006","1.6134e-007",
"413.4","0.0005","1.4815e-007",
"413.6","0.0008","2.1964e-007",
"413.8","0.0011","3.0680e-007",
"414.0","0.0014","3.8303e-007",
"414.2","0.0015","4.1250e-007",
"414.4","0.0014","3.9366e-007",
"414.6","0.0010","2.7223e-007",
"414.8","0.0007","1.9430e-007",
"415.0","0.0014","3.9765e-007",
"415.2","0.0021","6.0194e-007",
"415.4","0.0021","5.7650e-007",
"415.6","0.0016","4.4299e-007",
"415.8","0.0008","2.2084e-007",
"416.0","0.0003","9.2522e-008",
"416.2","0.0007","2.0218e-007",
"416.4","0.0012","3.3724e-007",
"416.6","0.0014","3.9826e-007",
"416.8","0.0015","4.1903e-007",
"417.0","0.0014","4.0447e-007",
"417.2","0.0015","4.2498e-007",
"417.4","0.0017","4.7802e-007",
"417.6","0.0014","3.8360e-007",
"417.8","0.0005","1.5402e-007",
"418.0","0.0002","4.7232e-008",
"418.2","0.0004","9.9864e-008",
"418.4","0.0009","2.5181e-007",
"418.6","0.0014","4.0160e-007",
"418.8","0.0011","2.9940e-007",
"419.0","0.0002","5.7837e-008",
"419.2","0.0000","0.0000e+000",
"419.4","0.0000","0.0000e+000",
"419.6","0.0001","1.6394e-008",
"419.8","0.0002","6.8235e-008",
"420.0","0.0007","2.0116e-007",
"420.2","0.0012","3.4139e-007",
"420.4","0.0014","4.0163e-007",
"420.6","0.0014","4.0210e-007",
"420.8","0.0012","3.3276e-007",
"421.0","0.0008","2.3802e-007",
"421.2","0.0005","1.4684e-007",
"421.4","0.0003","9.2881e-008",
"421.6","0.0004","1.1515e-007",
"421.8","0.0006","1.5567e-007",
"422.0","0.0007","1.8313e-007",
"422.2","0.0006","1.6663e-007",
"422.4","0.0003","8.7913e-008",
"422.6","0.0001","1.6997e-008",
"422.8","0.0000","0.0000e+000",
"423.0","0.0002","4.3715e-008",
"423.2","0.0006","1.7049e-007",
"423.4","0.0009","2.5324e-007",
"423.6","0.0009","2.6044e-007",
"423.8","0.0007","2.1008e-007",
"424.0","0.0005","1.3153e-007",
"424.2","0.0004","1.0231e-007",
"424.4","0.0004","1.1628e-007",
"424.6","0.0004","1.2094e-007",
"424.8","0.0004","1.2114e-007",
"425.0","0.0005","1.3159e-007",
"425.2","0.0006","1.6437e-007",
"425.4","0.0009","2.6193e-007",
"425.6","0.0013","3.5536e-007",
"425.8","0.0012","3.2929e-007",
"426.0","0.0009","2.6303e-007",
"426.2","0.0009","2.4427e-007",
"426.4","0.0009","2.4119e-007",
"426.6","0.0009","2.4177e-007",
"426.8","0.0009","2.3920e-007",
"427.0","0.0008","2.2335e-007",
"427.2","0.0007","1.9671e-007",
"427.4","0.0005","1.5386e-007",
"427.6","0.0006","1.8069e-007",
"427.8","0.0012","3.3205e-007",
"428.0","0.0015","4.2293e-007",
"428.2","0.0013","3.6257e-007",
"428.4","0.0008","2.3235e-007",
"428.6","0.0003","7.3953e-008",
"428.8","0.0000","0.0000e+000",
"429.0","0.0000","0.0000e+000",
"429.2","0.0003","9.1021e-008",
"429.4","0.0008","2.3350e-007",
"429.6","0.0012","3.4868e-007",
"429.8","0.0015","4.2905e-007",
"430.0","0.0020","5.5980e-007",
"430.2","0.0023","6.5553e-007",
"430.4","0.0016","4.3946e-007",
"430.6","0.0003","7.8667e-008",
"430.8","0.0000","0.0000e+000",
"431.0","0.0000","0.0000e+000",
"431.2","0.0003","9.6977e-008",
"431.4","0.0008","2.3738e-007",
"431.6","0.0012","3.3745e-007",
"431.8","0.0014","4.0652e-007",
"432.0","0.0016","4.6271e-007",
"432.2","0.0016","4.4803e-007",
"432.4","0.0009","2.4675e-007",
"432.6","0.0003","7.5786e-008",
"432.8","0.0004","1.2142e-007",
"433.0","0.0008","2.3152e-007",
"433.2","0.0012","3.4307e-007",
"433.4","0.0012","3.4451e-007",
"433.6","0.0005","1.4547e-007",
"433.8","0.0001","1.6758e-008",
"434.0","0.0003","8.7222e-008",
"434.2","0.0007","1.9920e-007",
"434.4","0.0010","2.8973e-007",
"434.6","0.0011","3.1470e-007",
"434.8","0.0009","2.6467e-007",
"435.0","0.0008","2.3835e-007",
"435.2","0.0009","2.4196e-007",
"435.4","0.0006","1.6985e-007",
"435.6","0.0002","4.9639e-008",
"435.8","0.0001","2.7180e-008",
"436.0","0.0003","9.8060e-008",
"436.2","0.0007","2.0745e-007",
"436.4","0.0011","3.0085e-007",
"436.6","0.0010","2.6897e-007",
"436.8","0.0006","1.7517e-007",
"437.0","0.0005","1.4201e-007",
"437.2","0.0005","1.4168e-007",
"437.4","0.0005","1.3840e-007",
"437.6","0.0005","1.2889e-007",
"437.8","0.0003","9.5077e-008",
"438.0","0.0003","7.0711e-008",
"438.2","0.0004","1.0928e-007",
"438.4","0.0005","1.3917e-007",
"438.6","0.0003","8.6208e-008",
"438.8","0.0002","6.7207e-008",
"439.0","0.0006","1.7441e-007",
"439.2","0.0009","2.4888e-007",
"439.4","0.0007","1.9564e-007",
"439.6","0.0006","1.6912e-007",
"439.8","0.0008","2.3643e-007",
"440.0","0.0009","2.4147e-007",
"440.2","0.0005","1.3410e-007",
"440.4","0.0002","5.2364e-008",
"440.6","0.0002","5.2062e-008",
"440.8","0.0006","1.6368e-007",
"441.0","0.0012","3.4959e-007",
"441.2","0.0014","3.9087e-007",
"441.4","0.0010","2.8446e-007",
"441.6","0.0008","2.2167e-007",
"441.8","0.0008","2.1919e-007",
"442.0","0.0008","2.1210e-007",
"442.2","0.0007","2.0523e-007",
"442.4","0.0008","2.2739e-007",
"442.6","0.0009","2.6556e-007",
"442.8","0.0011","2.9874e-007",
"443.0","0.0011","3.1380e-007",
"443.2","0.0010","2.8166e-007",
"443.4","0.0008","2.3489e-007",
"443.6","0.0008","2.2037e-007",
"443.8","0.0008","2.1597e-007",
"444.0","0.0007","2.0166e-007",
"444.2","0.0007","1.8673e-007",
"444.4","0.0006","1.7250e-007",
"444.6","0.0006","1.7397e-007",
"444.8","0.0007","2.0563e-007",
"445.0","0.0009","2.6345e-007",
"445.2","0.0013","3.5224e-007",
"445.4","0.0014","4.0151e-007",
"445.6","0.0013","3.6654e-007",
"445.8","0.0012","3.4078e-007",
"446.0","0.0013","3.6329e-007",
"446.2","0.0013","3.5841e-007",
"446.4","0.0011","3.1115e-007",
"446.6","0.0011","3.1210e-007",
"446.8","0.0013","3.7408e-007",
"447.0","0.0014","4.0595e-007",
"447.2","0.0014","3.9461e-007",
"447.4","0.0014","3.8664e-007",
"447.6","0.0014","3.9763e-007",
"447.8","0.0016","4.5895e-007",
"448.0","0.0019","5.3706e-007",
"448.2","0.0019","5.3304e-007",
"448.4","0.0017","4.7061e-007",
"448.6","0.0015","4.1427e-007",
"448.8","0.0014","3.7971e-007",
"449.0","0.0014","3.8890e-007",
"449.2","0.0015","4.2627e-007",
"449.4","0.0017","4.7330e-007",
"449.6","0.0019","5.2292e-007",
"449.8","0.0020","5.7205e-007",
"450.0","0.0021","5.9505e-007",
"450.2","0.0019","5.3185e-007",
"450.4","0.0017","4.8655e-007",
"450.6","0.0020","5.6985e-007",
"450.8","0.0023","6.4887e-007",
"451.0","0.0023","6.3116e-007",
"451.2","0.0021","5.9125e-007",
"451.4","0.0020","5.6223e-007",
"451.6","0.0019","5.2474e-007",
"451.8","0.0017","4.7369e-007",
"452.0","0.0015","4.2554e-007",
"452.2","0.0014","3.9264e-007",
"452.4","0.0015","4.1714e-007",
"452.6","0.0018","5.0712e-007",
"452.8","0.0021","6.0062e-007",
"453.0","0.0024","6.6044e-007",
"453.2","0.0022","6.1976e-007",
"453.4","0.0018","5.0161e-007",
"453.6","0.0016","4.6251e-007",
"453.8","0.0018","5.1598e-007",
