"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0040","2.8642e-006",
"380.2","0.0034","2.4155e-006",
"380.4","0.0035","2.4740e-006",
"380.6","0.0028","1.9954e-006",
"380.8","0.0019","1.3684e-006",
"381.0","0.0029","2.0474e-006",
"381.2","0.0046","3.2862e-006",
"381.4","0.0044","3.1422e-006",
"381.6","0.0034","2.4394e-006",
"381.8","0.0037","2.6527e-006",
"382.0","0.0044","3.1576e-006",
"382.2","0.0044","3.1616e-006",
"382.4","0.0041","2.9267e-006",
"382.6","0.0037","2.6719e-006",
"382.8","0.0033","2.3352e-006",
"383.0","0.0025","1.8209e-006",
"383.2","0.0020","1.4485e-006",
"383.4","0.0021","1.4738e-006",
"383.6","0.0025","1.8159e-006",
"383.8","0.0035","2.4913e-006",
"384.0","0.0038","2.6933e-006",
"384.2","0.0028","2.0378e-006",
"384.4","0.0026","1.8964e-006",
"384.6","0.0037","2.6331e-006",
"384.8","0.0038","2.7564e-006",
"385.0","0.0028","2.0075e-006",
"385.2","0.0022","1.5596e-006",
"385.4","0.0022","1.5990e-006",
"385.6","0.0023","1.6216e-006",
"385.8","0.0023","1.6792e-006",
"386.0","0.0032","2.2973e-006",
"386.2","0.0043","3.0524e-006",
"386.4","0.0038","2.7023e-006",
"386.6","0.0027","1.9664e-006",
"386.8","0.0034","2.4067e-006",
"387.0","0.0045","3.1917e-006",
"387.2","0.0040","2.8806e-006",
"387.4","0.0033","2.3289e-006",
"387.6","0.0037","2.6145e-006",
"387.8","0.0043","3.0743e-006",
"388.0","0.0045","3.2282e-006",
"388.2","0.0043","3.1101e-006",
"388.4","0.0035","2.5258e-006",
"388.6","0.0030","2.1260e-006",
"388.8","0.0033","2.3811e-006",
"389.0","0.0037","2.6150e-006",
"389.2","0.0035","2.5113e-006",
"389.4","0.0033","2.3839e-006",
"389.6","0.0033","2.3383e-006",
"389.8","0.0032","2.3105e-006",
"390.0","0.0032","2.2990e-006",
"390.2","0.0033","2.3687e-006",
"390.4","0.0035","2.4956e-006",
"390.6","0.0035","2.5347e-006",
"390.8","0.0034","2.4381e-006",
"391.0","0.0030","2.1206e-006",
"391.2","0.0025","1.7574e-006",
"391.4","0.0025","1.8054e-006",
"391.6","0.0030","2.1461e-006",
"391.8","0.0035","2.4896e-006",
"392.0","0.0038","2.7128e-006",
"392.2","0.0036","2.5828e-006",
"392.4","0.0033","2.3308e-006",
"392.6","0.0032","2.2565e-006",
"392.8","0.0032","2.3119e-006",
"393.0","0.0036","2.5776e-006",
"393.2","0.0038","2.7407e-006",
"393.4","0.0033","2.3736e-006",
"393.6","0.0029","2.0994e-006",
"393.8","0.0034","2.4014e-006",
"394.0","0.0036","2.5846e-006",
"394.2","0.0031","2.2449e-006",
"394.4","0.0027","1.9414e-006",
"394.6","0.0027","1.9268e-006",
"394.8","0.0029","2.1111e-006",
"395.0","0.0034","2.4476e-006",
"395.2","0.0036","2.5578e-006",
"395.4","0.0033","2.3572e-006",
"395.6","0.0032","2.2641e-006",
"395.8","0.0033","2.3405e-006",
"396.0","0.0033","2.3583e-006",
"396.2","0.0032","2.2745e-006",
"396.4","0.0029","2.0642e-006",
"396.6","0.0026","1.8367e-006",
"396.8","0.0027","1.8976e-006",
"397.0","0.0029","2.1074e-006",
"397.2","0.0029","2.0820e-006",
"397.4","0.0028","1.9889e-006",
"397.6","0.0030","2.1518e-006",
"397.8","0.0034","2.4491e-006",
"398.0","0.0039","2.7906e-006",
"398.2","0.0042","3.0233e-006",
"398.4","0.0040","2.8819e-006",
"398.6","0.0037","2.6420e-006",
"398.8","0.0035","2.5202e-006",
"399.0","0.0035","2.4894e-006",
"399.2","0.0036","2.5969e-006",
"399.4","0.0038","2.7114e-006",
"399.6","0.0038","2.7463e-006",
"399.8","0.0039","2.8175e-006",
"400.0","0.0041","2.9684e-006",
"400.2","0.0043","3.0503e-006",
"400.4","0.0042","3.0091e-006",
"400.6","0.0041","2.9444e-006",
"400.8","0.0041","2.9110e-006",
"401.0","0.0042","3.0149e-006",
"401.2","0.0045","3.2438e-006",
"401.4","0.0048","3.4210e-006",
"401.6","0.0049","3.5016e-006",
"401.8","0.0049","3.4950e-006",
"402.0","0.0047","3.3989e-006",
"402.2","0.0043","3.1139e-006",
"402.4","0.0040","2.8685e-006",
"402.6","0.0046","3.2611e-006",
"402.8","0.0053","3.8191e-006",
"403.0","0.0050","3.6048e-006",
"403.2","0.0044","3.1741e-006",
"403.4","0.0047","3.3344e-006",
"403.6","0.0051","3.6855e-006",
"403.8","0.0054","3.8441e-006",
"404.0","0.0055","3.9376e-006",
"404.2","0.0056","3.9956e-006",
"404.4","0.0057","4.0709e-006",
"404.6","0.0059","4.2247e-006",
"404.8","0.0061","4.3900e-006",
"405.0","0.0063","4.5346e-006",
"405.2","0.0062","4.4748e-006",
"405.4","0.0057","4.1019e-006",
"405.6","0.0055","3.9062e-006",
"405.8","0.0057","4.0908e-006",
"406.0","0.0060","4.2996e-006",
"406.2","0.0062","4.4268e-006",
"406.4","0.0064","4.5573e-006",
"406.6","0.0066","4.6999e-006",
"406.8","0.0068","4.8469e-006",
"407.0","0.0070","5.0038e-006",
"407.2","0.0073","5.2162e-006",
"407.4","0.0076","5.4148e-006",
"407.6","0.0075","5.3550e-006",
"407.8","0.0073","5.2317e-006",
"408.0","0.0078","5.5989e-006",
"408.2","0.0085","6.1206e-006",
"408.4","0.0085","6.1018e-006",
"408.6","0.0082","5.8699e-006",
"408.8","0.0082","5.9014e-006",
"409.0","0.0084","6.0393e-006",
"409.2","0.0085","6.1190e-006",
"409.4","0.0087","6.2595e-006",
"409.6","0.0092","6.5850e-006",
"409.8","0.0097","6.9577e-006",
"410.0","0.0102","7.3041e-006",
"410.2","0.0105","7.5060e-006",
"410.4","0.0104","7.4271e-006",
"410.6","0.0103","7.3998e-006",
"410.8","0.0106","7.6079e-006",
"411.0","0.0110","7.8592e-006",
"411.2","0.0113","8.0877e-006",
"411.4","0.0116","8.2797e-006",
"411.6","0.0118","8.4205e-006",
"411.8","0.0120","8.5908e-006",
"412.0","0.0123","8.7835e-006",
"412.2","0.0124","8.8652e-006",
"412.4","0.0124","8.8925e-006",
"412.6","0.0129","9.2193e-006",
"412.8","0.0136","9.7404e-006",
"413.0","0.0139","9.9688e-006",
"413.2","0.0140","1.0007e-005",
"413.4","0.0143","1.0241e-005",
"413.6","0.0149","1.0636e-005",
"413.8","0.0155","1.1096e-005",
"414.0","0.0161","1.1536e-005",
"414.2","0.0164","1.1726e-005",
"414.4","0.0166","1.1889e-005",
"414.6","0.0172","1.2351e-005",
"414.8","0.0180","1.2902e-005",
"415.0","0.0186","1.3339e-005",
"415.2","0.0192","1.3772e-005",
"415.4","0.0200","1.4301e-005",
"415.6","0.0206","1.4769e-005",
"415.8","0.0210","1.5058e-005",
"416.0","0.0213","1.5285e-005",
"416.2","0.0216","1.5475e-005",
"416.4","0.0221","1.5817e-005",
"416.6","0.0229","1.6413e-005",
"416.8","0.0237","1.6990e-005",
"417.0","0.0244","1.7446e-005",
"417.2","0.0251","1.7940e-005",
"417.4","0.0258","1.8480e-005",
