"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0036","3.3720e-006",
"380.2","0.0043","4.0750e-006",
"380.4","0.0045","4.2515e-006",
"380.6","0.0043","4.0773e-006",
"380.8","0.0039","3.7263e-006",
"381.0","0.0038","3.6371e-006",
"381.2","0.0038","3.5824e-006",
"381.4","0.0030","2.8628e-006",
"381.6","0.0022","2.0823e-006",
"381.8","0.0023","2.2166e-006",
"382.0","0.0029","2.7917e-006",
"382.2","0.0035","3.3037e-006",
"382.4","0.0039","3.6937e-006",
"382.6","0.0041","3.8598e-006",
"382.8","0.0039","3.7224e-006",
"383.0","0.0032","3.0077e-006",
"383.2","0.0027","2.5498e-006",
"383.4","0.0032","3.0702e-006",
"383.6","0.0036","3.4342e-006",
"383.8","0.0032","3.0405e-006",
"384.0","0.0029","2.7095e-006",
"384.2","0.0029","2.7803e-006",
"384.4","0.0032","3.0322e-006",
"384.6","0.0036","3.3956e-006",
"384.8","0.0040","3.8301e-006",
"385.0","0.0044","4.1337e-006",
"385.2","0.0036","3.4464e-006",
"385.4","0.0022","2.0483e-006",
"385.6","0.0018","1.6672e-006",
"385.8","0.0024","2.2575e-006",
"386.0","0.0030","2.8188e-006",
"386.2","0.0033","3.1400e-006",
"386.4","0.0032","3.0201e-006",
"386.6","0.0029","2.6994e-006",
"386.8","0.0027","2.5977e-006",
"387.0","0.0028","2.6505e-006",
"387.2","0.0031","2.9526e-006",
"387.4","0.0032","2.9880e-006",
"387.6","0.0017","1.6263e-006",
"387.8","0.0006","5.7577e-007",
"388.0","0.0020","1.9091e-006",
"388.2","0.0037","3.4915e-006",
"388.4","0.0043","4.0313e-006",
"388.6","0.0041","3.9223e-006",
"388.8","0.0032","3.0725e-006",
"389.0","0.0025","2.3585e-006",
"389.2","0.0024","2.3146e-006",
"389.4","0.0030","2.8082e-006",
"389.6","0.0039","3.7178e-006",
"389.8","0.0039","3.7027e-006",
"390.0","0.0026","2.4854e-006",
"390.2","0.0018","1.7137e-006",
"390.4","0.0019","1.7903e-006",
"390.6","0.0024","2.2579e-006",
"390.8","0.0030","2.8487e-006",
"391.0","0.0032","3.0108e-006",
"391.2","0.0030","2.8005e-006",
"391.4","0.0028","2.6135e-006",
"391.6","0.0027","2.5222e-006",
"391.8","0.0027","2.5911e-006",
"392.0","0.0029","2.7523e-006",
"392.2","0.0030","2.8646e-006",
"392.4","0.0032","2.9997e-006",
"392.6","0.0036","3.3695e-006",
"392.8","0.0038","3.6228e-006",
"393.0","0.0034","3.1730e-006",
"393.2","0.0029","2.7014e-006",
"393.4","0.0031","2.9090e-006",
"393.6","0.0033","3.0934e-006",
"393.8","0.0029","2.7753e-006",
"394.0","0.0028","2.6198e-006",
"394.2","0.0032","3.0091e-006",
"394.4","0.0036","3.4383e-006",
"394.6","0.0039","3.6794e-006",
"394.8","0.0039","3.7301e-006",
"395.0","0.0038","3.5822e-006",
"395.2","0.0037","3.5379e-006",
"395.4","0.0039","3.6489e-006",
"395.6","0.0037","3.5057e-006",
"395.8","0.0033","3.1246e-006",
"396.0","0.0032","3.0340e-006",
"396.2","0.0034","3.2498e-006",
"396.4","0.0037","3.4646e-006",
"396.6","0.0038","3.5776e-006",
"396.8","0.0036","3.4282e-006",
"397.0","0.0034","3.1773e-006",
"397.2","0.0034","3.1834e-006",
"397.4","0.0035","3.3492e-006",
"397.6","0.0037","3.5086e-006",
"397.8","0.0038","3.6220e-006",
"398.0","0.0038","3.6179e-006",
"398.2","0.0038","3.5540e-006",
"398.4","0.0037","3.4697e-006",
"398.6","0.0036","3.3929e-006",
"398.8","0.0036","3.3908e-006",
"399.0","0.0035","3.3351e-006",
"399.2","0.0033","3.1010e-006",
"399.4","0.0031","2.9614e-006",
"399.6","0.0033","3.0937e-006",
"399.8","0.0036","3.3713e-006",
"400.0","0.0039","3.7356e-006",
"400.2","0.0041","3.9050e-006",
"400.4","0.0040","3.7870e-006",
"400.6","0.0042","3.9364e-006",
"400.8","0.0046","4.4011e-006",
"401.0","0.0045","4.2958e-006",
