"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0036","1.0329e-006",
"380.2","0.0050","1.4089e-006",
"380.4","0.0065","1.8475e-006",
"380.6","0.0052","1.4741e-006",
"380.8","0.0024","6.9207e-007",
"381.0","0.0034","9.5924e-007",
"381.2","0.0058","1.6625e-006",
"381.4","0.0040","1.1470e-006",
"381.6","0.0005","1.5395e-007",
"381.8","0.0000","0.0000e+000",
"382.0","0.0000","0.0000e+000",
"382.2","0.0022","6.3842e-007",
"382.4","0.0047","1.3341e-006",
"382.6","0.0049","1.4026e-006",
"382.8","0.0041","1.1607e-006",
"383.0","0.0022","6.3067e-007",
"383.2","0.0013","3.6326e-007",
"383.4","0.0032","9.1456e-007",
"383.6","0.0044","1.2410e-006",
"383.8","0.0027","7.6978e-007",
"384.0","0.0012","3.5361e-007",
"384.2","0.0013","3.6174e-007",
"384.4","0.0020","5.7425e-007",
"384.6","0.0032","9.1924e-007",
"384.8","0.0044","1.2462e-006",
"385.0","0.0049","1.4070e-006",
"385.2","0.0036","1.0291e-006",
"385.4","0.0010","2.7059e-007",
"385.6","0.0000","0.0000e+000",
"385.8","0.0007","2.1083e-007",
"386.0","0.0020","5.7975e-007",
"386.2","0.0032","9.1649e-007",
"386.4","0.0032","9.1828e-007",
"386.6","0.0026","7.3878e-007",
"386.8","0.0025","7.0552e-007",
"387.0","0.0024","6.9580e-007",
"387.2","0.0017","4.9420e-007",
"387.4","0.0008","2.3975e-007",
"387.6","0.0000","1.3706e-008",
"387.8","0.0000","2.1818e-009",
"388.0","0.0020","5.6098e-007",
"388.2","0.0040","1.1275e-006",
"388.4","0.0047","1.3350e-006",
"388.6","0.0041","1.1688e-006",
"388.8","0.0017","4.8006e-007",
"389.0","0.0000","0.0000e+000",
"389.2","0.0000","4.4614e-009",
"389.4","0.0018","5.1944e-007",
"389.6","0.0049","1.3899e-006",
"389.8","0.0052","1.4739e-006",
"390.0","0.0018","5.2355e-007",
"390.2","0.0000","0.0000e+000",
"390.4","0.0000","0.0000e+000",
"390.6","0.0007","1.9397e-007",
"390.8","0.0020","5.6984e-007",
"391.0","0.0020","5.8141e-007",
"391.2","0.0011","3.0955e-007",
"391.4","0.0005","1.3594e-007",
"391.6","0.0005","1.3266e-007",
"391.8","0.0015","4.2113e-007",
"392.0","0.0028","7.8783e-007",
"392.2","0.0028","8.0780e-007",
"392.4","0.0025","7.2397e-007",
"392.6","0.0034","9.7409e-007",
"392.8","0.0041","1.1608e-006",
"393.0","0.0022","6.3616e-007",
"393.2","0.0007","2.0739e-007",
"393.4","0.0027","7.7143e-007",
"393.6","0.0044","1.2662e-006",
"393.8","0.0034","9.5841e-007",
"394.0","0.0023","6.4135e-007",
"394.2","0.0025","7.1734e-007",
"394.4","0.0032","9.0668e-007",
