"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0022","1.8478e-006",
"380.2","0.0030","2.5111e-006",
"380.4","0.0027","2.1872e-006",
"380.6","0.0015","1.2702e-006",
"380.8","0.0003","2.4526e-007",
"381.0","0.0002","1.3660e-007",
"381.2","0.0007","5.4249e-007",
"381.4","0.0005","3.7962e-007",
"381.6","0.0000","3.8413e-008",
"381.8","0.0003","2.6098e-007",
"382.0","0.0008","6.5203e-007",
"382.2","0.0008","6.8036e-007",
"382.4","0.0007","5.6596e-007",
"382.6","0.0006","5.0068e-007",
"382.8","0.0005","4.1915e-007",
"383.0","0.0003","2.2078e-007",
"383.2","0.0003","2.8604e-007",
"383.4","0.0012","9.9798e-007",
"383.6","0.0016","1.2866e-006",
"383.8","0.0006","5.1850e-007",
"384.0","0.0001","5.1486e-008",
"384.2","0.0006","4.9009e-007",
"384.4","0.0011","9.0610e-007",
"384.6","0.0012","1.0264e-006",
"384.8","0.0016","1.3543e-006",
"385.0","0.0022","1.8304e-006",
"385.2","0.0018","1.4494e-006",
"385.4","0.0005","3.7767e-007",
"385.6","0.0001","8.2186e-008",
"385.8","0.0007","5.4917e-007",
"386.0","0.0012","1.0069e-006",
"386.2","0.0015","1.2741e-006",
"386.4","0.0014","1.1244e-006",
"386.6","0.0010","8.2484e-007",
"386.8","0.0011","8.8946e-007",
"387.0","0.0014","1.1134e-006",
"387.2","0.0015","1.2614e-006",
"387.4","0.0015","1.2037e-006",
"387.6","0.0007","5.6023e-007",
"387.8","0.0000","5.5704e-010",
"388.0","0.0004","3.1188e-007",
"388.2","0.0009","7.8188e-007",
"388.4","0.0013","1.0398e-006",
"388.6","0.0012","9.8883e-007",
"388.8","0.0005","4.2634e-007",
"389.0","0.0000","0.0000e+000",
"389.2","0.0000","0.0000e+000",
"389.4","0.0004","3.4324e-007",
"389.6","0.0019","1.5288e-006",
"389.8","0.0021","1.7469e-006",
"390.0","0.0008","6.2817e-007",
"390.2","0.0000","0.0000e+000",
"390.4","0.0000","0.0000e+000",
"390.6","0.0003","2.2502e-007",
"390.8","0.0008","6.6247e-007",
"391.0","0.0008","6.9218e-007",
"391.2","0.0005","3.8487e-007",
"391.4","0.0002","1.2812e-007",
"391.6","0.0000","6.3254e-009",
"391.8","0.0002","1.6503e-007",
"392.0","0.0005","3.9275e-007",
"392.2","0.0003","2.2600e-007",
"392.4","0.0000","1.1594e-008",
"392.6","0.0004","3.4812e-007",
"392.8","0.0009","7.4362e-007",
"393.0","0.0007","5.4796e-007",
"393.2","0.0004","2.9888e-007",
"393.4","0.0006","5.1169e-007",
"393.6","0.0008","6.2877e-007",
"393.8","0.0003","2.2947e-007",
"394.0","0.0001","6.5168e-008",
"394.2","0.0007","6.0484e-007",
"394.4","0.0013","1.0738e-006",
"394.6","0.0013","1.1107e-006",
"394.8","0.0012","1.0223e-006",
"395.0","0.0011","9.0051e-007",
"395.2","0.0009","7.4398e-007",
"395.4","0.0007","5.9325e-007",
"395.6","0.0007","5.7722e-007",
"395.8","0.0008","6.7232e-007",
"396.0","0.0007","6.0004e-007",
"396.2","0.0005","3.9057e-007",
"396.4","0.0005","3.7127e-007",
"396.6","0.0006","4.6596e-007",
"396.8","0.0004","3.0539e-007",
"397.0","0.0001","4.5655e-008",
"397.2","0.0001","1.0354e-007",
"397.4","0.0004","3.1490e-007",
"397.6","0.0004","3.5481e-007",
"397.8","0.0004","3.4336e-007",
"398.0","0.0006","4.7829e-007",
"398.2","0.0007","5.9650e-007",
"398.4","0.0006","4.9768e-007",
"398.6","0.0004","3.3121e-007",
"398.8","0.0002","2.0409e-007",
"399.0","0.0001","1.0060e-007",
"399.2","0.0000","3.3042e-008",
"399.4","0.0000","0.0000e+000",
"399.6","0.0000","0.0000e+000",
"399.8","0.0000","3.3327e-008",
"400.0","0.0002","1.9868e-007",
"400.2","0.0004","3.3735e-007",
"400.4","0.0005","4.0758e-007",
"400.6","0.0008","6.3584e-007",
"400.8","0.0012","9.9212e-007",
"401.0","0.0010","8.6350e-007",
"401.2","0.0003","2.6092e-007",
"401.4","0.0000","0.0000e+000",
"401.6","0.0000","0.0000e+000",
"401.8","0.0002","1.8960e-007",
"402.0","0.0006","4.8044e-007",
"402.2","0.0004","3.6691e-007",
"402.4","0.0001","5.9836e-008",
"402.6","0.0002","1.2690e-007",
"402.8","0.0004","3.3751e-007",
"403.0","0.0003","2.3404e-007",
"403.2","0.0000","2.1117e-008",
"403.4","0.0000","0.0000e+000",
"403.6","0.0000","0.0000e+000",
"403.8","0.0001","6.5630e-008",
"404.0","0.0001","1.1490e-007",
"404.2","0.0001","6.0226e-008",
"404.4","0.0000","0.0000e+000",
"404.6","0.0000","0.0000e+000",
