"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0095","1.3454e-006",
"380.2","0.0135","1.8989e-006",
"380.4","0.0118","1.6650e-006",
"380.6","0.0089","1.2563e-006",
"380.8","0.0067","9.4457e-007",
"381.0","0.0090","1.2670e-006",
"381.2","0.0128","1.8082e-006",
"381.4","0.0108","1.5255e-006",
"381.6","0.0065","9.1565e-007",
"381.8","0.0055","7.7347e-007",
"382.0","0.0064","8.9718e-007",
"382.2","0.0081","1.1433e-006",
"382.4","0.0095","1.3468e-006",
"382.6","0.0091","1.2851e-006",
"382.8","0.0075","1.0570e-006",
"383.0","0.0044","6.2323e-007",
"383.2","0.0022","3.0729e-007",
"383.4","0.0027","3.8464e-007",
"383.6","0.0050","7.0332e-007",
"383.8","0.0088","1.2377e-006",
"384.0","0.0093","1.3121e-006",
"384.2","0.0044","6.1461e-007",
"384.4","0.0032","4.5725e-007",
"384.6","0.0089","1.2509e-006",
"384.8","0.0144","2.0345e-006",
"385.0","0.0170","2.3960e-006",
"385.2","0.0134","1.8848e-006",
"385.4","0.0051","7.1968e-007",
"385.6","0.0004","5.2843e-008",
"385.8","0.0004","5.8524e-008",
"386.0","0.0046","6.5457e-007",
"386.2","0.0100","1.4046e-006",
"386.4","0.0090","1.2775e-006",
"386.6","0.0055","7.7895e-007",
"386.8","0.0069","9.7910e-007",
"387.0","0.0104","1.4647e-006",
"387.2","0.0120","1.6934e-006",
"387.4","0.0112","1.5855e-006",
"387.6","0.0050","7.0107e-007",
"387.8","0.0000","2.1560e-009",
"388.0","0.0051","7.2557e-007",
"388.2","0.0108","1.5302e-006",
"388.4","0.0110","1.5549e-006",
"388.6","0.0088","1.2466e-006",
"388.8","0.0049","6.9183e-007",
"389.0","0.0019","2.7519e-007",
"389.2","0.0019","2.6216e-007",
"389.4","0.0048","6.7971e-007",
"389.6","0.0104","1.4692e-006",
"389.8","0.0111","1.5738e-006",
"390.0","0.0054","7.5595e-007",
"390.2","0.0012","1.6341e-007",
"390.4","0.0009","1.2504e-007",
"390.6","0.0040","5.7080e-007",
"390.8","0.0087","1.2276e-006",
"391.0","0.0085","1.2005e-006",
"391.2","0.0047","6.6183e-007",
"391.4","0.0030","4.1824e-007",
"391.6","0.0035","4.8817e-007",
"391.8","0.0056","7.9300e-007",
"392.0","0.0079","1.1169e-006",
"392.2","0.0072","1.0099e-006",
"392.4","0.0059","8.3031e-007",
"392.6","0.0087","1.2278e-006",
"392.8","0.0114","1.6080e-006",
"393.0","0.0080","1.1264e-006",
"393.2","0.0042","5.9106e-007",
"393.4","0.0053","7.4961e-007",
"393.6","0.0071","1.0011e-006",
"393.8","0.0072","1.0194e-006",
"394.0","0.0073","1.0275e-006",
"394.2","0.0078","1.1080e-006",
"394.4","0.0083","1.1766e-006",
"394.6","0.0085","1.2033e-006",
"394.8","0.0089","1.2575e-006",
"395.0","0.0096","1.3584e-006",
"395.2","0.0102","1.4389e-006",
"395.4","0.0103","1.4558e-006",
"395.6","0.0092","1.2949e-006",
"395.8","0.0071","1.0066e-006",
"396.0","0.0067","9.4226e-007",
"396.2","0.0077","1.0830e-006",
"396.4","0.0079","1.1144e-006",
"396.6","0.0071","1.0089e-006",
"396.8","0.0055","7.7288e-007",
"397.0","0.0040","5.6925e-007",
"397.2","0.0056","7.9069e-007",
"397.4","0.0082","1.1574e-006",
"397.6","0.0078","1.1075e-006",
"397.8","0.0066","9.3343e-007",
"398.0","0.0077","1.0808e-006",
"398.2","0.0090","1.2700e-006",
"398.4","0.0084","1.1821e-006",
"398.6","0.0074","1.0476e-006",
"398.8","0.0076","1.0684e-006",
"399.0","0.0074","1.0427e-006",
"399.2","0.0059","8.2632e-007",
"399.4","0.0045","6.3061e-007",
"399.6","0.0041","5.7753e-007",
"399.8","0.0046","6.4671e-007",
"400.0","0.0060","8.4371e-007",
"400.2","0.0072","1.0144e-006",
"400.4","0.0078","1.0980e-006",
"400.6","0.0093","1.3101e-006",
"400.8","0.0114","1.6122e-006",
"401.0","0.0097","1.3699e-006",
"401.2","0.0045","6.3044e-007",
"401.4","0.0018","2.6076e-007",
"401.6","0.0028","3.9049e-007",
"401.8","0.0061","8.6480e-007",
"402.0","0.0099","1.4037e-006",
"402.2","0.0095","1.3443e-006",
"402.4","0.0068","9.5602e-007",
"402.6","0.0067","9.4496e-007",
"402.8","0.0080","1.1276e-006",
"403.0","0.0081","1.1455e-006",
"403.2","0.0077","1.0864e-006",
"403.4","0.0075","1.0556e-006",
"403.6","0.0074","1.0394e-006",
"403.8","0.0075","1.0641e-006",
"404.0","0.0074","1.0395e-006",
"404.2","0.0059","8.3036e-007",
"404.4","0.0046","6.5449e-007",
"404.6","0.0048","6.7405e-007",
"404.8","0.0057","7.9926e-007",
"405.0","0.0071","1.0085e-006",
"405.2","0.0082","1.1549e-006",
"405.4","0.0081","1.1468e-006",
"405.6","0.0084","1.1926e-006",
"405.8","0.0096","1.3509e-006",
"406.0","0.0093","1.3101e-006",
"406.2","0.0073","1.0373e-006",
"406.4","0.0075","1.0520e-006",
"406.6","0.0098","1.3834e-006",
"406.8","0.0103","1.4508e-006",
"407.0","0.0088","1.2411e-006",
"407.2","0.0082","1.1537e-006",
"407.4","0.0086","1.2187e-006",
"407.6","0.0094","1.3248e-006",
"407.8","0.0104","1.4612e-006",
"408.0","0.0117","1.6554e-006",
"408.2","0.0131","1.8439e-006",
"408.4","0.0136","1.9201e-006",
"408.6","0.0135","1.9087e-006",
"408.8","0.0130","1.8289e-006",
"409.0","0.0121","1.7147e-006",
"409.2","0.0112","1.5826e-006",
"409.4","0.0107","1.5131e-006",
"409.6","0.0116","1.6314e-006",
"409.8","0.0127","1.7879e-006",
"410.0","0.0133","1.8731e-006",
"410.2","0.0140","1.9719e-006",
"410.4","0.0151","2.1255e-006",
"410.6","0.0160","2.2585e-006",
"410.8","0.0165","2.3300e-006",
"411.0","0.0171","2.4204e-006",
"411.2","0.0181","2.5514e-006",
"411.4","0.0180","2.5453e-006",
"411.6","0.0168","2.3670e-006",
"411.8","0.0162","2.2840e-006",
"412.0","0.0166","2.3462e-006",
"412.2","0.0167","2.3572e-006",
"412.4","0.0165","2.3263e-006",
"412.6","0.0176","2.4829e-006",
"412.8","0.0195","2.7523e-006",
"413.0","0.0198","2.8015e-006",
"413.2","0.0191","2.7003e-006",
"413.4","0.0192","2.7048e-006",
"413.6","0.0199","2.8044e-006",
"413.8","0.0209","2.9520e-006",
"414.0","0.0221","3.1130e-006",
"414.2","0.0229","3.2285e-006",
"414.4","0.0234","3.3060e-006",
"414.6","0.0237","3.3423e-006",
"414.8","0.0238","3.3615e-006",
"415.0","0.0240","3.3844e-006",
"415.2","0.0243","3.4309e-006",
"415.4","0.0251","3.5454e-006",
"415.6","0.0258","3.6450e-006",
"415.8","0.0260","3.6655e-006",
"416.0","0.0260","3.6676e-006",
"416.2","0.0260","3.6722e-006",
"416.4","0.0268","3.7848e-006",
"416.6","0.0288","4.0670e-006",
"416.8","0.0312","4.4002e-006",
"417.0","0.0333","4.7042e-006",
"417.2","0.0336","4.7463e-006",
"417.4","0.0319","4.5072e-006",
"417.6","0.0316","4.4602e-006",
"417.8","0.0331","4.6711e-006",
"418.0","0.0338","4.7697e-006",
"418.2","0.0338","4.7691e-006",
"418.4","0.0353","4.9788e-006",
"418.6","0.0378","5.3303e-006",
"418.8","0.0390","5.5113e-006",
"419.0","0.0394","5.5655e-006",
"419.2","0.0402","5.6798e-006",
"419.4","0.0410","5.7893e-006",
"419.6","0.0405","5.7139e-006",
"419.8","0.0400","5.6417e-006",
"420.0","0.0419","5.9078e-006",
"420.2","0.0444","6.2716e-006",
"420.4","0.0457","6.4473e-006",
"420.6","0.0466","6.5717e-006",
"420.8","0.0479","6.7548e-006",
"421.0","0.0490","6.9108e-006",
"421.2","0.0493","6.9587e-006",
"421.4","0.0497","7.0127e-006",
"421.6","0.0506","7.1421e-006",
"421.8","0.0516","7.2846e-006",
"422.0","0.0525","7.4150e-006",
"422.2","0.0538","7.5965e-006",
"422.4","0.0556","7.8444e-006",
"422.6","0.0568","8.0137e-006",
"422.8","0.0572","8.0807e-006",
"423.0","0.0588","8.3063e-006",
"423.2","0.0617","8.7096e-006",
"423.4","0.0636","8.9827e-006",
"423.6","0.0643","9.0750e-006",
"423.8","0.0650","9.1708e-006",
"424.0","0.0661","9.3297e-006",
"424.2","0.0682","9.6290e-006",
"424.4","0.0711","1.0033e-005",
"424.6","0.0738","1.0418e-005",
"424.8","0.0761","1.0736e-005",
"425.0","0.0771","1.0885e-005",
"425.2","0.0779","1.0999e-005",
"425.4","0.0805","1.1365e-005",
"425.6","0.0834","1.1769e-005",
"425.8","0.0840","1.1861e-005",
"426.0","0.0844","1.1909e-005",
"426.2","0.0867","1.2234e-005",
"426.4","0.0897","1.2665e-005",
"426.6","0.0929","1.3119e-005",
"426.8","0.0957","1.3516e-005",
"427.0","0.0973","1.3733e-005",
"427.2","0.0989","1.3967e-005",
"427.4","0.1019","1.4378e-005",
"427.6","0.1041","1.4690e-005",
"427.8","0.1047","1.4774e-005",
"428.0","0.1065","1.5038e-005",
"428.2","0.1109","1.5658e-005",
"428.4","0.1144","1.6146e-005",
"428.6","0.1158","1.6341e-005",
"428.8","0.1179","1.6643e-005",
"429.0","0.1216","1.7164e-005",
"429.2","0.1259","1.7775e-005",
"429.4","0.1304","1.8412e-005",
"429.6","0.1335","1.8840e-005",
"429.8","0.1351","1.9072e-005",
"430.0","0.1373","1.9382e-005",
"430.2","0.1402","1.9790e-005",
"430.4","0.1435","2.0256e-005",
"430.6","0.1473","2.0794e-005",
"430.8","0.1517","2.1415e-005",
"431.0","0.1562","2.2050e-005",
"431.2","0.1589","2.2435e-005",
"431.4","0.1613","2.2768e-005",
"431.6","0.1650","2.3290e-005",
"431.8","0.1697","2.3957e-005",
"432.0","0.1759","2.4833e-005",
"432.2","0.1815","2.5625e-005",
"432.4","0.1832","2.5860e-005",
"432.6","0.1850","2.6112e-005",
"432.8","0.1898","2.6786e-005",
"433.0","0.1952","2.7552e-005",
"433.2","0.2001","2.8250e-005",
"433.4","0.2052","2.8962e-005",
"433.6","0.2106","2.9723e-005",
"433.8","0.2157","3.0454e-005",
"434.0","0.2206","3.1147e-005",
"434.2","0.2259","3.1893e-005",
"434.4","0.2314","3.2663e-005",
"434.6","0.2371","3.3473e-005",
"434.8","0.2427","3.4262e-005",
"435.0","0.2487","3.5106e-005",
"435.2","0.2549","3.5987e-005",
"435.4","0.2607","3.6800e-005",
"435.6","0.2663","3.7593e-005",
"435.8","0.2727","3.8494e-005",
"436.0","0.2793","3.9430e-005",
"436.2","0.2864","4.0435e-005",
"436.4","0.2935","4.1432e-005",
"436.6","0.2993","4.2257e-005",
"436.8","0.3055","4.3123e-005",
"437.0","0.3152","4.4497e-005",
"437.2","0.3255","4.5952e-005",
"437.4","0.3322","4.6900e-005",
"437.6","0.3380","4.7715e-005",
"437.8","0.3467","4.8943e-005",
"438.0","0.3561","5.0271e-005",
"438.2","0.3651","5.1541e-005",
"438.4","0.3740","5.2800e-005",
"438.6","0.3836","5.4154e-005",
"438.8","0.3934","5.5532e-005",
"439.0","0.4032","5.6916e-005",
"439.2","0.4133","5.8348e-005",
"439.4","0.4247","5.9948e-005",
"439.6","0.4352","6.1440e-005",
"439.8","0.4445","6.2742e-005",
"440.0","0.4533","6.3993e-005",
"440.2","0.4627","6.5317e-005",
"440.4","0.4736","6.6854e-005",
"440.6","0.4865","6.8670e-005",
"440.8","0.4985","7.0364e-005",
"441.0","0.5100","7.1992e-005",
"441.2","0.5227","7.3783e-005",
"441.4","0.5368","7.5777e-005",
"441.6","0.5498","7.7606e-005",
"441.8","0.5620","7.9333e-005",
"442.0","0.5734","8.0943e-005",
"442.2","0.5858","8.2692e-005",
"442.4","0.5995","8.4627e-005",
"442.6","0.6142","8.6701e-005",
"442.8","0.6283","8.8697e-005",
"443.0","0.6419","9.0610e-005",
"443.2","0.6558","9.2575e-005",
"443.4","0.6691","9.4455e-005",
"443.6","0.6820","9.6278e-005",
"443.8","0.6946","9.8059e-005",
"444.0","0.7081","9.9962e-005",
"444.2","0.7213","1.0182e-004",
"444.4","0.7353","1.0380e-004",
"444.6","0.7495","1.0580e-004",
"444.8","0.7636","1.0779e-004",
"445.0","0.7773","1.0972e-004",
"445.2","0.7911","1.1167e-004",
"445.4","0.8037","1.1345e-004",
"445.6","0.8145","1.1498e-004",
"445.8","0.8260","1.1661e-004",
"446.0","0.8406","1.1866e-004",
"446.2","0.8546","1.2063e-004",
"446.4","0.8672","1.2242e-004",
"446.6","0.8789","1.2407e-004",
"446.8","0.8889","1.2549e-004",
"447.0","0.9004","1.2711e-004",
"447.2","0.9125","1.2882e-004",
"447.4","0.9227","1.3025e-004",
"447.6","0.9294","1.3120e-004",
"447.8","0.9380","1.3242e-004",
"448.0","0.9475","1.3376e-004",
"448.2","0.9537","1.3463e-004",
"448.4","0.9578","1.3521e-004",
"448.6","0.9649","1.3621e-004",
"448.8","0.9738","1.3746e-004",
"449.0","0.9801","1.3836e-004",
"449.2","0.9845","1.3898e-004",
"449.4","0.9862","1.3921e-004",
"449.6","0.9879","1.3945e-004",
"449.8","0.9910","1.3989e-004",
"450.0","0.9937","1.4028e-004",
"450.2","0.9942","1.4035e-004",
"450.4","0.9949","1.4044e-004",
"450.6","0.9981","1.4090e-004",
"450.8","1.0000","1.4116e-004",
"451.0","0.9963","1.4065e-004",
"451.2","0.9918","1.4001e-004",
"451.4","0.9896","1.3970e-004",
"451.6","0.9882","1.3949e-004",
"451.8","0.9842","1.3893e-004",
"452.0","0.9792","1.3822e-004",
"452.2","0.9725","1.3729e-004",
"452.4","0.9670","1.3651e-004",
"452.6","0.9621","1.3581e-004",
"452.8","0.9582","1.3526e-004",
"453.0","0.9538","1.3465e-004",
"453.2","0.9473","1.3373e-004",
"453.4","0.9382","1.3244e-004",
"453.6","0.9298","1.3126e-004",
"453.8","0.9213","1.3005e-004",
"454.0","0.9124","1.2879e-004",
"454.2","0.9029","1.2746e-004",
"454.4","0.8942","1.2622e-004",
"454.6","0.8861","1.2508e-004",
"454.8","0.8781","1.2395e-004",
"455.0","0.8700","1.2281e-004",
"455.2","0.8612","1.2158e-004",
"455.4","0.8525","1.2034e-004",
"455.6","0.8453","1.1933e-004",
"455.8","0.8382","1.1833e-004",
"456.0","0.8278","1.1686e-004",
"456.2","0.8162","1.1522e-004",
"456.4","0.8069","1.1390e-004",
"456.6","0.7991","1.1281e-004",
"456.8","0.7912","1.1169e-004",
"457.0","0.7837","1.1063e-004",
"457.2","0.7772","1.0971e-004",
"457.4","0.7691","1.0857e-004",
"457.6","0.7593","1.0718e-004",
"457.8","0.7516","1.0610e-004",
"458.0","0.7476","1.0553e-004",
"458.2","0.7419","1.0472e-004",
"458.4","0.7338","1.0359e-004",
"458.6","0.7255","1.0241e-004",
"458.8","0.7170","1.0122e-004",
"459.0","0.7100","1.0022e-004",
"459.2","0.7044","9.9438e-005",
"459.4","0.7000","9.8818e-005",
"459.6","0.6965","9.8322e-005",
"459.8","0.6926","9.7768e-005",
"460.0","0.6875","9.7055e-005",
"460.2","0.6806","9.6080e-005",
"460.4","0.6742","9.5168e-005",
"460.6","0.6699","9.4564e-005",
"460.8","0.6680","9.4295e-005",
"461.0","0.6654","9.3932e-005",
"461.2","0.6617","9.3406e-005",
"461.4","0.6581","9.2901e-005",
"461.6","0.6545","9.2385e-005",
"461.8","0.6505","9.1824e-005",
"462.0","0.6465","9.1259e-005",
"462.2","0.6423","9.0670e-005",
"462.4","0.6382","9.0087e-005",
"462.6","0.6330","8.9351e-005",
"462.8","0.6293","8.8833e-005",
"463.0","0.6276","8.8595e-005",
"463.2","0.6257","8.8321e-005",
"463.4","0.6210","8.7656e-005",
"463.6","0.6156","8.6900e-005",
"463.8","0.6116","8.6338e-005",
"464.0","0.6091","8.5988e-005",
"464.2","0.6069","8.5668e-005",
"464.4","0.6043","8.5311e-005",
"464.6","0.6008","8.4810e-005",
"464.8","0.5976","8.4363e-005",
"465.0","0.5945","8.3922e-005",
"465.2","0.5913","8.3473e-005",
"465.4","0.5869","8.2843e-005",
"465.6","0.5817","8.2120e-005",
"465.8","0.5765","8.1381e-005",
"466.0","0.5724","8.0805e-005",
"466.2","0.5694","8.0384e-005",
"466.4","0.5648","7.9730e-005",
"466.6","0.5594","7.8973e-005",
"466.8","0.5567","7.8579e-005",
"467.0","0.5540","7.8202e-005",
"467.2","0.5497","7.7600e-005",
"467.4","0.5445","7.6863e-005",
"467.6","0.5399","7.6210e-005",
"467.8","0.5360","7.5665e-005",
"468.0","0.5307","7.4911e-005",
"468.2","0.5253","7.4151e-005",
"468.4","0.5218","7.3654e-005",
"468.6","0.5186","7.3207e-005",
"468.8","0.5140","7.2565e-005",
"469.0","0.5091","7.1863e-005",
"469.2","0.5041","7.1159e-005",
"469.4","0.4995","7.0515e-005",
"469.6","0.4961","7.0032e-005",
"469.8","0.4922","6.9484e-005",
"470.0","0.4867","6.8706e-005",
"470.2","0.4812","6.7930e-005",
"470.4","0.4765","6.7262e-005",
"470.6","0.4722","6.6657e-005",
"470.8","0.4684","6.6121e-005",
"471.0","0.4648","6.5610e-005",
"471.2","0.4611","6.5086e-005",
"471.4","0.4575","6.4584e-005",
"471.6","0.4539","6.4080e-005",
"471.8","0.4497","6.3485e-005",
"472.0","0.4449","6.2803e-005",
"472.2","0.4404","6.2167e-005",
"472.4","0.4365","6.1621e-005",
"472.6","0.4340","6.1270e-005",
"472.8","0.4321","6.0990e-005",
"473.0","0.4278","6.0386e-005",
"473.2","0.4223","5.9614e-005",
"473.4","0.4195","5.9214e-005",
"473.6","0.4183","5.9053e-005",
"473.8","0.4164","5.8775e-005",
"474.0","0.4137","5.8396e-005",
"474.2","0.4106","5.7955e-005",
"474.4","0.4073","5.7491e-005",
"474.6","0.4043","5.7069e-005",
"474.8","0.4017","5.6707e-005",
"475.0","0.3999","5.6445e-005",
"475.2","0.3983","5.6227e-005",
"475.4","0.3968","5.6017e-005",
"475.6","0.3951","5.5780e-005",
"475.8","0.3927","5.5434e-005",
"476.0","0.3909","5.5176e-005",
"476.2","0.3910","5.5191e-005",
"476.4","0.3905","5.5127e-005",
"476.6","0.3876","5.4722e-005",
"476.8","0.3851","5.4366e-005",
"477.0","0.3844","5.4264e-005",
"477.2","0.3837","5.4163e-005",
"477.4","0.3823","5.3966e-005",
"477.6","0.3810","5.3780e-005",
"477.8","0.3799","5.3630e-005",
"478.0","0.3789","5.3492e-005",
"478.2","0.3779","5.3348e-005",
"478.4","0.3766","5.3161e-005",
"478.6","0.3751","5.2956e-005",
"478.8","0.3745","5.2872e-005",
"479.0","0.3748","5.2910e-005",
"479.2","0.3752","5.2967e-005",
"479.4","0.3754","5.2986e-005",
"479.6","0.3744","5.2854e-005",
"479.8","0.3730","5.2659e-005",
"480.0","0.3730","5.2648e-005",
"480.2","0.3735","5.2720e-005",
"480.4","0.3723","5.2559e-005",
"480.6","0.3706","5.2314e-005",
"480.8","0.3702","5.2258e-005",
"481.0","0.3706","5.2315e-005",
"481.2","0.3708","5.2345e-005",
"481.4","0.3712","5.2395e-005",
"481.6","0.3721","5.2527e-005",
"481.8","0.3728","5.2620e-005",
"482.0","0.3717","5.2476e-005",
"482.2","0.3705","5.2299e-005",
"482.4","0.3703","5.2267e-005",
"482.6","0.3701","5.2246e-005",
"482.8","0.3694","5.2149e-005",
"483.0","0.3686","5.2040e-005",
"483.2","0.3681","5.1956e-005",
"483.4","0.3678","5.1916e-005",
"483.6","0.3681","5.1959e-005",
"483.8","0.3684","5.2003e-005",
"484.0","0.3684","5.2000e-005",
"484.2","0.3685","5.2018e-005",
"484.4","0.3687","5.2047e-005",
"484.6","0.3686","5.2027e-005",
"484.8","0.3679","5.1940e-005",
"485.0","0.3674","5.1870e-005",
"485.2","0.3673","5.1844e-005",
"485.4","0.3673","5.1854e-005",
"485.6","0.3677","5.1900e-005",
"485.8","0.3686","5.2029e-005",
"486.0","0.3697","5.2194e-005",
"486.2","0.3705","5.2296e-005",
"486.4","0.3706","5.2318e-005",
"486.6","0.3699","5.2215e-005",
"486.8","0.3689","5.2077e-005",
"487.0","0.3694","5.2139e-005",
"487.2","0.3704","5.2289e-005",
"487.4","0.3708","5.2346e-005",
"487.6","0.3710","5.2369e-005",
"487.8","0.3719","5.2503e-005",
"488.0","0.3729","5.2646e-005",
"488.2","0.3732","5.2686e-005",
"488.4","0.3732","5.2682e-005",
"488.6","0.3731","5.2672e-005",
"488.8","0.3733","5.2696e-005",
"489.0","0.3744","5.2845e-005",
"489.2","0.3754","5.2986e-005",
"489.4","0.3757","5.3040e-005",
"489.6","0.3760","5.3077e-005",
"489.8","0.3764","5.3139e-005",
"490.0","0.3776","5.3300e-005",
"490.2","0.3799","5.3622e-005",
"490.4","0.3814","5.3844e-005",
"490.6","0.3814","5.3835e-005",
"490.8","0.3811","5.3804e-005",
"491.0","0.3812","5.3817e-005",
"491.2","0.3816","5.3863e-005",
"491.4","0.3822","5.3957e-005",
"491.6","0.3829","5.4059e-005",
"491.8","0.3837","5.4168e-005",
"492.0","0.3849","5.4331e-005",
"492.2","0.3863","5.4532e-005",
"492.4","0.3869","5.4620e-005",
"492.6","0.3869","5.4618e-005",
"492.8","0.3877","5.4725e-005",
"493.0","0.3893","5.4951e-005",
