"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0006","6.2502e-008",
"380.2","0.0014","1.5989e-007",
"380.4","0.0048","5.4717e-007",
"380.6","0.0047","5.3760e-007",
"380.8","0.0029","3.2957e-007",
"381.0","0.0074","8.3752e-007",
"381.2","0.0135","1.5321e-006",
"381.4","0.0093","1.0544e-006",
"381.6","0.0012","1.3479e-007",
"381.8","0.0013","1.4616e-007",
"382.0","0.0047","5.3362e-007",
"382.2","0.0052","5.9482e-007",
"382.4","0.0048","5.4721e-007",
"382.6","0.0044","5.0007e-007",
"382.8","0.0048","5.4375e-007",
"383.0","0.0072","8.1930e-007",
"383.2","0.0103","1.1688e-006",
"383.4","0.0136","1.5451e-006",
"383.6","0.0137","1.5578e-006",
"383.8","0.0082","9.2825e-007",
"384.0","0.0054","6.1719e-007",
"384.2","0.0091","1.0340e-006",
"384.4","0.0110","1.2457e-006",
"384.6","0.0088","9.9698e-007",
"384.8","0.0111","1.2589e-006",
"385.0","0.0179","2.0342e-006",
"385.2","0.0155","1.7585e-006",
"385.4","0.0050","5.6572e-007",
"385.6","0.0029","3.2642e-007",
"385.8","0.0084","9.5867e-007",
"386.0","0.0106","1.2023e-006",
"386.2","0.0098","1.1091e-006",
"386.4","0.0110","1.2443e-006",
"386.6","0.0123","1.3900e-006",
"386.8","0.0086","9.7613e-007",
"387.0","0.0038","4.3611e-007",
"387.2","0.0036","4.0919e-007",
"387.4","0.0053","6.0404e-007",
"387.6","0.0068","7.6868e-007",
"387.8","0.0073","8.2695e-007",
"388.0","0.0053","6.0559e-007",
"388.2","0.0028","3.1509e-007",
"388.4","0.0003","3.3643e-008",
"388.6","0.0008","8.7367e-008",
"388.8","0.0071","8.0073e-007",
"389.0","0.0117","1.3300e-006",
"389.2","0.0105","1.1877e-006",
"389.4","0.0070","7.9427e-007",
"389.6","0.0027","3.0906e-007",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0021","2.3527e-007",
"390.4","0.0071","8.0238e-007",
"390.6","0.0084","9.5805e-007",
"390.8","0.0059","6.6443e-007",
"391.0","0.0030","3.4171e-007",
"391.2","0.0009","1.0206e-007",
"391.4","0.0003","3.3728e-008",
"391.6","0.0009","1.0460e-007",
"391.8","0.0022","2.4873e-007",
"392.0","0.0033","3.7716e-007",
"392.2","0.0028","3.2304e-007",
"392.4","0.0019","2.2074e-007",
"392.6","0.0023","2.5950e-007",
"392.8","0.0032","3.6551e-007",
"393.0","0.0043","4.8961e-007",
"393.2","0.0053","6.0505e-007",
"393.4","0.0062","7.0009e-007",
"393.6","0.0060","6.7709e-007",
"393.8","0.0037","4.1927e-007",
"394.0","0.0015","1.6580e-007",
"394.2","0.0006","7.0475e-008",
"394.4","0.0001","1.4664e-008",
"394.6","0.0000","0.0000e+000",
"394.8","0.0009","1.0636e-007",
"395.0","0.0040","4.5611e-007",
"395.2","0.0045","5.0513e-007",
"395.4","0.0014","1.6350e-007",
"395.6","0.0004","4.6222e-008",
"395.8","0.0022","2.4416e-007",
"396.0","0.0031","3.5537e-007",
"396.2","0.0030","3.4297e-007",
"396.4","0.0032","3.6532e-007",
"396.6","0.0037","4.1885e-007",
"396.8","0.0037","4.1567e-007",
"397.0","0.0036","4.1245e-007",
"397.2","0.0053","5.9852e-007",
"397.4","0.0069","7.8845e-007",
"397.6","0.0052","5.8794e-007",
"397.8","0.0025","2.8193e-007",
"398.0","0.0026","2.9663e-007",
"398.2","0.0036","4.0726e-007",
"398.4","0.0034","3.8321e-007",
"398.6","0.0030","3.4146e-007",
"398.8","0.0033","3.7161e-007",
"399.0","0.0031","3.5073e-007",
"399.2","0.0015","1.6809e-007",
"399.4","0.0006","7.1259e-008",
"399.6","0.0019","2.1551e-007",
"399.8","0.0041","4.6432e-007",
"400.0","0.0066","7.4529e-007",
"400.2","0.0065","7.4000e-007",
"400.4","0.0031","3.5062e-007",
"400.6","0.0016","1.8642e-007",
"400.8","0.0034","3.8383e-007",
"401.0","0.0034","3.9005e-007",
"401.2","0.0013","1.5166e-007",
"401.4","0.0006","7.1558e-008",
"401.6","0.0015","1.6956e-007",
"401.8","0.0021","2.4382e-007",
"402.0","0.0023","2.6545e-007",
"402.2","0.0018","2.0522e-007",
"402.4","0.0015","1.6793e-007",
"402.6","0.0038","4.2842e-007",
"402.8","0.0067","7.5969e-007",
"403.0","0.0066","7.4500e-007",
"403.2","0.0050","5.6694e-007",
"403.4","0.0037","4.2327e-007",
"403.6","0.0032","3.6637e-007",
"403.8","0.0050","5.6992e-007",
"404.0","0.0066","7.4942e-007",
"404.2","0.0052","5.8874e-007",
"404.4","0.0035","3.9970e-007",
"404.6","0.0034","3.8144e-007",
"404.8","0.0032","3.6125e-007",
"405.0","0.0022","2.5465e-007",
"405.2","0.0021","2.3475e-007",
"405.4","0.0034","3.8500e-007",
"405.6","0.0048","5.4235e-007",
"405.8","0.0057","6.4548e-007",
"406.0","0.0070","7.9508e-007",
"406.2","0.0086","9.7584e-007",
"406.4","0.0082","9.3444e-007",
"406.6","0.0060","6.7662e-007",
"406.8","0.0050","5.6629e-007",
"407.0","0.0055","6.2388e-007",
"407.2","0.0053","6.0296e-007",
"407.4","0.0045","5.1308e-007",
"407.6","0.0040","4.5385e-007",
"407.8","0.0043","4.9074e-007",
"408.0","0.0073","8.2909e-007",
"408.2","0.0105","1.1881e-006",
"408.4","0.0086","9.7565e-007",
"408.6","0.0051","5.7520e-007",
"408.8","0.0048","5.3960e-007",
"409.0","0.0062","7.0439e-007",
"409.2","0.0091","1.0329e-006",
"409.4","0.0109","1.2406e-006",
"409.6","0.0078","8.8938e-007",
"409.8","0.0046","5.2351e-007",
"410.0","0.0048","5.4148e-007",
"410.2","0.0059","6.6599e-007",
"410.4","0.0070","7.8927e-007",
"410.6","0.0074","8.3753e-007",
"410.8","0.0065","7.4191e-007",
"411.0","0.0063","7.1636e-007",
"411.2","0.0074","8.4434e-007",
"411.4","0.0076","8.6422e-007",
"411.6","0.0064","7.2664e-007",
"411.8","0.0069","7.8520e-007",
"412.0","0.0094","1.0679e-006",
"412.2","0.0102","1.1607e-006",
"412.4","0.0092","1.0402e-006",
"412.6","0.0091","1.0311e-006",
"412.8","0.0099","1.1227e-006",
"413.0","0.0097","1.0984e-006",
"413.2","0.0088","9.9597e-007",
"413.4","0.0084","9.4878e-007",
"413.6","0.0086","9.7028e-007",
"413.8","0.0095","1.0813e-006",
"414.0","0.0108","1.2299e-006",
"414.2","0.0122","1.3844e-006",
"414.4","0.0126","1.4245e-006",
"414.6","0.0092","1.0492e-006",
"414.8","0.0062","7.0250e-007",
"415.0","0.0086","9.8093e-007",
"415.2","0.0121","1.3689e-006",
"415.4","0.0131","1.4863e-006",
"415.6","0.0135","1.5264e-006",
"415.8","0.0137","1.5507e-006",
"416.0","0.0138","1.5649e-006",
"416.2","0.0140","1.5912e-006",
"416.4","0.0140","1.5850e-006",
"416.6","0.0135","1.5330e-006",
"416.8","0.0139","1.5824e-006",
"417.0","0.0157","1.7836e-006",
"417.2","0.0173","1.9583e-006",
"417.4","0.0180","2.0372e-006",
"417.6","0.0180","2.0445e-006",
"417.8","0.0176","1.9914e-006",
"418.0","0.0167","1.8972e-006",
"418.2","0.0160","1.8150e-006",
"418.4","0.0166","1.8851e-006",
"418.6","0.0182","2.0597e-006",
"418.8","0.0190","2.1607e-006",
"419.0","0.0194","2.2017e-006",
"419.2","0.0201","2.2790e-006",
"419.4","0.0207","2.3458e-006",
"419.6","0.0202","2.2893e-006",
"419.8","0.0194","2.2005e-006",
"420.0","0.0195","2.2081e-006",
"420.2","0.0202","2.2885e-006",
