"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0037","3.9126e-007",
"380.2","0.0039","4.1302e-007",
"380.4","0.0131","1.3968e-006",
"380.6","0.0114","1.2199e-006",
"380.8","0.0024","2.5322e-007",
"381.0","0.0025","2.6704e-007",
"381.2","0.0076","8.1187e-007",
"381.4","0.0058","6.2264e-007",
"381.6","0.0008","8.7485e-008",
"381.8","0.0000","0.0000e+000",
"382.0","0.0000","0.0000e+000",
"382.2","0.0033","3.4988e-007",
"382.4","0.0067","7.1830e-007",
"382.6","0.0067","7.1890e-007",
"382.8","0.0058","6.1754e-007",
"383.0","0.0049","5.2306e-007",
"383.2","0.0064","6.8033e-007",
"383.4","0.0132","1.4068e-006",
"383.6","0.0164","1.7533e-006",
"383.8","0.0107","1.1445e-006",
"384.0","0.0050","5.3358e-007",
"384.2","0.0030","3.1905e-007",
"384.4","0.0036","3.8398e-007",
"384.6","0.0067","7.1439e-007",
"384.8","0.0099","1.0617e-006",
"385.0","0.0118","1.2599e-006",
"385.2","0.0101","1.0773e-006",
"385.4","0.0060","6.4171e-007",
"385.6","0.0060","6.3745e-007",
"385.8","0.0093","9.9647e-007",
"386.0","0.0110","1.1770e-006",
"386.2","0.0106","1.1274e-006",
"386.4","0.0082","8.7218e-007",
"386.6","0.0050","5.3188e-007",
"386.8","0.0026","2.7897e-007",
"387.0","0.0017","1.8543e-007",
"387.2","0.0042","4.5167e-007",
"387.4","0.0068","7.3173e-007",
"387.6","0.0046","4.9533e-007",
"387.8","0.0017","1.7704e-007",
"388.0","0.0016","1.7597e-007",
"388.2","0.0020","2.1866e-007",
"388.4","0.0011","1.2018e-007",
"388.6","0.0023","2.4491e-007",
"388.8","0.0081","8.6706e-007",
"389.0","0.0127","1.3525e-006",
"389.2","0.0125","1.3327e-006",
"389.4","0.0091","9.7145e-007",
"389.6","0.0032","3.4455e-007",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0013","1.4138e-007",
"390.4","0.0048","5.1058e-007",
"390.6","0.0072","7.7216e-007",
"390.8","0.0077","8.2661e-007",
"391.0","0.0053","5.7074e-007",
"391.2","0.0017","1.8533e-007",
"391.4","0.0018","1.9128e-007",
"391.6","0.0044","4.6585e-007",
"391.8","0.0062","6.6594e-007",
"392.0","0.0066","7.1026e-007",
"392.2","0.0039","4.1325e-007",
"392.4","0.0007","7.1579e-008",
"392.6","0.0015","1.6392e-007",
"392.8","0.0034","3.6356e-007",
"393.0","0.0026","2.7315e-007",
"393.2","0.0019","2.0733e-007",
"393.4","0.0047","5.0094e-007",
"393.6","0.0063","6.7744e-007",
"393.8","0.0035","3.7051e-007",
"394.0","0.0005","5.4311e-008",
"394.2","0.0000","0.0000e+000",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0005","5.0765e-008",
"395.0","0.0020","2.1544e-007",
"395.2","0.0022","2.3624e-007",
"395.4","0.0007","7.4318e-008",
