"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0008","1.9725e-007",
"380.2","0.0011","2.5952e-007",
"380.4","0.0039","9.0846e-007",
"380.6","0.0040","9.4626e-007",
"380.8","0.0023","5.3432e-007",
"381.0","0.0025","6.0148e-007",
"381.2","0.0037","8.7755e-007",
"381.4","0.0023","5.5094e-007",
"381.6","0.0003","5.9654e-008",
"381.8","0.0011","2.6587e-007",
"382.0","0.0030","7.1845e-007",
"382.2","0.0033","7.7717e-007",
"382.4","0.0034","8.1210e-007",
"382.6","0.0055","1.3086e-006",
"382.8","0.0071","1.6734e-006",
"383.0","0.0052","1.2283e-006",
"383.2","0.0043","1.0150e-006",
"383.4","0.0077","1.8098e-006",
"383.6","0.0101","2.3918e-006",
"383.8","0.0089","2.1062e-006",
"384.0","0.0067","1.5814e-006",
"384.2","0.0044","1.0464e-006",
"384.4","0.0030","7.1323e-007",
"384.6","0.0031","7.2650e-007",
"384.8","0.0047","1.0982e-006",
"385.0","0.0070","1.6457e-006",
"385.2","0.0063","1.4888e-006",
"385.4","0.0030","7.1803e-007",
"385.6","0.0019","4.5923e-007",
"385.8","0.0032","7.5746e-007",
"386.0","0.0051","1.1977e-006",
"386.2","0.0064","1.5195e-006",
"386.4","0.0053","1.2508e-006",
"386.6","0.0028","6.5626e-007",
"386.8","0.0008","1.8198e-007",
"387.0","0.0000","0.0000e+000",
"387.2","0.0022","5.0925e-007",
"387.4","0.0046","1.0847e-006",
"387.6","0.0034","7.9675e-007",
"387.8","0.0012","2.9339e-007",
"388.0","0.0004","9.1591e-008",
"388.2","0.0000","0.0000e+000",
"388.4","0.0000","0.0000e+000",
"388.6","0.0003","6.1025e-008",
"388.8","0.0023","5.3398e-007",
"389.0","0.0038","9.0461e-007",
"389.2","0.0038","9.0379e-007",
"389.4","0.0028","6.5850e-007",
"389.6","0.0010","2.2890e-007",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0011","2.6104e-007",
"390.4","0.0027","6.3571e-007",
"390.6","0.0030","7.1869e-007",
"390.8","0.0022","5.1170e-007",
"391.0","0.0015","3.6478e-007",
"391.2","0.0014","3.2235e-007",
"391.4","0.0014","3.3867e-007",
"391.6","0.0017","3.8973e-007",
"391.8","0.0019","4.5555e-007",
"392.0","0.0020","4.8212e-007",
"392.2","0.0014","3.2635e-007",
"392.4","0.0008","1.7721e-007",
"392.6","0.0015","3.5922e-007",
"392.8","0.0026","6.0715e-007",
"393.0","0.0026","6.2146e-007",
"393.2","0.0024","5.5953e-007",
"393.4","0.0023","5.3455e-007",
"393.6","0.0019","4.4034e-007",
"393.8","0.0008","1.8495e-007",
"394.0","0.0000","0.0000e+000",
"394.2","0.0001","2.6066e-008",
"394.4","0.0002","5.5811e-008",
"394.6","0.0000","0.0000e+000",
"394.8","0.0004","9.5311e-008",
"395.0","0.0018","4.1972e-007",
"395.2","0.0021","4.9512e-007",
"395.4","0.0010","2.3350e-007",
"395.6","0.0006","1.4234e-007",
"395.8","0.0013","2.9854e-007",
"396.0","0.0016","3.7277e-007",
"396.2","0.0015","3.6023e-007",
"396.4","0.0021","4.8737e-007",
"396.6","0.0029","6.8518e-007",
"396.8","0.0028","6.5699e-007",
"397.0","0.0023","5.3474e-007",
"397.2","0.0030","7.1275e-007",
"397.4","0.0040","9.4186e-007",
"397.6","0.0029","6.8339e-007",
"397.8","0.0013","3.1575e-007",
"398.0","0.0018","4.2316e-007",
"398.2","0.0028","6.5452e-007",
"398.4","0.0026","6.1790e-007",
"398.6","0.0024","5.5955e-007",
"398.8","0.0029","6.9310e-007",
"399.0","0.0032","7.4544e-007",
"399.2","0.0021","5.0041e-007",
"399.4","0.0012","2.8531e-007",
"399.6","0.0012","2.8413e-007",
"399.8","0.0017","4.0526e-007",
"400.0","0.0026","6.1780e-007",
"400.2","0.0029","6.8549e-007",
"400.4","0.0022","5.2220e-007",
"400.6","0.0019","4.4795e-007",
"400.8","0.0022","5.3001e-007",
"401.0","0.0020","4.7915e-007",
"401.2","0.0012","2.8849e-007",
"401.4","0.0010","2.4267e-007",
"401.6","0.0015","3.5099e-007",
"401.8","0.0020","4.6444e-007",
"402.0","0.0022","5.2619e-007",
"402.2","0.0017","3.9408e-007",
"402.4","0.0011","2.5725e-007",
"402.6","0.0026","6.1162e-007",
"402.8","0.0046","1.0902e-006",
"403.0","0.0042","9.8599e-007",
"403.2","0.0029","6.7331e-007",
"403.4","0.0029","6.7592e-007",
"403.6","0.0033","7.7616e-007",
"403.8","0.0033","7.8024e-007",
"404.0","0.0032","7.4845e-007",
"404.2","0.0029","6.9539e-007",
"404.4","0.0027","6.3499e-007",
"404.6","0.0025","5.7935e-007",
"404.8","0.0023","5.4053e-007",
"405.0","0.0023","5.3234e-007",
"405.2","0.0023","5.3662e-007",
"405.4","0.0023","5.4659e-007",
"405.6","0.0026","6.0900e-007",
"405.8","0.0031","7.3921e-007",
"406.0","0.0037","8.7750e-007",
"406.2","0.0042","9.8556e-007",
"406.4","0.0043","1.0175e-006",
"406.6","0.0041","9.5571e-007",
"406.8","0.0033","7.7496e-007",
"407.0","0.0024","5.6173e-007",
"407.2","0.0026","6.1890e-007",
"407.4","0.0036","8.5823e-007",
"407.6","0.0037","8.7022e-007",
"407.8","0.0033","7.7249e-007",
"408.0","0.0041","9.7413e-007",
"408.2","0.0054","1.2691e-006",
"408.4","0.0052","1.2212e-006",
"408.6","0.0044","1.0398e-006",
"408.8","0.0043","1.0128e-006",
"409.0","0.0046","1.0871e-006",
"409.2","0.0055","1.3070e-006",
"409.4","0.0061","1.4441e-006",
"409.6","0.0050","1.1717e-006",
"409.8","0.0038","8.8630e-007",
"410.0","0.0037","8.6753e-007",
"410.2","0.0041","9.7654e-007",
"410.4","0.0050","1.1895e-006",
"410.6","0.0056","1.3201e-006",
"410.8","0.0053","1.2452e-006",
"411.0","0.0050","1.1711e-006",
"411.2","0.0050","1.1818e-006",
"411.4","0.0050","1.1788e-006",
"411.6","0.0049","1.1557e-006",
"411.8","0.0054","1.2676e-006",
"412.0","0.0064","1.5104e-006",
"412.2","0.0069","1.6301e-006",
"412.4","0.0068","1.6023e-006",
"412.6","0.0068","1.5962e-006",
"412.8","0.0069","1.6289e-006",
"413.0","0.0071","1.6633e-006",
"413.2","0.0071","1.6789e-006",
"413.4","0.0068","1.6042e-006",
"413.6","0.0065","1.5292e-006",
"413.8","0.0071","1.6680e-006",
"414.0","0.0080","1.8875e-006",
"414.2","0.0084","1.9920e-006",
"414.4","0.0084","1.9768e-006",
"414.6","0.0073","1.7239e-006",
