"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0052","5.5307e-007",
"380.2","0.0000","0.0000e+000",
"380.4","0.0000","0.0000e+000",
"380.6","0.0000","0.0000e+000",
"380.8","0.0000","0.0000e+000",
"381.0","0.0015","1.6237e-007",
"381.2","0.0035","3.7586e-007",
"381.4","0.0022","2.3261e-007",
"381.6","0.0002","1.7406e-008",
"381.8","0.0033","3.4954e-007",
"382.0","0.0070","7.3996e-007",
"382.2","0.0042","4.4919e-007",
"382.4","0.0001","1.1795e-008",
"382.6","0.0000","0.0000e+000",
"382.8","0.0000","0.0000e+000",
"383.0","0.0000","0.0000e+000",
"383.2","0.0009","9.8478e-008",
"383.4","0.0098","1.0381e-006",
"383.6","0.0155","1.6388e-006",
"383.8","0.0119","1.2639e-006",
"384.0","0.0075","7.9893e-007",
"384.2","0.0055","5.8690e-007",
"384.4","0.0032","3.3672e-007",
"384.6","0.0004","4.3058e-008",
"384.8","0.0025","2.6023e-007",
"385.0","0.0090","9.4992e-007",
"385.2","0.0094","9.9286e-007",
"385.4","0.0037","3.8731e-007",
"385.6","0.0014","1.4777e-007",
"385.8","0.0031","3.2810e-007",
"386.0","0.0051","5.3624e-007",
"386.2","0.0066","7.0390e-007",
"386.4","0.0081","8.5521e-007",
"386.6","0.0083","8.8288e-007",
"386.8","0.0044","4.6562e-007",
"387.0","0.0003","3.6035e-008",
"387.2","0.0032","3.3517e-007",
"387.4","0.0074","7.8271e-007",
"387.6","0.0059","6.2341e-007",
"387.8","0.0028","2.9474e-007",
"388.0","0.0010","1.0978e-007",
"388.2","0.0000","0.0000e+000",
"388.4","0.0000","0.0000e+000",
"388.6","0.0004","3.8738e-008",
"388.8","0.0033","3.5199e-007",
"389.0","0.0062","6.5554e-007",
"389.2","0.0075","7.9965e-007",
"389.4","0.0064","6.7393e-007",
"389.6","0.0023","2.4830e-007",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0008","8.5488e-008",
"390.4","0.0030","3.2030e-007",
"390.6","0.0051","5.4255e-007",
"390.8","0.0062","6.5773e-007",
"391.0","0.0045","4.7269e-007",
"391.2","0.0010","1.0890e-007",
"391.4","0.0000","0.0000e+000",
"391.6","0.0000","0.0000e+000",
"391.8","0.0014","1.5239e-007",
"392.0","0.0031","3.2954e-007",
"392.2","0.0019","1.9955e-007",
"392.4","0.0001","1.3548e-008",
"392.6","0.0018","1.9404e-007",
"392.8","0.0038","4.0646e-007",
"393.0","0.0021","2.1857e-007",
"393.2","0.0000","9.9301e-010",
"393.4","0.0009","9.3945e-008",
"393.6","0.0018","1.8802e-007",
"393.8","0.0009","9.2461e-008",
"394.0","0.0000","0.0000e+000",
"394.2","0.0000","0.0000e+000",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0005","5.0799e-008",
"395.0","0.0020","2.1558e-007",
"395.2","0.0023","2.4208e-007",
"395.4","0.0008","8.4517e-008",
"395.6","0.0000","0.0000e+000",
"395.8","0.0002","1.8032e-008",
"396.0","0.0001","1.1159e-008",
"396.2","0.0000","0.0000e+000",
"396.4","0.0012","1.2618e-007",
"396.6","0.0031","3.2640e-007",
"396.8","0.0022","2.3591e-007",
"397.0","0.0003","3.0996e-008",
"397.2","0.0019","2.0067e-007",
"397.4","0.0045","4.8117e-007",
"397.6","0.0032","3.4046e-007",
"397.8","0.0006","5.8535e-008",
