"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0029","3.1575e-007",
"380.2","0.0026","2.8301e-007",
"380.4","0.0092","1.0101e-006",
"380.6","0.0081","8.8916e-007",
"380.8","0.0022","2.4199e-007",
"381.0","0.0056","6.1246e-007",
"381.2","0.0128","1.3985e-006",
"381.4","0.0094","1.0258e-006",
"381.6","0.0013","1.4158e-007",
"381.8","0.0000","0.0000e+000",
"382.0","0.0007","7.3361e-008",
"382.2","0.0021","2.3387e-007",
"382.4","0.0033","3.6085e-007",
"382.6","0.0027","2.9742e-007",
"382.8","0.0025","2.7128e-007",
"383.0","0.0042","4.5386e-007",
"383.2","0.0079","8.6764e-007",
"383.4","0.0152","1.6646e-006",
"383.6","0.0182","1.9898e-006",
"383.8","0.0118","1.2938e-006",
"384.0","0.0055","5.9646e-007",
"384.2","0.0031","3.3685e-007",
"384.4","0.0033","3.6070e-007",
"384.6","0.0061","6.6900e-007",
"384.8","0.0114","1.2399e-006",
"385.0","0.0168","1.8348e-006",
"385.2","0.0137","1.4957e-006",
"385.4","0.0040","4.3271e-007",
"385.6","0.0028","3.0331e-007",
"385.8","0.0089","9.6918e-007",
"386.0","0.0102","1.1100e-006",
"386.2","0.0076","8.2747e-007",
"386.4","0.0069","7.5525e-007",
"386.6","0.0073","7.9246e-007",
"386.8","0.0058","6.2874e-007",
"387.0","0.0041","4.5283e-007",
"387.2","0.0052","5.7007e-007",
"387.4","0.0072","7.9060e-007",
"387.6","0.0088","9.5897e-007",
"387.8","0.0086","9.4394e-007",
"388.0","0.0041","4.5309e-007",
"388.2","0.0000","0.0000e+000",
"388.4","0.0000","0.0000e+000",
"388.6","0.0005","5.2931e-008",
"388.8","0.0043","4.6558e-007",
"389.0","0.0073","7.9979e-007",
"389.2","0.0076","8.2606e-007",
"389.4","0.0057","6.2083e-007",
"389.6","0.0020","2.2239e-007",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0014","1.5026e-007",
"390.4","0.0048","5.2382e-007",
"390.6","0.0063","6.8987e-007",
"390.8","0.0056","6.1253e-007",
"391.0","0.0047","5.1302e-007",
"391.2","0.0038","4.1058e-007",
"391.4","0.0017","1.8394e-007",
"391.6","0.0000","5.4573e-009",
"391.8","0.0035","3.7705e-007",
"392.0","0.0079","8.5872e-007",
"392.2","0.0052","5.6379e-007",
"392.4","0.0004","4.8376e-008",
"392.6","0.0013","1.3900e-007",
"392.8","0.0037","4.0157e-007",
"393.0","0.0034","3.6934e-007",
"393.2","0.0030","3.2570e-007",
"393.4","0.0048","5.2948e-007",
"393.6","0.0059","6.4415e-007",
"393.8","0.0038","4.1891e-007",
"394.0","0.0015","1.6326e-007",
"394.2","0.0004","4.7033e-008",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0008","8.8837e-008",
"395.0","0.0035","3.7701e-007",
"395.2","0.0037","4.0490e-007",
"395.4","0.0011","1.1484e-007",
"395.6","0.0012","1.3641e-007",
"395.8","0.0045","4.9271e-007",
"396.0","0.0044","4.7887e-007",
"396.2","0.0013","1.4197e-007",
"396.4","0.0011","1.1984e-007",
"396.6","0.0033","3.5773e-007",
"396.8","0.0041","4.4447e-007",
"397.0","0.0039","4.2562e-007",
"397.2","0.0047","5.1412e-007",
"397.4","0.0055","6.0576e-007",
"397.6","0.0043","4.7330e-007",
"397.8","0.0025","2.7369e-007",
"398.0","0.0021","2.2805e-007",
"398.2","0.0023","2.5148e-007",
"398.4","0.0024","2.6394e-007",
"398.6","0.0029","3.1473e-007",
"398.8","0.0043","4.7359e-007",
"399.0","0.0053","5.7653e-007",
"399.2","0.0043","4.7215e-007",
"399.4","0.0037","4.0033e-007",
"399.6","0.0046","5.0195e-007",
"399.8","0.0056","6.1380e-007",
"400.0","0.0060","6.5982e-007",
"400.2","0.0051","5.5945e-007",
"400.4","0.0027","2.9824e-007",
"400.6","0.0019","2.0360e-007",
"400.8","0.0031","3.3717e-007",
"401.0","0.0029","3.1332e-007",
"401.2","0.0009","9.5128e-008",
"401.4","0.0000","0.0000e+000",
"401.6","0.0000","0.0000e+000",
"401.8","0.0004","4.8320e-008",
"402.0","0.0012","1.3524e-007",
"402.2","0.0012","1.3494e-007",
"402.4","0.0012","1.3622e-007",
"402.6","0.0036","3.9120e-007",
"402.8","0.0065","7.0916e-007",
"403.0","0.0069","7.5001e-007",
"403.2","0.0058","6.3632e-007",
"403.4","0.0044","4.7713e-007",
"403.6","0.0034","3.6871e-007",
"403.8","0.0047","5.1686e-007",
"404.0","0.0060","6.5143e-007",
"404.2","0.0044","4.7614e-007",
"404.4","0.0029","3.1387e-007",
"404.6","0.0036","3.9603e-007",
"404.8","0.0038","4.1652e-007",
"405.0","0.0017","1.8876e-007",
"405.2","0.0011","1.2005e-007",
"405.4","0.0037","4.0734e-007",
"405.6","0.0055","5.9744e-007",
"405.8","0.0048","5.2635e-007",
"406.0","0.0049","5.3784e-007",
"406.2","0.0064","7.0268e-007",
"406.4","0.0068","7.4182e-007",
"406.6","0.0057","6.2321e-007",
"406.8","0.0051","5.5450e-007",
"407.0","0.0051","5.5674e-007",
"407.2","0.0050","5.4680e-007",
"407.4","0.0045","4.9533e-007",
"407.6","0.0027","2.9608e-007",
"407.8","0.0011","1.1865e-007",
"408.0","0.0039","4.2833e-007",
"408.2","0.0082","8.9887e-007",
"408.4","0.0079","8.6727e-007",
"408.6","0.0059","6.4237e-007",
"408.8","0.0061","6.6203e-007",
"409.0","0.0074","8.1201e-007",
"409.2","0.0100","1.0878e-006",
"409.4","0.0114","1.2404e-006",
"409.6","0.0081","8.8438e-007",
"409.8","0.0048","5.2261e-007",
"410.0","0.0048","5.2869e-007",
"410.2","0.0059","6.4646e-007",
"410.4","0.0071","7.7897e-007",
"410.6","0.0077","8.4018e-007",
"410.8","0.0069","7.5561e-007",
"411.0","0.0068","7.3719e-007",
"411.2","0.0079","8.6591e-007",
"411.4","0.0081","8.8482e-007",
"411.6","0.0068","7.4103e-007",
"411.8","0.0068","7.4678e-007",
"412.0","0.0086","9.4335e-007",
"412.2","0.0096","1.0430e-006",
"412.4","0.0093","1.0187e-006",
"412.6","0.0097","1.0613e-006",
"412.8","0.0105","1.1480e-006",
"413.0","0.0102","1.1087e-006",
"413.2","0.0090","9.8557e-007",
"413.4","0.0081","8.8874e-007",
"413.6","0.0080","8.7774e-007",
"413.8","0.0101","1.1085e-006",
"414.0","0.0127","1.3840e-006",
"414.2","0.0125","1.3690e-006",
"414.4","0.0110","1.2026e-006",
"414.6","0.0089","9.6958e-007",
"414.8","0.0077","8.4251e-007",
"415.0","0.0106","1.1588e-006",
"415.2","0.0136","1.4851e-006",
"415.4","0.0129","1.4115e-006",
"415.6","0.0123","1.3468e-006",
"415.8","0.0143","1.5577e-006",
"416.0","0.0157","1.7157e-006",
"416.2","0.0150","1.6413e-006",
"416.4","0.0143","1.5623e-006",
"416.6","0.0144","1.5773e-006",
"416.8","0.0147","1.6051e-006",
"417.0","0.0149","1.6319e-006",
"417.2","0.0158","1.7220e-006",
"417.4","0.0171","1.8691e-006",
"417.6","0.0177","1.9354e-006",
"417.8","0.0174","1.8986e-006",
"418.0","0.0167","1.8248e-006",
"418.2","0.0163","1.7784e-006",
"418.4","0.0176","1.9247e-006",
"418.6","0.0200","2.1792e-006",
"418.8","0.0206","2.2529e-006",
"419.0","0.0202","2.2062e-006",
"419.2","0.0207","2.2654e-006",
"419.4","0.0215","2.3451e-006",
"419.6","0.0205","2.2407e-006",
"419.8","0.0192","2.0924e-006",
"420.0","0.0193","2.1114e-006",
"420.2","0.0204","2.2228e-006",
"420.4","0.0220","2.4018e-006",
"420.6","0.0232","2.5315e-006",
"420.8","0.0220","2.4071e-006",
"421.0","0.0213","2.3260e-006",
"421.2","0.0233","2.5448e-006",
"421.4","0.0254","2.7702e-006",
"421.6","0.0258","2.8198e-006",
"421.8","0.0267","2.9110e-006",
"422.0","0.0288","3.1443e-006",
"422.2","0.0308","3.3615e-006",
"422.4","0.0319","3.4855e-006",
"422.6","0.0314","3.4249e-006",
"422.8","0.0291","3.1761e-006",
"423.0","0.0283","3.0905e-006",
"423.2","0.0297","3.2458e-006",
"423.4","0.0308","3.3633e-006",
"423.6","0.0311","3.4005e-006",
"423.8","0.0320","3.4925e-006",
"424.0","0.0334","3.6427e-006",
"424.2","0.0344","3.7593e-006",
"424.4","0.0354","3.8621e-006",
"424.6","0.0367","4.0117e-006",
