"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0044","4.4842e-007",
"380.2","0.0018","1.8733e-007",
"380.4","0.0078","8.0053e-007",
"380.6","0.0072","7.4093e-007",
"380.8","0.0022","2.2121e-007",
"381.0","0.0045","4.6328e-007",
"381.2","0.0100","1.0273e-006",
"381.4","0.0071","7.2689e-007",
"381.6","0.0009","9.1956e-008",
"381.8","0.0008","8.5257e-008",
"382.0","0.0042","4.3226e-007",
"382.2","0.0090","9.2820e-007",
"382.4","0.0123","1.2674e-006",
"382.6","0.0088","9.0765e-007",
"382.8","0.0052","5.3822e-007",
"383.0","0.0075","7.7151e-007",
"383.2","0.0113","1.1673e-006",
"383.4","0.0151","1.5568e-006",
"383.6","0.0166","1.7055e-006",
"383.8","0.0137","1.4115e-006",
"384.0","0.0114","1.1772e-006",
"384.2","0.0118","1.2143e-006",
"384.4","0.0111","1.1377e-006",
"384.6","0.0086","8.8714e-007",
"384.8","0.0114","1.1764e-006",
"385.0","0.0190","1.9499e-006",
"385.2","0.0168","1.7285e-006",
"385.4","0.0060","6.1904e-007",
"385.6","0.0032","3.3401e-007",
"385.8","0.0082","8.4551e-007",
"386.0","0.0114","1.1730e-006",
"386.2","0.0120","1.2301e-006",
"386.4","0.0110","1.1263e-006",
"386.6","0.0089","9.1345e-007",
"386.8","0.0060","6.1687e-007",
"387.0","0.0038","3.9340e-007",
"387.2","0.0049","4.9976e-007",
"387.4","0.0071","7.2789e-007",
"387.6","0.0087","8.9459e-007",
"387.8","0.0086","8.8496e-007",
"388.0","0.0041","4.2544e-007",
"388.2","0.0000","0.0000e+000",
"388.4","0.0000","0.0000e+000",
"388.6","0.0010","1.0134e-007",
"388.8","0.0081","8.3520e-007",
"389.0","0.0115","1.1805e-006",
"389.2","0.0059","6.0677e-007",
"389.4","0.0009","8.7644e-008",
"389.6","0.0000","0.0000e+000",
"389.8","0.0000","0.0000e+000",
"390.0","0.0006","5.7594e-008",
"390.2","0.0032","3.2899e-007",
"390.4","0.0071","7.3292e-007",
"390.6","0.0077","7.8871e-007",
"390.8","0.0049","5.0259e-007",
"391.0","0.0026","2.7058e-007",
"391.2","0.0015","1.5747e-007",
"391.4","0.0015","1.5083e-007",
"391.6","0.0020","2.0850e-007",
"391.8","0.0025","2.5722e-007",
"392.0","0.0026","2.6623e-007",
"392.2","0.0016","1.6719e-007",
"392.4","0.0005","5.2549e-008",
"392.6","0.0005","4.6325e-008",
"392.8","0.0012","1.1881e-007",
"393.0","0.0030","3.0344e-007",
"393.2","0.0043","4.4008e-007",
"393.4","0.0033","3.3796e-007",
"393.6","0.0018","1.8113e-007",
"393.8","0.0007","6.7785e-008",
"394.0","0.0000","0.0000e+000",
"394.2","0.0000","0.0000e+000",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0007","7.6146e-008",
"395.0","0.0031","3.2315e-007",
"395.2","0.0034","3.5436e-007",
"395.4","0.0011","1.1148e-007",
"395.6","0.0005","4.6438e-008",
"395.8","0.0022","2.2222e-007",
"396.0","0.0031","3.1961e-007",
"396.2","0.0032","3.2566e-007",
"396.4","0.0044","4.5145e-007",
"396.6","0.0059","6.1096e-007",
"396.8","0.0043","4.4608e-007",
"397.0","0.0017","1.7182e-007",
"397.2","0.0034","3.4794e-007",
"397.4","0.0067","6.9128e-007",
"397.6","0.0064","6.5322e-007",
"397.8","0.0045","4.6522e-007",
"398.0","0.0045","4.5851e-007",
"398.2","0.0046","4.7462e-007",
"398.4","0.0030","3.0504e-007",
"398.6","0.0019","1.9112e-007",
"398.8","0.0039","4.0221e-007",
"399.0","0.0056","5.7394e-007",
"399.2","0.0041","4.2455e-007",
"399.4","0.0030","3.1058e-007",
"399.6","0.0041","4.2627e-007",
"399.8","0.0054","5.5399e-007",
"400.0","0.0058","5.9767e-007",
"400.2","0.0050","5.1652e-007",
"400.4","0.0030","3.0442e-007",
"400.6","0.0022","2.2361e-007",
"400.8","0.0032","3.2424e-007",
"401.0","0.0029","2.9505e-007",
"401.2","0.0011","1.0815e-007",
"401.4","0.0000","3.7855e-009",
"401.6","0.0001","1.1168e-008",
"401.8","0.0005","5.3933e-008",
"402.0","0.0011","1.1222e-007",
"402.2","0.0014","1.4241e-007",
"402.4","0.0020","2.0140e-007",
"402.6","0.0046","4.7002e-007",
"402.8","0.0074","7.6589e-007",
"403.0","0.0073","7.5079e-007",
"403.2","0.0057","5.8962e-007",
"403.4","0.0047","4.7862e-007",
"403.6","0.0041","4.1689e-007",
"403.8","0.0045","4.6712e-007",
"404.0","0.0049","5.0737e-007",
"404.2","0.0039","4.0474e-007",
"404.4","0.0027","2.7364e-007",
"404.6","0.0016","1.6910e-007",
"404.8","0.0012","1.1862e-007",
"405.0","0.0016","1.6026e-007",
"405.2","0.0027","2.7380e-007",
"405.4","0.0044","4.4806e-007",
"405.6","0.0055","5.6757e-007",
"405.8","0.0057","5.8501e-007",
"406.0","0.0064","6.5342e-007",
"406.2","0.0077","7.9292e-007",
"406.4","0.0078","8.0422e-007",
"406.6","0.0065","6.6432e-007",
"406.8","0.0050","5.1795e-007",
"407.0","0.0041","4.2130e-007",
"407.2","0.0042","4.3679e-007",
"407.4","0.0051","5.2581e-007",
"407.6","0.0052","5.3070e-007",
"407.8","0.0050","5.1548e-007",
"408.0","0.0070","7.1748e-007",
"408.2","0.0092","9.4540e-007",
"408.4","0.0075","7.7470e-007",
"408.6","0.0048","4.9555e-007",
"408.8","0.0054","5.5866e-007",
"409.0","0.0073","7.4844e-007",
"409.2","0.0085","8.7553e-007",
"409.4","0.0088","9.1017e-007",
"409.6","0.0070","7.2337e-007",
"409.8","0.0053","5.4793e-007",
"410.0","0.0056","5.7196e-007",
"410.2","0.0065","6.6466e-007",
"410.4","0.0076","7.7862e-007",
"410.6","0.0079","8.1231e-007",
"410.8","0.0067","6.9334e-007",
"411.0","0.0065","6.6574e-007",
"411.2","0.0080","8.2139e-007",
"411.4","0.0079","8.1705e-007",
"411.6","0.0057","5.8558e-007",
"411.8","0.0057","5.8733e-007",
"412.0","0.0085","8.7317e-007",
"412.2","0.0094","9.7177e-007",
"412.4","0.0082","8.4300e-007",
"412.6","0.0077","7.8801e-007",
"412.8","0.0081","8.3038e-007",
"413.0","0.0086","8.8322e-007",
"413.2","0.0089","9.1351e-007",
"413.4","0.0081","8.3252e-007",
"413.6","0.0073","7.4958e-007",
"413.8","0.0091","9.3136e-007",
"414.0","0.0117","1.1992e-006",
"414.2","0.0123","1.2684e-006",
"414.4","0.0116","1.1965e-006",
"414.6","0.0093","9.5266e-007",
"414.8","0.0075","7.7190e-007",
"415.0","0.0100","1.0269e-006",
