"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0009","2.1215e-007",
"380.2","0.0014","3.4168e-007",
"380.4","0.0045","1.1221e-006",
"380.6","0.0040","9.8022e-007",
"380.8","0.0008","2.0774e-007",
"381.0","0.0007","1.6463e-007",
"381.2","0.0022","5.3578e-007",
"381.4","0.0017","4.1429e-007",
"381.6","0.0002","5.8211e-008",
"381.8","0.0000","0.0000e+000",
"382.0","0.0000","0.0000e+000",
"382.2","0.0000","0.0000e+000",
"382.4","0.0000","0.0000e+000",
"382.6","0.0016","4.0647e-007",
"382.8","0.0028","6.9380e-007",
"383.0","0.0009","2.1475e-007",
"383.2","0.0004","1.1002e-007",
"383.4","0.0052","1.2766e-006",
"383.6","0.0088","2.1844e-006",
"383.8","0.0081","1.9943e-006",
"384.0","0.0054","1.3484e-006",
"384.2","0.0019","4.7329e-007",
"384.4","0.0000","0.0000e+000",
"384.6","0.0002","5.6725e-008",
"384.8","0.0016","3.9230e-007",
"385.0","0.0030","7.3185e-007",
"385.2","0.0026","6.5248e-007",
"385.4","0.0009","2.2406e-007",
"385.6","0.0007","1.7061e-007",
"385.8","0.0017","4.2080e-007",
"386.0","0.0014","3.5213e-007",
"386.2","0.0003","7.1692e-008",
"386.4","0.0000","0.0000e+000",
"386.6","0.0002","3.8641e-008",
"386.8","0.0010","2.4522e-007",
"387.0","0.0017","4.2423e-007",
"387.2","0.0011","2.7264e-007",
"387.4","0.0003","7.1140e-008",
"387.6","0.0010","2.3884e-007",
"387.8","0.0017","4.1242e-007",
"388.0","0.0009","2.1454e-007",
"388.2","0.0000","0.0000e+000",
"388.4","0.0000","0.0000e+000",
"388.6","0.0003","7.5819e-008",
"388.8","0.0026","6.3606e-007",
"389.0","0.0038","9.5307e-007",
"389.2","0.0026","6.4815e-007",
"389.4","0.0012","2.8704e-007",
"389.6","0.0003","8.3949e-008",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0007","1.8330e-007",
"390.4","0.0025","6.1525e-007",
"390.6","0.0029","7.1064e-007",
"390.8","0.0018","4.5188e-007",
"391.0","0.0008","2.0383e-007",
"391.2","0.0002","3.9413e-008",
"391.4","0.0000","0.0000e+000",
"391.6","0.0000","0.0000e+000",
"391.8","0.0000","0.0000e+000",
"392.0","0.0000","0.0000e+000",
"392.2","0.0000","0.0000e+000",
