"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0044","2.5420e-007",
"380.2","0.0002","9.6077e-009",
"380.4","0.0028","1.6015e-007",
"380.6","0.0018","1.0188e-007",
"380.8","0.0000","0.0000e+000",
"381.0","0.0089","5.1426e-007",
"381.2","0.0211","1.2163e-006",
"381.4","0.0156","8.9935e-007",
"381.6","0.0022","1.2637e-007",
"381.8","0.0000","0.0000e+000",
"382.0","0.0000","0.0000e+000",
"382.2","0.0082","4.7329e-007",
"382.4","0.0171","9.8700e-007",
"382.6","0.0185","1.0676e-006",
"382.8","0.0168","9.7056e-007",
"383.0","0.0131","7.5731e-007",
"383.2","0.0128","7.3795e-007",
"383.4","0.0216","1.2463e-006",
"383.6","0.0267","1.5413e-006",
"383.8","0.0207","1.1940e-006",
"384.0","0.0137","7.9242e-007",
"384.2","0.0098","5.6631e-007",
"384.4","0.0070","4.0316e-007",
"384.6","0.0057","3.2805e-007",
"384.8","0.0112","6.4822e-007",
"385.0","0.0217","1.2512e-006",
"385.2","0.0193","1.1122e-006",
"385.4","0.0053","3.0559e-007",
"385.6","0.0005","2.9664e-008",
"385.8","0.0052","2.9935e-007",
"386.0","0.0086","4.9696e-007",
"386.2","0.0102","5.8646e-007",
"386.4","0.0127","7.3230e-007",
"386.6","0.0140","8.0484e-007",
"386.8","0.0079","4.5623e-007",
"387.0","0.0007","4.2410e-008",
"387.2","0.0019","1.0954e-007",
"387.4","0.0062","3.5483e-007",
"387.6","0.0082","4.7527e-007",
"387.8","0.0082","4.7200e-007",
"388.0","0.0040","2.2833e-007",
"388.2","0.0000","0.0000e+000",
"388.4","0.0000","0.0000e+000",
"388.6","0.0018","1.0333e-007",
"388.8","0.0154","8.8926e-007",
"389.0","0.0250","1.4386e-006",
"389.2","0.0221","1.2715e-006",
"389.4","0.0144","8.2802e-007",
"389.6","0.0049","2.8458e-007",
"389.8","0.0000","0.0000e+000",
"390.0","0.0000","0.0000e+000",
"390.2","0.0020","1.1705e-007",
"390.4","0.0071","4.1006e-007",
"390.6","0.0098","5.6254e-007",
"390.8","0.0090","5.1882e-007",
"391.0","0.0056","3.2255e-007",
"391.2","0.0012","6.9782e-008",
"391.4","0.0000","0.0000e+000",
"391.6","0.0004","2.2944e-008",
"391.8","0.0022","1.2596e-007",
"392.0","0.0036","2.1034e-007",
"392.2","0.0021","1.2249e-007",
"392.4","0.0001","8.2267e-009",
"392.6","0.0016","9.3100e-008",
"392.8","0.0042","2.4086e-007",
"393.0","0.0055","3.1731e-007",
"393.2","0.0063","3.6275e-007",
"393.4","0.0071","4.0726e-007",
"393.6","0.0064","3.7025e-007",
"393.8","0.0029","1.6465e-007",
"394.0","0.0000","0.0000e+000",
"394.2","0.0000","0.0000e+000",
"394.4","0.0000","0.0000e+000",
"394.6","0.0000","0.0000e+000",
"394.8","0.0003","1.9036e-008",
"395.0","0.0014","8.0787e-008",
"395.2","0.0015","8.8872e-008",
"395.4","0.0005","2.8376e-008",
"395.6","0.0001","7.3687e-009",
"395.8","0.0008","4.5654e-008",
"396.0","0.0014","8.1053e-008",
"396.2","0.0020","1.1438e-007",
"396.4","0.0035","2.0166e-007",
"396.6","0.0053","3.0809e-007",
"396.8","0.0054","3.0870e-007",
"397.0","0.0046","2.6474e-007",
"397.2","0.0063","3.6575e-007",
"397.4","0.0083","4.7588e-007",
