wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
380,1.90202066671817e-07,5.56714595529994e-07,8.97614480550883e-08,8.366781102569e-07,3.66373727932978e-07
380.2,3.06331567949217e-07,0,1.18098306713595e-07,4.24429874662812e-07,1.3847399157599e-08
380.4,1.00601338209967e-06,0,4.13407782510142e-07,1.41942116460982e-06,2.30821213723314e-07
380.6,8.78811547457216e-07,0,4.30609215901688e-07,1.3094207633589e-06,1.46837747450086e-07
380.8,1.86248302288019e-07,0,2.43149997083877e-07,4.29398299371896e-07,0
381,1.47598238209669e-07,1.63439978440713e-07,2.73712120538274e-07,5.84750337188656e-07,7.41193364778966e-07
381.2,4.80350993549027e-07,3.78336825132268e-07,3.99341742665363e-07,1.25802956134666e-06,1.75303054793423e-06
381.4,3.71429715774061e-07,2.34142842797895e-07,2.50713167003652e-07,8.56285725575608e-07,1.29621641312558e-06
381.6,5.21887933209198e-08,1.75207012671002e-08,2.71464102523612e-08,9.68559048403811e-08,1.82134728555824e-07
381.8,0,3.51843382793415e-07,1.20987965497624e-07,4.72831348291039e-07,0
382,0,7.44836154751432e-07,3.26941000533223e-07,1.07177715528466e-06,0
382.2,0,4.52150051830904e-07,3.53662380658925e-07,8.0581243248983e-07,6.82144066457117e-07
382.4,0,1.18727261545126e-08,3.69557779292964e-07,3.81430505447477e-07,1.42254472647462e-06
382.6,3.64418732218211e-07,0,5.95497241697788e-07,9.59915973915998e-07,1.53871200606313e-06
382.8,6.22023067909057e-07,0,7.61504725857464e-07,1.38352779376652e-06,1.39885006051389e-06
383,1.92533084222355e-07,0,5.5895557235014e-07,7.51488656572495e-07,1.09149680527507e-06
383.2,9.86379041962446e-08,9.91269458451964e-08,4.61890341069276e-07,6.59655191110717e-07,1.06359359767168e-06
383.4,1.14452961731436e-06,1.04494082416274e-06,8.23575506667168e-07,3.01304594814427e-06,1.79626898946841e-06
383.6,1.95841336053696e-06,1.64959928970032e-06,1.08842297317192e-06,4.6964356234092e-06,2.22144699788788e-06
383.8,1.78798011578414e-06,1.27222879073238e-06,9.58456587546905e-07,4.01866549406342e-06,1.72088997306049e-06
384,1.20890156351769e-06,8.04194752575223e-07,7.19638803317195e-07,2.73273511941011e-06,1.14210019468391e-06
384.2,4.24325883267048e-07,5.9076752692526e-07,4.7617936245802e-07,1.49127277265033e-06,8.16212060840774e-07
384.4,0,3.38938902140524e-07,3.24565564493438e-07,6.63504466633962e-07,5.81067002964041e-07
384.6,5.08565271362659e-08,4.33417416499367e-08,3.30604268755496e-07,4.24802537541699e-07,4.72812358176292e-07
384.8,3.51714686567776e-07,2.61944851817619e-07,4.99751697105693e-07,1.11341123549109e-06,9.34267419042938e-07
385,6.56136613215975e-07,9.56179739609547e-07,7.4889944265784e-07,2.36121579548336e-06,1.80333126825233e-06
385.2,5.84977819759732e-07,9.99402703668451e-07,6.77499842151663e-07,2.26188036557985e-06,1.60299315581061e-06
385.4,2.00879920143706e-07,3.89862277821473e-07,3.26749873495539e-07,9.17492071460719e-07,4.40441178281033e-07
385.6,1.52959578575907e-07,1.48743768024784e-07,2.0897921313226e-07,5.10682559732951e-07,4.27541709890002e-08
385.8,3.77266225102524e-07,3.30262098456599e-07,3.44693061819048e-07,1.05222138537817e-06,4.31447582441923e-07
386,3.15700465411958e-07,5.39773689961495e-07,5.45030602461746e-07,1.4005047578352e-06,7.16259196827587e-07
386.2,6.42751193204614e-08,7.08538528203597e-07,6.91470318477601e-07,1.46428396600166e-06,8.452538807379e-07
386.4,0,8.60845623959366e-07,5.69194520797488e-07,1.43004014475685e-06,1.05545035784941e-06
386.6,3.46434035270595e-08,8.88697962466815e-07,2.98640547024752e-07,1.22198191301863e-06,1.16000090947906e-06
386.8,2.19850816824242e-07,4.68688321497597e-07,8.28126150421545e-08,7.71351753363993e-07,6.57555806038011e-07
387,3.80341375178811e-07,3.6272461803973e-08,0,4.16613836982784e-07,6.11247435154901e-08
387.2,2.44434086530305e-07,3.37378688021025e-07,2.31741533191654e-07,8.13554307742984e-07,1.57877962855147e-07
387.4,6.37802263635779e-08,7.87867866756978e-07,4.93608328037284e-07,1.34525642115784e-06,5.11409873652472e-07
387.6,2.14130858373305e-07,6.27518118862628e-07,3.62572541129996e-07,1.20422151836593e-06,6.84997803598373e-07
387.8,3.69753176228097e-07,2.96682264245955e-07,1.3351133710967e-07,7.99946777583722e-07,6.80284813471147e-07
388,1.92344809727889e-07,1.10503423250733e-07,4.16798012107153e-08,3.44528034189337e-07,3.29087778516667e-07
388.2,0,0,0,0,0
388.4,0,0,0,0,0
388.6,6.79751614093353e-08,3.89932739104289e-08,2.77703035110863e-08,1.3473873883085e-07,1.48927605457571e-07
388.8,5.7025654738287e-07,3.54309527691979e-07,2.42995275196229e-07,1.16756135027108e-06,1.28167388395625e-06
389,8.54470344958324e-07,6.59859847675217e-07,4.11655784664707e-07,1.92598597729825e-06,2.07342739970252e-06
389.2,5.81095778992873e-07,8.04919497198474e-07,4.11282631876848e-07,1.7972979080682e-06,1.83258928035713e-06
389.4,2.57344337579441e-07,6.78371033260761e-07,2.99659891225732e-07,1.23537526206593e-06,1.19340981197114e-06
389.6,7.52640739808265e-08,2.49936236046247e-07,1.04164235537692e-07,4.29364545564765e-07,4.1015985639326e-07
389.8,0,0,0,0,0
390,0,0,0,0,0
390.2,1.64336737312958e-07,8.60513449340376e-08,1.1879000456426e-07,3.69178086811255e-07,1.68701986052538e-07
390.4,5.51599441526445e-07,3.22410698371376e-07,2.89288974109507e-07,1.16329911400733e-06,5.91011844516903e-07
390.6,6.37120889274852e-07,5.46125271312489e-07,3.27050215983328e-07,1.51029637657067e-06,8.10778430021311e-07
390.8,4.05130850283576e-07,6.62064279237607e-07,2.32856440911476e-07,1.30005157043266e-06,7.47765607892162e-07
391,1.82742810510094e-07,4.75804911062023e-07,1.65998382872168e-07,8.24546104444285e-07,4.64885310561691e-07
391.2,3.53355364305271e-08,1.09617624266759e-07,1.46690001422346e-07,2.91643162119632e-07,1.00575497571279e-07
391.4,0,0,1.54116652029489e-07,1.54116652029489e-07,0
391.6,0,0,1.77352239039339e-07,1.77352239039339e-07,3.30687600853432e-08
391.8,0,1.53394212690646e-07,2.07304576230649e-07,3.60698788921295e-07,1.8154380318819e-07
392,0,3.31711587703101e-07,2.19395636686029e-07,5.5110722438913e-07,3.03159126410002e-07
392.2,0,2.00864985513607e-07,1.48510258924097e-07,3.49375244437703e-07,1.76542556784069e-07
392.4,0,1.36372779941786e-08,8.06419579713166e-08,9.42792359654953e-08,1.18569895656421e-08
392.6,0,1.95318675966225e-07,1.63468224944734e-07,3.58786900910959e-07,1.34183296894415e-07
392.8,0,4.09138471620449e-07,2.76292335547006e-07,6.85430807167454e-07,3.47147034264111e-07
393,2.13682585767433e-09,2.20010322644495e-07,2.82804306759519e-07,5.04951455261689e-07,4.57332996107054e-07
393.2,3.96524016250818e-08,9.99553692131629e-10,2.54622169988662e-07,2.95274125305875e-07,5.22824822217497e-07
393.4,1.87180709308234e-07,9.45640744879768e-08,2.43254661890228e-07,5.24999445686439e-07,5.8697625664038e-07
393.6,2.68461498205085e-07,1.89259005644041e-07,2.00383047080241e-07,6.58103550929367e-07,5.33634432601043e-07
393.8,1.30285950170862e-07,9.30702952922755e-08,8.41641562372045e-08,3.07520401700342e-07,2.37306979953441e-07
394,0,0,0,0,0
394.2,0,0,1.18617080101594e-08,1.18617080101594e-08,0
394.4,0,0,2.5397597857554e-08,2.5397597857554e-08,0
394.6,0,0,0,0,0
394.8,2.83908972203461e-08,5.11337529396427e-08,4.33726406873436e-08,1.22897290847332e-07,2.74362324348236e-08
395,1.20486711006483e-07,2.17000619278493e-07,1.90999619658716e-07,5.28486949943692e-07,1.16436799207402e-07
395.2,1.35934185004859e-07,2.43675247773159e-07,2.25311473566719e-07,6.04920906344737e-07,1.28089559200864e-07
395.4,4.83695107188838e-08,8.50739462824028e-08,1.06257531664705e-07,2.39700988665992e-07,4.08978005657993e-08
395.6,0,0,6.47738631998037e-08,6.47738631998037e-08,1.06203701377645e-08
395.8,0,1.8150826453427e-08,1.35854918643174e-07,1.54005745096601e-07,6.58002603267198e-08
396,0,1.12325350706406e-08,1.69634347231915e-07,1.80866882302556e-07,1.16820180055671e-07
396.2,0,0,1.63927839963926e-07,1.63927839963926e-07,1.64853764755995e-07
396.4,4.16911454365912e-08,1.2701149522479e-07,2.21784724657077e-07,3.90487365318458e-07,2.90648803992778e-07
396.6,1.06428882086313e-07,3.28550895873922e-07,3.1180100876241e-07,7.46780786722646e-07,4.44044381742215e-07
396.8,6.42921536794846e-08,2.37464588987797e-07,2.98972744018821e-07,6.00729486686103e-07,4.44923563386744e-07
397,1.64596735424364e-09,3.12002560309684e-08,2.43341124121561e-07,2.76187347506773e-07,3.81564833725321e-07
397.2,1.68801532467451e-07,2.01992366038664e-07,3.24347133593228e-07,6.95141032099343e-07,5.27148666370915e-07
397.4,3.79660000817885e-07,4.84340792180316e-07,4.28606932649762e-07,1.29260772564796e-06,6.85876985242901e-07
397.6,2.58787775370351e-07,3.42703547822413e-07,3.10986443530377e-07,9.12477766723141e-07,4.44937976200588e-07
397.8,2.28905923462872e-08,5.89207312805761e-08,1.43686576544457e-07,2.2549790017132e-07,8.06180742404843e-08
398,0,3.6658992269707e-08,1.92565041110221e-07,2.29224033379929e-07,0
398.2,0,9.36309657855408e-08,2.9784873501149e-07,3.91479700797031e-07,0
398.4,0,2.16829499020225e-08,2.81184277582961e-07,3.02867227484984e-07,2.00021030537131e-07
398.6,2.58429157285653e-09,8.16606004248401e-09,2.54631271276171e-07,2.65381622891511e-07,4.04351492413835e-07
