wavelength_nm,R_W_nm,G_W_nm,B_W_nm,W_W_nm,RGB_target_W_nm
380,2.94381952160801e-07,6.34898991673576e-07,1.15788763483193e-06,6.09347088474861e-07,1.23175166827378e-06
380.2,9.0415539184137e-08,4.60699491552996e-07,1.03042572734264e-06,6.41896720755057e-07,8.83347643105933e-07
380.4,1.38132228928226e-08,5.51292413667956e-07,1.00006953584224e-06,7.1459422769742e-07,8.83607499181414e-07
380.6,0,3.7210266775499e-07,8.43986362894685e-07,6.68455623167732e-07,6.63139997009449e-07
380.8,0,6.3256355664274e-08,6.35815294785893e-07,5.52095680040922e-07,3.27808435940358e-07
381,1.16287877594731e-07,1.23788037125906e-07,5.9063701837053e-07,5.33244850057791e-07,4.4427229555261e-07
381.2,3.04419620425965e-07,3.89857962284296e-07,6.46746331698822e-07,5.71026386422288e-07,8.22180485464853e-07
381.4,3.86251462500575e-07,4.91050166462282e-07,6.49253450256833e-07,5.58336023652923e-07,9.65487154397837e-07
381.6,3.99946419797006e-07,4.77077478243604e-07,6.61779014572658e-07,5.31886951287819e-07,9.70301122711041e-07
381.8,4.25815776721977e-07,4.41596830659746e-07,8.4886020137146e-07,5.77136930887159e-07,1.04359384220252e-06
382,4.27644421237611e-07,3.99249604865565e-07,1.04065477105932e-06,6.22536678733186e-07,1.09525723653593e-06
382.2,3.31103916754642e-07,3.73998961156097e-07,9.62873924915581e-07,5.42550450452006e-07,9.67992152176614e-07
382.4,2.27507229629826e-07,3.56523120391164e-07,8.14051367312031e-07,4.52969069833014e-07,8.10487135614573e-07
382.6,2.18632340757755e-07,3.32799491894165e-07,8.20539790140164e-07,5.00176021189077e-07,7.87809905593182e-07
382.8,2.74584887621984e-07,3.33298516473403e-07,8.40727108769271e-07,5.66643169069218e-07,8.39509800529092e-07
383,4.22575895677974e-07,4.0013786861661e-07,7.76765500117287e-07,5.78325092310884e-07,9.76832601346567e-07
383.2,5.3475926139794e-07,4.46686881367978e-07,7.15000127322121e-07,5.63308329442965e-07,1.07186917981462e-06
383.4,4.93406055802549e-07,4.03850611486144e-07,7.05984528987513e-07,5.21093652976503e-07,1.00263341828463e-06
383.6,4.20618053451997e-07,3.30334310472727e-07,7.39158721747118e-07,4.80366674427142e-07,9.03681401451858e-07
383.8,3.72934160049764e-07,2.49572172568765e-07,8.1693956789086e-07,4.59349197141924e-07,8.37544129679888e-07
384,3.73321753180795e-07,2.46877439840878e-07,8.71414239919329e-07,4.84330540689485e-07,8.59503091693435e-07
384.2,4.39957956861906e-07,3.63150166803451e-07,8.64354194059969e-07,5.63907402429717e-07,9.99025288515307e-07
384.4,5.16313803675026e-07,4.42734606700409e-07,8.44487786606288e-07,5.81530132790007e-07,1.11130168711743e-06
384.6,5.57855836693228e-07,4.26755839673192e-07,8.17180251272429e-07,5.00785078725608e-07,1.11827234596998e-06
384.8,4.19534780342192e-07,3.7752207468552e-07,6.99365735994363e-07,4.4827633143679e-07,9.22815569168886e-07
385,1.23433504805278e-07,3.24365976505034e-07,5.09907800802566e-07,4.57082704342045e-07,5.7315114548805e-07
385.2,7.25673724144269e-09,3.33148809099632e-07,4.49476215080262e-07,4.76402808164799e-07,4.65485672350425e-07
385.4,8.78703442903663e-08,3.79009167931651e-07,5.1164272684471e-07,4.94175306771777e-07,5.90144641758506e-07
385.6,9.70533200101793e-08,2.90512149049493e-07,4.70636295709878e-07,5.08043846415087e-07,5.09175531951376e-07
385.8,2.46529107906581e-08,1.07140577162509e-07,3.49171415811347e-07,5.13245796850051e-07,2.56034936103113e-07
386,0,0,3.10050337832139e-07,5.02921772378357e-07,1.35444116537856e-07
386.2,0,1.60436402225182e-09,3.79647949002532e-07,4.82463429880774e-07,1.67117072791292e-07
386.4,1.59439912849523e-07,1.99699656119668e-07,6.39204919076324e-07,4.58660263207159e-07,5.58325035441567e-07
386.6,3.54806727460004e-07,4.20707661772821e-07,8.92815003930513e-07,4.45161151905679e-07,9.9234643177264e-07
386.8,2.30160751834577e-07,2.83485882973815e-07,7.12503037238342e-07,4.78170073475718e-07,7.10346044563873e-07
387,2.1037362558117e-08,6.34918952656746e-08,4.05170415923087e-07,5.14094483581283e-07,2.43212861404143e-07
387.2,1.38092475786582e-07,2.59492781204027e-07,4.97733233084864e-07,4.73047999438988e-07,5.27628928525298e-07
387.4,3.11286975645002e-07,5.0397490306456e-07,6.5870027298342e-07,4.16765092333631e-07,9.2291887299532e-07
387.6,1.81671857314049e-07,2.83565726906493e-07,4.36649796537477e-07,4.33998425252532e-07,5.53085039874092e-07
387.8,0,0,1.84142843848813e-07,4.53238652677053e-07,8.04419855700136e-08
388,0,3.83340701279441e-09,2.16193847494429e-07,3.93640875045002e-07,9.74767350593552e-08
388.2,7.7806836483134e-09,1.11571915426147e-07,3.47015293851457e-07,3.50238037154815e-07,2.45788067683552e-07
388.4,1.17709052408512e-07,2.88316440900844e-07,5.27868798152159e-07,3.96326718935607e-07,5.48124265191554e-07
388.6,1.82079327015902e-07,3.57581052499149e-07,6.14384445352012e-07,4.3615508800484e-07,6.89606050361687e-07
388.8,1.03676193408105e-07,1.55246546601102e-07,4.68089063254938e-07,4.12391859530341e-07,4.06054784179461e-07
389,3.24276314677249e-08,3.93351134338966e-08,3.46844809789513e-07,3.90405880916541e-07,2.07267030235085e-07
389.2,4.14853847913586e-08,1.93262239047492e-07,3.82435864839041e-07,3.98243752493213e-07,3.51496582914222e-07
389.4,9.75432774809442e-08,3.06331228211354e-07,5.01363540756864e-07,4.08108487675064e-07,5.35488414799111e-07
389.6,1.86581370307109e-07,2.60770284126878e-07,6.6929034177246e-07,4.12142245785861e-07,6.4040271114405e-07
389.8,2.17986352206037e-07,1.86425602311924e-07,7.07719455029656e-07,4.28117525432583e-07,6.22207308689546e-07
390,1.62172941337563e-07,1.2078390915889e-07,5.63209141345886e-07,4.55325423580906e-07,4.64755115797051e-07
390.2,8.76815168675563e-08,6.06434629673812e-08,3.96235045382335e-07,4.52849255235664e-07,2.87660189564611e-07
390.4,2.33808102580433e-08,1.50415988674073e-08,2.78189875196932e-07,4.21048464188909e-07,1.51182248439352e-07
390.6,0,0,2.87957609098944e-07,4.18512388544991e-07,1.25793005863053e-07
390.8,0,0,3.89034600883727e-07,4.42175771521698e-07,1.69948041946277e-07
391,0,0,3.66039309469647e-07,4.34547575490388e-07,1.59902650762744e-07
391.2,0,0,2.78952039238567e-07,4.03575502075307e-07,1.21858962564835e-07
391.4,8.78792887472363e-08,8.37303361012717e-08,4.23472381396569e-07,3.97814416852708e-07,3.17977729545291e-07
391.6,2.08048066794984e-07,2.06107131717091e-07,6.59632921087e-07,4.08298194120869e-07,6.09228689177166e-07
391.8,1.69417951402221e-07,2.09560381805421e-07,6.25335539213406e-07,4.0416459051228e-07,5.67645734646084e-07
392,5.15767197977418e-08,1.37321583714854e-07,4.54279854237412e-07,3.94319824429987e-07,3.4627757351114e-07
392.2,0,5.05491937785445e-08,4.01138969281805e-07,3.98483381687914e-07,2.15235827681068e-07
392.4,0,1.07649582233332e-09,4.22238879066028e-07,4.08867313458283e-07,1.85305024904748e-07
392.6,7.54623949546666e-08,9.5060190148303e-08,4.756505328259e-07,4.18512388544991e-07,3.40308461554717e-07
392.8,1.53705522167346e-07,2.10298938182694e-07,5.2762811477059e-07,4.20239715656793e-07,5.13616236165606e-07
393,1.21495539150123e-07,1.85357689712354e-07,5.22162596314126e-07,3.9741503486154e-07,4.67034502218632e-07
393.2,6.79639586120271e-08,1.53699570405462e-07,5.11030989916555e-07,3.7728618250667e-07,3.96472379053888e-07
393.4,6.1120455277976e-08,2.47615996218151e-07,5.43974527768824e-07,3.9103490755263e-07,4.7998410084335e-07
393.6,6.91317071478259e-08,3.05373101019216e-07,5.69186111988185e-07,4.00809781786468e-07,5.42784561297279e-07
393.8,8.7036522144379e-08,2.05887560902226e-07,5.53521635237731e-07,3.78504297579733e-07,4.70813379982329e-07
394,8.43442406265247e-08,9.24373169598253e-08,5.14430642681219e-07,3.59523668449472e-07,3.61918100799285e-07
394.2,3.58712473626547e-08,3.77182737971638e-08,4.54620822361302e-07,3.62568956132128e-07,2.55683913694329e-07
394.4,0,7.45033716311516e-09,3.98832420208435e-07,3.73372238993224e-07,1.80123696833327e-07
394.6,0,0,3.65387458644564e-07,3.86891319394262e-07,1.5961789261755e-07
394.8,0,6.01594091255198e-09,3.75807043371659e-07,3.991623310729e-07,1.68930111905028e-07
395,0,2.73146093691993e-08,4.36790195176725e-07,4.06231392316574e-07,2.12424165566506e-07
395.2,0,3.14605055735129e-08,4.98405140858411e-07,3.98723010882615e-07,2.42621067760495e-07
395.4,0,1.10973085931061e-08,5.30365888235938e-07,3.7778540999563e-07,2.40469391967415e-07
395.6,0,0,4.75319593176243e-07,3.73102656149185e-07,2.0764125858087e-07
395.8,0,0,3.57645476537425e-07,3.87899758921961e-07,1.56235842031554e-07
396,0,6.09708230913616e-08,3.64224155633647e-07,3.98083999696746e-07,2.07356486839239e-07
396.2,0,1.71155450187225e-07,4.76653380249105e-07,3.99821311358327e-07,3.43660813237437e-07
396.4,4.41259872250754e-09,1.42371712456748e-07,4.81497133303183e-07,3.98004123298513e-07,3.26350551295226e-07
396.6,2.3717718133478e-08,2.82048692185608e-08,4.14948178299331e-07,3.9753484945889e-07,2.21596548453863e-07
396.8,8.666880558417e-08,5.03575683401169e-08,4.77285174125724e-07,4.12461751378796e-07,3.14158276525414e-07
397,1.49541380580115e-07,1.41782863453247e-07,5.92472229154994e-07,4.31891685249121e-07,4.84563750121819e-07
397.2,1.01032609488765e-07,1.04515707875714e-07,5.44586264696978e-07,4.29315671406087e-07,3.97321120122997e-07
397.4,1.25689495593587e-08,1.34776558360738e-08,4.32698577690051e-07,4.16016251100191e-07,2.0923139182674e-07
397.6,2.71563648857024e-08,1.94050697882688e-08,4.60818419436706e-07,4.12222122184095e-07,2.37282453978414e-07
397.8,7.31905029096999e-08,6.22064079495562e-08,5.26655352770082e-07,4.15427162663218e-07,3.34867079885567e-07
398,4.59089156278183e-08,6.10476728765643e-08,4.7295287325748e-07,4.25222005996615e-07,2.8977482992978e-07
398.2,1.41680196819972e-09,4.3859270269273e-08,4.01640392993407e-07,4.34607482789064e-07,2.11236889650145e-07
398.4,0,2.55081403923559e-08,4.26581208408503e-07,4.319016697989e-07,2.06534939261845e-07
398.6,0,2.27355598301067e-08,4.71147747895712e-07,4.31142844015681e-07,2.23809665881617e-07
398.8,0,6.88534153450132e-08,4.78468534085105e-07,4.48595837029724e-07,2.63501205838964e-07
399,7.2152945912786e-10,1.01162262703232e-07,4.82239240396354e-07,4.61156400651959e-07,2.91262589551819e-07
399.2,1.26782706988803e-08,6.26774871523573e-08,4.93691757969349e-07,4.49883843951241e-07,2.74891285892614e-07
399.4,3.80129478687367e-08,7.2575140656974e-08,5.32762693577397e-07,4.47427644705558e-07,3.19028656812985e-07
399.6,8.14989095133402e-08,2.09670167212854e-07,6.19037657395681e-07,4.74365960009842e-07,4.98222117505707e-07
399.8,1.17331397562892e-07,2.90961271170808e-07,6.78325997055532e-07,4.92807423452027e-07,6.15656941261502e-07
400,1.30449934305482e-07,2.2635754914259e-07,6.69771708535598e-07,4.8476986087977e-07,5.70759770843142e-07
400.2,1.20650784890184e-07,1.2839902423807e-07,6.11245532917382e-07,4.69293808722008e-07,4.60236623392738e-07
400.4,9.08627620276344e-08,4.92038235129175e-08,5.17990751033595e-07,4.55205608983555e-07,3.34211942239731e-07
400.6,8.52685011697527e-08,6.83883244371629e-08,4.86391028728421e-07,4.58091143869744e-07,3.31340744607577e-07
400.8,1.08734780682331e-07,1.84958470048963e-07,5.30355859761706e-07,4.81375113954841e-07,4.60608200239579e-07
401,8.98043346313572e-08,1.83161981563704e-07,4.95787709083847e-07,5.03301185269967e-07,4.2971128268404e-07
401.2,2.66276481018343e-08,5.21999670866655e-08,3.90859783193959e-07,5.17868643397821e-07,2.32270771301932e-07
401.4,0,1.76355286302891e-08,4.37612530063753e-07,5.32496008824351e-07,2.05124252529439e-07
401.6,0,8.39409244737104e-08,6.05780014460918e-07,5.43219415287213e-07,3.31055547995336e-07
401.8,0,1.11512032476638e-07,6.50928205453585e-07,5.3313502001022e-07,3.72595608783407e-07
402,0,9.12157047898495e-08,5.87357707296651e-07,5.13175905001597e-07,3.28764445880963e-07
402.2,0,4.89213756010685e-08,5.38679493374304e-07,5.15652073346839e-07,2.74031688690546e-07
402.4,0,7.15631188102783e-09,5.27026406316667e-07,5.33464510152933e-07,2.35892006822989e-07
402.6,3.24604278095814e-09,4.82626631564736e-09,5.82423697974485e-07,5.44437530360275e-07,2.60713089052649e-07
402.8,1.41481431111751e-08,3.52241489501297e-08,6.61779014572658e-07,5.53463563360673e-07,3.27711491671439e-07
403,4.75944488335329e-08,1.01002574837875e-07,6.99957415974054e-07,5.72484130690051e-07,4.21837314014532e-07
403.2,7.49147954285176e-08,1.58290596534457e-07,6.95254061559224e-07,5.91614528067e-07,4.85860290410913e-07
403.4,4.47779387480405e-08,1.34267553289915e-07,6.1697179170388e-07,5.93910974516216e-07,4.09769646014104e-07
403.6,1.50197307417244e-09,7.78887543767057e-08,5.3959208452942e-07,5.91604543517221e-07,2.98492994163934e-07
403.8,0,2.31407677884484e-08,5.56299522600007e-07,5.96077621818303e-07,2.61328486249909e-07
404,1.46629462954676e-09,2.00378329547433e-09,6.17613614054731e-07,6.06621306385139e-07,2.72500780431568e-07
404.2,5.39340810972436e-08,8.38471078528136e-08,7.16384056766143e-07,6.29635693626198e-07,4.20251792112027e-07
