"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0037","3.1610e-006",
"380.2","0.0037","3.1427e-006",
"380.4","0.0038","3.2188e-006",
"380.6","0.0042","3.6101e-006",
"380.8","0.0046","3.9157e-006",
"381.0","0.0032","2.7320e-006",
"381.2","0.0015","1.2923e-006",
"381.4","0.0033","2.8621e-006",
"381.6","0.0062","5.2931e-006",
"381.8","0.0058","4.9611e-006",
"382.0","0.0042","3.5716e-006",
"382.2","0.0039","3.3538e-006",
"382.4","0.0039","3.3688e-006",
"382.6","0.0030","2.5796e-006",
"382.8","0.0024","2.0586e-006",
"383.0","0.0033","2.8401e-006",
"383.2","0.0042","3.5730e-006",
"383.4","0.0040","3.3943e-006",
"383.6","0.0030","2.6056e-006",
"383.8","0.0014","1.1634e-006",
"384.0","0.0009","7.5976e-007",
"384.2","0.0026","2.2140e-006",
"384.4","0.0035","3.0363e-006",
"384.6","0.0028","2.4327e-006",
"384.8","0.0024","2.0981e-006",
"385.0","0.0028","2.3895e-006",
"385.2","0.0028","2.4344e-006",
"385.4","0.0026","2.2183e-006",
"385.6","0.0029","2.5036e-006",
"385.8","0.0035","3.0245e-006",
"386.0","0.0030","2.5603e-006",
"386.2","0.0019","1.5992e-006",
"386.4","0.0019","1.6074e-006",
"386.6","0.0026","2.1945e-006",
"386.8","0.0030","2.5368e-006",
"387.0","0.0032","2.7208e-006",
"387.2","0.0034","2.9158e-006",
"387.4","0.0035","2.9732e-006",
"387.6","0.0030","2.5745e-006",
"387.8","0.0026","2.2159e-006",
"388.0","0.0029","2.4712e-006",
"388.2","0.0033","2.8290e-006",
"388.4","0.0035","3.0273e-006",
"388.6","0.0035","2.9704e-006",
"388.8","0.0029","2.4831e-006",
"389.0","0.0026","2.2200e-006",
"389.2","0.0030","2.5411e-006",
"389.4","0.0030","2.5908e-006",
"389.6","0.0024","2.0745e-006",
"389.8","0.0023","1.9672e-006",
"390.0","0.0029","2.4727e-006",
"390.2","0.0031","2.6836e-006",
"390.4","0.0029","2.4662e-006",
"390.6","0.0028","2.4345e-006",
"390.8","0.0030","2.5986e-006",
"391.0","0.0030","2.5425e-006",
"391.2","0.0027","2.3053e-006",
"391.4","0.0025","2.1295e-006",
"391.6","0.0024","2.0433e-006",
"391.8","0.0024","2.0559e-006",
"392.0","0.0025","2.1355e-006",
"392.2","0.0026","2.2244e-006",
"392.4","0.0027","2.3390e-006",
"392.6","0.0030","2.5413e-006",
"392.8","0.0032","2.7145e-006",
"393.0","0.0031","2.6956e-006",
"393.2","0.0030","2.5989e-006",
"393.4","0.0029","2.5126e-006",
"393.6","0.0028","2.3860e-006",
"393.8","0.0025","2.1613e-006",
"394.0","0.0025","2.1146e-006",
"394.2","0.0029","2.4498e-006",
"394.4","0.0031","2.6637e-006",
"394.6","0.0029","2.5207e-006",
"394.8","0.0031","2.6842e-006",
"395.0","0.0039","3.3119e-006",
"395.2","0.0038","3.2847e-006",
"395.4","0.0028","2.4217e-006",
"395.6","0.0024","2.0151e-006",
"395.8","0.0026","2.2496e-006",
"396.0","0.0027","2.2811e-006",
"396.2","0.0024","2.0958e-006",
"396.4","0.0026","2.2355e-006",
"396.6","0.0031","2.6236e-006",
"396.8","0.0034","2.8790e-006",
"397.0","0.0035","2.9952e-006",
"397.2","0.0035","2.9987e-006",
"397.4","0.0035","3.0173e-006",
"397.6","0.0039","3.3467e-006",
"397.8","0.0043","3.6827e-006",
"398.0","0.0041","3.5440e-006",
"398.2","0.0038","3.2618e-006",
"398.4","0.0037","3.1664e-006",
"398.6","0.0036","3.1288e-006",
"398.8","0.0036","3.0644e-006",
"399.0","0.0037","3.1408e-006",
"399.2","0.0041","3.5382e-006",
"399.4","0.0044","3.7545e-006",
"399.6","0.0040","3.4496e-006",
"399.8","0.0036","3.1270e-006",
"400.0","0.0035","3.0285e-006",
"400.2","0.0036","3.1122e-006",
"400.4","0.0039","3.3746e-006",
"400.6","0.0043","3.6551e-006",
"400.8","0.0045","3.8573e-006",
"401.0","0.0044","3.8109e-006",
"401.2","0.0042","3.5660e-006",
"401.4","0.0042","3.5641e-006",
"401.6","0.0044","3.7712e-006",
"401.8","0.0043","3.7037e-006",
"402.0","0.0041","3.5015e-006",
"402.2","0.0044","3.7582e-006",
"402.4","0.0049","4.2185e-006",
"402.6","0.0049","4.2278e-006",
