"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0004","2.5712e-007",
"380.2","0.0000","0.0000e+000",
"380.4","0.0000","0.0000e+000",
"380.6","0.0001","4.6061e-008",
"380.8","0.0002","1.1587e-007",
"381.0","0.0000","0.0000e+000",
"381.2","0.0000","0.0000e+000",
"381.4","0.0012","8.5268e-007",
"381.6","0.0028","1.9583e-006",
"381.8","0.0030","2.0681e-006",
"382.0","0.0024","1.6581e-006",
"382.2","0.0018","1.2095e-006",
"382.4","0.0012","7.9729e-007",
"382.6","0.0008","5.8254e-007",
"382.8","0.0008","5.4625e-007",
"383.0","0.0012","8.0892e-007",
"383.2","0.0013","8.9783e-007",
"383.4","0.0006","4.0074e-007",
"383.6","0.0000","0.0000e+000",
"383.8","0.0000","0.0000e+000",
"384.0","0.0000","0.0000e+000",
"384.2","0.0000","0.0000e+000",
"384.4","0.0000","0.0000e+000",
"384.6","0.0000","0.0000e+000",
"384.8","0.0000","0.0000e+000",
"385.0","0.0000","0.0000e+000",
"385.2","0.0001","6.4310e-008",
"385.4","0.0004","2.9249e-007",
"385.6","0.0012","8.0981e-007",
"385.8","0.0019","1.3432e-006",
"386.0","0.0015","1.0283e-006",
"386.2","0.0003","2.1334e-007",
"386.4","0.0000","0.0000e+000",
"386.6","0.0000","0.0000e+000",
"386.8","0.0003","1.9754e-007",
"387.0","0.0006","4.3361e-007",
"387.2","0.0005","3.5054e-007",
"387.4","0.0003","2.2671e-007",
"387.6","0.0007","4.5165e-007",
"387.8","0.0010","7.1571e-007",
"388.0","0.0011","7.2525e-007",
"388.2","0.0010","6.9000e-007",
"388.4","0.0011","7.3870e-007",
"388.6","0.0010","6.8801e-007",
"388.8","0.0006","4.1188e-007",
"389.0","0.0004","3.0085e-007",
"389.2","0.0008","5.6275e-007",
"389.4","0.0009","6.0476e-007",
"389.6","0.0003","2.1185e-007",
"389.8","0.0000","2.9416e-008",
"390.0","0.0003","2.2490e-007",
"390.2","0.0006","3.9564e-007",
"390.4","0.0006","4.4823e-007",
"390.6","0.0007","5.0139e-007",
"390.8","0.0008","5.2763e-007",
"391.0","0.0005","3.4464e-007",
"391.2","0.0001","6.7719e-008",
"391.4","0.0001","7.0443e-008",
"391.6","0.0003","2.3248e-007",
"391.8","0.0003","2.0667e-007",
"392.0","0.0001","7.6896e-008",
