"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0153","2.0506e-006",
"380.2","0.0136","1.8114e-006",
"380.4","0.0085","1.1307e-006",
"380.6","0.0107","1.4238e-006",
"380.8","0.0165","2.1979e-006",
"381.0","0.0109","1.4503e-006",
"381.2","0.0020","2.6248e-007",
"381.4","0.0119","1.5884e-006",
"381.6","0.0277","3.6965e-006",
"381.8","0.0279","3.7259e-006",
"382.0","0.0213","2.8522e-006",
"382.2","0.0194","2.5905e-006",
"382.4","0.0170","2.2672e-006",
"382.6","0.0076","1.0098e-006",
"382.8","0.0000","3.9961e-009",
"383.0","0.0029","3.8928e-007",
"383.2","0.0061","8.0836e-007",
"383.4","0.0029","3.8300e-007",
"383.6","0.0000","0.0000e+000",
"383.8","0.0000","0.0000e+000",
"384.0","0.0011","1.4264e-007",
"384.2","0.0052","6.9983e-007",
"384.4","0.0062","8.3289e-007",
"384.6","0.0024","3.1401e-007",
"384.8","0.0000","0.0000e+000",
"385.0","0.0000","0.0000e+000",
"385.2","0.0017","2.2158e-007",
"385.4","0.0059","7.8939e-007",
"385.6","0.0107","1.4236e-006",
"385.8","0.0138","1.8371e-006",
"386.0","0.0096","1.2845e-006",
"386.2","0.0019","2.4929e-007",
"386.4","0.0000","2.3215e-009",
"386.6","0.0023","3.0330e-007",
"386.8","0.0045","5.9536e-007",
"387.0","0.0066","8.7639e-007",
"387.2","0.0089","1.1836e-006",
"387.4","0.0105","1.4052e-006",
"387.6","0.0101","1.3430e-006",
"387.8","0.0091","1.2187e-006",
"388.0","0.0094","1.2565e-006",
"388.2","0.0098","1.3085e-006",
"388.4","0.0099","1.3194e-006",
"388.6","0.0090","1.2076e-006",
"388.8","0.0065","8.7169e-007",
"389.0","0.0059","7.8506e-007",
"389.2","0.0090","1.2075e-006",
"389.4","0.0091","1.2204e-006",
"389.6","0.0037","4.9693e-007",
"389.8","0.0016","2.0868e-007",
"390.0","0.0048","6.4066e-007",
"390.2","0.0067","8.9715e-007",
"390.4","0.0060","8.0787e-007",
"390.6","0.0059","7.8420e-007",
"390.8","0.0063","8.4181e-007",
"391.0","0.0056","7.4771e-007",
"391.2","0.0041","5.5026e-007",
"391.4","0.0034","4.5701e-007",
"391.6","0.0033","4.3542e-007",
"391.8","0.0025","3.4056e-007",
"392.0","0.0020","2.6517e-007",
"392.2","0.0030","4.0503e-007",
"392.4","0.0048","6.3959e-007",
"392.6","0.0058","7.7838e-007",
"392.8","0.0071","9.4987e-007",
"393.0","0.0106","1.4132e-006",
"393.2","0.0129","1.7182e-006",
"393.4","0.0102","1.3681e-006",
"393.6","0.0064","8.5250e-007",
"393.8","0.0031","4.1581e-007",
"394.0","0.0014","1.8221e-007",
"394.2","0.0023","3.1289e-007",
"394.4","0.0049","6.4802e-007",
"394.6","0.0083","1.1063e-006",
"394.8","0.0105","1.4067e-006",
"395.0","0.0104","1.3858e-006",
"395.2","0.0075","1.0002e-006",
"395.4","0.0026","3.5181e-007",
"395.6","0.0010","1.3770e-007",
"395.8","0.0032","4.2695e-007",
"396.0","0.0042","5.5649e-007",
"396.2","0.0037","4.9286e-007",
"396.4","0.0048","6.4229e-007",
"396.6","0.0069","9.2479e-007",
"396.8","0.0074","9.8780e-007",
"397.0","0.0067","8.9242e-007",
"397.2","0.0061","8.0894e-007",
"397.4","0.0058","7.7804e-007",
"397.6","0.0066","8.8632e-007",
"397.8","0.0077","1.0232e-006",
"398.0","0.0076","1.0114e-006",
"398.2","0.0073","9.7552e-007",
"398.4","0.0081","1.0791e-006",
"398.6","0.0086","1.1551e-006",
"398.8","0.0075","1.0030e-006",
"399.0","0.0071","9.4421e-007",
"399.2","0.0094","1.2608e-006",
"399.4","0.0104","1.3940e-006",
"399.6","0.0074","9.8309e-007",
"399.8","0.0051","6.7723e-007",
"400.0","0.0059","7.8695e-007",
"400.2","0.0070","9.3784e-007",
"400.4","0.0076","1.0087e-006",
"400.6","0.0085","1.1384e-006",
"400.8","0.0099","1.3216e-006",
"401.0","0.0101","1.3540e-006",
"401.2","0.0090","1.2086e-006",
"401.4","0.0076","1.0111e-006",
"401.6","0.0062","8.2874e-007",
"401.8","0.0056","7.4324e-007",
"402.0","0.0059","7.8394e-007",
"402.2","0.0077","1.0328e-006",
"402.4","0.0099","1.3197e-006",
"402.6","0.0095","1.2731e-006",
"402.8","0.0078","1.0482e-006",
"403.0","0.0067","8.9616e-007",
"403.2","0.0063","8.3906e-007",
"403.4","0.0073","9.7043e-007",
"403.6","0.0084","1.1235e-006",
"403.8","0.0081","1.0792e-006",
"404.0","0.0074","9.8389e-007",
"404.2","0.0068","9.0853e-007",
"404.4","0.0070","9.4050e-007",
"404.6","0.0091","1.2155e-006",
"404.8","0.0106","1.4122e-006",
"405.0","0.0098","1.3092e-006",
"405.2","0.0095","1.2705e-006",
"405.4","0.0109","1.4612e-006",
"405.6","0.0113","1.5148e-006",
"405.8","0.0098","1.3069e-006",
"406.0","0.0087","1.1621e-006",
"406.2","0.0089","1.1953e-006",
