"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0033","7.2501e-007",
"380.2","0.0010","2.2352e-007",
"380.4","0.0000","9.2754e-009",
"380.6","0.0009","2.0653e-007",
"380.8","0.0026","5.6995e-007",
"381.0","0.0014","3.0929e-007",
"381.2","0.0000","0.0000e+000",
"381.4","0.0051","1.1424e-006",
"381.6","0.0118","2.6256e-006",
"381.8","0.0111","2.4810e-006",
"382.0","0.0076","1.6894e-006",
"382.2","0.0070","1.5609e-006",
"382.4","0.0066","1.4708e-006",
"382.6","0.0028","6.3454e-007",
"382.8","0.0001","1.4392e-008",
"383.0","0.0025","5.6369e-007",
"383.2","0.0045","1.0108e-006",
"383.4","0.0021","4.7893e-007",
"383.6","0.0000","0.0000e+000",
"383.8","0.0000","0.0000e+000",
"384.0","0.0003","5.7078e-008",
"384.2","0.0013","2.8004e-007",
"384.4","0.0015","3.3329e-007",
"384.6","0.0006","1.2566e-007",
"384.8","0.0000","0.0000e+000",
"385.0","0.0000","0.0000e+000",
"385.2","0.0012","2.6440e-007",
"385.4","0.0038","8.4462e-007",
"385.6","0.0049","1.0895e-006",
"385.8","0.0043","9.4825e-007",
"386.0","0.0025","5.5975e-007",
"386.2","0.0005","1.0753e-007",
"386.4","0.0000","0.0000e+000",
"386.6","0.0000","0.0000e+000",
"386.8","0.0000","0.0000e+000",
"387.0","0.0000","0.0000e+000",
"387.2","0.0000","6.3359e-009",
"387.4","0.0003","6.7271e-008",
"387.6","0.0011","2.3532e-007",
"387.8","0.0023","5.0444e-007",
"388.0","0.0045","9.9719e-007",
"388.2","0.0058","1.2972e-006",
"388.4","0.0046","1.0267e-006",
"388.6","0.0027","5.9651e-007",
"388.8","0.0009","2.0213e-007",
"389.0","0.0001","1.8594e-008",
"389.2","0.0009","1.9255e-007",
"389.4","0.0013","2.8135e-007",
"389.6","0.0005","1.0479e-007",
"389.8","0.0000","1.1049e-008",
"390.0","0.0004","8.0995e-008",
"390.2","0.0004","9.6905e-008",
"390.4","0.0001","2.8730e-008",
"390.6","0.0000","1.0442e-008",
"390.8","0.0002","4.4596e-008",
"391.0","0.0002","4.0214e-008",
"391.2","0.0000","7.8490e-009",
"391.4","0.0001","1.7368e-008",
"391.6","0.0002","4.7964e-008",
"391.8","0.0002","3.6874e-008",
"392.0","0.0000","5.4686e-009",
"392.2","0.0000","0.0000e+000",
"392.4","0.0000","0.0000e+000",
"392.6","0.0003","6.4938e-008",
"392.8","0.0009","1.9479e-007",
"393.0","0.0021","4.7544e-007",
"393.2","0.0028","6.3442e-007",
"393.4","0.0014","3.1786e-007",
"393.6","0.0000","0.0000e+000",
"393.8","0.0000","0.0000e+000",
"394.0","0.0000","5.3512e-009",
"394.2","0.0003","6.0817e-008",
"394.4","0.0008","1.8239e-007",
"394.6","0.0017","3.8032e-007",
"394.8","0.0022","4.8494e-007",
"395.0","0.0019","4.2162e-007",
"395.2","0.0012","2.6844e-007",
"395.4","0.0004","7.8797e-008",
"395.6","0.0000","3.9286e-009",
"395.8","0.0002","5.5662e-008",
"396.0","0.0003","5.9880e-008",
"396.2","0.0001","1.2063e-008",
"396.4","0.0001","2.3871e-008",
"396.6","0.0004","9.2894e-008",
"396.8","0.0008","1.8251e-007",
"397.0","0.0012","2.6095e-007",
"397.2","0.0010","2.3052e-007",
"397.4","0.0010","2.2107e-007",
"397.6","0.0025","5.4999e-007",
"397.8","0.0040","8.9571e-007",
"398.0","0.0033","7.3750e-007",
"398.2","0.0021","4.5882e-007",
"398.4","0.0022","4.8940e-007",
"398.6","0.0025","5.5844e-007",
"398.8","0.0020","4.5257e-007",
"399.0","0.0017","3.7428e-007",
"399.2","0.0021","4.6760e-007",
"399.4","0.0021","4.6558e-007",
"399.6","0.0009","1.9624e-007",
"399.8","0.0003","6.4849e-008",
"400.0","0.0012","2.6870e-007",
"400.2","0.0019","4.3294e-007",
"400.4","0.0019","4.2407e-007",
"400.6","0.0020","4.4103e-007",
"400.8","0.0023","5.1669e-007",
"401.0","0.0023","5.1812e-007",
"401.2","0.0019","4.2282e-007",
"401.4","0.0012","2.7487e-007",
"401.6","0.0005","1.1613e-007",
"401.8","0.0001","1.8890e-008",
"402.0","0.0001","1.2621e-008",
"402.2","0.0008","1.7888e-007",
"402.4","0.0017","3.7546e-007",
"402.6","0.0012","2.7293e-007",
"402.8","0.0002","3.8424e-008",
"403.0","0.0000","0.0000e+000",
"403.2","0.0000","0.0000e+000",
"403.4","0.0003","6.1935e-008",
"403.6","0.0005","1.1755e-007",
"403.8","0.0003","6.6379e-008",
"404.0","0.0000","0.0000e+000",
"404.2","0.0000","0.0000e+000",
"404.4","0.0001","2.2425e-008",
"404.6","0.0012","2.6857e-007",
"404.8","0.0018","4.1107e-007",
"405.0","0.0011","2.4291e-007",
"405.2","0.0003","6.1307e-008",
"405.4","0.0000","6.2756e-009",
"405.6","0.0000","1.0972e-008",
"405.8","0.0003","5.8496e-008",
"406.0","0.0002","5.5619e-008",
"406.2","0.0000","0.0000e+000",
"406.4","0.0005","1.2200e-007",
"406.6","0.0018","3.9921e-007",
"406.8","0.0017","3.8460e-007",
"407.0","0.0005","1.0525e-007",
"407.2","0.0000","0.0000e+000",
"407.4","0.0003","6.3626e-008",
"407.6","0.0010","2.1970e-007",
"407.8","0.0017","3.6978e-007",
"408.0","0.0015","3.3258e-007",
"408.2","0.0010","2.2364e-007",
"408.4","0.0013","2.9524e-007",
"408.6","0.0018","4.0329e-007",
"408.8","0.0014","3.0808e-007",
"409.0","0.0007","1.6036e-007",
"409.2","0.0006","1.3155e-007",
"409.4","0.0007","1.5195e-007",
"409.6","0.0009","2.0345e-007",
"409.8","0.0010","2.1529e-007",
"410.0","0.0004","1.0014e-007",
"410.2","0.0000","0.0000e+000",
"410.4","0.0000","0.0000e+000",
"410.6","0.0002","5.2014e-008",
"410.8","0.0014","3.0815e-007",
"411.0","0.0019","4.2775e-007",
"411.2","0.0013","2.7973e-007",
"411.4","0.0006","1.3766e-007",
"411.6","0.0004","9.8091e-008",
"411.8","0.0003","7.5926e-008",
"412.0","0.0004","7.8893e-008",
"412.2","0.0011","2.5383e-007",
"412.4","0.0023","5.1885e-007",
"412.6","0.0019","4.2484e-007",
"412.8","0.0004","9.0186e-008",
"413.0","0.0006","1.4399e-007",
"413.2","0.0020","4.3611e-007",
"413.4","0.0019","4.1354e-007",
"413.6","0.0009","2.0022e-007",
"413.8","0.0004","8.6090e-008",
"414.0","0.0004","7.9377e-008",
"414.2","0.0010","2.2758e-007",
"414.4","0.0018","3.9951e-007",
"414.6","0.0019","4.2173e-007",
"414.8","0.0016","3.4692e-007",
"415.0","0.0007","1.4571e-007",
"415.2","0.0000","4.4143e-009",
"415.4","0.0007","1.5145e-007",
"415.6","0.0013","2.9484e-007",
"415.8","0.0010","2.2762e-007",
"416.0","0.0008","1.8393e-007",
"416.2","0.0013","2.8625e-007",
"416.4","0.0016","3.5064e-007",
"416.6","0.0013","2.9962e-007",
"416.8","0.0014","3.0413e-007",
"417.0","0.0019","4.1328e-007",
"417.2","0.0020","4.3730e-007",
"417.4","0.0015","3.2567e-007",
"417.6","0.0007","1.6643e-007",
"417.8","0.0001","2.7197e-008",
"418.0","0.0004","8.6398e-008",
"418.2","0.0014","3.0494e-007",
"418.4","0.0019","4.3493e-007",
"418.6","0.0019","4.3012e-007",
"418.8","0.0011","2.5023e-007",
"419.0","0.0002","3.5590e-008",
"419.2","0.0005","1.2159e-007",
"419.4","0.0015","3.3878e-007",
"419.6","0.0016","3.4685e-007",
"419.8","0.0012","2.6416e-007",
"420.0","0.0012","2.5943e-007",
"420.2","0.0013","2.8840e-007",
"420.4","0.0015","3.2562e-007",
"420.6","0.0015","3.4476e-007",
"420.8","0.0014","3.0314e-007",
"421.0","0.0011","2.4105e-007",
"421.2","0.0008","1.8196e-007",
"421.4","0.0005","1.2082e-007",
"421.6","0.0003","5.7992e-008",
"421.8","0.0000","8.6478e-009",
"422.0","0.0000","0.0000e+000",
"422.2","0.0002","3.3801e-008",
"422.4","0.0008","1.7391e-007",
"422.6","0.0011","2.5572e-007",
"422.8","0.0010","2.2626e-007",
"423.0","0.0008","1.8794e-007",
"423.2","0.0008","1.7548e-007",
"423.4","0.0009","1.9394e-007",
"423.6","0.0011","2.4140e-007",
"423.8","0.0013","2.9920e-007",
"424.0","0.0015","3.4492e-007",
"424.2","0.0015","3.3067e-007",
"424.4","0.0012","2.6834e-007",
"424.6","0.0009","1.9839e-007",
"424.8","0.0006","1.3577e-007",
"425.0","0.0005","1.0506e-007",
"425.2","0.0004","8.9832e-008",
"425.4","0.0002","3.6498e-008",
"425.6","0.0001","1.4518e-008",
"425.8","0.0008","1.6929e-007",
"426.0","0.0015","3.4010e-007",
"426.2","0.0014","3.0902e-007",
"426.4","0.0010","2.2344e-007",
"426.6","0.0009","2.0335e-007",
"426.8","0.0008","1.8496e-007",
"427.0","0.0006","1.3768e-007",
"427.2","0.0005","1.0051e-007",
"427.4","0.0004","9.8271e-008",
"427.6","0.0004","9.8153e-008",
"427.8","0.0004","8.4394e-008",
"428.0","0.0004","1.0036e-007",
