"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0057","3.3457e-006",
"380.2","0.0048","2.7803e-006",
"380.4","0.0036","2.1029e-006",
"380.6","0.0034","1.9668e-006",
"380.8","0.0041","2.3785e-006",
"381.0","0.0058","3.3537e-006",
"381.2","0.0072","4.2018e-006",
"381.4","0.0055","3.1832e-006",
"381.6","0.0029","1.7049e-006",
"381.8","0.0039","2.2579e-006",
"382.0","0.0057","3.3456e-006",
"382.2","0.0048","2.8080e-006",
"382.4","0.0033","1.9298e-006",
"382.6","0.0037","2.1824e-006",
"382.8","0.0042","2.4435e-006",
"383.0","0.0031","1.8106e-006",
"383.2","0.0021","1.2449e-006",
"383.4","0.0023","1.3454e-006",
"383.6","0.0029","1.6630e-006",
"383.8","0.0035","2.0404e-006",
"384.0","0.0038","2.1917e-006",
"384.2","0.0034","1.9582e-006",
"384.4","0.0036","2.0945e-006",
"384.6","0.0048","2.7708e-006",
"384.8","0.0050","2.9307e-006",
"385.0","0.0040","2.3513e-006",
"385.2","0.0029","1.6841e-006",
"385.4","0.0021","1.2208e-006",
"385.6","0.0023","1.3545e-006",
"385.8","0.0033","1.9083e-006",
"386.0","0.0038","2.2294e-006",
"386.2","0.0038","2.2431e-006",
"386.4","0.0032","1.8784e-006",
"386.6","0.0026","1.5092e-006",
"386.8","0.0033","1.9340e-006",
"387.0","0.0043","2.5316e-006",
"387.2","0.0037","2.1783e-006",
"387.4","0.0028","1.6575e-006",
"387.6","0.0034","1.9976e-006",
"387.8","0.0043","2.5024e-006",
"388.0","0.0045","2.6324e-006",
"388.2","0.0043","2.4940e-006",
"388.4","0.0033","1.9351e-006",
"388.6","0.0028","1.6317e-006",
"388.8","0.0036","2.1007e-006",
"389.0","0.0041","2.3657e-006",
"389.2","0.0033","1.9399e-006",
"389.4","0.0029","1.6764e-006",
"389.6","0.0032","1.8888e-006",
"389.8","0.0033","1.9471e-006",
"390.0","0.0030","1.7297e-006",
"390.2","0.0031","1.8011e-006",
"390.4","0.0038","2.1955e-006",
"390.6","0.0041","2.3985e-006",
"390.8","0.0040","2.3235e-006",
"391.0","0.0036","2.0865e-006",
"391.2","0.0031","1.7798e-006",
"391.4","0.0026","1.5169e-006",
"391.6","0.0024","1.3901e-006",
"391.8","0.0028","1.6237e-006",
"392.0","0.0034","1.9901e-006",
"392.2","0.0036","2.1064e-006",
"392.4","0.0035","2.0180e-006",
"392.6","0.0028","1.6529e-006",
"392.8","0.0023","1.3662e-006",
"393.0","0.0030","1.7198e-006",
"393.2","0.0037","2.1606e-006",
"393.4","0.0037","2.1470e-006",
"393.6","0.0038","2.2311e-006",
"393.8","0.0049","2.8452e-006",
"394.0","0.0053","3.0937e-006",
"394.2","0.0041","2.3945e-006",
"394.4","0.0031","1.7917e-006",
"394.6","0.0031","1.7824e-006",
"394.8","0.0033","1.9321e-006",
"395.0","0.0036","2.0872e-006",
"395.2","0.0035","2.0334e-006",
"395.4","0.0030","1.7581e-006",
"395.6","0.0031","1.8053e-006",
"395.8","0.0037","2.1848e-006",
"396.0","0.0039","2.2981e-006",
"396.2","0.0036","2.0910e-006",
"396.4","0.0030","1.7715e-006",
"396.6","0.0026","1.5105e-006",
"396.8","0.0029","1.6756e-006",
"397.0","0.0035","2.0637e-006",
"397.2","0.0038","2.1868e-006",
"397.4","0.0037","2.1492e-006",
"397.6","0.0037","2.1554e-006",
"397.8","0.0037","2.1763e-006",
"398.0","0.0037","2.1577e-006",
"398.2","0.0037","2.1666e-006",
"398.4","0.0040","2.3451e-006",
"398.6","0.0042","2.4539e-006",
"398.8","0.0038","2.1874e-006",
"399.0","0.0034","1.9819e-006",
"399.2","0.0037","2.1665e-006",
"399.4","0.0040","2.3443e-006",
"399.6","0.0039","2.3009e-006",
"399.8","0.0038","2.2393e-006",
"400.0","0.0038","2.2403e-006",
"400.2","0.0040","2.3343e-006",
"400.4","0.0043","2.5268e-006",
"400.6","0.0045","2.6380e-006",
"400.8","0.0045","2.6288e-006",
"401.0","0.0046","2.6628e-006",
"401.2","0.0048","2.7688e-006",
"401.4","0.0049","2.8800e-006",
"401.6","0.0051","2.9706e-006",
"401.8","0.0052","3.0137e-006",
"402.0","0.0051","2.9925e-006",
"402.2","0.0048","2.8048e-006",
"402.4","0.0045","2.6398e-006",
"402.6","0.0052","3.0021e-006",
"402.8","0.0060","3.4932e-006",
"403.0","0.0057","3.3402e-006",
"403.2","0.0051","2.9650e-006",
"403.4","0.0050","2.9428e-006",
"403.6","0.0053","3.0714e-006",
"403.8","0.0054","3.1673e-006",
"404.0","0.0057","3.3389e-006",
"404.2","0.0064","3.7266e-006",
"404.4","0.0069","4.0342e-006",
