"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0038","7.7627e-007",
"380.2","0.0019","3.8580e-007",
"380.4","0.0004","8.2322e-008",
"380.6","0.0000","0.0000e+000",
"380.8","0.0002","3.9452e-008",
"381.0","0.0031","6.4225e-007",
"381.2","0.0063","1.2988e-006",
"381.4","0.0041","8.3739e-007",
"381.6","0.0004","8.6703e-008",
"381.8","0.0027","5.4944e-007",
"382.0","0.0064","1.3157e-006",
"382.2","0.0053","1.0869e-006",
"382.4","0.0028","5.7766e-007",
"382.6","0.0026","5.3679e-007",
"382.8","0.0026","5.2711e-007",
"383.0","0.0012","2.4145e-007",
"383.2","0.0000","0.0000e+000",
"383.4","0.0000","0.0000e+000",
"383.6","0.0005","9.9387e-008",
"383.8","0.0034","6.9289e-007",
"384.0","0.0053","1.0909e-006",
"384.2","0.0048","9.8956e-007",
"384.4","0.0041","8.2939e-007",
"384.6","0.0036","7.3913e-007",
"384.8","0.0025","5.0965e-007",
"385.0","0.0007","1.5273e-007",
"385.2","0.0000","0.0000e+000",
"385.4","0.0000","0.0000e+000",
"385.6","0.0000","0.0000e+000",
"385.8","0.0000","0.0000e+000",
"386.0","0.0007","1.4930e-007",
"386.2","0.0018","3.6893e-007",
"386.4","0.0012","2.4368e-007",
"386.6","0.0004","7.7299e-008",
"386.8","0.0031","6.2478e-007",
"387.0","0.0061","1.2472e-006",
"387.2","0.0036","7.4273e-007",
"387.4","0.0002","3.5438e-008",
"387.6","0.0016","3.3140e-007",
"387.8","0.0042","8.6200e-007",
"388.0","0.0051","1.0346e-006",
"388.2","0.0050","1.0143e-006",
"388.4","0.0036","7.4625e-007",
"388.6","0.0026","5.2629e-007",
"388.8","0.0028","5.7175e-007",
"389.0","0.0031","6.4332e-007",
"389.2","0.0031","6.4020e-007",
"389.4","0.0031","6.4245e-007",
"389.6","0.0033","6.6740e-007",
"389.8","0.0032","6.5163e-007",
"390.0","0.0029","5.9835e-007",
"390.2","0.0033","6.8173e-007",
"390.4","0.0043","8.7366e-007",
"390.6","0.0041","8.4225e-007",
"390.8","0.0028","5.7741e-007",
"391.0","0.0014","2.8886e-007",
"391.2","0.0003","5.7284e-008",
"391.4","0.0000","0.0000e+000",
"391.6","0.0000","0.0000e+000",
"391.8","0.0010","2.0769e-007",
"392.0","0.0024","4.8703e-007",
"392.2","0.0025","5.1150e-007",
"392.4","0.0019","3.8036e-007",
"392.6","0.0008","1.6057e-007",
"392.8","0.0000","3.3988e-009",
"393.0","0.0008","1.5721e-007",
"393.2","0.0019","3.9785e-007",
"393.4","0.0026","5.3097e-007",
"393.6","0.0034","6.9497e-007",
"393.8","0.0049","9.9878e-007",
"394.0","0.0055","1.1276e-006",
"394.2","0.0042","8.6431e-007",
"394.4","0.0029","5.9632e-007",
"394.6","0.0025","5.0999e-007",
"394.8","0.0023","4.8014e-007",
"395.0","0.0023","4.6439e-007",
"395.2","0.0016","3.3231e-007",
"395.4","0.0004","8.7691e-008",
"395.6","0.0004","7.5425e-008",
"395.8","0.0014","2.9123e-007",
"396.0","0.0014","2.9297e-007",
"396.2","0.0004","8.1014e-008",
"396.4","0.0000","0.0000e+000",
"396.6","0.0000","0.0000e+000",
"396.8","0.0001","1.5523e-008",
"397.0","0.0002","3.6151e-008",
"397.2","0.0001","1.6037e-008",
"397.4","0.0000","0.0000e+000",
"397.6","0.0003","6.7594e-008",
"397.8","0.0009","1.7912e-007",
"398.0","0.0015","3.0955e-007",
"398.2","0.0018","3.7496e-007",
"398.4","0.0011","2.2018e-007",
"398.6","0.0002","3.4232e-008",
"398.8","0.0000","0.0000e+000",
"399.0","0.0000","9.8101e-009",
"399.2","0.0006","1.1499e-007",
"399.4","0.0008","1.6811e-007",
"399.6","0.0003","6.6742e-008",
"399.8","0.0001","1.8178e-008",
"400.0","0.0006","1.1880e-007",
