"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0123","1.6435e-006",
"380.2","0.0140","1.8754e-006",
"380.4","0.0135","1.8060e-006",
"380.6","0.0151","2.0181e-006",
"380.8","0.0168","2.2385e-006",
"381.0","0.0101","1.3442e-006",
"381.2","0.0013","1.7079e-007",
"381.4","0.0062","8.2804e-007",
"381.6","0.0168","2.2393e-006",
"381.8","0.0204","2.7275e-006",
"382.0","0.0199","2.6638e-006",
"382.2","0.0180","2.4031e-006",
"382.4","0.0145","1.9313e-006",
"382.6","0.0088","1.1781e-006",
"382.8","0.0039","5.2199e-007",
"383.0","0.0023","3.1108e-007",
"383.2","0.0025","3.3954e-007",
"383.4","0.0043","5.7807e-007",
"383.6","0.0047","6.2981e-007",
"383.8","0.0016","2.1462e-007",
"384.0","0.0009","1.1745e-007",
"384.2","0.0050","6.6610e-007",
"384.4","0.0062","8.3290e-007",
"384.6","0.0024","3.1402e-007",
"384.8","0.0000","0.0000e+000",
"385.0","0.0000","0.0000e+000",
"385.2","0.0009","1.1791e-007",
"385.4","0.0030","4.0385e-007",
"385.6","0.0049","6.5604e-007",
"385.8","0.0058","7.7036e-007",
"386.0","0.0038","5.0777e-007",
"386.2","0.0007","9.0207e-008",
"386.4","0.0005","7.2661e-008",
"386.6","0.0024","3.2451e-007",
"386.8","0.0045","6.0383e-007",
"387.0","0.0061","8.1993e-007",
"387.2","0.0060","7.9867e-007",
"387.4","0.0051","6.7885e-007",
"387.6","0.0047","6.2758e-007",
"387.8","0.0043","5.7286e-007",
"388.0","0.0033","4.3755e-007",
"388.2","0.0026","3.4644e-007",
"388.4","0.0031","4.1296e-007",
"388.6","0.0033","4.4090e-007",
"388.8","0.0022","2.9339e-007",
"389.0","0.0025","3.4047e-007",
"389.2","0.0058","7.7520e-007",
"389.4","0.0073","9.7132e-007",
"389.6","0.0050","6.6856e-007",
"389.8","0.0025","3.3630e-007",
"390.0","0.0010","1.3478e-007",
"390.2","0.0002","2.3325e-008",
"390.4","0.0001","1.9069e-008",
"390.6","0.0014","1.8119e-007",
"390.8","0.0032","4.2993e-007",
"391.0","0.0036","4.7705e-007",
"391.2","0.0027","3.6444e-007",
"391.4","0.0026","3.4077e-007",
"391.6","0.0028","3.7208e-007",
"391.8","0.0024","3.2590e-007",
"392.0","0.0017","2.3048e-007",
"392.2","0.0008","1.1284e-007",
"392.4","0.0004","5.1331e-008",
"392.6","0.0011","1.5097e-007",
"392.8","0.0029","3.9022e-007",
"393.0","0.0066","8.8220e-007",
"393.2","0.0092","1.2270e-006",
"393.4","0.0070","9.3547e-007",
"393.6","0.0041","5.4443e-007",
"393.8","0.0027","3.6618e-007",
"394.0","0.0025","3.3840e-007",
"394.2","0.0037","5.0039e-007",
"394.4","0.0055","7.3691e-007",
"394.6","0.0073","9.7762e-007",
"394.8","0.0083","1.1131e-006",
"395.0","0.0080","1.0747e-006",
"395.2","0.0064","8.5169e-007",
"395.4","0.0038","5.0858e-007",
"395.6","0.0032","4.2660e-007",
"395.8","0.0048","6.3565e-007",
"396.0","0.0057","7.5696e-007",
"396.2","0.0056","7.4292e-007",
"396.4","0.0055","7.3355e-007",
"396.6","0.0054","7.2757e-007",
"396.8","0.0048","6.3581e-007",
"397.0","0.0041","5.5211e-007",
"397.2","0.0051","6.8406e-007",
"397.4","0.0072","9.5871e-007",
"397.6","0.0098","1.3085e-006",
"397.8","0.0117","1.5579e-006",
"398.0","0.0104","1.3835e-006",
"398.2","0.0082","1.0969e-006",
"398.4","0.0078","1.0416e-006",
"398.6","0.0078","1.0450e-006",
"398.8","0.0074","9.8784e-007",
"399.0","0.0076","1.0122e-006",
"399.2","0.0094","1.2504e-006",
"399.4","0.0099","1.3257e-006",
"399.6","0.0073","9.7638e-007",
"399.8","0.0059","7.8791e-007",
"400.0","0.0078","1.0440e-006",
"400.2","0.0093","1.2377e-006",
"400.4","0.0089","1.1872e-006",
"400.6","0.0084","1.1172e-006",
"400.8","0.0081","1.0776e-006",
"401.0","0.0073","9.8022e-007",
"401.2","0.0064","8.5430e-007",
"401.4","0.0067","8.9278e-007",
"401.6","0.0079","1.0507e-006",
"401.8","0.0077","1.0346e-006",
"402.0","0.0068","9.1205e-007",
"402.2","0.0076","1.0116e-006",
"402.4","0.0089","1.1884e-006",
"402.6","0.0078","1.0447e-006",
"402.8","0.0058","7.7348e-007",
"403.0","0.0053","7.1385e-007",
"403.2","0.0060","7.9506e-007",
"403.4","0.0076","1.0102e-006",
"403.6","0.0087","1.1559e-006",
