"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0011","7.6680e-007",
"380.2","0.0005","3.4158e-007",
"380.4","0.0005","3.6037e-007",
"380.6","0.0006","4.3912e-007",
"380.8","0.0008","5.7259e-007",
"381.0","0.0015","1.0257e-006",
"381.2","0.0022","1.4651e-006",
"381.4","0.0015","1.0276e-006",
"381.6","0.0005","3.2930e-007",
"381.8","0.0006","4.0658e-007",
"382.0","0.0011","7.6666e-007",
"382.2","0.0012","7.9361e-007",
"382.4","0.0010","6.7850e-007",
"382.6","0.0008","5.2070e-007",
"382.8","0.0006","4.3619e-007",
"383.0","0.0009","6.3166e-007",
"383.2","0.0010","6.7899e-007",
"383.4","0.0003","1.9382e-007",
"383.6","0.0002","1.5017e-007",
"383.8","0.0016","1.1231e-006",
"384.0","0.0025","1.7076e-006",
"384.2","0.0019","1.2698e-006",
"384.4","0.0015","1.0062e-006",
"384.6","0.0018","1.2409e-006",
"384.8","0.0015","1.0538e-006",
"385.0","0.0005","3.3471e-007",
"385.2","0.0000","0.0000e+000",
"385.4","0.0000","0.0000e+000",
"385.6","0.0001","8.4357e-008",
"385.8","0.0004","2.6842e-007",
"386.0","0.0007","4.4993e-007",
"386.2","0.0008","5.6255e-007",
"386.4","0.0006","3.8894e-007",
"386.6","0.0003","2.2785e-007",
"386.8","0.0012","7.9040e-007",
"387.0","0.0021","1.4614e-006",
"387.2","0.0016","1.1230e-006",
"387.4","0.0008","5.5080e-007",
"387.6","0.0011","7.2383e-007",
"387.8","0.0016","1.0740e-006",
"388.0","0.0017","1.1836e-006",
"388.2","0.0017","1.1505e-006",
"388.4","0.0013","9.1668e-007",
"388.6","0.0011","7.2630e-007",
"388.8","0.0011","7.6190e-007",
"389.0","0.0010","7.0949e-007",
"389.2","0.0006","4.1755e-007",
"389.4","0.0004","2.7750e-007",
"389.6","0.0006","4.4007e-007",
"389.8","0.0008","5.3593e-007",
"390.0","0.0007","4.8059e-007",
"390.2","0.0009","5.8734e-007",
"390.4","0.0012","8.4413e-007",
"390.6","0.0012","8.3467e-007",
"390.8","0.0008","5.6565e-007",
"391.0","0.0006","3.8245e-007",
"391.2","0.0004","2.9878e-007",
"391.4","0.0002","1.4281e-007",
"391.6","0.0000","9.5929e-009",
"391.8","0.0003","1.9311e-007",
"392.0","0.0007","4.8296e-007",
"392.2","0.0007","4.7669e-007",
"392.4","0.0005","3.2695e-007",
"392.6","0.0003","1.9229e-007",
"392.8","0.0002","1.4974e-007",
"393.0","0.0006","4.2720e-007",
"393.2","0.0009","6.3068e-007",
"393.4","0.0004","2.5573e-007",
"393.6","0.0001","3.8616e-008",
"393.8","0.0008","5.6088e-007",
"394.0","0.0014","9.5478e-007",
"394.2","0.0010","7.1452e-007",
"394.4","0.0006","3.9242e-007",
"394.6","0.0003","2.2026e-007",
"394.8","0.0003","2.2910e-007",
"395.0","0.0006","4.3067e-007",
"395.2","0.0006","4.1496e-007",
"395.4","0.0002","1.1863e-007",
"395.6","0.0002","1.0326e-007",
"395.8","0.0006","3.8939e-007",
"396.0","0.0006","3.8963e-007",
"396.2","0.0002","1.0774e-007",
"396.4","0.0000","0.0000e+000",
"396.6","0.0000","0.0000e+000",
"396.8","0.0000","0.0000e+000",
"397.0","0.0000","0.0000e+000",
"397.2","0.0000","0.0000e+000",
"397.4","0.0000","0.0000e+000",
"397.6","0.0002","1.2083e-007",
"397.8","0.0004","2.8905e-007",
"398.0","0.0006","4.0978e-007",
"398.2","0.0007","4.4958e-007",
"398.4","0.0005","3.1772e-007",
"398.6","0.0002","1.4503e-007",
"398.8","0.0001","4.7662e-008",
"399.0","0.0000","0.0000e+000",
"399.2","0.0000","1.4931e-008",
"399.4","0.0001","3.4084e-008",
"399.6","0.0000","1.5601e-008",
"399.8","0.0000","0.0000e+000",
"400.0","0.0000","0.0000e+000",
"400.2","0.0000","0.0000e+000",
"400.4","0.0000","0.0000e+000",
"400.6","0.0001","4.3358e-008",
"400.8","0.0003","1.8579e-007",
"401.0","0.0005","3.3752e-007",
"401.2","0.0007","4.5721e-007",
"401.4","0.0007","4.8464e-007",
"401.6","0.0006","4.3869e-007",
"401.8","0.0007","4.4350e-007",
"402.0","0.0007","4.5655e-007",
"402.2","0.0004","2.6184e-007",
"402.4","0.0000","3.0571e-008",
"402.6","0.0003","2.2627e-007",
"402.8","0.0008","5.4039e-007",
"403.0","0.0005","3.5648e-007",
"403.2","0.0000","2.9244e-008",
"403.4","0.0001","6.4044e-008",
"403.6","0.0003","2.3003e-007",
"403.8","0.0005","3.1096e-007",
"404.0","0.0006","3.8013e-007",
"404.2","0.0007","4.8794e-007",
"404.4","0.0008","5.3836e-007",
"404.6","0.0007","4.4648e-007",
"404.8","0.0005","3.2359e-007",
"405.0","0.0003","2.3304e-007",
"405.2","0.0002","1.3612e-007",
"405.4","0.0000","2.8002e-008",
"405.6","0.0001","4.7057e-008",
"405.8","0.0003","2.3292e-007",
"406.0","0.0004","3.0365e-007",
"406.2","0.0003","1.9194e-007",
"406.4","0.0003","1.7861e-007",
"406.6","0.0004","2.8861e-007",
"406.8","0.0004","2.5250e-007",
"407.0","0.0001","9.7700e-008",
"407.2","0.0002","1.3921e-007",
"407.4","0.0005","3.0697e-007",
"407.6","0.0004","2.4665e-007",
"407.8","0.0001","6.4203e-008",
"408.0","0.0001","8.1037e-008",
"408.2","0.0003","2.0867e-007",
"408.4","0.0004","2.7133e-007",
"408.6","0.0004","2.8327e-007",
"408.8","0.0004","2.6228e-007",
"409.0","0.0003","2.0760e-007",
"409.2","0.0001","9.7347e-008",
"409.4","0.0000","0.0000e+000",
"409.6","0.0000","0.0000e+000",
"409.8","0.0001","3.4562e-008",
"410.0","0.0002","1.6908e-007",
"410.2","0.0004","2.6860e-007",
"410.4","0.0004","2.3859e-007",
"410.6","0.0003","1.8363e-007",
"410.8","0.0002","1.5220e-007",
"411.0","0.0002","1.4296e-007",
