"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0057","3.9129e-006",
"380.2","0.0060","4.0856e-006",
"380.4","0.0032","2.2182e-006",
"380.6","0.0021","1.4690e-006",
"380.8","0.0025","1.7304e-006",
"381.0","0.0019","1.3033e-006",
"381.2","0.0011","7.6912e-007",
"381.4","0.0028","1.9080e-006",
"381.6","0.0051","3.5176e-006",
"381.8","0.0054","3.7208e-006",
"382.0","0.0046","3.1658e-006",
"382.2","0.0035","2.4060e-006",
"382.4","0.0026","1.8073e-006",
"382.6","0.0031","2.1210e-006",
"382.8","0.0036","2.4447e-006",
"383.0","0.0028","1.8956e-006",
"383.2","0.0024","1.6693e-006",
"383.4","0.0039","2.6764e-006",
"383.6","0.0046","3.1688e-006",
"383.8","0.0032","2.1805e-006",
"384.0","0.0015","1.0089e-006",
"384.2","0.0004","2.4847e-007",
"384.4","0.0001","8.0397e-008",
"384.6","0.0009","6.0480e-007",
"384.8","0.0019","1.3052e-006",
"385.0","0.0028","1.8949e-006",
"385.2","0.0029","1.9870e-006",
"385.4","0.0024","1.6351e-006",
"385.6","0.0021","1.4136e-006",
"385.8","0.0022","1.4921e-006",
"386.0","0.0031","2.1429e-006",
"386.2","0.0042","2.8978e-006",
"386.4","0.0037","2.4985e-006",
"386.6","0.0024","1.6242e-006",
"386.8","0.0024","1.6439e-006",
"387.0","0.0030","2.0723e-006",
"387.2","0.0033","2.2545e-006",
"387.4","0.0032","2.1691e-006",
"387.6","0.0022","1.4799e-006",
"387.8","0.0015","1.0037e-006",
"388.0","0.0028","1.8814e-006",
"388.2","0.0039","2.6572e-006",
"388.4","0.0033","2.2367e-006",
"388.6","0.0026","1.7908e-006",
"388.8","0.0029","1.9501e-006",
"389.0","0.0029","1.9662e-006",
"389.2","0.0022","1.5157e-006",
"389.4","0.0017","1.1350e-006",
"389.6","0.0016","1.0682e-006",
"389.8","0.0020","1.3630e-006",
"390.0","0.0028","1.9464e-006",
"390.2","0.0031","2.1323e-006",
"390.4","0.0027","1.8308e-006",
"390.6","0.0024","1.6693e-006",
"390.8","0.0025","1.6928e-006",
"391.0","0.0023","1.5381e-006",
"391.2","0.0019","1.2688e-006",
"391.4","0.0016","1.1151e-006",
"391.6","0.0017","1.1714e-006",
"391.8","0.0024","1.6740e-006",
"392.0","0.0034","2.3136e-006",
"392.2","0.0037","2.5530e-006",
"392.4","0.0037","2.5231e-006",
"392.6","0.0035","2.4087e-006",
"392.8","0.0031","2.1330e-006",
"393.0","0.0021","1.4410e-006",
"393.2","0.0014","9.3673e-007",
"393.4","0.0019","1.3186e-006",
"393.6","0.0028","1.8911e-006",
"393.8","0.0034","2.2944e-006",
"394.0","0.0035","2.3857e-006",
"394.2","0.0028","1.9459e-006",
"394.4","0.0023","1.5986e-006",
"394.6","0.0024","1.6683e-006",
"394.8","0.0027","1.8507e-006",
"395.0","0.0030","2.0384e-006",
"395.2","0.0031","2.1487e-006",
"395.4","0.0031","2.1440e-006",
"395.6","0.0031","2.1251e-006",
"395.8","0.0031","2.0907e-006",
"396.0","0.0028","1.9021e-006",
"396.2","0.0024","1.6228e-006",
"396.4","0.0022","1.4969e-006",
"396.6","0.0023","1.5713e-006",
"396.8","0.0028","1.8998e-006",
"397.0","0.0034","2.3037e-006",
"397.2","0.0035","2.4025e-006",
"397.4","0.0034","2.3439e-006",
"397.6","0.0036","2.4648e-006",
"397.8","0.0037","2.5285e-006",
"398.0","0.0030","2.0424e-006",
"398.2","0.0024","1.6155e-006",
"398.4","0.0031","2.1349e-006",
"398.6","0.0039","2.6780e-006",
"398.8","0.0034","2.3220e-006",
"399.0","0.0029","1.9906e-006",
"399.2","0.0034","2.2939e-006",
"399.4","0.0037","2.5376e-006",
"399.6","0.0034","2.3487e-006",
"399.8","0.0034","2.3331e-006",
"400.0","0.0040","2.7502e-006",
"400.2","0.0043","2.9367e-006",
"400.4","0.0039","2.6613e-006",
"400.6","0.0035","2.3918e-006",
"400.8","0.0033","2.2669e-006",
"401.0","0.0032","2.1862e-006",
"401.2","0.0031","2.1407e-006",
"401.4","0.0031","2.1380e-006",
"401.6","0.0032","2.1710e-006",
"401.8","0.0032","2.2109e-006",
"402.0","0.0033","2.2745e-006",
"402.2","0.0036","2.4653e-006",
"402.4","0.0039","2.6465e-006",
"402.6","0.0036","2.4542e-006",
"402.8","0.0032","2.1626e-006",
"403.0","0.0033","2.2826e-006",
"403.2","0.0038","2.5935e-006",
"403.4","0.0042","2.8802e-006",
"403.6","0.0044","3.0179e-006",
"403.8","0.0039","2.6921e-006",
"404.0","0.0035","2.3748e-006",
"404.2","0.0037","2.5459e-006",
"404.4","0.0041","2.7796e-006",
"404.6","0.0041","2.8226e-006",
"404.8","0.0041","2.8297e-006",
"405.0","0.0042","2.8480e-006",
"405.2","0.0043","2.9664e-006",
"405.4","0.0047","3.2346e-006",
"405.6","0.0048","3.3002e-006",
"405.8","0.0044","3.0403e-006",
"406.0","0.0043","2.9489e-006",
"406.2","0.0046","3.1591e-006",
"406.4","0.0049","3.3219e-006",
"406.6","0.0049","3.3703e-006",
"406.8","0.0051","3.4762e-006",
"407.0","0.0053","3.6287e-006",
"407.2","0.0054","3.6688e-006",
"407.4","0.0053","3.6284e-006",
"407.6","0.0054","3.6577e-006",
"407.8","0.0055","3.7708e-006",
"408.0","0.0058","3.9934e-006",
"408.2","0.0062","4.2202e-006",
"408.4","0.0062","4.2478e-006",
"408.6","0.0061","4.1858e-006",
"408.8","0.0061","4.1609e-006",
"409.0","0.0062","4.2121e-006",
"409.2","0.0065","4.4590e-006",
"409.4","0.0069","4.7249e-006",
"409.6","0.0070","4.8161e-006",
"409.8","0.0071","4.8580e-006",
"410.0","0.0072","4.8929e-006",
"410.2","0.0073","4.9902e-006",
"410.4","0.0076","5.2274e-006",
"410.6","0.0078","5.3557e-006",
"410.8","0.0077","5.2358e-006",
"411.0","0.0078","5.3194e-006",
"411.2","0.0085","5.7805e-006",
"411.4","0.0089","6.0810e-006",
"411.6","0.0089","6.0545e-006",
"411.8","0.0089","6.0659e-006",
"412.0","0.0091","6.2087e-006",
"412.2","0.0095","6.4602e-006",
"412.4","0.0099","6.7581e-006",
"412.6","0.0101","6.8842e-006",
"412.8","0.0100","6.8555e-006",
"413.0","0.0100","6.8625e-006",
"413.2","0.0102","6.9365e-006",
"413.4","0.0104","7.0932e-006",
"413.6","0.0107","7.2973e-006",
"413.8","0.0109","7.4598e-006",
"414.0","0.0112","7.6333e-006",
"414.2","0.0115","7.8919e-006",
"414.4","0.0120","8.1928e-006",
"414.6","0.0124","8.5059e-006",
"414.8","0.0129","8.7822e-006",
"415.0","0.0131","8.9252e-006",
"415.2","0.0133","9.0613e-006",
"415.4","0.0136","9.3147e-006",
"415.6","0.0140","9.5713e-006",
"415.8","0.0143","9.7566e-006",
"416.0","0.0146","1.0008e-005",
"416.2","0.0152","1.0391e-005",
"416.4","0.0157","1.0760e-005",
"416.6","0.0162","1.1045e-005",
"416.8","0.0167","1.1438e-005",
"417.0","0.0175","1.1981e-005",
"417.2","0.0180","1.2313e-005",
"417.4","0.0181","1.2355e-005",
"417.6","0.0182","1.2464e-005",
"417.8","0.0187","1.2745e-005",
"418.0","0.0193","1.3178e-005",
"418.2","0.0201","1.3706e-005",
"418.4","0.0207","1.4124e-005",
"418.6","0.0211","1.4421e-005",
"418.8","0.0214","1.4627e-005",
"419.0","0.0217","1.4834e-005",
"419.2","0.0223","1.5235e-005",
"419.4","0.0230","1.5737e-005",
"419.6","0.0237","1.6187e-005",
"419.8","0.0243","1.6608e-005",
"420.0","0.0249","1.7041e-005",
"420.2","0.0256","1.7496e-005",
"420.4","0.0264","1.8020e-005",
"420.6","0.0271","1.8525e-005",
"420.8","0.0277","1.8900e-005",
"421.0","0.0282","1.9271e-005",
"421.2","0.0288","1.9680e-005",
"421.4","0.0294","2.0111e-005",
"421.6","0.0301","2.0546e-005",
"421.8","0.0309","2.1103e-005",
"422.0","0.0320","2.1861e-005",
"422.2","0.0330","2.2557e-005",
"422.4","0.0338","2.3064e-005",
"422.6","0.0347","2.3725e-005",
"422.8","0.0360","2.4627e-005",
"423.0","0.0369","2.5238e-005",
"423.2","0.0373","2.5471e-005",
"423.4","0.0381","2.6013e-005",
"423.6","0.0394","2.6906e-005",
"423.8","0.0406","2.7729e-005",
"424.0","0.0416","2.8429e-005",
"424.2","0.0427","2.9185e-005",
"424.4","0.0439","3.0012e-005",
"424.6","0.0450","3.0775e-005",
"424.8","0.0461","3.1529e-005",
"425.0","0.0475","3.2446e-005",
"425.2","0.0489","3.3418e-005",
"425.4","0.0501","3.4243e-005",
"425.6","0.0512","3.4989e-005",
"425.8","0.0523","3.5739e-005",
"426.0","0.0535","3.6585e-005",
"426.2","0.0552","3.7714e-005",
"426.4","0.0569","3.8864e-005",
"426.6","0.0582","3.9751e-005",
"426.8","0.0595","4.0651e-005",
"427.0","0.0611","4.1756e-005",
"427.2","0.0627","4.2855e-005",
"427.4","0.0642","4.3880e-005",
"427.6","0.0657","4.4924e-005",
"427.8","0.0674","4.6079e-005",
"428.0","0.0694","4.7395e-005",
"428.2","0.0716","4.8909e-005",
"428.4","0.0738","5.0406e-005",
"428.6","0.0757","5.1732e-005",
"428.8","0.0774","5.2917e-005",
"429.0","0.0791","5.4033e-005",
"429.2","0.0808","5.5210e-005",
"429.4","0.0828","5.6567e-005",
"429.6","0.0849","5.7990e-005",
"429.8","0.0869","5.9417e-005",
"430.0","0.0892","6.0922e-005",
"430.2","0.0914","6.2481e-005",
"430.4","0.0939","6.4139e-005",
"430.6","0.0964","6.5865e-005",
"430.8","0.0986","6.7384e-005",
"431.0","0.1008","6.8883e-005",
"431.2","0.1029","7.0321e-005",
"431.4","0.1051","7.1826e-005",
"431.6","0.1076","7.3535e-005",
"431.8","0.1103","7.5350e-005",
"432.0","0.1129","7.7137e-005",
"432.2","0.1155","7.8900e-005",
"432.4","0.1177","8.0425e-005",
"432.6","0.1200","8.1985e-005",
"432.8","0.1224","8.3652e-005",
"433.0","0.1254","8.5672e-005",
"433.2","0.1292","8.8316e-005",
"433.4","0.1328","9.0757e-005",
"433.6","0.1354","9.2554e-005",
"433.8","0.1383","9.4509e-005",
"434.0","0.1420","9.7017e-005",
"434.2","0.1454","9.9331e-005",
"434.4","0.1479","1.0107e-004",
"434.6","0.1511","1.0329e-004",
"434.8","0.1550","1.0595e-004",
"435.0","0.1585","1.0834e-004",
"435.2","0.1615","1.1033e-004",
"435.4","0.1645","1.1241e-004",
"435.6","0.1680","1.1479e-004",
"435.8","0.1722","1.1768e-004",
"436.0","0.1764","1.2056e-004",
"436.2","0.1796","1.2273e-004",
"436.4","0.1823","1.2456e-004",
"436.6","0.1861","1.2719e-004",
"436.8","0.1908","1.3035e-004",
"437.0","0.1952","1.3340e-004",
"437.2","0.1995","1.3631e-004",
"437.4","0.2042","1.3954e-004",
"437.6","0.2089","1.4272e-004",
"437.8","0.2128","1.4545e-004",
"438.0","0.2168","1.4817e-004",
"438.2","0.2222","1.5182e-004",
"438.4","0.2274","1.5539e-004",
"438.6","0.2318","1.5839e-004",
"438.8","0.2360","1.6128e-004",
"439.0","0.2405","1.6438e-004",
"439.2","0.2454","1.6771e-004",
"439.4","0.2512","1.7164e-004",
"439.6","0.2565","1.7530e-004",
"439.8","0.2611","1.7840e-004",
"440.0","0.2657","1.8156e-004",
"440.2","0.2709","1.8513e-004",
"440.4","0.2761","1.8865e-004",
"440.6","0.2812","1.9216e-004",
"440.8","0.2863","1.9567e-004",
"441.0","0.2920","1.9953e-004",
"441.2","0.2980","2.0364e-004",
"441.4","0.3044","2.0803e-004",
"441.6","0.3102","2.1195e-004",
"441.8","0.3155","2.1563e-004",
"442.0","0.3207","2.1912e-004",
"442.2","0.3263","2.2300e-004",
"442.4","0.3323","2.2706e-004",
"442.6","0.3386","2.3141e-004",
"442.8","0.3454","2.3603e-004",
"443.0","0.3521","2.4058e-004",
"443.2","0.3582","2.4477e-004",
"443.4","0.3640","2.4874e-004",
"443.6","0.3707","2.5333e-004",
"443.8","0.3776","2.5803e-004",
"444.0","0.3846","2.6280e-004",
"444.2","0.3909","2.6712e-004",
"444.4","0.3966","2.7104e-004",
"444.6","0.4025","2.7506e-004",
"444.8","0.4095","2.7981e-004",
"445.0","0.4164","2.8457e-004",
"445.2","0.4233","2.8928e-004",
"445.4","0.4303","2.9405e-004",
"445.6","0.4376","2.9901e-004",
"445.8","0.4450","3.0409e-004",
"446.0","0.4533","3.0973e-004",
"446.2","0.4609","3.1496e-004",
"446.4","0.4678","3.1969e-004",
"446.6","0.4751","3.2466e-004",
"446.8","0.4824","3.2965e-004",
"447.0","0.4899","3.3477e-004",
"447.2","0.4971","3.3972e-004",
"447.4","0.5047","3.4487e-004",
"447.6","0.5117","3.4967e-004",
"447.8","0.5196","3.5506e-004",
"448.0","0.5279","3.6076e-004",
"448.2","0.5356","3.6601e-004",
"448.4","0.5429","3.7102e-004",
"448.6","0.5515","3.7690e-004",
"448.8","0.5610","3.8334e-004",
"449.0","0.5689","3.8877e-004",
"449.2","0.5765","3.9393e-004",
"449.4","0.5848","3.9962e-004",
"449.6","0.5941","4.0598e-004",
"449.8","0.6031","4.1214e-004",
"450.0","0.6119","4.1812e-004",
"450.2","0.6201","4.2375e-004",
"450.4","0.6288","4.2970e-004",
"450.6","0.6392","4.3678e-004",
"450.8","0.6494","4.4377e-004",
"451.0","0.6574","4.4922e-004",
"451.2","0.6652","4.5454e-004",
"451.4","0.6744","4.6086e-004",
"451.6","0.6846","4.6784e-004",
"451.8","0.6939","4.7415e-004",
"452.0","0.7035","4.8072e-004",
"452.2","0.7132","4.8734e-004",
"452.4","0.7234","4.9431e-004",
"452.6","0.7331","5.0094e-004",
"452.8","0.7440","5.0840e-004",
"453.0","0.7553","5.1613e-004",
"453.2","0.7653","5.2299e-004",
"453.4","0.7736","5.2865e-004",
"453.6","0.7828","5.3491e-004",
"453.8","0.7921","5.4128e-004",
"454.0","0.8019","5.4799e-004",
"454.2","0.8116","5.5461e-004",
"454.4","0.8207","5.6080e-004",
"454.6","0.8296","5.6694e-004",
"454.8","0.8395","5.7366e-004",
"455.0","0.8498","5.8073e-004",
"455.2","0.8599","5.8763e-004",
