"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0070","2.1723e-006",
"380.2","0.0080","2.4653e-006",
"380.4","0.0046","1.4326e-006",
"380.6","0.0018","5.6709e-007",
"380.8","0.0003","9.9023e-008",
"381.0","0.0000","0.0000e+000",
"381.2","0.0000","0.0000e+000",
"381.4","0.0047","1.4618e-006",
"381.6","0.0101","3.1137e-006",
"381.8","0.0075","2.3137e-006",
"382.0","0.0020","6.2639e-007",
"382.2","0.0002","5.0550e-008",
"382.4","0.0000","0.0000e+000",
"382.6","0.0005","1.4572e-007",
"382.8","0.0010","3.1747e-007",
"383.0","0.0006","1.9188e-007",
"383.2","0.0010","2.9527e-007",
"383.4","0.0035","1.0725e-006",
"383.6","0.0045","1.3980e-006",
"383.8","0.0020","6.1803e-007",
"384.0","0.0000","0.0000e+000",
"384.2","0.0000","0.0000e+000",
"384.4","0.0000","0.0000e+000",
"384.6","0.0000","0.0000e+000",
"384.8","0.0003","1.0809e-007",
"385.0","0.0012","3.6878e-007",
"385.2","0.0012","3.5705e-007",
"385.4","0.0003","9.5269e-008",
"385.6","0.0000","0.0000e+000",
"385.8","0.0005","1.4681e-007",
"386.0","0.0022","6.7740e-007",
"386.2","0.0040","1.2305e-006",
"386.4","0.0028","8.7801e-007",
"386.6","0.0004","1.3564e-007",
"386.8","0.0001","2.6474e-008",
"387.0","0.0007","2.0491e-007",
"387.2","0.0003","7.8443e-008",
"387.4","0.0000","0.0000e+000",
"387.6","0.0015","4.6219e-007",
"387.8","0.0032","1.0059e-006",
"388.0","0.0040","1.2380e-006",
"388.2","0.0039","1.2134e-006",
"388.4","0.0026","8.1735e-007",
"388.6","0.0014","4.4037e-007",
"388.8","0.0011","3.5604e-007",
"389.0","0.0009","2.8043e-007",
"389.2","0.0003","9.7989e-008",
"389.4","0.0000","0.0000e+000",
"389.6","0.0000","1.3070e-008",
"389.8","0.0010","2.9892e-007",
"390.0","0.0026","7.9696e-007",
"390.2","0.0032","1.0013e-006",
"390.4","0.0027","8.2117e-007",
"390.6","0.0019","6.0075e-007",
"390.8","0.0013","4.1485e-007",
"391.0","0.0007","2.0632e-007",
"391.2","0.0001","3.3361e-008",
"391.4","0.0000","0.0000e+000",
"391.6","0.0005","1.4016e-007",
"391.8","0.0021","6.6243e-007",
"392.0","0.0040","1.2373e-006",
"392.2","0.0040","1.2361e-006",
"392.4","0.0032","1.0023e-006",
"392.6","0.0035","1.0867e-006",
"392.8","0.0036","1.1170e-006",
"393.0","0.0018","5.6498e-007",
"393.2","0.0000","0.0000e+000",
"393.4","0.0000","0.0000e+000",
"393.6","0.0002","4.7556e-008",
"393.8","0.0018","5.6796e-007",
"394.0","0.0027","8.2380e-007",
"394.2","0.0011","3.5280e-007",
"394.4","0.0000","5.8900e-009",
"394.6","0.0006","1.8749e-007",
"394.8","0.0016","4.8934e-007",
"395.0","0.0024","7.5516e-007",
"395.2","0.0026","8.2020e-007",
"395.4","0.0021","6.4687e-007",
"395.6","0.0017","5.1746e-007",
"395.8","0.0016","4.9522e-007",
"396.0","0.0016","4.8648e-007",
"396.2","0.0015","4.6320e-007",
"396.4","0.0011","3.3326e-007",
"396.6","0.0007","2.2710e-007",
"396.8","0.0019","5.9352e-007",
"397.0","0.0036","1.1218e-006",
"397.2","0.0034","1.0666e-006",
"397.4","0.0022","6.9411e-007",
"397.6","0.0016","5.0811e-007",
"397.8","0.0013","3.9626e-007",
"398.0","0.0004","1.3756e-007",
"398.2","0.0000","0.0000e+000",
"398.4","0.0015","4.5425e-007",
"398.6","0.0028","8.5440e-007",
"398.8","0.0016","5.1030e-007",
"399.0","0.0003","8.9086e-008",
"399.2","0.0000","0.0000e+000",
"399.4","0.0000","1.2453e-008",
"399.6","0.0005","1.4877e-007",
"399.8","0.0014","4.2542e-007",
"400.0","0.0027","8.3137e-007",
"400.2","0.0032","9.9208e-007",
"400.4","0.0024","7.5434e-007",
"400.6","0.0014","4.2251e-007",
"400.8","0.0004","1.2395e-007",
"401.0","0.0000","0.0000e+000",
"401.2","0.0000","0.0000e+000",
"401.4","0.0001","4.0182e-008",
"401.6","0.0004","1.2854e-007",
"401.8","0.0006","1.7908e-007",
"402.0","0.0007","2.0783e-007",
"402.2","0.0010","3.2197e-007",
"402.4","0.0014","4.2803e-007",
"402.6","0.0008","2.5349e-007",
"402.8","0.0001","2.4533e-008",
"403.0","0.0006","1.8805e-007",
"403.2","0.0016","4.8119e-007",
"403.4","0.0018","5.7097e-007",
"403.6","0.0016","5.1018e-007",
"403.8","0.0008","2.5090e-007",
"404.0","0.0000","0.0000e+000",
"404.2","0.0000","0.0000e+000",
"404.4","0.0000","0.0000e+000",
"404.6","0.0000","0.0000e+000",
"404.8","0.0000","9.8125e-009",
"405.0","0.0003","8.1306e-008",
"405.2","0.0005","1.5881e-007",
"405.4","0.0007","2.1572e-007",
"405.6","0.0006","1.9324e-007",
"405.8","0.0002","7.1645e-008",
"406.0","0.0000","0.0000e+000",
"406.2","0.0000","0.0000e+000",
"406.4","0.0002","4.7113e-008",
"406.6","0.0005","1.5355e-007",
"406.8","0.0005","1.6746e-007",
"407.0","0.0003","8.9119e-008",
"407.2","0.0001","1.6157e-008",
"407.4","0.0000","0.0000e+000",
"407.6","0.0003","9.1249e-008",
"407.8","0.0008","2.5174e-007",
"408.0","0.0011","3.4371e-007",
"408.2","0.0011","3.4809e-007",
"408.4","0.0007","2.1414e-007",
"408.6","0.0001","4.4274e-008",
"408.8","0.0000","0.0000e+000",
"409.0","0.0000","0.0000e+000",
"409.2","0.0000","0.0000e+000",
"409.4","0.0000","2.0929e-009",
"409.6","0.0006","1.7685e-007",
"409.8","0.0009","2.8675e-007",
"410.0","0.0004","1.1842e-007",
"410.2","0.0001","2.7107e-008",
"410.4","0.0008","2.5906e-007",
"410.6","0.0012","3.7444e-007",
"410.8","0.0005","1.4729e-007",
"411.0","0.0001","2.3197e-008",
"411.2","0.0006","1.7350e-007",
"411.4","0.0009","2.8235e-007",
"411.6","0.0008","2.6090e-007",
"411.8","0.0009","2.9295e-007",
"412.0","0.0013","4.0321e-007",
"412.2","0.0015","4.7789e-007",
"412.4","0.0016","4.8638e-007",
"412.6","0.0014","4.2133e-007",
"412.8","0.0010","3.0845e-007",
"413.0","0.0007","2.1417e-007",
"413.2","0.0005","1.6050e-007",
"413.4","0.0006","1.8070e-007",
"413.6","0.0007","2.3101e-007",
"413.8","0.0007","2.2201e-007",
"414.0","0.0006","1.8112e-007",
"414.2","0.0005","1.4194e-007",
"414.4","0.0004","1.2902e-007",
"414.6","0.0007","2.1009e-007",
"414.8","0.0009","2.7970e-007",
"415.0","0.0006","1.8479e-007",
"415.2","0.0003","8.6628e-008",
"415.4","0.0004","1.3020e-007",
"415.6","0.0005","1.6175e-007",
"415.8","0.0002","7.4043e-008",
"416.0","0.0001","3.7356e-008",
"416.2","0.0005","1.5312e-007",
"416.4","0.0007","2.1960e-007",
"416.6","0.0005","1.4536e-007",
"416.8","0.0004","1.3010e-007",
"417.0","0.0008","2.4183e-007",
"417.2","0.0011","3.4330e-007",
"417.4","0.0012","3.8005e-007",
"417.6","0.0010","3.1473e-007",
"417.8","0.0006","1.7542e-007",
"418.0","0.0004","1.3762e-007",
"418.2","0.0007","2.0973e-007",
"418.4","0.0009","2.9091e-007",
"418.6","0.0011","3.2882e-007",
"418.8","0.0007","2.1568e-007",
"419.0","0.0001","3.8142e-008",
"419.2","0.0000","1.3624e-008",
"419.4","0.0002","6.8989e-008",
"419.6","0.0001","3.9101e-008",
"419.8","0.0000","1.0577e-009",
"420.0","0.0003","1.0358e-007",
"420.2","0.0007","2.0921e-007",
"420.4","0.0004","1.2256e-007",
"420.6","0.0000","0.0000e+000",
"420.8","0.0000","0.0000e+000",
"421.0","0.0000","0.0000e+000",
"421.2","0.0000","0.0000e+000",
"421.4","0.0000","3.3598e-009",
"421.6","0.0001","3.2106e-008",
"421.8","0.0002","5.8562e-008",
"422.0","0.0002","6.8787e-008",
"422.2","0.0002","7.2971e-008",
"422.4","0.0002","7.6868e-008",
"422.6","0.0004","1.1989e-007",
"422.8","0.0007","2.0386e-007",
"423.0","0.0007","2.0665e-007",
"423.2","0.0003","1.0763e-007",
"423.4","0.0001","3.1184e-008",
"423.6","0.0000","5.0610e-009",
"423.8","0.0000","0.0000e+000",
"424.0","0.0000","0.0000e+000",
"424.2","0.0001","2.4830e-008",
"424.4","0.0002","6.2586e-008",
"424.6","0.0001","3.5138e-008",
"424.8","0.0000","0.0000e+000",
"425.0","0.0003","1.0142e-007",
"425.2","0.0009","2.6671e-007",
"425.4","0.0012","3.8398e-007",
"425.6","0.0013","4.1763e-007",
"425.8","0.0009","2.6482e-007",
"426.0","0.0002","7.7099e-008",
"426.2","0.0002","5.4849e-008",
"426.4","0.0003","8.6496e-008",
"426.6","0.0003","1.0264e-007",
"426.8","0.0003","9.9036e-008",
"427.0","0.0001","4.3338e-008",
"427.2","0.0000","4.0322e-010",
