"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0161","2.0538e-006",
"380.2","0.0187","2.3928e-006",
"380.4","0.0124","1.5898e-006",
"380.6","0.0079","1.0097e-006",
"380.8","0.0069","8.7852e-007",
"381.0","0.0092","1.1716e-006",
"381.2","0.0136","1.7366e-006",
"381.4","0.0189","2.4086e-006",
"381.6","0.0219","2.8032e-006",
"381.8","0.0179","2.2898e-006",
"382.0","0.0107","1.3640e-006",
"382.2","0.0041","5.2521e-007",
"382.4","0.0001","8.1175e-009",
"382.6","0.0031","4.0217e-007",
"382.8","0.0066","8.4565e-007",
"383.0","0.0035","4.4853e-007",
"383.2","0.0036","4.6550e-007",
"383.4","0.0148","1.8855e-006",
"383.6","0.0197","2.5167e-006",
"383.8","0.0087","1.1150e-006",
"384.0","0.0000","0.0000e+000",
"384.2","0.0000","0.0000e+000",
"384.4","0.0000","0.0000e+000",
"384.6","0.0000","4.8616e-009",
"384.8","0.0025","3.2218e-007",
"385.0","0.0069","8.8542e-007",
"385.2","0.0076","9.6646e-007",
"385.4","0.0046","5.8339e-007",
"385.6","0.0037","4.6674e-007",
"385.8","0.0055","7.0619e-007",
"386.0","0.0102","1.3008e-006",
"386.2","0.0144","1.8327e-006",
"386.4","0.0096","1.2296e-006",
"386.6","0.0014","1.8498e-007",
"386.8","0.0004","4.4763e-008",
"387.0","0.0026","3.3805e-007",
"387.2","0.0026","3.3746e-007",
"387.4","0.0023","2.9675e-007",
"387.6","0.0038","4.8982e-007",
"387.8","0.0062","7.9041e-007",
"388.0","0.0091","1.1638e-006",
"388.2","0.0114","1.4583e-006",
"388.4","0.0122","1.5538e-006",
"388.6","0.0109","1.3900e-006",
"388.8","0.0068","8.6555e-007",
"389.0","0.0029","3.6979e-007",
"389.2","0.0010","1.2449e-007",
"389.4","0.0006","7.8615e-008",
"389.6","0.0019","2.4635e-007",
"389.8","0.0047","6.0607e-007",
"390.0","0.0084","1.0670e-006",
"390.2","0.0095","1.2149e-006",
"390.4","0.0078","9.9730e-007",
"390.6","0.0063","8.0376e-007",
"390.8","0.0055","7.0835e-007",
"391.0","0.0048","6.1610e-007",
"391.2","0.0043","5.5046e-007",
"391.4","0.0043","5.5437e-007",
"391.6","0.0054","6.8651e-007",
"391.8","0.0093","1.1906e-006",
"392.0","0.0132","1.6864e-006",
"392.2","0.0107","1.3693e-006",
"392.4","0.0064","8.2191e-007",
"392.6","0.0076","9.6661e-007",
"392.8","0.0095","1.2071e-006",
"393.0","0.0063","8.0072e-007",
"393.2","0.0027","3.3879e-007",
"393.4","0.0020","2.5969e-007",
"393.6","0.0039","4.9371e-007",
"393.8","0.0095","1.2112e-006",
"394.0","0.0119","1.5252e-006",
"394.2","0.0061","7.8501e-007",
"394.4","0.0025","3.2513e-007",
"394.6","0.0061","7.7984e-007",
"394.8","0.0092","1.1788e-006",
"395.0","0.0092","1.1773e-006",
"395.2","0.0081","1.0384e-006",
"395.4","0.0068","8.7086e-007",
"395.6","0.0078","9.9794e-007",
"395.8","0.0106","1.3501e-006",
"396.0","0.0092","1.1724e-006",
"396.2","0.0044","5.6698e-007",
"396.4","0.0030","3.8384e-007",
"396.6","0.0048","6.1550e-007",
"396.8","0.0072","9.1787e-007",
"397.0","0.0092","1.1712e-006",
"397.2","0.0095","1.2186e-006",
"397.4","0.0088","1.1189e-006",
"397.6","0.0078","9.9054e-007",
"397.8","0.0062","7.9366e-007",
"398.0","0.0026","3.2733e-007",
"398.2","0.0003","3.9846e-008",
"398.4","0.0055","6.9972e-007",
"398.6","0.0105","1.3395e-006",
"398.8","0.0073","9.3555e-007",
"399.0","0.0041","5.2946e-007",
"399.2","0.0064","8.1105e-007",
"399.4","0.0079","1.0083e-006",
"399.6","0.0055","7.0709e-007",
"399.8","0.0049","6.2294e-007",
"400.0","0.0084","1.0716e-006",
"400.2","0.0102","1.2988e-006",
"400.4","0.0082","1.0424e-006",
"400.6","0.0064","8.1943e-007",
"400.8","0.0060","7.6544e-007",
"401.0","0.0051","6.5734e-007",
"401.2","0.0041","5.2830e-007",
"401.4","0.0057","7.2422e-007",
"401.6","0.0090","1.1506e-006",
"401.8","0.0101","1.2924e-006",
"402.0","0.0093","1.1846e-006",
"402.2","0.0091","1.1675e-006",
"402.4","0.0090","1.1484e-006",
"402.6","0.0060","7.6293e-007",
"402.8","0.0027","3.4938e-007",
"403.0","0.0044","5.6527e-007",
"403.2","0.0081","1.0295e-006",
"403.4","0.0103","1.3142e-006",
"403.6","0.0105","1.3415e-006",
"403.8","0.0059","7.5687e-007",
"404.0","0.0018","2.3533e-007",
"404.2","0.0040","5.0979e-007",
"404.4","0.0068","8.6420e-007",
"404.6","0.0066","8.3862e-007",
"404.8","0.0064","8.1782e-007",
"405.0","0.0077","9.8068e-007",
"405.2","0.0086","1.0982e-006",
"405.4","0.0084","1.0669e-006",
"405.6","0.0074","9.4732e-007",
"405.8","0.0061","7.7768e-007",
"406.0","0.0058","7.4585e-007",
"406.2","0.0072","9.1569e-007",
"406.4","0.0093","1.1816e-006",
"406.6","0.0113","1.4418e-006",
"406.8","0.0112","1.4365e-006",
"407.0","0.0094","1.2008e-006",
"407.2","0.0082","1.0435e-006",
"407.4","0.0081","1.0383e-006",
"407.6","0.0098","1.2571e-006",
"407.8","0.0121","1.5494e-006",
"408.0","0.0123","1.5732e-006",
"408.2","0.0112","1.4355e-006",
"408.4","0.0104","1.3273e-006",
"408.6","0.0101","1.2847e-006",
"408.8","0.0110","1.4036e-006",
"409.0","0.0121","1.5484e-006",
"409.2","0.0119","1.5242e-006",
"409.4","0.0117","1.4883e-006",
"409.6","0.0126","1.6130e-006",
"409.8","0.0133","1.6972e-006",
"410.0","0.0122","1.5621e-006",
"410.2","0.0119","1.5171e-006",
"410.4","0.0139","1.7779e-006",
"410.6","0.0154","1.9685e-006",
"410.8","0.0148","1.8946e-006",
"411.0","0.0150","1.9201e-006",
"411.2","0.0171","2.1789e-006",
"411.4","0.0185","2.3607e-006",
"411.6","0.0185","2.3651e-006",
"411.8","0.0182","2.3287e-006",
"412.0","0.0180","2.3050e-006",
"412.2","0.0187","2.3898e-006",
