"WL(nm)","Spectrum","Spectrum(W/nm)",
"380.0","0.0034","1.9390e-006",
"380.2","0.0039","2.2551e-006",
"380.4","0.0026","1.4636e-006",
"380.6","0.0014","8.0382e-007",
"380.8","0.0008","4.6053e-007",
"381.0","0.0003","1.8121e-007",
"381.2","0.0004","2.5294e-007",
"381.4","0.0029","1.6861e-006",
"381.6","0.0055","3.1339e-006",
"381.8","0.0040","2.2849e-006",
"382.0","0.0011","6.2150e-007",
"382.2","0.0000","2.2793e-008",
"382.4","0.0000","0.0000e+000",
"382.6","0.0007","4.0765e-007",
"382.8","0.0013","7.3370e-007",
"383.0","0.0004","2.5344e-007",
"383.2","0.0002","1.1134e-007",
"383.4","0.0021","1.2150e-006",
"383.6","0.0031","1.7730e-006",
"383.8","0.0014","7.9414e-007",
"384.0","0.0000","0.0000e+000",
"384.2","0.0000","0.0000e+000",
"384.4","0.0000","0.0000e+000",
"384.6","0.0000","0.0000e+000",
"384.8","0.0004","2.3081e-007",
"385.0","0.0014","7.9874e-007",
"385.2","0.0015","8.5661e-007",
"385.4","0.0007","3.8713e-007",
"385.6","0.0000","1.7437e-008",
"385.8","0.0000","0.0000e+000",
"386.0","0.0008","4.7927e-007",
"386.2","0.0021","1.1836e-006",
"386.4","0.0015","8.8225e-007",
"386.6","0.0002","1.3469e-007",
"386.8","0.0002","9.6588e-008",
"387.0","0.0006","3.5053e-007",
"387.2","0.0004","2.1716e-007",
"387.4","0.0000","1.0130e-008",
"387.6","0.0001","6.3655e-008",
"387.8","0.0005","2.8858e-007",
"388.0","0.0014","7.9825e-007",
"388.2","0.0019","1.0706e-006",
"388.4","0.0010","5.7760e-007",
"388.6","0.0002","1.2805e-007",
"388.8","0.0004","2.1664e-007",
"389.0","0.0005","2.9244e-007",
"389.2","0.0002","1.2248e-007",
"389.4","0.0000","0.0000e+000",
"389.6","0.0000","0.0000e+000",
"389.8","0.0001","8.2282e-008",
"390.0","0.0006","3.4083e-007",
"390.2","0.0009","5.3258e-007",
"390.4","0.0010","5.8802e-007",
"390.6","0.0009","5.1926e-007",
"390.8","0.0006","3.5654e-007",
"391.0","0.0003","1.7232e-007",
"391.2","0.0000","2.8521e-008",
"391.4","0.0000","1.2471e-008",
"391.6","0.0002","1.1751e-007",
"391.8","0.0006","3.3109e-007",
"392.0","0.0010","5.8488e-007",
"392.2","0.0014","8.1630e-007",
"392.4","0.0016","9.2271e-007",
"392.6","0.0012","7.0244e-007",
"392.8","0.0006","3.6803e-007",
"393.0","0.0002","1.4190e-007",
"393.2","0.0000","0.0000e+000",
"393.4","0.0000","0.0000e+000",
"393.6","0.0001","2.9951e-008",
"393.8","0.0006","3.5770e-007",
"394.0","0.0009","5.1726e-007",
"394.2","0.0004","2.1549e-007",
"394.4","0.0000","1.5349e-008",
"394.6","0.0003","1.8503e-007",
"394.8","0.0007","4.2360e-007",
"395.0","0.0011","6.0391e-007",
"395.2","0.0010","5.4464e-007",
"395.4","0.0004","2.3356e-007",
"395.6","0.0002","8.9738e-008",
"395.8","0.0003","1.6834e-007",
"396.0","0.0003","1.5589e-007",
"396.2","0.0001","4.0259e-008",
"396.4","0.0000","0.0000e+000",
"396.6","0.0000","2.9230e-009",
"396.8","0.0005","2.6819e-007",
"397.0","0.0010","5.7671e-007",
"397.2","0.0008","4.6512e-007",
"397.4","0.0003","1.9353e-007",
"397.6","0.0005","3.0013e-007",
"397.8","0.0008","4.8545e-007",
"398.0","0.0004","2.4379e-007",
"398.2","0.0000","4.4069e-009",
"398.4","0.0006","3.6891e-007",
"398.6","0.0012","7.0164e-007",
"398.8","0.0006","3.5572e-007",
"399.0","0.0000","0.0000e+000",
"399.2","0.0000","2.5490e-008",
"399.4","0.0003","1.6757e-007",
"399.6","0.0005","3.1307e-007",
"399.8","0.0008","4.7627e-007",
"400.0","0.0011","6.3036e-007",
"400.2","0.0011","6.0932e-007",
"400.4","0.0006","3.6152e-007",
"400.6","0.0003","1.5955e-007",
"400.8","0.0002","8.8348e-008",
"401.0","0.0001","3.2108e-008",
"401.2","0.0000","0.0000e+000",
"401.4","0.0002","8.6131e-008",
"401.6","0.0005","2.6525e-007",
"401.8","0.0005","3.0935e-007",
"402.0","0.0004","2.4377e-007",
"402.2","0.0004","2.3755e-007",
"402.4","0.0004","2.5203e-007",
"402.6","0.0002","1.3638e-007",
"402.8","0.0000","1.1501e-008",
"403.0","0.0002","1.2864e-007",
"403.2","0.0005","3.1236e-007",
"403.4","0.0006","3.2209e-007",
"403.6","0.0004","2.4126e-007",
"403.8","0.0002","1.0310e-007",
"404.0","0.0000","1.1325e-009",
"404.2","0.0001","7.2369e-008",
"404.4","0.0002","1.3876e-007",
"404.6","0.0001","6.8487e-008",
"404.8","0.0000","0.0000e+000",
"405.0","0.0000","0.0000e+000",
"405.2","0.0000","1.1106e-008",
"405.4","0.0001","5.9949e-008",
"405.6","0.0001","6.7857e-008",
"405.8","0.0000","1.4175e-008",
"406.0","0.0001","4.2879e-008",
"406.2","0.0003","1.8025e-007",
"406.4","0.0004","2.5410e-007",
"406.6","0.0004","2.2180e-007",
"406.8","0.0002","1.3712e-007",
"407.0","0.0001","3.4783e-008",
"407.2","0.0000","0.0000e+000",
"407.4","0.0000","0.0000e+000",
"407.6","0.0002","9.3527e-008",
"407.8","0.0004","2.3495e-007",
"408.0","0.0004","2.4813e-007",
"408.2","0.0003","1.7415e-007",
"408.4","0.0001","8.4836e-008",
"408.6","0.0000","7.5946e-009",
"408.8","0.0000","0.0000e+000",
"409.0","0.0000","0.0000e+000",
"409.2","0.0000","0.0000e+000",
"409.4","0.0000","5.2175e-010",
"409.6","0.0001","4.4088e-008",
"409.8","0.0001","7.0122e-008",
"410.0","0.0000","1.7376e-008",
"410.2","0.0000","2.1223e-008",
"410.4","0.0003","1.8514e-007",
"410.6","0.0005","2.6703e-007",
"410.8","0.0002","1.3660e-007",
"411.0","0.0002","1.2782e-007",
"411.2","0.0006","3.5925e-007",
"411.4","0.0007","3.9520e-007",
"411.6","0.0002","1.3071e-007",
"411.8","0.0001","3.1696e-008",
"412.0","0.0003","1.8521e-007",
"412.2","0.0005","2.9974e-007",
"412.4","0.0006","3.1844e-007",
"412.6","0.0005","2.9534e-007",
"412.8","0.0004","2.5585e-007",
"413.0","0.0005","2.5966e-007",
"413.2","0.0005","2.8250e-007",
"413.4","0.0004","2.3846e-007",
"413.6","0.0003","1.6581e-007",
"413.8","0.0003","1.6211e-007",
"414.0","0.0003","1.7472e-007",
"414.2","0.0001","8.0634e-008",
"414.4","0.0000","2.2476e-009",
"414.6","0.0003","1.6112e-007",
"414.8","0.0006","3.2082e-007",
"415.0","0.0003","1.7091e-007",
"415.2","0.0000","1.4998e-010",
"415.4","0.0001","4.5934e-008",
"415.6","0.0002","1.0027e-007",
"415.8","0.0001","3.6335e-008",
"416.0","0.0000","1.8645e-008",
"416.2","0.0002","1.3929e-007",
"416.4","0.0003","1.8659e-007",
"416.6","0.0001","6.4465e-008",
"416.8","0.0001","3.4483e-008",
"417.0","0.0003","1.8415e-007",
"417.2","0.0005","2.7480e-007",
"417.4","0.0004","2.3936e-007",
"417.6","0.0003","1.8176e-007",
"417.8","0.0002","1.3624e-007",
"418.0","0.0002","1.4106e-007",
"418.2","0.0003","1.7710e-007",
"418.4","0.0002","1.2487e-007",
"418.6","0.0001","3.4905e-008",
"418.8","0.0002","1.1925e-007",
"419.0","0.0005","2.7277e-007",
"419.2","0.0004","2.0487e-007",
"419.4","0.0001","3.1099e-008",
"419.6","0.0000","0.0000e+000",
"419.8","0.0000","0.0000e+000",
"420.0","0.0000","1.6196e-008",
"420.2","0.0001","3.7431e-008",
"420.4","0.0001","5.3775e-008",
"420.6","0.0001","5.7162e-008",
"420.8","0.0000","2.7085e-008",
"421.0","0.0000","0.0000e+000",
"421.2","0.0000","5.9540e-009",
"421.4","0.0000","2.0609e-008",
"421.6","0.0001","3.2960e-008",
