SingleWhiteRatio,RGBWhiteRatio,x,y,Y_lm,CCT_K,Ra,Rmin_8,R1,R2,R3,R4,R5,R6,R7,R8,Worst_R
0,1,0.308854505988082,0.317139850917598,2.39,6839.154456519,22.7360290003496,-54.7593584093697,4.49092754284897,67.6139867788496,58.9357803506818,-6.65901813344496,19.2388004763908,54.2001730871206,38.8269403097196,-54.7593584093697,R8
0.001,0.999,0.30885391880727,0.317138990735369,2.39,6839.2005026804,22.8237426321236,-54.5915434823463,4.60100564203022,67.6572972272375,58.9764508764499,-6.54230666378758,19.33315969329,54.2605269231006,38.8953508410142,-54.5915434823463,R8
0.002,0.998,0.308853331629643,0.317138130557806,2.39,6839.24654953683,22.9114592091438,-54.4237087614134,4.71108324391076,67.7006059742128,59.0171144625937,-6.4255908387462,19.4275212006441,54.3208835455733,38.9637648463751,-54.4237087614134,R8
0.003,0.997,0.308852744455202,0.317137270384909,2.39,6839.29259691878,22.9991787310195,-54.2558542410889,4.82116034882924,67.7439130190452,59.0577711039483,-6.30887065787037,19.5218849987439,54.3812429509637,39.0321823255853,-54.2558542410889,R8
0.004,0.996,0.308852157283945,0.317136410216678,2.39,6839.3386450096,23.086901196034,-54.0879799185173,4.9312369558145,67.7872183613109,59.0984207925429,-6.19214612330067,19.616251087063,54.4416051365536,39.1006032768052,-54.0879799185173,R8
0.005,0.995,0.308851570115874,0.317135550053113,2.39,6839.38469364755,23.1746266037522,-53.9200857882741,5.04131306517232,67.8305220002801,59.1390635230985,-6.07541723465231,19.7106194658735,54.5019700987509,39.1690276997688,-53.9200857882741,R8
0.006,0.994,0.308850982950988,0.317134689894214,2.39,6839.4307429557,23.2623549526661,-53.7521718470526,5.15138867615276,67.8738239354707,59.179699288059,-5.95868399363802,19.8049901347844,54.562337834651,39.2374555929016,-53.7521718470526,R8
0.007,0.993,0.308850395789287,0.317133829739981,2.39,6839.47679285582,23.3500862420146,-53.5842380900473,5.26146378875139,67.9171241662179,59.2203280814359,-5.84194640049252,19.899363093875,54.6227083408338,39.3058869555425,-53.5842380900473,R8
0.008,0.992,0.308849808630771,0.317132969590415,2.39,6839.52284340598,23.4378204705165,-53.4162845134668,5.37153840245634,67.9604226919745,59.2609498961258,-5.72520445646018,19.9937383429059,54.6830816141955,39.3743217864014,-53.4162845134668,R8
0.009,0.991,0.30884922147544,0.317132109445513,2.39,6839.56889456792,23.525557637245,-53.2483111128003,5.48161251711242,68.0037195121045,59.3015647257678,-5.60845816208337,20.0881158818587,54.7434576513764,39.442760084624,-53.2483111128003,R8
0.01,0.99,0.308848634323294,0.317131249305278,2.39,6839.61494633664,23.6132977411396,-53.0803178837883,5.59168613243813,68.0470146259957,59.3421725637045,-5.49170751814923,20.1824957106403,54.8038364490797,39.5112018491965,-53.0803178837883,R8
0.011,0.989,0.308848047174333,0.317130389169709,2.39,6839.66099872775,23.7010407810561,-52.9123048223167,5.70175924807801,68.0903080330552,59.3827734030881,-5.37495252560851,20.2768778291074,54.8642180040413,39.5796470790042,-52.9123048223167,R8
0.012,0.988,0.308847460028557,0.317129529038805,2.39,6839.70705176617,23.7887867558063,-52.7442719243478,5.81183186363675,68.1335997326894,59.4233672369699,-5.25819318547725,20.3712622370947,54.9246023130023,39.6480957728825,-52.7442719243478,R8
0.013,0.987,0.308846872885966,0.317128668912567,2.39,6839.75310544544,23.8765356643121,-52.5762191856034,5.9219039788363,68.1768897242765,59.4639540586187,-5.14142949855319,20.4656489345094,54.9849893726048,39.716547929808,-52.5762191856034,R8
0.014,0.986,0.30884628574656,0.317127808790995,2.39,6839.79915971896,23.9642875056367,-52.4081466015061,6.03197559354696,68.2201780071529,59.5045338615901,-5.02466146534294,20.5600379213496,55.0453791793706,39.7850035489323,-52.4081466015061,R8
0.015,0.985,0.308845698610339,0.317126948674088,2.39,6839.84521459681,24.0520422786237,-52.2400541679051,6.14204670742473,68.2634645807035,59.545106638967,-4.90788908677023,20.6544291974846,55.1057717299464,39.8534626291386,-52.2400541679051,R8
0.016,0.984,0.308845111477303,0.317126088561848,2.39,6839.89127012125,24.1397999819886,-52.0719418808811,6.25211732000869,68.3067494443381,59.5856723835452,-4.79111236400628,20.7488227627042,55.1661670210363,39.9219251691637,-52.0719418808811,R8
0.017,0.983,0.308844524347451,0.317125228454272,2.39,6839.93732628431,24.2275606146256,-51.9038097361472,6.36218743101897,68.3500325974137,59.6262310884913,-4.67433129785285,20.8432186169192,55.2265650492032,39.9903911679582,-51.9038097361472,R8
0.018,0.982,0.308843937220784,0.317124368351362,2.39,6839.98338299628,24.3153241757266,-51.7356577287985,6.47225704048051,68.393314039216,59.6667827475837,-4.55754588852298,20.9376167602231,55.2869658107809,40.0588606248503,-51.7356577287985,R8
0.019,0.981,0.308843350097302,0.317123508253118,2.39,6840.02944040223,24.4030906635979,-51.5674858556872,6.58232614754722,68.4365937692351,59.7073273527203,-4.44075613795468,21.0320171921697,55.3473693026741,40.1273335380789,-51.5674858556872,R8
0.02,0.98,0.308842762977005,0.317122648159539,2.39,6840.07549842229,24.4908600773775,-51.3992941119824,6.69239475220145,68.4798717867534,59.7478648975447,-4.32396204644002,21.1264199128303,55.4077755212026,40.19580990691,-51.3992941119824,R8
0.021,0.979,0.308842175859893,0.317121788070626,2.39,6840.12155706637,24.5786324158599,-51.231082493524,6.80246285409537,68.5231480911324,59.7883953749611,-4.20716361493756,21.2208249220684,55.468184462892,40.2642897301914,-51.231082493524,R8
0.022,0.978,0.308841588745965,0.317120927986378,2.39,6840.16761627186,24.6664076781019,-51.0628509956098,6.912530453146,68.5664226816619,59.8289187784174,-4.09036084387883,21.3152322199164,55.5285961240647,40.3327730070975,-51.0628509956098,R8
0.023,0.977,0.308841001635222,0.317120067906795,2.39,6840.21367617794,24.7541858623981,-50.8945996150409,7.02259754852473,68.6096955578134,59.8694350997367,-3.97355373517934,21.4096418059339,55.5890105015267,40.4012597358697,-50.8945996150409,R8
0.024,0.976,0.308840414527664,0.317119207831878,2.39,6840.25973666661,24.8419669679952,-50.7263283467027,7.13266414035083,68.6529667188168,59.9099443327438,-3.85674228887457,21.5040536802833,55.6494275914228,40.4697499159214,-50.7263283467027,R8
0.025,0.975,0.30883982742329,0.317118347761626,2.39,6840.30579777649,24.9297509935465,-50.5580371866423,7.2427302281635,68.6962361640452,59.9504464699948,-3.73992650615502,21.598467842756,55.7098473902668,40.5382435459431,-50.5580371866423,R8
0.026,0.974,0.308839240322101,0.317117487696039,2.39,6840.35185953743,25.0175379377283,-50.3897261308477,7.35279581153365,68.7395038928553,59.9909415040865,-3.62310638815239,21.6928842931655,55.7702698945286,40.6067406246568,-50.3897261308477,R8
0.027,0.973,0.308838653224096,0.317116627635117,2.39,6840.39792189022,25.1053277995428,-50.2213951746349,7.46286089036012,68.7827699045206,60.0314294282883,-3.50628193534909,21.7873030315347,55.830695100436,40.6752411511865,-50.2213951746349,R8
0.028,0.972,0.308838066129277,0.317115767578861,2.39,6840.44398488011,25.1931205775915,-50.0530443141034,7.57292546415243,68.8260341984049,60.071910235011,-3.38945314899981,21.8817240576383,55.8911230044566,40.7437451241719,-50.0530443141034,R8
0.029,0.971,0.308837479037641,0.31711490752727,2.39,6840.49004850039,25.2809162706618,-49.8846735449614,7.68298953261441,68.8692967738222,60.112383917047,-3.27262002998624,21.9761473713718,55.9515536029046,40.8122525424819,-49.8846735449614,R8
0.03,0.97,0.30883689194919,0.317114047480344,2.39,6840.53611275643,25.3687148774869,-49.7162828630079,7.79305309540017,68.9125576300916,60.1528504670601,-3.15578257928232,22.0705729726045,56.0119868921049,40.8807634049241,-49.7162828630079,R8
0.031,0.969,0.308836304863924,0.317113187438082,2.39,6840.58217757765,25.4565163970757,-49.5478722634715,7.90311615244606,68.955816766459,60.1933098782867,-3.03894079731195,22.1650008613788,56.0724228681691,40.9492777106491,-49.5478722634715,R8
