wavelength_nm,R_component_W_nm,G_component_W_nm,B_component_W_nm,S_RGB_target_W_nm,S_single_white_W_nm
380,2.9722400307389e-07,5.31330801148069e-08,3.03605135535259e-07,6.53962218723955e-07,6.21198261048665e-07
385,2.91175295525124e-08,1.16807917612827e-07,3.25337889512322e-07,4.71263336677662e-07,1.04361307856176e-06
390,1.30006223960757e-07,1.39368744153045e-07,2.38459147215559e-07,5.07834115329362e-07,3.49858860622608e-07
395,1.25898606975802e-07,2.40720817699083e-07,2.90798100720152e-07,6.57417525395037e-07,0
400,4.25868828675413e-08,5.50038274001558e-08,2.65563014773243e-07,3.63153725040941e-07,1.48093665434002e-07
405,1.30076489682524e-08,6.68724653321529e-08,4.14817243980724e-07,4.94697358281129e-07,2.61400228249278e-07
410,4.67003553293106e-08,1.14852311687731e-07,7.01381182170167e-07,8.62933849187209e-07,6.30143516007766e-07
415,3.06504933823931e-08,9.26502057609917e-08,1.30775507545684e-06,1.43105577460023e-06,1.61014589263814e-06
420,5.93803903698249e-08,1.98773649187393e-07,2.72907457187621e-06,2.98722861143343e-06,2.58418476596245e-06
425,6.23608280681033e-08,1.51538244535058e-07,5.83791693122894e-06,6.0518160038321e-06,4.74098512832341e-06
430,4.50286166989403e-08,1.19905257963621e-07,1.23296460581719e-05,1.24945799328345e-05,9.22355178005058e-06
435,5.32262842384093e-08,1.08241052209199e-07,2.16334341152319e-05,2.17949014516795e-05,1.68965927005237e-05
440,7.81530490352089e-09,8.34584721919475e-08,3.30186266978041e-05,3.31099004748995e-05,3.2600484739834e-05
445,2.39348470245239e-09,9.59905503983364e-08,5.26342994095131e-05,5.27326834446139e-05,6.70894121932559e-05
450,4.12635451075985e-10,1.30956167185322e-07,8.46976258573332e-05,8.48289946599696e-05,0.00010237347342082
455,4.10878808031813e-09,1.23156886750321e-07,9.4072898078106e-05,9.42001637529366e-05,8.27933042325661e-05
460,4.49671341923943e-08,3.35974640815973e-07,6.02518714439269e-05,6.06328132189353e-05,5.10873449886422e-05
465,1.11833751668799e-08,5.11427592916315e-07,3.51448558451692e-05,3.56674668132524e-05,3.98560804288824e-05
470,1.48802304533397e-08,9.53348245457399e-07,2.37191512136921e-05,2.46873796896028e-05,2.9320557921497e-05
475,1.26891110295759e-08,1.85049692813638e-06,1.38041539542826e-05,1.56673399934486e-05,2.06734781276996e-05
480,0,3.43137481452865e-06,7.67180590633495e-06,1.11031807208636e-05,1.85862519705761e-05
485,6.63601187320014e-09,6.27221064063067e-06,4.8653663894532e-06,1.11442130419571e-05,1.9083210579415e-05
490,1.34028936531911e-08,1.11874544874763e-05,3.04702881376553e-06,1.4247886194895e-05,2.05740864059318e-05
495,2.28855455794718e-08,1.93315695767252e-05,1.81794552360149e-06,2.11724006459061e-05,2.28600960065909e-05
500,1.11186721480862e-08,3.30852264743924e-05,1.15527295073984e-06,3.42516180972804e-05,2.59412393813923e-05
505,2.33346606510984e-08,5.48418245424555e-05,8.05575558273069e-07,5.56707347613796e-05,2.85254241473547e-05
510,3.58179516706655e-08,8.20930195341876e-05,5.74186417011564e-07,8.27030239028698e-05,3.04138668609427e-05
515,2.10437053476576e-08,0.000102300947426854,4.37111939281307e-07,0.000102759103071482,3.19047426874595e-05
520,1.21442589120419e-08,9.99866208882776e-05,3.50337744207525e-07,0.000100349102891397,3.27992681833695e-05
525,2.852700471583e-08,7.95009738109825e-05,3.07551793202771e-07,7.98370526089011e-05,3.36937936792796e-05
530,1.07339673214125e-08,5.8710607072775e-05,2.58832787293876e-07,5.89801738273903e-05,3.42901440098863e-05
535,9.55203932652553e-09,4.48593627393977e-05,2.24436750933305e-07,4.50933515296576e-05,3.48864943404931e-05
540,2.33068471362324e-08,3.39183840282798e-05,1.95673196210805e-07,3.41373640716268e-05,3.54828446710998e-05
545,1.59473911026741e-08,2.41511545933096e-05,1.65524390783815e-07,2.43326263751961e-05,3.58804115581709e-05
550,2.47862333532658e-08,1.65636350365883e-05,1.5201166221359e-07,1.67404329321551e-05,3.62779784452421e-05
555,3.3660208464741e-08,1.15623753867256e-05,1.31847116581234e-07,1.17278827117716e-05,3.66755453323132e-05
560,3.1218474633342e-08,8.29531775643583e-06,1.20506356568428e-07,8.44704258763761e-06,3.6774937054081e-05
565,3.24247028570068e-08,5.88147517670109e-06,1.07973758213646e-07,6.02187363777174e-06,3.65761536105454e-05
570,6.4255074817402e-08,4.0952008100102e-06,1.06984480116193e-07,4.26644036494379e-06,3.65761536105454e-05
575,7.49764528636647e-08,2.82151119950491e-06,9.00295342293367e-08,2.98651718659791e-06,3.59798032799387e-05
580,1.27655250019974e-07,1.98060065171332e-06,8.32692494233626e-08,2.19152515115666e-06,3.56816281146353e-05
585,2.4082697814075e-07,1.42250080693573e-06,7.69833476416624e-08,1.74031113271814e-06,3.48864943404931e-05
590,5.32614170992927e-07,1.05425288253931e-06,7.6894482502129e-08,1.66376153603437e-06,3.41907522881185e-05
595,1.30489300797904e-06,7.67932117608486e-07,6.34340275433947e-08,2.13625915313092e-06,3.32962267922085e-05
