序号,目标xyY,方法,Ra,RGB点,白色_RGB比例,RGB权重,Ra差_精确减当前,说明,白色比例,RGB比例,该目标近似最优来源
1,"(0.3169, 0.3310, 3.2310)",精确法,96.8106602576238,"(0.22148, 0.26422)","W=0.9099, RGB=0.0901","R=0.0355, G=0.0830, B=0.0420",0,基准,0.909871577828424,0.0901284221715764,ProjK
,,投影1点,95.995094379944,"(0.19200, 0.24360)","W=0.9348, RGB=0.0652","R=0.0159, G=0.0629, B=0.0365",0.815565877679788,对比精确法,0.934777935575029,0.0652220644249711,ProjK
,,投影K点,96.6581825016268,"(0.23006, 0.27023)","W=0.8998, RGB=0.1002","R=0.0434, G=0.0911, B=0.0442",0.152477755996998,对比精确法,0.899835221421651,0.100164778578349,ProjK
,,同比例,96.3622705139998,"(0.20103, 0.24992)","W=0.9284, RGB=0.0716","R=0.0209, G=0.0681, B=0.0379",0.448389743623991,对比精确法,0.928365770489239,0.071634229510761,ProjK
,,纯RGB,24.5676734142887,"(0.31690, 0.33100)","W=0.0000, RGB=1.0000","R=0.7520, G=0.8160, B=0.2433",72.2429868433351,对比精确法,0,1,ProjK
2,"(0.3197, 0.3497, 3.1980)",精确法,96.0056965720015,"(0.25378, 0.42165)","W=0.8503, RGB=0.1497","R=0.0526, G=0.1466, B=0.0240",0,基准,0.850284150001921,0.149715849998079,ProjK
,,投影1点,87.0396157214515,"(0.29623, 0.37532)","W=0.6943, RGB=0.3057","R=0.1741, G=0.2710, B=0.0582",8.96608085055,对比精确法,0.694342601752845,0.305657398247155,ProjK
,,投影K点,95.0291241064583,"(0.27141, 0.40241)","W=0.8134, RGB=0.1866","R=0.0813, G=0.1760, B=0.0321",0.9765724655432,对比精确法,0.813412738811859,0.186587261188141,ProjK
,,同比例,92.4703631573396,"(0.15814, 0.52605)","W=0.9177, RGB=0.0823","R=0.0000, G=0.0928, B=0.0092",3.53533341466189,对比精确法,0.917745216670186,0.0822547833298141,ProjK
,,纯RGB,30.3872718834851,"(0.31970, 0.34970)","W=0.0000, RGB=1.0000","R=0.7153, G=0.8246, B=0.2102",65.6184246885164,对比精确法,0,1,ProjK
3,"(0.4016, 0.5034, 2.9180)",精确法,36.4846687402328,"(0.41138, 0.52549)","W=0.0801, RGB=0.9199","R=0.6151, G=0.7171, B=0.0000",0,基准,0.0800874705696907,0.919912529430309,Proj1
,,投影1点,35.7557797269739,"(0.41003, 0.52245)","W=0.0702, RGB=0.9298","R=0.6221, G=0.7243, B=0.0020",0.7288890132589,对比精确法,0.0702359632342169,0.929764036765783,Proj1
,,投影K点,35.2176323175427,"(0.40907, 0.52028)","W=0.0630, RGB=0.9370","R=0.6273, G=0.7296, B=0.0034",1.2670364226901,对比精确法,0.0629742510389654,0.937025748961035,Proj1
,,同比例,30.5228985941651,"(0.40160, 0.50340)","W=0.0000, RGB=1.0000","R=0.6720, G=0.7754, B=0.0160",5.9617701460677,对比精确法,1.49749670732109e-16,1,Proj1
,,纯RGB,30.5228985941649,"(0.40160, 0.50340)","W=0.0000, RGB=1.0000","R=0.6720, G=0.7754, B=0.0160",5.9617701460679,对比精确法,0,1,Proj1
4,"(0.4165, 0.4966, 2.8880)",精确法,29.8084930186503,"(0.42611, 0.51385)","W=0.0677, RGB=0.9323","R=0.6681, G=0.6988, B=0.0000",0,基准,0.0676539889778084,0.932346011022192,Proj1
,,投影1点,29.6051676860512,"(0.42569, 0.51310)","W=0.0650, RGB=0.9350","R=0.6700, G=0.7008, B=0.0005",0.2033253325991,对比精确法,0.0649899521220226,0.935010047877977,Proj1
,,投影K点,28.8919144391417,"(0.42425, 0.51052)","W=0.0557, RGB=0.9443","R=0.6766, G=0.7075, B=0.0024",0.916578579508599,对比精确法,0.0556517147316707,0.944348285268329,Proj1
,,同比例,24.6256181902122,"(0.41650, 0.49660)","W=0.0000, RGB=1.0000","R=0.7158, G=0.7476, B=0.0134",5.1828748284381,对比精确法,1.51800209920547e-16,1,Proj1
,,纯RGB,24.6256181904508,"(0.41650, 0.49660)","W=0.0000, RGB=1.0000","R=0.7158, G=0.7476, B=0.0134",5.1828748281995,对比精确法,0,1,Proj1
5,"(0.4310, 0.4900, 2.8510)",精确法,23.4134888825531,"(0.43982, 0.50302)","W=0.0552, RGB=0.9448","R=0.7182, G=0.6792, B=0.0000",0,基准,0.0551728276721618,0.944827172327838,Proj1
,,投影1点,23.2151348406439,"(0.43938, 0.50237)","W=0.0526, RGB=0.9474","R=0.7200, G=0.6810, B=0.0005",0.198354041909202,对比精确法,0.0526353731836561,0.947364626816344,Proj1
,,投影K点,23.0625524100934,"(0.43905, 0.50188)","W=0.0507, RGB=0.9493","R=0.7213, G=0.6824, B=0.0009",0.350936472459701,对比精确法,0.0506838060571624,0.949316193942838,Proj1
,,同比例,19.0921759244483,"(0.43100, 0.49000)","W=0.0000, RGB=1.0000","R=0.7565, G=0.7184, B=0.0108",4.3213129581048,对比精确法,6.15379463237092e-16,0.999999999999999,Proj1
,,纯RGB,19.0921776497549,"(0.43100, 0.49000)","W=0.0000, RGB=1.0000","R=0.7565, G=0.7184, B=0.0108",4.3213112327982,对比精确法,0,1,Proj1
6,"(0.4576, 0.4619, 2.7920)",精确法,15.6503404892772,"(0.47315, 0.47670)","W=0.0793, RGB=0.9207","R=0.8098, G=0.5983, B=0.0000",0,基准,0.0792951373138883,0.920704862686112,Proj1
,,投影1点,15.6334605086152,"(0.47310, 0.47666)","W=0.0791, RGB=0.9209","R=0.8099, G=0.5984, B=0.0000",0.0168799806620008,对比精确法,0.0790909117312922,0.920909088268708,Proj1
,,投影K点,15.2842297951759,"(0.47218, 0.47578)","W=0.0749, RGB=0.9251","R=0.8128, G=0.6014, B=0.0008",0.3661106941013,对比精确法,0.0748655713632908,0.925134428636709,Proj1
,,同比例,9.09988981366668,"(0.45760, 0.46190)","W=0.0000, RGB=1.0000","R=0.8637, G=0.6535, B=0.0152",6.55045067561052,对比精确法,0,1,Proj1
,,纯RGB,9.09988981366668,"(0.45760, 0.46190)","W=0.0000, RGB=1.0000","R=0.8637, G=0.6535, B=0.0152",6.55045067561052,对比精确法,0,1,Proj1
7,"(0.4959, 0.4449, 2.6830)",精确法,3.45602367726394,"(0.50563, 0.45105)","W=0.0420, RGB=0.9580","R=0.9449, G=0.5440, B=0.0000",0,基准,0.0420480016496081,0.957951998350392,Proj1
,,投影1点,2.21124456251244,"(0.50208, 0.44880)","W=0.0272, RGB=0.9728","R=0.9546, G=0.5540, B=0.0027",1.2447791147515,对比精确法,0.027233403209718,0.972766596790282,Proj1
,,投影K点,2.18036865702123,"(0.50199, 0.44875)","W=0.0269, RGB=0.9731","R=0.9548, G=0.5542, B=0.0028",1.27565502024271,对比精确法,0.0268658469335233,0.973134153066477,Proj1
,,同比例,-0.0754423391634838,"(0.49590, 0.44490)","W=0.0000, RGB=1.0000","R=0.9724, G=0.5722, B=0.0077",3.53146601642742,对比精确法,0,1,Proj1
,,纯RGB,-0.0754423391892729,"(0.49590, 0.44490)","W=0.0000, RGB=1.0000","R=0.9724, G=0.5722, B=0.0077",3.53146601645321,对比精确法,0,1,Proj1
8,"(0.5289, 0.4162, 2.5930)",精确法,0.0881278707399558,"(0.54293, 0.42159)","W=0.0535, RGB=0.9465","R=1.0699, G=0.4523, B=0.0000",0,基准,0.0535173169631413,0.946482683036859,Proj1
,,投影1点,-0.992316456795235,"(0.53943, 0.42024)","W=0.0408, RGB=0.9592","R=1.0780, G=0.4605, B=0.0023",1.08044432753519,对比精确法,0.0408163113488107,0.959183688651189,Proj1
,,投影K点,-1.0451316925469,"(0.53926, 0.42018)","W=0.0402, RGB=0.9598","R=1.0783, G=0.4609, B=0.0024",1.13325956328686,对比精确法,0.0401952622665252,0.959804737733475,Proj1
,,同比例,-4.46025973975091,"(0.52890, 0.41620)","W=0.0000, RGB=1.0000","R=1.1037, G=0.4869, B=0.0095",4.54838761049087,对比精确法,0,1,Proj1
,,纯RGB,-4.46025973975091,"(0.52890, 0.41620)","W=0.0000, RGB=1.0000","R=1.1037, G=0.4869, B=0.0095",4.54838761049087,对比精确法,0,1,Proj1
9,"(0.5532, 0.3927, 2.5130)",精确法,1.91038971279173,"(0.57343, 0.39750)","W=0.0716, RGB=0.9284","R=1.1650, G=0.3708, B=0.0000",0,基准,0.071558184520179,0.928441815479821,ProjK
,,投影1点,-2.035956998929,"(0.56001, 0.39432)","W=0.0255, RGB=0.9745","R=1.1932, G=0.3997, B=0.0079",3.94634671172073,对比精确法,0.0254821569090036,0.974517843090996,ProjK
,,投影K点,-1.45904646738432,"(0.56188, 0.39476)","W=0.0322, RGB=0.9678","R=1.1891, G=0.3954, B=0.0068",3.36943618017605,对比精确法,0.0322243136283423,0.967775686371658,ProjK
,,同比例,-4.21472168914023,"(0.55320, 0.39270)","W=0.0000, RGB=1.0000","R=1.2088, G=0.4156, B=0.0123",6.12511140193196,对比精确法,7.67853162684429e-16,0.999999999999999,ProjK
,,纯RGB,-4.21472168962119,"(0.55320, 0.39270)","W=0.0000, RGB=1.0000","R=1.2088, G=0.4156, B=0.0123",6.12511140241292,对比精确法,0,1,ProjK
10,"(0.5897, 0.3655, 2.3750)",精确法,8.97697380382105,"(0.61123, 0.36765)","W=0.0709, RGB=0.9291","R=1.3006, G=0.2711, B=0.0000",0,基准,0.0708622465815372,0.929137753418463,Proj1
,,投影1点,7.71788779216926,"(0.60655, 0.36718)","W=0.0564, RGB=0.9436","R=1.3090, G=0.2796, B=0.0024",1.25908601165179,对比精确法,0.0563902329409976,0.943609767059002,Proj1
,,投影K点,6.53247939256813,"(0.60228, 0.36675)","W=0.0428, RGB=0.9572","R=1.3169, G=0.2877, B=0.0046",2.44449441125292,对比精确法,0.0427564918253897,0.95724350817461,Proj1
,,同比例,2.81964373314219,"(0.58970, 0.36550)","W=0.0000, RGB=1.0000","R=1.3417, G=0.3130, B=0.0115",6.15733007067886,对比精确法,2.06248930907097e-16,1,Proj1
