Index,Target xyY,Method,Ra,RGB Point,White_RGB Ratio,RGB Weights,RaDiff_ExactMinusMethod,Note,WhiteRatio,RGBRatio,BestApproxSource
1,"(0.1498, 0.0316, 4.0000)",Exact,-58.3650384001613,"(0.14985, 0.03155)","W=0.0000, RGB=1.0000","R=0.0000, G=0.0000, B=8.2254",0,Compare to Exact,0,1,Proj1
,,Projection1,-58.3650384001613,"(0.14985, 0.03155)","W=0.0000, RGB=1.0000","R=0.0000, G=0.0000, B=8.2254",0,Compare to Exact,0,1,Proj1
,,ProjectionK,-58.3650384001613,"(0.14985, 0.03155)","W=0.0000, RGB=1.0000","R=0.0000, G=0.0000, B=8.2254",0,Compare to Exact,0,1,Proj1
,,Ratio1,-58.3650384001613,"(0.14985, 0.03155)","W=0.0000, RGB=1.0000","R=0.0000, G=0.0000, B=8.2254",0,Compare to Exact,0,1,Proj1
,,RatioK,-58.3650384001613,"(0.14985, 0.03155)","W=0.0000, RGB=1.0000","R=0.0000, G=0.0000, B=8.2254",0,Compare to Exact,0,1,Proj1
,,PureRGB,-58.3650384001613,"(0.14985, 0.03155)","W=0.0000, RGB=1.0000","R=0.0000, G=0.0000, B=8.2254",0,Compare to Exact,0,1,Proj1
2,"(0.1500, 0.0400, 4.0000)",Exact,-47.3412130192558,"(0.14999, 0.03997)","W=0.0000, RGB=1.0000","R=0.0000, G=0.3162, B=6.4138",0,Compare to Exact,5.65764923473204e-15,0.999999999999994,Ratio1
,,Projection1,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,ProjectionK,NaN,"(NaN, NaN)","W=NaN, RGB=NaN","R=NaN, G=NaN, B=NaN",NaN,Compare to Exact,NaN,NaN,Ratio1
,,Ratio1,-47.3412130192561,"(0.14999, 0.03997)","W=0.0000, RGB=1.0000","R=0.0000, G=0.3162, B=6.4138",3.05533376376843e-13,Compare to Exact,0,1,Ratio1
,,RatioK,-47.3412130192561,"(0.14999, 0.03997)","W=0.0000, RGB=1.0000","R=0.0000, G=0.3162, B=6.4138",3.05533376376843e-13,Compare to Exact,0,1,Ratio1
,,PureRGB,-47.3412130192561,"(0.14999, 0.03997)","W=0.0000, RGB=1.0000","R=0.0000, G=0.3162, B=6.4138",3.05533376376843e-13,Compare to Exact,0,1,Ratio1
