序号,目标色坐标,近邻序号,近邻色坐标,Δuv,Δuv统计,K点比例法Ra,精确法最佳Ra,近邻最佳Ra,近邻最佳RGB混色点,近邻最佳比例值,近邻边界
1,"(0.14985, 0.03155)",1,"(0.15222, 0.02833)",0.0101315088880522,"dUV max=0.044533, min=0.010132, avg=0.025841",-58.3650,-58.3650,-59.2465654780849,"(0.15222, 0.02833)","W=0.0000, RGB=1.0000",
1,"(0.14985, 0.03155)",2,"(0.15204, 0.03623)",0.0119359098939309,"",,,-48.5850147304478,"(0.15204, 0.03623)","W=0.0000, RGB=1.0000",
1,"(0.14985, 0.03155)",3,"(0.16598, 0.03503)",0.0225652375197605,"",,,-66.8962067323541,"(0.16598, 0.03503)","W=-0.0000, RGB=1.0000",
1,"(0.14985, 0.03155)",4,"(0.15185, 0.04464)",0.0327839371126691,"",,,-38.5398193108779,"(0.15185, 0.04464)","W=0.0000, RGB=1.0000",
1,"(0.14985, 0.03155)",5,"(0.16624, 0.04329)",0.033098679266729,"",,,-35.3483402906986,"(0.16624, 0.04329)","W=0.0000, RGB=1.0000",
1,"(0.14985, 0.03155)",6,"(0.18023, 0.04196)",0.0445327856712588,"",,,-127.066921940038,"(0.18023, 0.04196)","W=0.0000, RGB=1.0000",
2,"(0.14999, 0.03997)",1,"(0.15204, 0.03623)",0.010570290802658,"dUV max=0.032119, min=0.010570, avg=0.022637",-47.3412,-47.3412,-48.5850147304478,"(0.15204, 0.03623)","W=0.0000, RGB=1.0000",
2,"(0.14999, 0.03997)",2,"(0.15185, 0.04464)",0.0111998936803921,"",,,-38.5398193108779,"(0.15185, 0.04464)","W=0.0000, RGB=1.0000",
2,"(0.14999, 0.03997)",3,"(0.16624, 0.04329)",0.0219377470022502,"",,,-35.3483402906986,"(0.16624, 0.04329)","W=0.0000, RGB=1.0000",
2,"(0.14999, 0.03997)",4,"(0.16598, 0.03503)",0.0285227301545316,"",,,-66.8962067323541,"(0.16598, 0.03503)","W=-0.0000, RGB=1.0000",
2,"(0.14999, 0.03997)",5,"(0.15222, 0.02833)",0.0314726324259265,"",,,-59.2465654780849,"(0.15222, 0.02833)","W=0.0000, RGB=1.0000",
2,"(0.14999, 0.03997)",6,"(0.15164, 0.05362)",0.0321192513022257,"",,,-28.6201847530421,"(0.15164, 0.05362)","W=0.0000, RGB=1.0000",
3,"(0.15014, 0.04896)",1,"(0.15164, 0.05362)",0.0104774126183006,"dUV max=0.031462, min=0.010477, avg=0.022380",-37.3363,-37.3363,-28.6201847530421,"(0.15164, 0.05362)","W=0.0000, RGB=1.0000",
3,"(0.15014, 0.04896)",2,"(0.15185, 0.04464)",0.0110535743641051,"",,,-38.5398193108779,"(0.15185, 0.04464)","W=0.0000, RGB=1.0000",
3,"(0.15014, 0.04896)",3,"(0.16651, 0.05208)",0.0213238464169164,"",,,-11.8088876173841,"(0.16651, 0.05208)","W=0.0000, RGB=1.0000",
3,"(0.15014, 0.04896)",4,"(0.16624, 0.04329)",0.0285149034680771,"",,,-35.3483402906986,"(0.16624, 0.04329)","W=0.0000, RGB=1.0000",
3,"(0.15014, 0.04896)",5,"(0.16679, 0.06148)",0.0314454328511275,"",,,5.93193616255023,"(0.16679, 0.06148)","W=0.0000, RGB=1.0000",
3,"(0.15014, 0.04896)",6,"(0.15142, 0.06321)",0.0314622465677439,"",,,-19.383264061238,"(0.15142, 0.06321)","W=0.0000, RGB=1.0000",
4,"(0.15030, 0.05858)",1,"(0.15142, 0.06321)",0.00977146944743256,"dUV max=0.030813, min=0.009771, avg=0.022006",-27.3872,-27.3872,-19.383264061238,"(0.15142, 0.06321)","W=0.0000, RGB=1.0000",
4,"(0.15030, 0.05858)",2,"(0.15164, 0.05362)",0.0115757871464015,"",,,-28.6201847530421,"(0.15164, 0.05362)","W=0.0000, RGB=1.0000",
4,"(0.15030, 0.05858)",3,"(0.16679, 0.06148)",0.0207247434665837,"",,,5.93193616255023,"(0.16679, 0.06148)","W=0.0000, RGB=1.0000",
4,"(0.15030, 0.05858)",4,"(0.16651, 0.05208)",0.0285310390169242,"",,,-11.8088876173841,"(0.16651, 0.05208)","W=0.0000, RGB=1.0000",
4,"(0.15030, 0.05858)",5,"(0.16710, 0.07154)",0.0306188162914614,"",,,19.3161328902394,"(0.16710, 0.07154)","W=0.0000, RGB=1.0000",
4,"(0.15030, 0.05858)",6,"(0.15118, 0.07349)",0.0308134142416816,"",,,-11.1444402192406,"(0.15118, 0.07349)","W=0.0000, RGB=1.0000",
5,"(0.15047, 0.06890)",1,"(0.15118, 0.07349)",0.00908591978921565,"dUV max=0.030173, min=0.009086, avg=0.021649",-17.9815,-17.9815,-11.1444402192406,"(0.15118, 0.07349)","W=0.0000, RGB=1.0000",
5,"(0.15047, 0.06890)",2,"(0.15142, 0.06321)",0.0121319031137236,"",,,-19.383264061238,"(0.15142, 0.06321)","W=0.0000, RGB=1.0000",
5,"(0.15047, 0.06890)",3,"(0.16710, 0.07154)",0.0201417586313895,"",,,19.3161328902394,"(0.16710, 0.07154)","W=0.0000, RGB=1.0000",
5,"(0.15047, 0.06890)",4,"(0.16679, 0.06148)",0.0285710962030286,"",,,5.93193616255023,"(0.16679, 0.06148)","W=0.0000, RGB=1.0000",
5,"(0.15047, 0.06890)",5,"(0.16743, 0.08234)",0.0297922046557764,"",,,29.5143950575437,"(0.16743, 0.08234)","W=0.0000, RGB=1.0000",
5,"(0.15047, 0.06890)",6,"(0.15093, 0.08454)",0.0301732815357461,"",,,-4.01242336106651,"(0.15093, 0.08454)","W=0.0000, RGB=1.0000",
6,"(0.15066, 0.07999)",1,"(0.15093, 0.08454)",0.00842574299014524,"dUV max=0.029542, min=0.008426, avg=0.021310",-9.4709,-9.4709,-4.01242336106651,"(0.15093, 0.08454)","W=0.0000, RGB=1.0000",
6,"(0.15066, 0.07999)",2,"(0.15118, 0.07349)",0.0127174754384951,"",,,-11.1444402192406,"(0.15118, 0.07349)","W=0.0000, RGB=1.0000",
6,"(0.15066, 0.07999)",3,"(0.16743, 0.08234)",0.0195763319608285,"",,,29.5143950575437,"(0.16743, 0.08234)","W=0.0000, RGB=1.0000",
6,"(0.15066, 0.07999)",4,"(0.16710, 0.07154)",0.0286349746353322,"",,,19.3161328902394,"(0.16710, 0.07154)","W=0.0000, RGB=1.0000",
6,"(0.15066, 0.07999)",5,"(0.16779, 0.09396)",0.0289655983656309,"",,,37.4475769208878,"(0.16779, 0.09396)","W=0.0000, RGB=1.0000",
6,"(0.15066, 0.07999)",6,"(0.15065, 0.09643)",0.0295424139722424,"",,,2.03056514351154,"(0.15065, 0.09643)","W=0.0000, RGB=1.0000",
7,"(0.15086, 0.09195)",1,"(0.15065, 0.09643)",0.00779738640326974,"dUV max=0.028921, min=0.007797, avg=0.020990",-2.0257,-2.0257,2.03056514351154,"(0.15065, 0.09643)","W=0.0000, RGB=1.0000",
7,"(0.15086, 0.09195)",2,"(0.15093, 0.08454)",0.0133286223280062,"",,,-4.01242336106651,"(0.15093, 0.08454)","W=0.0000, RGB=1.0000",
7,"(0.15086, 0.09195)",3,"(0.16779, 0.09396)",0.019030028601712,"",,,37.4475769208878,"(0.16779, 0.09396)","W=0.0000, RGB=1.0000",
7,"(0.15086, 0.09195)",4,"(0.16818, 0.10649)",0.0281389978921151,"",,,43.6855769259656,"(0.16818, 0.10649)","W=0.0000, RGB=1.0000",
7,"(0.15086, 0.09195)",5,"(0.16743, 0.08234)",0.0287225153800209,"",,,29.5143950575437,"(0.16743, 0.08234)","W=0.0000, RGB=1.0000",
7,"(0.15086, 0.09195)",6,"(0.15036, 0.10929)",0.028921417863674,"",,,7.08335894885552,"(0.15036, 0.10929)","W=0.0000, RGB=1.0000",
8,"(0.15108, 0.10489)",1,"(0.15036, 0.10929)",0.007209175249205,"dUV max=0.028834, min=0.007209, avg=0.020689",4.3110,4.3110,7.08335894885552,"(0.15036, 0.10929)","W=0.0000, RGB=1.0000",
8,"(0.15108, 0.10489)",2,"(0.15065, 0.09643)",0.013961985820881,"",,,2.03056514351154,"(0.15065, 0.09643)","W=0.0000, RGB=1.0000",
8,"(0.15108, 0.10489)",3,"(0.16818, 0.10649)",0.018504542344768,"",,,43.6855769259656,"(0.16818, 0.10649)","W=0.0000, RGB=1.0000",
8,"(0.15108, 0.10489)",4,"(0.16859, 0.12006)",0.027312403763342,"",,,48.5208425483568,"(0.16859, 0.12006)","W=0.0000, RGB=1.0000",
8,"(0.15108, 0.10489)",5,"(0.15004, 0.12322)",0.0283109428039595,"",,,11.2894914546572,"(0.15004, 0.12322)","W=0.0000, RGB=1.0000",
8,"(0.15108, 0.10489)",6,"(0.16779, 0.09396)",0.0288335029160681,"",,,37.4475769208878,"(0.16779, 0.09396)","W=0.0000, RGB=1.0000",
9,"(0.15131, 0.11892)",1,"(0.15004, 0.12322)",0.00667173621267898,"dUV max=0.028968, min=0.006672, avg=0.020409",9.5959,9.5959,11.2894914546572,"(0.15004, 0.12322)","W=0.0000, RGB=1.0000",
9,"(0.15131, 0.11892)",2,"(0.15036, 0.10929)",0.014614677766832,"",,,7.08335894885552,"(0.15036, 0.10929)","W=0.0000, RGB=1.0000",
9,"(0.15131, 0.11892)",3,"(0.16859, 0.12006)",0.0180016962940337,"",,,48.5208425483568,"(0.16859, 0.12006)","W=0.0000, RGB=1.0000",
9,"(0.15131, 0.11892)",4,"(0.16904, 0.13479)",0.0264858165733491,"",,,52.0988219103016,"(0.16904, 0.13479)","W=0.0000, RGB=1.0000",
9,"(0.15131, 0.11892)",5,"(0.14969, 0.13836)",0.0277116841227461,"",,,14.8009236362606,"(0.14969, 0.13836)","W=0.0000, RGB=1.0000",
9,"(0.15131, 0.11892)",6,"(0.16818, 0.10649)",0.0289676677406422,"",,,43.6855769259656,"(0.16818, 0.10649)","W=0.0000, RGB=1.0000",
10,"(0.15157, 0.13420)",1,"(0.14969, 0.13836)",0.0061982903832721,"dUV max=0.029125, min=0.006198, avg=0.020152",13.9602,13.9602,14.8009236362606,"(0.14969, 0.13836)","W=0.0000, RGB=1.0000",
10,"(0.15157, 0.13420)",2,"(0.15004, 0.12322)",0.0152842221804106,"",,,11.2894914546572,"(0.15004, 0.12322)","W=0.0000, RGB=1.0000",
10,"(0.15157, 0.13420)",3,"(0.16904, 0.13479)",0.0175234395825106,"",,,52.0988219103016,"(0.16904, 0.13479)","W=0.0000, RGB=1.0000",
10,"(0.15157, 0.13420)",4,"(0.16954, 0.15083)",0.0256592369927154,"",,,54.547774231291,"(0.16954, 0.15083)","W=0.0000, RGB=1.0000",
10,"(0.15157, 0.13420)",5,"(0.14930, 0.15489)",0.0271243852401243,"",,,17.7527676332362,"(0.14930, 0.15489)","W=-0.0000, RGB=1.0000",
10,"(0.15157, 0.13420)",6,"(0.16859, 0.12006)",0.0291246895523284,"",,,48.5208425483568,"(0.16859, 0.12006)","W=0.0000, RGB=1.0000",
11,"(0.15185, 0.15089)",1,"(0.14930, 0.15489)",0.00580451776852584,"dUV max=0.029304, min=0.005805, avg=0.019922",17.5655,17.5655,17.7527676332362,"(0.14930, 0.15489)","W=-0.0000, RGB=1.0000",
11,"(0.15185, 0.15089)",2,"(0.14969, 0.13836)",0.0159684993771469,"",,,14.8009236362606,"(0.14969, 0.13836)","W=0.0000, RGB=1.0000",
11,"(0.15185, 0.15089)",3,"(0.16954, 0.15083)",0.0170718388994021,"",,,54.547774231291,"(0.16954, 0.15083)","W=0.0000, RGB=1.0000",
