Index,Target_x,Target_y,Target_Y,PureRGB_Valid,PureRGB_Ra,PureRGB_Rmin8,PureRGB_WorstR,PureRGB_R_weight,PureRGB_G_weight,PureRGB_B_weight,PureRGB_x,PureRGB_y,PureRGB_Y,PureRGB_CCT
1,0.3169,0.331,3.231,1,24.5676734142887,-63.3305373605346,R8,0.752022831634668,0.81601516053256,0.243315407468637,0.3169,0.331,3.231,6269.80929733428
2,0.3197,0.3497,3.198,1,30.3872718834851,-53.9855374949216,R8,0.715349962674776,0.824634071024627,0.210238370923993,0.3197,0.3497,3.198,6053.22010494106
3,0.4016,0.5034,2.918,1,30.5228985941649,-46.7764712495726,R8,0.672048231545993,0.775380866969811,0.0160046847969924,0.4016,0.5034,2.918,4220.26768856279
4,0.4165,0.4966,2.888,1,24.6256181904508,-57.1705878868252,R8,0.715762429381526,0.747559927923251,0.0133809780301031,0.4165,0.4966,2.888,3941.5450222085
5,0.431,0.49,2.851,1,19.0921776497549,-65.7145799024622,R8,0.756529699125051,0.718404217592989,0.0107725798115877,0.431,0.49,2.851,3674.87448470817
6,0.4576,0.4619,2.792,1,9.09988981366668,-77.1381222127872,R8,0.86374899170821,0.653511413559218,0.0151620955740398,0.4576,0.4619,2.792,3103.14247796013
7,0.4959,0.4449,2.683,1,-0.0754423391892729,-75.8674136134939,R8,0.972381699336471,0.572169704029935,0.0077261528132823,0.4959,0.4449,2.683,2501.06408180929
8,0.5289,0.4162,2.593,1,-4.46025973975091,-60.5901190715062,R4,1.10374788505024,0.4869331285613,0.00950373043829967,0.5289,0.4162,2.593,1999.59912724533
9,0.5532,0.3927,2.513,1,-4.21472168962119,-69.8832411049327,R4,1.20884378622718,0.415628624585801,0.0123154153288587,0.5532,0.3927,2.513,1687.21213539426
10,0.5897,0.3655,2.375,1,2.81964373336255,-71.3930570040296,R4,1.34166050307743,0.313030086580212,0.0115259250526807,0.5897,0.3655,2.375,1347.27794017696
11,0.6846,0.3072,1.942,1,55.6185382931569,22.0169399352558,R6,1.59343639896545,0.0585116274262621,0.00146326289326701,0.6846,0.3072,1.942,1000.00008696779
12,0.654,0.2906,1.907,1,48.3415529568454,3.1614674208497,R6,1.55949136857136,0.0552111203427443,0.0262995093552929,0.654,0.2906,1.907,1000.00008696779
13,0.6282,0.2821,1.915,1,38.9758759889477,-18.7817302199888,R6,1.53040601899542,0.0664059198020611,0.0453629245991554,0.6282,0.2821,1.915,1000.00008696779
14,0.5211,0.2316,1.835,1,9.8885671071531,-87.7475916687955,R6,1.38595515178794,0.0769255222538317,0.152086254586631,0.5211,0.2316,1.835,1011.36972267204
15,0.2082,0.068,1.265,1,-130.938885757346,-216.188851240789,R2,0.51073493744486,0.0636017108357525,1.06482715077757,0.2082,0.068,1.265,24999.9994413748
16,0.1486,0.0288,0.584,0,NaN,NaN,Invalid,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,0.1579,0.1053,1.729,1,21.0431109884352,-31.0722463979235,R4,0.0532144311469309,0.434588408120575,0.943552107374262,0.1579,0.1053,1.729,24999.9994413748
18,0.1586,0.1409,1.957,1,30.1965536923024,-17.4309051709142,R4,0.0456933104719526,0.552939534215026,0.751628055089942,0.1586,0.1409,1.957,24999.9994413748
19,0.158,0.1664,2.094,1,31.2780645922979,-13.4681703415898,R4,0.0352506577234565,0.623717356610741,0.651827494269171,0.158,0.1664,2.094,24999.9994413748
20,0.1609,0.206,2.293,1,37.4971530879328,-1.26758434262156,R4,0.0430136112210566,0.712713000823783,0.533371148637144,0.1609,0.206,2.293,24999.9994413748
21,0.1667,0.2407,2.449,1,45.4163194716924,12.0460410393304,R4,0.064560309431086,0.774538916108966,0.450514650206311,0.1667,0.2407,2.449,24999.9994413748
22,0.1667,0.2828,2.586,1,44.1596231094779,6.83934023300941,R1,0.0549533628232284,0.841748541602287,0.369238351193312,0.1667,0.2828,2.586,24999.9994413748
23,0.1766,0.3402,2.772,1,49.2828223608565,13.5620334828263,R1,0.0835921579177166,0.912651950238645,0.279791935839944,0.1766,0.3402,2.772,19750.4215055088
24,0.18,0.38,2.872,1,46.7380323446331,9.88773575291371,R1,0.0873561447358813,0.95576743007527,0.229780962955079,0.18,0.38,2.872,14131.1827558152
25,0.1808,0.4144,2.931,1,43.2029873030783,4.97083921349973,R1,0.0825003408613666,0.985469897630068,0.192084073208606,0.1808,0.4144,2.931,12049.7640319668
26,0.1861,0.5109,3.106,1,35.3306427986179,-2.57110914182206,R1,0.0815548904236282,1.0632687959084,0.108406080375115,0.1861,0.5109,3.106,9300.04761263203
27,0.1934,0.6418,3.269,1,15.6641427002602,-9.03339006692526,R1,0.0806906004951592,1.13644555187531,0.0263458406801941,0.1934,0.6418,3.269,7860.27984059498
28,0.2368,0.6205,3.218,1,31.7801878265271,13.6814794777542,R4,0.19005764336589,1.07533456740813,0.0205913329315851,0.2368,0.6205,3.218,7138.14795855786
29,0.3092,0.5649,3.111,1,52.9714340231462,38.6282237744666,R8,0.39384366102869,0.955215042664733,0.0210597685133399,0.3092,0.5649,3.111,5947.29097236913
30,0.3696,0.5362,3.001,1,40.4230166160722,-17.1160362287736,R8,0.56226519889627,0.849926348132354,0.0115509605902184,0.3696,0.5362,3.001,4863.1475284597
