序号,目标xyY,精确法_RGB点,精确法_白RGB比例,精确法_RGB权重,网格法_RGB点,网格法_白RGB比例,网格法_RGB权重,纯RGB点,纯RGB_白RGB比例,纯RGB_RGB权重,纯RGB_Ra,网格RGB点距精确点_xy,白色比例差_网格减精确,RGB比例差_网格减精确
1,"(0.3169, 0.3310, 3.2310)","(0.22148, 0.26422)","W=0.9099, RGB=0.0901","R=0.0355, G=0.0830, B=0.0420","(0.20750, 0.25444)","W=0.9232, RGB=0.0768","R=0.0250, G=0.0722, B=0.0390","(0.31690, 0.33100)","W=0.0000, RGB=1.0000","R=0.7520, G=0.8160, B=0.2433",24.5676734142887,0.0170613555918557,0.013318362836052,-0.0133183628360515
2,"(0.3197, 0.3497, 3.1980)","(0.25378, 0.42165)","W=0.8503, RGB=0.1497","R=0.0526, G=0.1466, B=0.0240","(0.26254, 0.41210)","W=0.8344, RGB=0.1656","R=0.0649, G=0.1593, B=0.0275","(0.31970, 0.34970)","W=0.0000, RGB=1.0000","R=0.7153, G=0.8246, B=0.2102",30.3872718834851,0.0129572835121758,-0.0158641362149641,0.015864136214964
3,"(0.4016, 0.5034, 2.9180)","(0.41138, 0.52549)","W=0.0801, RGB=0.9199","R=0.6151, G=0.7171, B=0.0000","(0.40901, 0.52013)","W=0.0625, RGB=0.9375","R=0.6276, G=0.7299, B=0.0035","(0.40160, 0.50340)","W=0.0000, RGB=1.0000","R=0.6720, G=0.7754, B=0.0160",30.5228985941649,0.00585539131868429,-0.0176167126286776,0.017616712628678
4,"(0.4165, 0.4966, 2.8880)","(0.42611, 0.51385)","W=0.0677, RGB=0.9323","R=0.6681, G=0.6988, B=0.0000","(0.42513, 0.51211)","W=0.0614, RGB=0.9386","R=0.6725, G=0.7033, B=0.0012","(0.41650, 0.49660)","W=0.0000, RGB=1.0000","R=0.7158, G=0.7476, B=0.0134",24.6256181904508,0.00199732117100111,-0.00622788359928639,0.00622788359928705
5,"(0.4310, 0.4900, 2.8510)","(0.43982, 0.50302)","W=0.0552, RGB=0.9448","R=0.7182, G=0.6792, B=0.0000","(0.43979, 0.50297)","W=0.0550, RGB=0.9450","R=0.7183, G=0.6793, B=0.0000","(0.43100, 0.49000)","W=0.0000, RGB=1.0000","R=0.7565, G=0.7184, B=0.0108",19.0921776497549,5.67477477758709e-05,-0.000183267482187201,0.000183267482187
6,"(0.4576, 0.4619, 2.7920)","(0.47315, 0.47670)","W=0.0793, RGB=0.9207","R=0.8098, G=0.5983, B=0.0000","(0.47209, 0.47569)","W=0.0744, RGB=0.9256","R=0.8131, G=0.6017, B=0.0009","(0.45760, 0.46190)","W=0.0000, RGB=1.0000","R=0.8637, G=0.6535, B=0.0152",9.09988981366668,0.00146416675422502,-0.0048609316197854,0.00486093161978507
7,"(0.4959, 0.4449, 2.6830)","(0.50563, 0.45105)","W=0.0420, RGB=0.9580","R=0.9449, G=0.5440, B=0.0000","(0.50512, 0.45072)","W=0.0400, RGB=0.9600","R=0.9463, G=0.5454, B=0.0004","(0.49590, 0.44490)","W=0.0000, RGB=1.0000","R=0.9724, G=0.5722, B=0.0077",-0.0754423391892729,0.00060475531778004,-0.0020937846818298,0.00209378468182997
8,"(0.5289, 0.4162, 2.5930)","(0.54293, 0.42159)","W=0.0535, RGB=0.9465","R=1.0699, G=0.4523, B=0.0000","(0.54210, 0.42126)","W=0.0505, RGB=0.9495","R=1.0718, G=0.4543, B=0.0005","(0.52890, 0.41620)","W=0.0000, RGB=1.0000","R=1.1037, G=0.4869, B=0.0095",-4.46025973975091,0.0008949740021902,-0.0029891930770442,0.00298919307704504
9,"(0.5532, 0.3927, 2.5130)","(0.57343, 0.39750)","W=0.0716, RGB=0.9284","R=1.1650, G=0.3708, B=0.0000","(0.56197, 0.39478)","W=0.0325, RGB=0.9675","R=1.1889, G=0.3952, B=0.0067","(0.55320, 0.39270)","W=0.0000, RGB=1.0000","R=1.2088, G=0.4156, B=0.0123",-4.21472168962119,0.0117802247755028,-0.0390211837681937,0.0390211837681941
10,"(0.5897, 0.3655, 2.3750)","(0.61123, 0.36765)","W=0.0709, RGB=0.9291","R=1.3006, G=0.2711, B=0.0000","(0.60701, 0.36723)","W=0.0578, RGB=0.9422","R=1.3082, G=0.2788, B=0.0021","(0.58970, 0.36550)","W=0.0000, RGB=1.0000","R=1.3417, G=0.3130, B=0.0115",2.81964373336255,0.00423942345832214,-0.0130213426350559,0.0130213426350569
11,"(0.6846, 0.3072, 1.9420)","(0.68818, 0.30688)","W=0.0110, RGB=0.9890","R=1.5882, G=0.0532, B=0.0000","(0.68638, 0.30704)","W=0.0055, RGB=0.9945","R=1.5908, G=0.0558, B=0.0007","(0.68460, 0.30720)","W=0.0000, RGB=1.0000","R=1.5934, G=0.0585, B=0.0015",55.6185382931569,0.00180444381747082,-0.00550247173866791,0.00550247173866791
12,"(0.6540, 0.2906, 1.9070)","(0.68986, 0.28520)","W=0.1161, RGB=0.8839","R=1.5055, G=0.0000, B=0.0111","(0.66801, 0.28849)","W=0.0483, RGB=0.9517","R=1.5370, G=0.0323, B=0.0200","(0.65400, 0.29060)","W=0.0000, RGB=1.0000","R=1.5595, G=0.0552, B=0.0263",48.3415529568454,0.0220968316403738,-0.0678259927288106,0.067825992728811
13,"(0.6282, 0.2821, 1.9150)","(0.66729, 0.27460)","W=0.1391, RGB=0.8609","R=1.4655, G=0.0000, B=0.0271","(0.64732, 0.27843)","W=0.0723, RGB=0.9277","R=1.4967, G=0.0319, B=0.0359","(0.62820, 0.28210)","W=0.0000, RGB=1.0000","R=1.5304, G=0.0664, B=0.0454",38.9758759889477,0.0203317313912805,-0.0667773924197295,0.066777392419728
