颜色序号,层级,方法,目标xyY,RGB混色点,白色_RGB比例,RGB权重,Ra,RGB点距精确点_xy,白色比例差_相对精确,RGB比例差_相对精确,Ra差_相对精确,RGB点_x,RGB点_y,白色比例,RGB比例,R权重,G权重,B权重
1,1,精确法,"(0.3169, 0.3310, 3.2310)","(0.22148, 0.26422)","W=0.9099, RGB=0.0901","R=0.0355, G=0.0830, B=0.0420",96.8106602575696,0,0,0,0,0.221478091799699,0.264222325835937,0.909871577828421,0.0901284221715788,0.0354917618453623,0.0829791583250189,0.0419827076361178
1,2,网格法,"(0.3169, 0.3310, 3.2310)","(0.20750, 0.25444)","W=0.9232, RGB=0.0768","R=0.0250, G=0.0722, B=0.0390",96.591758016759,0.0170613555918557,0.013318362836052,-0.0133183628360515,-0.218902240810593,0.207499669309649,0.254440017349623,0.923189940664473,0.0768100593355273,0.0250034456881148,0.0722492490859706,0.0390356742168181
1,3,纯RGB,"(0.3169, 0.3310, 3.2310)","(0.31690, 0.33100)","W=0.0000, RGB=1.0000","R=0.7520, G=0.8160, B=0.2433",24.5676734142887,0.116467155590529,-0.909871577828421,0.909871577828421,-72.2429868432809,0.3169,0.331,0,1,0.752022831634668,0.81601516053256,0.243315407468637
2,1,精确法,"(0.3197, 0.3497, 3.1980)","(0.25378, 0.42165)","W=0.8503, RGB=0.1497","R=0.0526, G=0.1466, B=0.0240",96.0056965723212,0,0,0,0,0.253783692819428,0.421651884009642,0.850284150001922,0.149715849998078,0.0525835173494416,0.146601134335024,0.0240125903238742
2,2,网格法,"(0.3197, 0.3497, 3.1980)","(0.26254, 0.41210)","W=0.8344, RGB=0.1656","R=0.0649, G=0.1593, B=0.0275",95.8042267393803,0.0129572835121758,-0.0158641362149641,0.015864136214964,-0.201469832940901,0.262536391656822,0.412097750920932,0.834420013786958,0.165579986213042,0.0649490508799969,0.159251501704393,0.0274870889960787
2,3,纯RGB,"(0.3197, 0.3497, 3.1980)","(0.31970, 0.34970)","W=0.0000, RGB=1.0000","R=0.7153, G=0.8246, B=0.2102",30.3872718834851,0.0975809057390866,-0.850284150001922,0.850284150001922,-65.6184246888361,0.3197,0.3497,0,1,0.715349962674776,0.824634071024627,0.210238370923993
3,1,精确法,"(0.4016, 0.5034, 2.9180)","(0.41138, 0.52549)","W=0.0801, RGB=0.9199","R=0.6151, G=0.7171, B=0.0000",36.4846687402328,0,0,0,0,0.411377044481063,0.525486218510068,0.0800874705696907,0.919912529430309,0.615088512986766,0.717109109972868,0
3,2,网格法,"(0.4016, 0.5034, 2.9180)","(0.40901, 0.52013)","W=0.0625, RGB=0.9375","R=0.6276, G=0.7299, B=0.0035",35.1802915712005,0.00585539131868429,-0.0176167126286776,0.017616712628678,-1.3043771690323,0.409006853112299,0.520131986504415,0.0624707579410131,0.937529242058987,0.627617851048393,0.729927055028206,0.00352052488080309
3,3,纯RGB,"(0.4016, 0.5034, 2.9180)","(0.40160, 0.50340)","W=0.0000, RGB=1.0000","R=0.6720, G=0.7754, B=0.0160",30.5228985941649,0.0241535017514885,-0.0800874705696907,0.080087470569691,-5.9617701460679,0.4016,0.5034,0,1,0.672048231545993,0.775380866969811,0.0160046847969924
4,1,精确法,"(0.4165, 0.4966, 2.8880)","(0.42611, 0.51385)","W=0.0677, RGB=0.9323","R=0.6681, G=0.6988, B=0.0000",29.8084930186503,0,0,0,0,0.426105097678533,0.513854227885214,0.0676539889778087,0.932346011022191,0.668140326709119,0.698840874093579,0
