序号,目标_x,目标_y,目标_Y,精确法_RGB点_x,精确法_RGB点_y,精确法_RayT,精确法_白色比例,精确法_RGB比例,精确法_R权重,精确法_G权重,精确法_B权重,网格法_RGB点_x,网格法_RGB点_y,网格法_RayT,网格法_白色比例,网格法_RGB比例,网格法_R权重,网格法_G权重,网格法_B权重,纯RGB点_x,纯RGB点_y,纯RGB_白色比例,纯RGB_RGB比例,纯RGB_R权重,纯RGB_G权重,纯RGB_B权重,纯RGB_Ra
1,0.3169,0.331,3.231,0.221478091799699,0.264222325835937,8.85685937465984,0.909871577828421,0.0901284221715788,0.0354917618453623,0.0829791583250189,0.0419827076361178,0.207499669309649,0.254440017349623,10.0078162340989,0.923189940664473,0.0768100593355273,0.0250034456881148,0.0722492490859706,0.0390356742168181,0.3169,0.331,0,1,0.752022831634668,0.81601516053256,0.243315407468637,24.5676734142887
2,0.3197,0.3497,3.198,0.253783692819428,0.421651884009642,8.05361069875187,0.850284150001922,0.149715849998078,0.0525835173494416,0.146601134335024,0.0240125903238742,0.262536391656822,0.412097750920932,7.11699678933995,0.834420013786958,0.165579986213042,0.0649490508799969,0.159251501704393,0.0274870889960787,0.3197,0.3497,0,1,0.715349962674776,0.824634071024627,0.210238370923993,30.3872718834851
3,0.4016,0.5034,2.918,0.411377044481063,0.525486218510068,1.13475364210218,0.0800874705696907,0.919912529430309,0.615088512986766,0.717109109972868,0,0.409006853112299,0.520131986504415,1.10208610949161,0.0624707579410131,0.937529242058987,0.627617851048393,0.729927055028206,0.00352052488080309,0.4016,0.5034,0,1,0.672048231545993,0.775380866969811,0.0160046847969924,30.5228985941649
4,0.4165,0.4966,2.888,0.426105097678533,0.513854227885214,1.10982908451665,0.0676539889778087,0.932346011022191,0.668140326709119,0.698840874093579,0,0.425133612537027,0.512109089357772,1.0987206786176,0.0614261053785223,0.938573894621478,0.672524176304363,0.703325703456975,0.00123178507099448,0.4165,0.4966,0,1,0.715762429381526,0.747559927923251,0.0133809780301031,24.6256181904508
5,0.431,0.49,2.851,0.439821223836237,0.503021441722876,1.08652079547391,0.0551728276721618,0.944827172327838,0.718190730128914,0.679182129749748,0,0.439789396355833,0.502974459615976,1.08620862349261,0.0549895601899746,0.945010439810025,0.718318080613093,0.679312413688209,3.57832589342626e-05,0.431,0.49,0,1,0.756529699125051,0.718404217592989,0.0107725798115877,19.0921776497549
6,0.4576,0.4619,2.792,0.473146154580376,0.47670192231373,1.12093002982621,0.0792951373138881,0.920704862686112,0.809787997935455,0.598307455464342,0,0.472085761720576,0.475692293041639,1.1126814729564,0.0744342056941027,0.925565794305897,0.813095901922388,0.60169155535408,0.000929463171320472,0.4576,0.4619,0,1,0.86374899170821,0.653511413559218,0.0151620955740398,9.09988981366668
7,0.4959,0.4449,2.683,0.505630231512904,0.451046496354167,1.05831550818864,0.042048001649608,0.957951998350392,0.944884782316722,0.544039409371371,0,0.505118943391645,0.450723520424038,1.05525124126113,0.0399542169677782,0.960045783032222,0.946253994203014,0.545440160364065,0.000384724595112311,0.4959,0.4449,0,1,0.972381699336471,0.572169704029935,0.0077261528132823,-0.0754423391892729
8,0.5289,0.4162,2.593,0.542932770037647,0.421585523299179,1.07021477158588,0.0535173169631415,0.946482683036858,1.06992467529044,0.452330818194705,0,0.542097216871533,0.421264853108495,1.06603397374275,0.0505281238860973,0.949471876113903,1.07181386014115,0.454263519467244,0.000530827904766299,0.5289,0.4162,0,1,1.10374788505024,0.4869331285613,0.00950373043829967,-4.46025973975091
9,0.5532,0.3927,2.513,0.573427965496475,0.397500885436715,1.09024099185396,0.071558184520179,0.928441815479821,1.16501395765076,0.370789197976503,0,0.561966139542008,0.394780546937396,1.03910749833634,0.0325370007519853,0.967462999248015,1.18891467294807,0.395240454216639,0.00671568302006754,0.5532,0.3927,0,1,1.20884378622718,0.415628624585801,0.0123154153288587,-4.21472168962119
10,0.5897,0.3655,2.375,0.611227491757042,0.367647399087115,1.08258999615467,0.0708622465815375,0.929137753418462,1.30064042330311,0.271065129921958,0,0.607009004077336,0.367226598712661,1.06640581245238,0.0578409039464816,0.942159096053519,1.30817809730339,0.2787764304476,0.00211795457436188,0.5897,0.3655,0,1,1.34166050307743,0.313030086580212,0.0115259250526807,2.81964373336255
