Index,IntSig_u,IntSig_v,Target_u1976,Target_v1976,Target_x,Target_y,Target_Y_lm,ExactValid,S14Valid,ExactRa,S14Ra,RaDiff_ExactMinusS14,ExactWhiteRatio,S14UsedWhiteRatio,S14DistanceWeightedAverageWhiteRatio,S14LocalFitPredictedWhiteRatio,WhiteRatioDiff_ExactMinusS14,ExactRGBRatio,S14RGBRatio,S14OutputDeltaUv,S14LocalFitFallbackUsed,S14LocalFitConditionValue,ExactRGBPoint_x,ExactRGBPoint_y,ExactRGBPoint_Y_lm,S14RGBPoint_x,S14RGBPoint_y,S14RGBPoint_Y_lm,Exact_R_weight,Exact_G_weight,Exact_B_weight,S14_R_weight,S14_G_weight,S14_B_weight,S14NearestLutIndex0,S14CandidateCount,ErrorMessage
1,40,94,0.2,0.47,0.316901408450704,0.330985915492958,4,1,1,95.9621248461847,95.900520420107,0.0616044260776789,0.913461012206582,0.905907374918221,0.915305931945153,0.905907374918221,0.00755363728836078,0.0865389877934178,0.0940926250817786,0,0,3.94185395532291e-05,0.209381243131284,0.214592472241521,0.346155951173671,0.215703018954548,0.221435962979723,0.376370500327114,0.01828739409462,0.0539059042301133,0.0343722274915199,0.0213008384192127,0.0581500238487153,0.0352765776681044,308,9,
2,39,96,0.195,0.48,0.319672131147541,0.349726775956284,4,1,1,95.5935087915783,95.5395868710884,0.0539219204898842,0.857797826880362,0.848516512767355,0.848375784617925,0.848516512767355,0.00928131411300703,0.142202173119638,0.151483487232645,0,0,9.435194151244e-05,0.235098209511659,0.354705579702285,0.568808692478551,0.241218801840185,0.354345264992696,0.605933948930578,0.0267441886763465,0.0967464974208905,0.0218439059039842,0.0304468715390383,0.101961337081529,0.0229551001189841,309,9,
3,39,110,0.195,0.55,0.401601830663616,0.503432494279176,4,1,1,24.3593449943569,24.3593449943569,0,0.0376839655988781,0.0376839655988781,0.0374923019698686,0.0397828238172298,0,0.962316034401122,0.962316034401122,0,0,9.87498402612038e-05,0.405519694238655,0.512317059449866,3.84926413760449,0.405519694238655,0.512317059449866,3.84926413760449,0.366559939771347,0.571609072760883,0,0.366559939771347,0.571609072760883,0,340,9,
4,41,110,0.205,0.55,0.41647855530474,0.496613995485327,4,1,1,18.1761979579004,18.1761979579004,0,0.0252151905893185,0.0252151905893185,0.0132496712740041,0.026700498063629,0,0.974784809410681,0.974784809410681,0,0,3.88284410954838e-05,0.419568788404074,0.502112094644282,3.89913923764273,0.419568788404074,0.502112094644282,3.89913923764273,0.398644694455686,0.562868405843176,0,0.398644694455686,0.562868405843176,0,365,9,
5,43,110,0.215,0.55,0.430957683741648,0.489977728285078,4,1,1,12.3486534039685,12.3486534039685,0,0.0127464155797583,0.0127464155797583,0.0133155153859685,0.013467027583457,0,0.987253584420242,0.987253584420242,0,0,3.6604328528498e-05,0.432734602212185,0.492548726005232,3.94901433768097,0.432734602212185,0.492548726005232,3.94901433768097,0.430729449140025,0.554127738925469,0,0.430729449140025,0.554127738925469,0,389,9,
6,48,109,0.24,0.545,0.457627118644068,0.461864406779661,4,1,1,8.64829937515839,8.64829937515839,0,0.0441307277034154,0.0441307277034154,0.0397579473780788,0.0464831340802734,0,0.955869272296585,0.955869272296585,0,0,8.73848073323919e-05,0.465330323296351,0.46887188374338,3.82347708918634,0.465330323296351,0.46887188374338,3.82347708918634,0.486309243337648,0.495592735904427,0,0.486309243337648,0.495592735904427,0,434,9,
7,54,109,0.27,0.545,0.495918367346939,0.444897959183674,4,1,1,-1.71781238507569,-1.71781238507569,0,0.00638122538089473,0.00638122538089473,0.0151874305735691,0.00675537005657167,0,0.993618774619105,0.993618774619105,0,0,3.45404605737023e-05,0.497251046861022,0.445685345400712,3.97447509847642,0.497251046861022,0.445685345400712,3.97447509847642,0.583446574033355,0.469130166337058,0,0.583446574033355,0.469130166337058,0,475,9,
8,61,108,0.305,0.54,0.528901734104046,0.416184971098266,4,1,1,-1.6811948437022,-1.6811948437022,0,0.0252975177904155,0.0252975177904155,0.0131211468570887,0.0267243261640535,0,0.974702482209585,0.974702482209585,0,0,2.74441550338386e-05,0.534982534567312,0.418277990907156,3.89880992883834,0.534982534567312,0.418277990907156,3.89880992883834,0.673633960215869,0.400363626866412,0,0.673633960215869,0.400363626866412,0,512,9,
9,67,107,0.335,0.535,0.553211009174312,0.392660550458716,4,1,1,2.39164670545726,2.39164670545726,0,0.0509765691751213,0.0509765691751213,0.0413591319524548,0.0537475555868614,0,0.949023430824879,0.949023430824879,0,0,5.29155114640544e-05,0.566584659428753,0.395322875922841,3.79609372329951,0.566584659428753,0.395322875922841,3.79609372329951,0.749014928311713,0.334804597690463,0,0.749014928311713,0.334804597690463,0,545,9,
10,76,106,0.38,0.53,0.589655172413793,0.36551724137931,4,1,1,11.4932424400792,11.4932424400792,0,0.0577311887314507,0.0577311887314507,0.0498483579361564,0.0606178789393028,0,0.942268811268549,0.942268811268549,0,0,5.17443825222365e-05,0.606146549342872,0.366585955986059,3.7690752450742,0.606146549342872,0.366585955986059,3.7690752450742,0.875761429040649,0.254402850592122,0,0.875761429040649,0.254402850592122,0,587,9,
