GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_DeltaWhiteRatio_Q10000,T45_DeltaWhiteRatio_Q10000,T60_DeltaWhiteRatio_Q10000,T80_DeltaWhiteRatio_Q10000,T100_DeltaWhiteRatio_Q10000
0,0,43,0.1521,0.0284,4,0.200355660936574,0.0841730883224659,0,0,0,0,0
0,1,42,0.151748837209302,0.0441790697674419,4,0.18811929713289,0.123227336283569,0,0,0,0,0
0,2,41,0.151397674418605,0.0599581395348837,4,0.177244208001459,0.157936865548312,0,0,0,0,0
0,3,40,0.151046511627907,0.0757372093023256,4,0.16751520403584,0.188988486714845,0,0,0,0,0
0,4,39,0.150695348837209,0.0915162790697674,4,0.158760181450008,0.21693149563954,0,0,0,0,0
0,5,38,0.150344186046512,0.107295348837209,4,0.150839852818681,0.242210449686995,0,0,0,0,0
0,6,37,0.149993023255814,0.123074418604651,4,0.143640281280796,0.265188995974544,0,0,0,0,0
0,7,36,0.149641860465116,0.138853488372093,4,0.137067364223514,0.286167477548099,0,0,0,0,0
0,8,35,0.149290697674419,0.154632558139535,4,0.131042697321887,0.305396133939334,0,0,0,0,0
0,9,34,0.148939534883721,0.170411627906977,4,0.125500432091145,0.323085130773708,0,0,0,0,0
0,10,33,0.148588372093023,0.186190697674419,4,0.120384859238854,0.339412272875865,0,0,0,0,0
0,11,32,0.148237209302326,0.20196976744186,4,0.115648529491808,0.354529001941325,0,0,0,0,0
0,12,31,0.147886046511628,0.217748837209302,4,0.111250777422343,0.368565107973139,0,0,0,0,0
0,13,30,0.14753488372093,0.233527906976744,4,0.107156550923854,0.381632465191857,0,0,0,0,0
0,14,29,0.147183720930233,0.249306976744186,4,0.103335474964549,0.39382802021025,0,0,0,0,0
0,15,28,0.146832558139535,0.265086046511628,4,0.0997610966800023,0.405236201437212,0,0,0,0,0
0,16,27,0.146481395348837,0.28086511627907,4,0.0964102721091039,0.415930876404838,0,0,0,0,0
0,17,26,0.14613023255814,0.296644186046512,4,0.0932626645076163,0.425976952978317,0,0,0,0,0
