GridI,GridJ,GridK,x,y,Y_lm,u1976,v1976,T25_Valid,T25_BestRa,T25_BestRmin8,T25_BestWhiteRatio,T25_BestRGBRatio,T25_BestRayT,T25_BestRGBPoint_x,T25_BestRGBPoint_y,T25_R_weight,T25_G_weight,T25_B_weight,T25_BoundaryEdge,T45_Valid,T45_BestRa,T45_BestRmin8,T45_BestWhiteRatio,T45_BestRGBRatio,T45_BestRayT,T45_BestRGBPoint_x,T45_BestRGBPoint_y,T45_R_weight,T45_G_weight,T45_B_weight,T45_BoundaryEdge,T60_Valid,T60_BestRa,T60_BestRmin8,T60_BestWhiteRatio,T60_BestRGBRatio,T60_BestRayT,T60_BestRGBPoint_x,T60_BestRGBPoint_y,T60_R_weight,T60_G_weight,T60_B_weight,T60_BoundaryEdge,T80_Valid,T80_BestRa,T80_BestRmin8,T80_BestWhiteRatio,T80_BestRGBRatio,T80_BestRayT,T80_BestRGBPoint_x,T80_BestRGBPoint_y,T80_R_weight,T80_G_weight,T80_B_weight,T80_BoundaryEdge,T100_Valid,T100_BestRa,T100_BestRmin8,T100_BestWhiteRatio,T100_BestRGBRatio,T100_BestRayT,T100_BestRGBPoint_x,T100_BestRGBPoint_y,T100_R_weight,T100_G_weight,T100_B_weight,T100_BoundaryEdge,T25_DeltaWhiteRatio_From25C,T25_DeltaRa_From25C,T45_DeltaWhiteRatio_From25C,T45_DeltaRa_From25C,T60_DeltaWhiteRatio_From25C,T60_DeltaRa_From25C,T80_DeltaWhiteRatio_From25C,T80_DeltaRa_From25C,T100_DeltaWhiteRatio_From25C,T100_DeltaRa_From25C
0,0,43,0.1521,0.0284,4,0.200355660936574,0.0841730883224659,1,-59.6594534616168,-148.687631804541,0,0.999999999999999,1,0.1521,0.0284,0,0,4.58032749341578,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,1,42,0.151748837209302,0.0441790697674419,4,0.18811929713289,0.123227336283569,1,-39.5340750332502,-106.94587817238,1.75458134332322e-15,0.999999999999998,1,0.151748837209302,0.0441790697674418,0,0.316286770937795,2.87593548146883,,1,-37.8400443346515,-112.641682803605,0,1,1,0.151748837209302,0.0441790697674418,0.016428593286473,0.288313237161363,3.03356200706844,,1,-36.461900501886,-117.508113727692,0,1,1,0.151748837209302,0.0441790697674418,0.0365034822138147,0.266348388593976,3.20261056395699,,1,-35.1434503992244,-122.415906940857,0,1,1,0.151748837209302,0.0441790697674418,0.0694298078174023,0.243053557465962,3.40934012139654,,1,-33.9645690936382,-130.648131061713,0,1,1,0.151748837209302,0.0441790697674418,0.156602132235841,0.196533003373394,3.77622359702887,,0,0,-1.75458134332322e-15,1.69403069859875,-1.75458134332322e-15,3.07217453136424,-1.75458134332322e-15,4.39062463402589,-1.75458134332322e-15,5.56950593961209
0,2,41,0.151397674418605,0.0599581395348837,4,0.177244208001459,0.157936865548312,1,-22.8202928108506,-91.130324305146,0,1,1,0.151397674418605,0.0599581395348837,0,0.466100363626197,2.06862669045587,,1,-22.2171709358933,-88.4577816070093,0,1,1,0.151397674418605,0.0599581395348837,0.00925982852290231,0.453197247892102,2.18226562290421,,1,-21.7026122684772,-86.0929563366763,0,1,1,0.151397674418605,0.0599581395348837,0.0205863951666624,0.446509714564958,2.30405431461794,,1,-21.2512180170285,-83.6493690241476,0,1,1,0.151397674418605,0.0599581395348837,0.0389176267728872,0.442183268043243,2.45294610144828,,1,-21.0658533091534,-90.6575047078436,0,1,1,0.151397674418605,0.0599581395348837,0.089527742971487,0.426866351409445,2.71695714761177,,0,0,0,0.603121874957331,0,1.11768054237345,0,1.56907479382215,0,1.7544395016972
0,3,40,0.151046511627907,0.0757372093023256,4,0.16751520403584,0.188988486714845,1,-10.0010654069922,-75.2257951198159,0,1,1,0.151046511627907,0.0757372093023256,0,0.553489709292104,1.59770689118443,,1,-9.92421474688711,-74.2081544124791,0,1,1,0.151046511627907,0.0757372093023256,0.00507814079564577,0.549377477936376,1.68568695707783,,1,-9.86087691091882,-73.2360578276774,0,1,1,0.151046511627907,0.0757372093023256,0.0113016313678848,0.551601516372639,1.77990799875545,,1,-9.89998241760052,-72.2856080125638,0,1,1,0.151046511627907,0.0757372093023256,0.0211192448739502,0.558339718187149,1.89506182604811,,1,-10.2871579982566,-71.072294109042,0,1,1,0.151046511627907,0.0757372093023256,0.0504018740595524,0.561224524180682,2.09906527118543,,0,0,0,0.0768506601051069,0,0.140188496073405,0,0.101082989391703,0,-0.286092591264412
0,4,39,0.150695348837209,0.0915162790697674,4,0.158760181450008,0.21693149563954,1,-0.673937022607126,-62.1173462483415,0,1,1,0.150695348837209,0.0915162790697674,0,0.610744032070066,1.28917735609558,,1,-0.893228339012858,-62.0929398397031,0,1,1,0.150695348837209,0.0915162790697674,0.00233845099629331,0.612391268620495,1.36034666529251,,1,-1.08822661764608,-61.9692169248896,0,1,1,0.150695348837209,0.0915162790697674,0.00521859161742579,0.620453844950745,1.43650638471888,,1,-1.41126705212741,-61.9328528628318,0,1,1,0.150695348837209,0.0915162790697674,0.00945839200450569,0.634441202167892,1.52955632725855,,1,-2.07276157455489,-61.919119859405,0,1,1,0.150695348837209,0.0915162790697674,0.0247680269288486,0.64925111521514,1.69424497341088,,0,0,0,-0.219291316405733,0,-0.414289595038958,0,-0.737330029520283,0,-1.39882455194777
0,5,38,0.150344186046512,0.107295348837209,4,0.150839852818681,0.242210449686995,1,6.04960035604807,-51.6376303393221,-7.22452300303687e-16,1,1,0.150344186046512,0.107295348837209,0,0.651158483159429,1.0713937687527,,1,5.60894343538906,-52.2608637974659,0,1,1,0.150344186046512,0.107295348837209,0.00040456977957912,0.656871189751252,1.13069676862449,,1,5.2250696556229,-52.6965305488894,0,1,1,0.150344186046512,0.107295348837209,0.000924719983959392,0.669055049727891,1.19410743454161,,1,4.69973325419923,-53.2640272458813,0,1,1,0.150344186046512,0.107295348837209,0.00122727608020925,0.688159411605023,1.27155477581221,,1,3.88875518607304,-54.0111478530999,0,1,1,0.150344186046512,0.107295348837209,0.00667371001388387,0.711386971257346,1.40849204977858,,0,0,7.22452300303687e-16,-0.440656920659008,7.22452300303687e-16,-0.824530700425171,7.22452300303687e-16,-1.34986710184884,7.22452300303687e-16,-2.16084516997503
0,6,37,0.149993023255814,0.123074418604651,4,0.143640281280796,0.265188995974544,1,10.9645204391086,-43.2281364173156,6.29828460358853e-16,0.999999999999999,1,0.149993023255814,0.123074418604651,0,0.681210058671854,0.909453182056858,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,7,36,0.149641860465116,0.138853488372093,4,0.137067364223514,0.286167477548099,1,14.6508723243322,-36.3913865843246,0,1,1,0.149641860465116,0.138853488372093,0,0.704431616268397,0.784317890577033,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,8,35,0.149290697674419,0.154632558139535,4,0.131042697321887,0.305396133939334,1,17.493160751865,-30.7467944025195,-1.00258021353279e-15,1,1,0.149290697674419,0.154632558139535,0,0.722914009204754,0.68472079775842,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,9,34,0.148939534883721,0.170411627906977,4,0.125500432091145,0.323085130773708,1,19.7394253061679,-26.0134470290131,0,1,1,0.148939534883721,0.170411627906977,0,0.737973690073936,0.60356786271849,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,10,33,0.148588372093023,0.186190697674419,4,0.120384859238854,0.339412272875865,1,21.5514765327022,-21.9849348294876,0,1,1,0.148588372093023,0.186190697674419,0,0.75048085077881,0.536169834232129,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,11,32,0.148237209302326,0.20196976744186,4,0.115648529491808,0.354529001941325,1,23.0374817803407,-18.5086973142924,0,1,1,0.148237209302326,0.20196976744186,0,0.761033745121402,0.479302868955319,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,12,31,0.147886046511628,0.217748837209302,4,0.111250777422343,0.368565107973139,1,24.2714876452681,-17.0130257417088,0,1,1,0.147886046511628,0.217748837209302,0,0.770057218152595,0.430677580870136,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,13,30,0.14753488372093,0.233527906976744,4,0.107156550923854,0.381632465191857,1,25.3049742163667,-17.142013367871,0,1,1,0.14753488372093,0.233527906976744,0,0.777861290793083,0.388623343098304,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,14,29,0.147183720930233,0.249306976744186,4,0.103335474964549,0.39382802021025,1,26.1737513500493,-17.257855800318,0,1,1,0.147183720930233,0.249306976744186,0,0.784677496922393,0.351892476220335,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,15,28,0.146832558139535,0.265086046511628,4,0.0997610966800023,0.405236201437212,1,26.9021421560133,-17.36236448875,0,1,1,0.146832558139535,0.265086046511628,0,0.790682242822249,0.31953436995133,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,16,27,0.146481395348837,0.28086511627907,4,0.0964102721091039,0.415930876404838,1,27.5056546325664,-17.4570498123917,0,1,1,0.146481395348837,0.28086511627907,0,0.796012292585078,0.290812036063924,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,17,26,0.14613023255814,0.296644186046512,4,0.0932626645076163,0.425976952978317,1,27.9930191557603,-17.5431753437462,-2.6130891898611e-16,1,1,0.14613023255814,0.296644186046512,0,0.800775311332113,0.265145293565874,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
