SegmentIndex,SegmentName,W25_Min,W25_Max,Term,Basis,Coefficient,BaseTempC,TempScaleC,RidgeLambda,UseWeightedFit,WeightGain,WeightScale,WeightMax
1,LOW,0,0.25,F1,CONST,-0.0629083959377137,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,X,0.465404280577209,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,Y,0.013168433771138,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,W25,0.247737986315421,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,X_MUL_Y,-0.629068750751116,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,X_MUL_W25,-0.150744753414321,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,Y_MUL_W25,-0.414732527258419,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,W25_SQ,-0.415159989212984,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,X_SQ,-0.220238553421572,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F1,Y_SQ,0.144025026181914,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,CONST,0.0609973722497084,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,X,-0.294602933063836,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,Y,-0.152451324526911,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,W25,-0.305325448695604,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,X_MUL_Y,0.150457472204449,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,X_MUL_W25,0.0376634564610628,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,Y_MUL_W25,0.217961798967529,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,W25_SQ,0.797856211369787,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,X_SQ,0.35269999743517,21.4,78.6,1e-08,1,3,0.05,5
1,LOW,0,0.25,F2,Y_SQ,0.147999826000855,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,CONST,-0.223742036994099,21.4,78.6,1e-08,1,3,0.05,5
2,MID,0.25,0.8,F1,X,0.465360438600762,21.4,78.6,1e-08,1,3,0.05,5
