CoefficientIndex,SegmentIndex,SegmentName,W25Min,W25Max,TermGroup,BasisIndex,BasisName,Coefficient,BaseTempC,TempScaleC,RidgeLambda,FitWeightEnable,FitWeightReferenceAbsDelta,FitWeightStrength,FitWeightPower,FitWeightMax,DeltaClampEnable,DeltaClampAbs
1,1,SEG_LOW,-1e-06,0.25,F1,1,CONST,-0.14737234401262,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
2,1,SEG_LOW,-1e-06,0.25,F1,2,X,0.870396095247424,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
3,1,SEG_LOW,-1e-06,0.25,F1,3,Y,0.181640423870334,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
4,1,SEG_LOW,-1e-06,0.25,F1,4,W25,-1.24721528075825,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
5,1,SEG_LOW,-1e-06,0.25,F1,5,X_MUL_Y,-0.559075608445016,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
6,1,SEG_LOW,-1e-06,0.25,F1,6,X_MUL_W25,1.53366057960885,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
7,1,SEG_LOW,-1e-06,0.25,F1,7,Y_MUL_W25,-0.957952087070375,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
8,1,SEG_LOW,-1e-06,0.25,F1,8,W25_SQ,3.27727919135913,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
9,1,SEG_LOW,-1e-06,0.25,F1,9,X_SQ,-0.758231495297993,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
10,1,SEG_LOW,-1e-06,0.25,F1,10,Y_SQ,-0.147505698744912,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
11,1,SEG_LOW,-1e-06,0.25,F2,1,CONST,0.130592656635687,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
12,1,SEG_LOW,-1e-06,0.25,F2,2,X,-0.647279280897087,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
13,1,SEG_LOW,-1e-06,0.25,F2,3,Y,-0.277160748922129,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
14,1,SEG_LOW,-1e-06,0.25,F2,4,W25,1.20381650333591,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
15,1,SEG_LOW,-1e-06,0.25,F2,5,X_MUL_Y,0.0801910868050634,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
16,1,SEG_LOW,-1e-06,0.25,F2,6,X_MUL_W25,-1.66092776971094,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
17,1,SEG_LOW,-1e-06,0.25,F2,7,Y_MUL_W25,0.716089067698589,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
18,1,SEG_LOW,-1e-06,0.25,F2,8,W25_SQ,-2.86262318772866,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
19,1,SEG_LOW,-1e-06,0.25,F2,9,X_SQ,0.820954483339778,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
20,1,SEG_LOW,-1e-06,0.25,F2,10,Y_SQ,0.38871715350441,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
21,2,SEG_MID,0.25,0.8,F1,1,CONST,-0.464692293526086,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
22,2,SEG_MID,0.25,0.8,F1,2,X,1.67825146618491,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
23,2,SEG_MID,0.25,0.8,F1,3,Y,0.727673629492213,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
24,2,SEG_MID,0.25,0.8,F1,4,W25,0.229527506086698,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
25,2,SEG_MID,0.25,0.8,F1,5,X_MUL_Y,-2.43341394265176,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
26,2,SEG_MID,0.25,0.8,F1,6,X_MUL_W25,-0.357076728645061,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
27,2,SEG_MID,0.25,0.8,F1,7,Y_MUL_W25,-0.406946615638214,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
28,2,SEG_MID,0.25,0.8,F1,8,W25_SQ,0.0144861605257091,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
29,2,SEG_MID,0.25,0.8,F1,9,X_SQ,-0.711831835062926,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
30,2,SEG_MID,0.25,0.8,F1,10,Y_SQ,-0.0895690088597145,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
31,2,SEG_MID,0.25,0.8,F2,1,CONST,0.107179866009373,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
32,2,SEG_MID,0.25,0.8,F2,2,X,-0.804510652260446,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
33,2,SEG_MID,0.25,0.8,F2,3,Y,0.680496139167891,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
34,2,SEG_MID,0.25,0.8,F2,4,W25,-0.0959457850953758,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
35,2,SEG_MID,0.25,0.8,F2,5,X_MUL_Y,-0.410560294046471,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
36,2,SEG_MID,0.25,0.8,F2,6,X_MUL_W25,0.340607638440228,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
37,2,SEG_MID,0.25,0.8,F2,7,Y_MUL_W25,-0.191162386603909,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
38,2,SEG_MID,0.25,0.8,F2,8,W25_SQ,-0.0133854066467066,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
39,2,SEG_MID,0.25,0.8,F2,9,X_SQ,0.772598819171547,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
40,2,SEG_MID,0.25,0.8,F2,10,Y_SQ,-0.559892536732363,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
41,3,SEG_HIGH,0.8,1.0000001,F1,1,CONST,1.4528186327158,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
42,3,SEG_HIGH,0.8,1.0000001,F1,2,X,-10.7329417293073,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
43,3,SEG_HIGH,0.8,1.0000001,F1,3,Y,8.02377317786246,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
44,3,SEG_HIGH,0.8,1.0000001,F1,4,W25,-2.29406287980567,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
45,3,SEG_HIGH,0.8,1.0000001,F1,5,X_MUL_Y,-29.7551331483376,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
46,3,SEG_HIGH,0.8,1.0000001,F1,6,X_MUL_W25,8.37607647585354,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
47,3,SEG_HIGH,0.8,1.0000001,F1,7,Y_MUL_W25,-2.89746005910911,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
48,3,SEG_HIGH,0.8,1.0000001,F1,8,W25_SQ,0.442561755585836,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
49,3,SEG_HIGH,0.8,1.0000001,F1,9,X_SQ,19.5491153417423,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
50,3,SEG_HIGH,0.8,1.0000001,F1,10,Y_SQ,5.47880466674912,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
51,3,SEG_HIGH,0.8,1.0000001,F2,1,CONST,0.095151261119083,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
52,3,SEG_HIGH,0.8,1.0000001,F2,2,X,-5.53648499726439,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
53,3,SEG_HIGH,0.8,1.0000001,F2,3,Y,4.3135779551344,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
54,3,SEG_HIGH,0.8,1.0000001,F2,4,W25,0.3954344910666,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
55,3,SEG_HIGH,0.8,1.0000001,F2,5,X_MUL_Y,-16.7659462228911,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
56,3,SEG_HIGH,0.8,1.0000001,F2,6,X_MUL_W25,3.22019106695468,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
57,3,SEG_HIGH,0.8,1.0000001,F2,7,Y_MUL_W25,-2.95958862282509,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
58,3,SEG_HIGH,0.8,1.0000001,F2,8,W25_SQ,-0.320129713188879,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
59,3,SEG_HIGH,0.8,1.0000001,F2,9,X_SQ,11.6228291990648,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
60,3,SEG_HIGH,0.8,1.0000001,F2,10,Y_SQ,6.29623904680868,21.4,78.6,1e-06,1,0.03,1,1,10,0,0.15
