SampleIndex,GridRow,GridI,GridJ,GridK,SegmentIndex,SegmentName,Label,Temperature_C,t,x,y,W25,W_T,DeltaW_Exact,FitWeight,DeltaW_Pred,DeltaW_Error,AbsDeltaW_Error,W_Corrected,W_ErrorAfterCorrection,AbsW_ErrorAfterCorrection,AbsW_ErrorBeforeCorrection
1,2,0,1,42,1,SEG_LOW,T60,60,0.491094147582697,0.151748837209302,0.0441790697674419,1.75458134332322e-15,0,-1.75458134332322e-15,1.00000000000006,-0.00439970197015186,-0.00439970197015011,0.00439970197015011,0,0,0,1.75458134332322e-15
2,3,0,2,41,1,SEG_LOW,T60,60,0.491094147582697,0.151397674418605,0.0599581395348837,-1.2928315017885e-15,0,1.2928315017885e-15,1.00000000000004,-0.00469434560386485,-0.00469434560386615,0.00469434560386615,0,0,0,1.2928315017885e-15
3,4,0,3,40,1,SEG_LOW,T60,60,0.491094147582697,0.151046511627907,0.0757372093023256,-1.02348333525075e-15,0,1.02348333525075e-15,1.00000000000003,-0.00497559286990269,-0.00497559286990371,0.00497559286990371,0,0,0,1.02348333525075e-15
4,5,0,4,39,1,SEG_LOW,T60,60,0.491094147582697,0.150695348837209,0.0915162790697674,0,0,0,1,-0.00524344376826445,-0.00524344376826445,0.00524344376826445,0,0,0,0
5,6,0,5,38,1,SEG_LOW,T60,60,0.491094147582697,0.150344186046512,0.107295348837209,0,0,0,1,-0.00549789829894941,-0.00549789829894941,0.00549789829894941,0,0,0,0
6,46,1,1,41,1,SEG_LOW,T60,60,0.491094147582697,0.164548837209302,0.0504186046511628,0,0,0,1,-0.00188678440267331,-0.00188678440267331,0.00188678440267331,0,0,0,0
7,47,1,2,40,1,SEG_LOW,T60,60,0.491094147582697,0.164197674418605,0.0661976744186046,0,0,0,1,-0.00222665242183124,-0.00222665242183124,0.00222665242183124,0,0,0,0
8,48,1,3,39,1,SEG_LOW,T60,60,0.491094147582697,0.163846511627907,0.0819767441860465,0,0,0,1,-0.00255312407331308,-0.00255312407331308,0.00255312407331308,0,0,0,0
9,49,1,4,38,1,SEG_LOW,T60,60,0.491094147582697,0.163495348837209,0.0977558139534884,0,0,0,1,-0.00286619935711862,-0.00286619935711862,0.00286619935711862,0,0,0,0
10,50,1,5,37,1,SEG_LOW,T60,60,0.491094147582697,0.163144186046512,0.11353488372093,0,0,0,1,-0.00316587827324767,-0.00316587827324767,0.00316587827324767,0,0,0,0
11,51,1,6,36,1,SEG_LOW,T60,60,0.491094147582697,0.162793023255814,0.129313953488372,0,0,0,1,-0.00345216082170061,-0.00345216082170061,0.00345216082170061,0,0,0,0
12,52,1,7,35,1,SEG_LOW,T60,60,0.491094147582697,0.162441860465116,0.145093023255814,0,0,0,1,-0.00372504700247725,-0.00372504700247725,0.00372504700247725,0,0,0,0
13,53,1,8,34,1,SEG_LOW,T60,60,0.491094147582697,0.162090697674419,0.160872093023256,0,0,0,1,-0.00398453681557741,-0.00398453681557741,0.00398453681557741,0,0,0,0
14,54,1,9,33,1,SEG_LOW,T60,60,0.491094147582697,0.161739534883721,0.176651162790698,0,0,0,1,-0.00423063026100145,-0.00423063026100145,0.00423063026100145,0,0,0,0
15,55,1,10,32,1,SEG_LOW,T60,60,0.491094147582697,0.161388372093023,0.19243023255814,0,0,0,1,-0.00446332733874919,-0.00446332733874919,0.00446332733874919,0,0,0,0
16,56,1,11,31,1,SEG_LOW,T60,60,0.491094147582697,0.161037209302326,0.208209302325581,0,0,0,1,-0.00468262804882045,-0.00468262804882045,0.00468262804882045,0,0,0,0
17,57,1,12,30,1,SEG_LOW,T60,60,0.491094147582697,0.160686046511628,0.223988372093023,0,0,0,1,-0.0048885323912156,-0.0048885323912156,0.0048885323912156,0,0,0,0
18,58,1,13,29,1,SEG_LOW,T60,60,0.491094147582697,0.16033488372093,0.239767441860465,0,0,0,1,-0.00508104036593443,-0.00508104036593443,0.00508104036593443,0,0,0,0
19,59,1,14,28,1,SEG_LOW,T60,60,0.491094147582697,0.159983720930233,0.255546511627907,0,0,0,1,-0.00526015197297681,-0.00526015197297681,0.00526015197297681,0,0,0,0
20,60,1,15,27,1,SEG_LOW,T60,60,0.491094147582697,0.159632558139535,0.271325581395349,0,0,0,1,-0.00542586721234305,-0.00542586721234305,0.00542586721234305,0,0,0,0
21,61,1,16,26,1,SEG_LOW,T60,60,0.491094147582697,0.159281395348837,0.287104651162791,0,0,0,1,-0.00557818608403299,-0.00557818608403299,0.00557818608403299,0,0,0,0
22,62,1,17,25,1,SEG_LOW,T60,60,0.491094147582697,0.15893023255814,0.302883720930233,0,0,0,1,-0.00571710858804648,-0.00571710858804648,0.00571710858804648,0,0,0,0
23,63,1,18,24,1,SEG_LOW,T60,60,0.491094147582697,0.158579069767442,0.318662790697674,0,0,0,1,-0.00584263472438382,-0.00584263472438382,0.00584263472438382,0,0,0,0
